Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
James I do this at school all the time in the morning its a great game to play😄,0.9001,Positive,0.2,Positive,0.6514509916305542,Positive
You should do like where you just use the James plaent,0.3612,Positive,0.0,Neutral,0.3002397119998932,Neutral
Niceeee,0.0,Neutral,0.0,Neutral,0.2927015423774719,Neutral
Do roste,0.0,Neutral,0.0,Neutral,-0.2691201865673065,Negative
Hi james,0.0,Neutral,0.0,Neutral,0.2521002292633056,Neutral
"“I’ve never lost”
Win percentage: 97%",-0.4717,Negative,0.8,Positive,0.5319985747337341,Positive
Omg what if you skipped eyeshadow 💀,0.0,Neutral,0.0,Neutral,0.2641941010951996,Neutral
It's giving ✨Nicki Minaj ✨,0.5719,Positive,0.0,Neutral,0.4303675889968872,Positive
I love wordle and you are so call,0.6369,Positive,0.5,Positive,0.850620448589325,Positive
My mum play wordle,0.34,Positive,0.0,Neutral,0.500626266002655,Positive
Sister I love your vids they make me do what I  want to do so thank you so much,0.829,Positive,0.35,Positive,0.8416664004325867,Positive
just realized u used ur old intro,0.0,Neutral,0.1,Positive,-0.2267569303512573,Negative
Where to download that app?,0.0,Neutral,0.0,Neutral,-0.4380857944488525,Negative
what happened to the intro,0.0,Neutral,0.0,Neutral,0.226256251335144,Neutral
It's better if you go back to your normal makeup,0.4404,Positive,0.2166666666666666,Positive,0.4920808672904968,Positive
James Charles is cool,0.3182,Positive,0.35,Positive,0.4576636254787445,Positive
I do wordle all the time,0.0,Neutral,0.0,Neutral,0.3920258283615112,Positive
ANOTER PART,0.0,Neutral,0.0,Neutral,-0.282676100730896,Negative
I have now a HUGE NEED to play wordle,0.6633,Positive,0.4000000000000001,Positive,0.3442561328411102,Positive
You are my favorite person. Even though I'm using my moms account,0.4588,Positive,0.5,Positive,0.8315612077713013,Positive
james i think that sponge is a magic eraser….,0.0,Neutral,0.5,Positive,0.4076306223869324,Positive
I love JoJo,0.6369,Positive,0.5,Positive,0.8005214333534241,Positive
🏳️‍🌈🤮,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
why are you doing the old intro?,0.0,Neutral,0.1,Positive,-0.3079347312450409,Negative
A good Mardi Gras look,0.4404,Positive,0.7,Positive,0.5794644951820374,Positive
"James, PLEASE, do a video using make-up products by brazilians influencers! Like Bruna Tavares, Boca Rosa, Niina Secrets, Mari Maria Makeup, Fran by FR.",0.7027,Positive,0.0,Neutral,0.2754603624343872,Neutral
he definitely has lost or his win streak would be 100% not 97%,0.6369,Positive,0.4,Positive,-0.39417365193367,Negative
Kunno,0.0,Neutral,0.0,Neutral,0.3332308530807495,Positive
It’s giving Nicki Minaj,0.34,Positive,0.0,Neutral,0.4342767894268036,Positive
"James why you be looking like the Iguana from the movie ""Sing"", but I love how it's so creative and adorable .",0.9604,Positive,0.5,Positive,0.589277982711792,Positive
"Love you james, you inspired me to start makeup ❤❤❤",0.9682,Positive,0.5,Positive,0.8654525876045227,Positive
There is also worldle,0.0,Neutral,0.0,Neutral,0.2651186287403106,Neutral
james i love you but this look screams barni and buzz lightyear,-0.0516,Negative,0.5,Positive,0.2982204556465149,Neutral
hot cheeto james,0.0,Neutral,0.25,Positive,0.2410711348056793,Neutral
