Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
😱😱😱😱😱😱😱😱😱😱😱,-0.9957,Negative,0.0,Neutral,0.3085779249668121,Neutral
Chi em kc đi a,0.0,Neutral,0.0,Neutral,-0.3837829530239105,Negative
"Em 2007 cũng đam Mê làm YouTube
Nhưng mà ko làm đc mong anh rep",0.7227,Positive,-0.05,Negative,0.2727276086807251,Neutral
cho e vào qđ vs ạ id 1955452352 mong a rep,0.6369,Positive,0.0,Neutral,-0.3373799920082092,Negative
Tấu hài,0.3612,Positive,0.0,Neutral,-0.6859344244003296,Negative
tấu hài,0.3612,Positive,0.0,Neutral,-0.6859344244003296,Negative
Anh lm thử thách chỉ dùng m82b đấy  tóp 1,0.0772,Positive,0.0,Neutral,0.8431603312492371,Positive
lm tấu hài đi anh,0.3612,Positive,0.0,Neutral,-0.4910235404968261,Negative
Tấu hài đi anh ơi em tim rồi,0.2732,Positive,-0.4,Negative,-0.5796692967414856,Negative
em thách anh đức mõm dùng nắm đấm lấy,0.0772,Positive,0.0,Neutral,0.2761867344379425,Neutral
Tau hài,0.3818,Positive,0.0,Neutral,-0.6859344244003296,Negative
5219607707,0.0,Neutral,0.0,Neutral,0.2637850642204284,Neutral
Anh làm cả lip chỉ nhận sừng ơ hôm vang,0.0,Neutral,0.0666666666666666,Positive,-0.5924590229988098,Negative
E thik a lm clip tấu hài ạ🤗🍼,0.6124,Positive,0.0,Neutral,-0.4287405908107757,Negative
a đức ơi a cho e 1acc ff đc ko a,0.6249,Positive,0.0,Neutral,-0.2831130921840668,Negative
Hiếu,0.0,Neutral,0.0,Neutral,0.3811695873737335,Positive
tấu hài đi anh,0.0,Neutral,0.0,Neutral,-0.5711713433265686,Negative
Anh Đức móm cải trang thành đất đi leo ranh,-0.2732,Negative,0.0,Neutral,-0.4506425857543945,Negative
Anh nói là làm nhiệu vụ X và sao anh mới làm phần 1 em đã đợi hơn 1 tháng mà k thấy anh làm nhiệu vụ X mong anh làm  😉😉,0.5927,Positive,0.5,Positive,-0.3410598933696747,Negative
Vlog ah ơi,0.0,Neutral,0.0,Neutral,0.2740340530872345,Neutral
Táo hài,0.3612,Positive,0.0,Neutral,0.2492127567529678,Neutral
Câu trả lời là hài vs thử thách súng 🔫,0.1027,Positive,0.0,Neutral,-0.3227496445178985,Negative
Đã đăng ký 😀,0.0,Neutral,0.0,Neutral,0.4371357858181,Positive
Thách anh lấy top 1 trong sinh tồn mà ko bơm HP chắc ko làm đc ( mong anh rep vs làm ),-0.1546,Negative,0.5,Positive,0.7351690530776978,Positive
Xem video của a Đức đẹp troai mà cười ẻ 😂😂,0.9042,Positive,0.5,Positive,0.2586033344268799,Neutral
Vlog,0.0,Neutral,0.0,Neutral,0.3020193576812744,Neutral
Anh ơi em bị mất ac anh có thể cho em một cái ac đk,-0.3182,Negative,0.0,Neutral,-0.5354453921318054,Negative
tấu hài ạ,0.3612,Positive,0.0,Neutral,-0.5544152855873108,Negative
v,0.0,Neutral,0.0,Neutral,0.3491922616958618,Positive
hay quá anh ơi,0.4927,Positive,0.7,Positive,-0.2958282232284546,Negative
Quay cho em 400000 lD; 5622166238,0.0,Neutral,0.0,Neutral,-0.2145818322896957,Negative
Anh làm thử thách  Chỉ dùng katana lấy top 1 đi anh,0.2732,Positive,0.25,Positive,0.5536623001098633,Positive
Tàu hải,0.0,Neutral,0.0,Neutral,-0.6859344244003296,Negative
tấu hài,0.3612,Positive,0.0,Neutral,-0.6859344244003296,Negative
em thích anh làm cờ líp tấu hài,0.6124,Positive,0.0,Neutral,0.4784857928752899,Positive
anh làm clip phát cơm chó cho địch đi anh,-0.5423,Negative,0.0,Neutral,-0.5645846128463745,Negative
Hài quá 😂😂😂😂😂😂😂😂,0.9701,Positive,0.25,Positive,0.2388455718755722,Neutral
gửi em link fb ah,0.0,Neutral,0.0,Neutral,0.2962997853755951,Neutral
Mãi ủng hộ anh,0.4019,Positive,0.0,Neutral,-0.2432545572519302,Negative
Em nhớ Anh lắm,-0.1531,Negative,0.2,Positive,0.4812648594379425,Positive
em cung choi phi phai ma` anh phai cach ban,0.34,Positive,0.0,Neutral,0.2599220871925354,Neutral
