Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
❤️❤️❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
que viva ozuna soy fan 😀😃🤣😁😁😅,0.9517,Positive,0.043181818181818175,Netural,0.6350297331809998,Positive
🚀,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Duro ozuna,-0.1027,Negative,-0.2916666666666667,Negative,0.2858152687549591,Netural
"Me acuerdo cuando el boza canto en mi escuela y ahora mira dónde está cantando con un pilar del género, está haciendo las cosas bien y que siga así que será unos de los grandes del país, PANAMA EN LA CASA🇵🇦🇵🇦🇵🇦‼️🔥",-0.0772,Negative,0.0,Netural,0.38728776574134827,Positive
En Diercto Amigo de el Vaquero mayor y Yando desde CAYEY HASTA ABAJO LA PUSISTE EN LA CHINA.......,0.4939,Positive,-0.009595959595959616,Negative,0.3014242649078369,Netural
here from infraspace,0.0,Neutral,0.0,Netural,0.28555819392204285,Netural
El mejor sin duda alguna 🔥🔥🔥💪🏾💪🏾💪🏾,0.0284,Neutral,1.0,Positive,0.8071584701538086,Positive
Ozuna tiene q volver a su estilo cuando no avía nadie q chantiara como el 🧸🧸🧸,0.0772,Positive,0.0,Netural,0.23348523676395416,Netural
La mejor canción,0.6369,Positive,1.0,Positive,0.8865575194358826,Positive
Durooo9ooooooooo9,0.0,Neutral,0.0,Netural,-0.23706276714801788,Negative
Duro 🙌🔥🔥🔥🤜🏻🤛🏻,-0.7351,Negative,0.0,Netural,0.2363424301147461,Netural
Te AMO OZUNA,0.6369,Positive,0.5,Positive,0.3521465063095093,Positive
"Pero que flow, a este palo le falta anuel si oque? jaja",0.7615,Positive,0.30000000000000004,Netural,-0.3621542453765869,Negative
"10 millones es muy poco para la payola que le metieron, el tema esta bueno no se qué pasó aquí",0.4404,Positive,0.09652777777777777,Netural,-0.4513408839702606,Negative
Ozuna el mejor reguetonero,0.6369,Positive,1.0,Positive,0.8179519772529602,Positive
Temazo  Duela A Quien Le Duela💜🔥,-0.5267,Negative,0.0,Netural,0.3814908266067505,Positive
Vendiciones ozuna ere el mejor manito 🙏🙏🙏🙏🙏🙏👏,0.7968,Positive,0.40625,Positive,0.7091062664985657,Positive
Que pocos views para ozuna,0.0,Neutral,-0.2,Negative,-0.29896482825279236,Negative
HoLa ozuna,0.0,Neutral,0.0,Netural,-0.2532174289226532,Negative
"Hay gente como yo que solo escucha Trap, esto es lo que necesitamos, gracias 🙏",0.4767,Positive,0.1,Netural,0.5084244608879089,Positive
Amo esta música ahora no me la saco de la cabeza 🇵🇦🥂,0.6369,Positive,0.5,Positive,0.6027786135673523,Positive
NO me gusta Ozuna ni un poquito pero esta canción sí 💗,0.8967,Positive,0.0,Netural,-0.4824277460575104,Negative
Mientras más consumo más la tengo en repeat,0.0,Neutral,0.5,Positive,-0.3495798707008362,Negative
💯💯💯💯💯,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Me encanta esta cancion. La tengo en repeat!,0.6696,Positive,0.625,Positive,0.8245267868041992,Positive
eso ozuna poco a poco volviendo vamos ojitos claros,0.3818,Positive,-0.06874999999999999,Negative,-0.3557998836040497,Negative
Ozuna el mejor 🐐,0.6369,Positive,1.0,Positive,0.8009428977966309,Positive
Ozuna está de regreso,0.0,Neutral,0.0,Netural,-0.32952091097831726,Negative
te amooo ozuna sige asii❤️,0.6369,Positive,0.5,Positive,-0.28491318225860596,Negative
We need this type of ozuna songs 🎵 classic shit,-0.5574,Negative,-0.016666666666666677,Negative,0.7105674147605896,Positive
Ozuna es único todo mundo lo sabe es como el mejor cantante reggeton que hay en todos los tiempos wow😘te quiero ozuna voi cuando tu próximo concierto eres como mi droga 😂😂😂,0.9812,Positive,0.46875,Positive,0.8076533079147339,Positive
Vayan aver apretaito,0.0,Neutral,-0.17857142857142858,Negative,0.2546258270740509,Netural
"@ Ozuna,❤ Abrazos desde la India🇮🇳.",0.8126,Positive,0.0,Netural,-0.4914630055427551,Negative
Esta cancio. Tiene mucho sentimiento  .,0.128,Positive,0.0,Netural,-0.3569304943084717,Negative
"Quien más , después de 3 años volvío a escuchar la música de Ozana ?",0.0,Neutral,0.0,Netural,-0.31574633717536926,Negative
"Yo tu lo pienso bien donde esconder la g wagon, yo tu lo pienso bien antes de frontiar en el ferro porque to mi perros van a vaciarte to lo hierro brrr",0.1779,Positive,-0.1,Negative,0.39556849002838135,Positive
🔥🔥🔥,-0.7351,Negative,0.0,Netural,0.30857792496681213,Netural
Esta es elegir descanso y ahora con todo el mejor unos de los.dioses.el trap kig,0.4404,Positive,1.0,Positive,0.7097470760345459,Positive
Mi idolo ozuna,0.0,Neutral,0.0,Netural,0.5982478260993958,Positive
Me encantaaaaaaaaa!!!!!!,0.6369,Positive,0.5,Positive,0.754000723361969,Positive
🔥🔥🔥🔥🔥🔥🔥,-0.93,Negative,0.0,Netural,0.30857792496681213,Netural
Muy por encima la canción. A otro nivel ozo 🔥🔥,-0.5859,Negative,0.0,Netural,-0.5052220225334167,Negative
🍟,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Duru,0.0,Neutral,0.0,Netural,0.3180244565010071,Netural
"Todos diciendo que ozuna regreso,pero este rolon dan gana de llorar 😢 y dedicar",-0.8338,Negative,0.0,Netural,-0.2976806163787842,Negative
"El negrito ojo claro regresooooo otra vez 


La música está de 10 da  n ganan de dedicar",0.0,Neutral,-0.08333333333333333,Negative,-0.6924852728843689,Negative
Pensando en ti mejor amigo Frankie. De todo. Espero que te encuentres bien.😍😍😍 la mayoria de la musica ( lirica) de Ozuna todas a ti papa!!!!! Flashbacks.... Body and facial expressions and much more..🔥🔥🔥🔥🔥,0.8941,Positive,0.55,Positive,0.4165451228618622,Positive
Me gusta,0.3612,Positive,0.0,Netural,0.42384544014930725,Positive
1 canción cada Año y seguirá siendo el nuevo Don Omar🤴,0.0,Neutral,0.13636363636363635,Netural,0.5003477931022644,Positive
Aqui esperando por ti. Espero verte muy pronto. OH Frannnkieeee !!!!! Quisiera saber donde estas para disfrutar concierto juntos,0.8679,Positive,0.4320219494047619,Positive,0.5424303412437439,Positive
Melo el tema,0.6369,Positive,0.5,Positive,0.3198089599609375,Netural
Ozuna ROMPIENDO!!!!🔥🔜,-0.5526,Negative,0.0,Netural,-0.6992298364639282,Negative
Si el conejo🔥se monta vuelve el “Trap que todos queremos SEÑORES” 🍷🧐,-0.5267,Negative,0.0,Netural,0.5120699405670166,Positive
Me imagino que no puede olvidarse de Kevin 😂😂😂😂😂😂👈,0.9522,Positive,0.0,Netural,0.2749631106853485,Netural
me hciste a acordar al ozuna chamaco,0.0,Neutral,0.0,Netural,-0.2968447804450989,Negative
🔥🔥🔥🔝🔝,-0.281,Negative,0.0,Netural,0.30857792496681213,Netural
🔥🔥🔥🔥,-0.8225,Negative,0.0,Netural,0.30857792496681213,Netural
🔥😍,0.1531,Positive,0.0,Netural,0.30857792496681213,Netural
cant stop listening 🔥🔥,0.1341,Positive,0.0,Netural,-0.6014081239700317,Negative
Ya habia olvidado a mi ex y ahora lo recorde,-0.2263,Negative,0.0,Netural,0.642175018787384,Positive
Gosto demais nos seus vídeos.,0.4201,Positive,0.2,Netural,0.40275123715400696,Positive
I love your music this song needs a lot to me thank you ozuna Jersey AKA 908 PR baby,0.7717,Positive,0.5,Positive,0.7492702603340149,Positive
Esto es un temon po wn !!!🔥🔥🔥🔥,-0.9458,Negative,0.0,Netural,0.32261502742767334,Netural
Excito ❤️✨😻😌,0.7845,Positive,0.0,Netural,-0.3597526252269745,Negative
Està devolviendo come antes la rompiste ozuu 🔥,-0.4215,Negative,0.0,Netural,-0.7948148846626282,Negative
Puff temazo ozuuu,0.6249,Positive,0.8,Positive,0.2564145028591156,Netural
Es muy bonita la canción 💌,0.6361,Positive,1.0,Positive,0.5337141752243042,Positive
Ozuna sigue peganto,0.0,Neutral,0.0,Netural,-0.36362552642822266,Negative
La tengo en repeat...,0.0,Neutral,0.0,Netural,-0.2617194652557373,Negative
Esto está durísimo de lo mejor de ozu en mucho tiempo,0.5434,Positive,0.19027777777777777,Netural,-0.5082899928092957,Negative
Aunque no tenga views esto es en lo que destacasss,0.0,Neutral,0.0,Netural,0.3548170030117035,Positive
X,0.0,Neutral,0.0,Netural,0.39113742113113403,Positive
HOY SALE NUEVO TEMA DE OZUNA Y BOZA AMEDIANOCHE,0.0,Neutral,0.13636363636363635,Netural,0.24499396979808807,Netural
"muy bueno, no todos los días se encuentran estas joyas",0.4927,Positive,0.9099999999999999,Positive,0.6377811431884766,Positive
Tú eres mi baby ya lo sabe to mi corillo,0.0,Neutral,0.0,Netural,0.5769460201263428,Positive
Hola ozuna soy tu fan #1 te conocí desde tu primera canción la escuché amis 8 meses ✨✨❤️❤️,0.7096,Positive,0.25,Netural,0.7960490584373474,Positive
Que nivel el oso 🔥,-0.34,Negative,0.0,Netural,-0.30106520652770996,Negative
Me gusto mucho🇵🇦🇵🇦👌👌👌👌👌🔥🔥🔥🖤🖤🖤💙💙,0.9936,Positive,0.0,Netural,0.4082072377204895,Positive
I love you papi,0.6369,Positive,0.5,Positive,0.8243892788887024,Positive
ME GUSTAS COMPLETO ERES EL DURO EN TODAS LASS CACIONES😍🥰😍🥰,0.9709,Positive,-0.09583333333333334,Negative,0.6407762169837952,Positive
Mucho autotune 🤠😐,0.0,Neutral,0.0,Netural,0.3167833089828491,Netural
"para cuando el remix
like para que lo leea.",0.3612,Positive,0.0,Netural,0.3907848596572876,Positive
💔💔🔥🔥,-0.1531,Negative,0.0,Netural,0.30857792496681213,Netural
Un clásico 💥 esto es música ❤️❤️,-0.3612,Negative,0.16666666666666666,Netural,0.5203672051429749,Positive
Pato,0.0,Neutral,0.0,Netural,-0.24258588254451752,Negative
Ozuna es mi corazon 💕💕💕,0.959,Positive,0.0,Netural,0.652914822101593,Positive
