Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
James I do this at school all the time in the morning its a great game to play😄,0.9001,Positive,0.2,Netural,0.6514509916305542,Positive
You should do like where you just use the James plaent,0.3612,Positive,0.0,Netural,0.3002397119998932,Netural
Niceeee,0.0,Neutral,0.0,Netural,0.2927015423774719,Netural
Do roste,0.0,Neutral,0.0,Netural,-0.2691201865673065,Negative
Hi james,0.0,Neutral,0.0,Netural,0.25210022926330566,Netural
"“I’ve never lost”
Win percentage: 97%",-0.4717,Negative,0.8,Positive,0.5319985747337341,Positive
Omg what if you skipped eyeshadow 💀,0.0,Neutral,0.0,Netural,0.2641941010951996,Netural
It's giving ✨Nicki Minaj ✨,0.5719,Positive,0.0,Netural,0.4303675889968872,Positive
I love wordle and you are so call,0.6369,Positive,0.5,Positive,0.850620448589325,Positive
My mum play wordle,0.34,Positive,0.0,Netural,0.500626266002655,Positive
Sister I love your vids they make me do what I  want to do so thank you so much,0.829,Positive,0.35,Positive,0.8416664004325867,Positive
just realized u used ur old intro,0.0,Neutral,0.1,Netural,-0.22675693035125732,Negative
Where to download that app?,0.0,Neutral,0.0,Netural,-0.43808579444885254,Negative
what happened to the intro,0.0,Neutral,0.0,Netural,0.22625625133514404,Netural
It's better if you go back to your normal makeup,0.4404,Positive,0.21666666666666667,Netural,0.4920808672904968,Positive
James Charles is cool,0.3182,Positive,0.35,Positive,0.4576636254787445,Positive
I do wordle all the time,0.0,Neutral,0.0,Netural,0.39202582836151123,Positive
ANOTER PART,0.0,Neutral,0.0,Netural,-0.282676100730896,Negative
I have now a HUGE NEED to play wordle,0.6633,Positive,0.4000000000000001,Positive,0.34425613284111023,Positive
You are my favorite person. Even though I'm using my moms account,0.4588,Positive,0.5,Positive,0.8315612077713013,Positive
james i think that sponge is a magic eraser….,0.0,Neutral,0.5,Positive,0.4076306223869324,Positive
I love JoJo,0.6369,Positive,0.5,Positive,0.8005214333534241,Positive
🏳️‍🌈🤮,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
why are you doing the old intro?,0.0,Neutral,0.1,Netural,-0.3079347312450409,Negative
A good Mardi Gras look,0.4404,Positive,0.7,Positive,0.5794644951820374,Positive
"James, PLEASE, do a video using make-up products by brazilians influencers! Like Bruna Tavares, Boca Rosa, Niina Secrets, Mari Maria Makeup, Fran by FR.",0.7027,Positive,0.0,Netural,0.2754603624343872,Netural
he definitely has lost or his win streak would be 100% not 97%,0.6369,Positive,0.4,Positive,-0.39417365193367004,Negative
Kunno,0.0,Neutral,0.0,Netural,0.3332308530807495,Positive
It’s giving Nicki Minaj,0.34,Positive,0.0,Netural,0.4342767894268036,Positive
"James why you be looking like the Iguana from the movie ""Sing"", but I love how it's so creative and adorable .",0.9604,Positive,0.5,Positive,0.589277982711792,Positive
"Love you james, you inspired me to start makeup ❤❤❤",0.9682,Positive,0.5,Positive,0.8654525876045227,Positive
There is also worldle,0.0,Neutral,0.0,Netural,0.26511862874031067,Netural
james i love you but this look screams barni and buzz lightyear,-0.0516,Negative,0.5,Positive,0.2982204556465149,Netural
hot cheeto james,0.0,Neutral,0.25,Netural,0.24107113480567932,Netural
Hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
You boy?,0.0,Neutral,0.0,Netural,-0.3431607782840729,Negative
I love you james,0.6369,Positive,0.5,Positive,0.8045817613601685,Positive
OMG,0.0,Neutral,0.0,Netural,0.2883588373661041,Netural
There’s a hidden emoji: OLO,0.0,Neutral,-0.16666666666666666,Negative,0.27765053510665894,Netural
"James: COLOR 
Me: colour has 6 letters in it…. OH WAIT A MINUTE",0.0,Neutral,0.0,Netural,-0.2866072654724121,Negative
OMG JAMES I AM SUCH A FAN😮😲😆😁😁,0.9206,Positive,0.0,Netural,0.815253496170044,Positive
I always use pious and ready as my two test words because it uses all the vowels,0.3612,Positive,0.1,Netural,0.6363531947135925,Positive
James you can rock any look,0.0,Neutral,0.0,Netural,0.48136305809020996,Positive
"u posted it on my sis bday
😄",0.6705,Positive,0.0,Netural,-0.33861902356147766,Negative
Hi brothers😆😜,0.3612,Positive,0.0,Netural,0.3258702754974365,Netural
My little sister calls you J.C or Jay Chy,0.0,Neutral,-0.1875,Negative,0.35669711232185364,Positive
I watched inventing Anna and it was amazing!! Love u sis,0.8619,Positive,0.71875,Positive,0.897608757019043,Positive
I fudging love this eye look,0.6369,Positive,0.5,Positive,0.7917338609695435,Positive
12:28 the comment that says U should do ur mom is weird,-0.1779,Negative,-0.5,Negative,-0.32708340883255005,Negative
I've been watching james for years and I just realized that the james charles pallet discontinued 😔,0.0772,Positive,0.0,Netural,-0.2625005841255188,Negative
Your amazing I love you soo very much your the reason I started doing makeup love you sister,0.9217,Positive,0.465,Positive,0.8901862502098083,Positive
"i like to start with faint, nasty, and oiler",-0.2732,Negative,-0.75,Negative,0.4027831256389618,Positive
"James : The sponge is soaking up the product 
Us : Just doing its job… 😂",0.4404,Positive,0.0,Netural,0.3735785484313965,Positive
WHY ARE U SOOOO PRETTY!!!! 😂,0.8402,Positive,0.6103515625,Positive,0.30635520815849304,Netural
Honestly though I would do the eyeshadow look for Mardi Gras I love it,0.802,Positive,0.55,Positive,0.4477728605270386,Positive
I loved the little song you sang at 11:00 hahaha idk why but it made me laugh so hard i love it! Love the video and all the effort you put in it!! you've been my favorite youtuber for so many years and you're so inspiring!!! <3,0.9895,Positive,0.463967803030303,Positive,0.8678365349769592,Positive
You can literally pull off any makeup look,0.0,Neutral,0.0,Netural,-0.5352428555488586,Negative
James Ty for saying to imbrace acne I’ve been struggling thanks <3,0.7845,Positive,0.6,Positive,0.2766420543193817,Netural
HE USED THE OLD INTRO!!!,0.0,Neutral,0.1953125,Netural,0.3191680908203125,Netural
does anyone know what app this is bc there’s so many wordles,0.0,Neutral,0.5,Positive,-0.5150222182273865,Negative
I like u but why you act like a girl if you ar boy mam I am not hating you but I want you to give us a answer,0.8403,Positive,0.0,Netural,0.40502431988716125,Positive
