Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I've been a victim of a selfish kind of love,0.0,Neutral,0.13125,Positive,-0.3621065020561218,Negative
"April22 2022....this song truly makes you want to change yourself. 
great song.",0.8074,Positive,0.8,Positive,0.8271152377128601,Positive
Miss meaningful music like this Rest In Peace MJ 🌹,0.7717,Positive,0.5,Positive,-0.4698167443275451,Negative
This video should have got 30 billion views,0.0,Neutral,0.0,Neutral,-0.5222293734550476,Negative
"Wow, his songs are so classic!",0.6239,Positive,0.1541666666666666,Positive,0.9310604333877563,Positive
뚜방뚜방,0.0,Neutral,0.0,Neutral,-0.3429434299468994,Negative
Yes,0.4019,Positive,0.0,Neutral,0.3790786862373352,Positive
คุณจะได้เธอไปได้ยังไงในเมื่อมันไม่ใช่สินค้าใช่รถยนต์บ้านที่ดินอสังหา,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"No one could have sung this song as good as MJ did. His soulful, high vocals bring justice to the words of this beautiful track. He was a genius , but most of all a beautiful human being. We miss you king of pop.",0.8863,Positive,0.51,Positive,0.8426886200904846,Positive
Y'all better get wit It. Cause my sweet ass isn't going to burn in the lake of Fire. The lake of Love Maybe! Ha!,0.6988,Positive,0.5437500000000001,Positive,-0.3406985402107239,Negative
Love it!,0.6696,Positive,0.625,Positive,0.9114544987678528,Positive
Miss u so much May u continue to SIP 🙏🙏,-0.1531,Negative,0.2,Positive,-0.4267928898334503,Negative
Make that change...,0.0,Neutral,0.0,Neutral,0.3429373800754547,Positive
2022 💗✨,0.802,Positive,0.0,Neutral,0.2993581593036651,Neutral
We need an AID to help Ukraine. all musicians come together and make a common interest to help humanity.,0.8126,Positive,-0.3,Negative,0.6359416246414185,Positive
Love this song the video is so sad,0.0538,Positive,0.0,Neutral,0.358324259519577,Positive
Æ*,0.0,Neutral,0.0,Neutral,0.3266333937644958,Neutral
Da,0.0,Neutral,0.0,Neutral,0.231621041893959,Neutral
"🙏💕🎶💯REST IN ETERNAL PEACE AND POWER TO THE MUSICAL MESSIAH, MICHAEL JOSEPH JACKSON!💕🎶💯🙏",0.934,Positive,0.0,Neutral,0.7921685576438904,Positive
The song of my funeral,-0.3612,Negative,0.0,Neutral,0.4668807983398437,Positive
ไม่ถึงพันล้านแต่ก็อยากให้ถึง,0.1154,Positive,0.0,Neutral,0.3085779249668121,Neutral
This song came to me as I’m FINALLY changing my routines 💪🏽 “We can’t change the world until we change ourselves…” Puff’s words to Biggie,0.0,Neutral,0.0,Neutral,0.5329574942588806,Positive
"every day, really...every day i hear this wunderfull and important message in this song, to change myself and bring this to all people around me in life✨❤️",0.4767,Positive,0.4,Positive,0.9196047782897948,Positive
どれだけの人がこの歌を知っているだろうか。今の世界を彼が見たら何を歌うかな。,0.0,Neutral,0.5,Positive,-0.2740698754787445,Negative
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,-0.9952,Negative,0.0,Neutral,0.3085779249668121,Neutral
GIORNO GET AWAY FROM THE MIRROR,0.0,Neutral,0.0,Neutral,-0.3472388684749603,Negative
เขาถือไว้แบกไว้ก็เหนื่อยแน่นอนเรื่องนี้ผมบอกเขานี่ปล่อยได้แล้วให้เธอไป,-0.0516,Negative,-0.4,Negative,0.3085779249668121,Neutral
1:08 Lech Wałęsa,0.0,Neutral,0.0,Neutral,-0.3256540894508362,Negative
Stop the invasion!,-0.3595,Negative,0.0,Neutral,0.4871849715709686,Positive
Stay strong Middle East and Africa,0.5106,Positive,0.2166666666666666,Positive,0.5218589305877686,Positive
1:07 🇵🇱,0.0,Neutral,0.0,Neutral,-0.3132187128067016,Negative
Ron Atlantico Private Cask ..... please drink responsibly....... NOT.....!!! Party !!!!,0.2982,Positive,0.476837158203125,Positive,-0.474085658788681,Negative
He is the best ever celebrity who cares about people he is very great man 🥺🥺🥺🥺,0.9117,Positive,1.0,Positive,0.8904488682746887,Positive
Pray for Ukraine🙏🙏🙏,0.3182,Positive,0.0,Neutral,0.4814531207084656,Positive
Peace to the World,0.5423,Positive,0.0,Neutral,0.5598055720329285,Positive
❤😍,0.802,Positive,0.0,Neutral,0.3085779249668121,Neutral
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
"Tu nous manques , pourquoi est tu disparu si tôt?",-0.3612,Negative,0.0,Neutral,-0.4898626506328583,Negative
ความคิดเห็นส่วนตัวผมขอเตือนผมไม่เห็นด้วยเลยที่จะเอาชีวิตไปอยู่ในโลกสีดำในกำมือของคนอื่น,-0.3632,Negative,-0.0833333333333333,Negative,0.3085779249668121,Neutral
03h49 AM .. Just woke up to listen to michael,0.0,Neutral,0.0,Neutral,-0.3692637383937835,Negative
"Sad how little has changed. Just different countries fighting the same wars. Still suffering, poverty, hate, etc. Michael really did try to make a difference.💔",-0.9531,Negative,-0.2145833333333333,Negative,-0.4001334011554718,Negative
