Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Gone to soon,0.0,Neutral,0.0,Neutral,0.2384542822837829,Neutral
Good,0.4404,Positive,0.7,Positive,0.4969631731510162,Positive
“The cause of death was not released” she was 119 I have a pretty good idea what the cause was,0.296,Positive,0.475,Positive,-0.4833482801914215,Negative
My first thought “THE QUEEN DIED?”,0.0,Neutral,0.25,Positive,-0.3028153777122497,Negative
"she has lived a good 119 years, rest in peace 😔",0.7717,Positive,0.7,Positive,0.5567813515663147,Positive
She was so happy that makes my heart ❤️ god bless her soul 🙏💕🙏,0.9592,Positive,0.8,Positive,0.8604724407196045,Positive
🌹🌹🙏🙏🪔🪔🕯🕯,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
She completed 100% of the game by participating on both the war events and also the corona infection mode,-0.5994,Negative,-0.4,Negative,0.7260551452636719,Positive
The cause of death who give a f about cause she already lived for so long she has to die one day,-0.8316,Negative,-0.05,Negative,-0.4995578229427337,Negative
May she rest in peace.,0.5423,Positive,0.0,Neutral,0.3194376230239868,Neutral
What about the gujurati guy🙄,0.0,Neutral,0.0,Neutral,0.2434062212705612,Neutral
Dang that's just awesome how much she had experienced. Rest In Peace,0.8225,Positive,0.6666666666666666,Positive,0.7864035964012146,Positive
"With all due respect, the world's oldest person is still alive.",0.6908,Positive,-0.0124999999999999,Negative,0.6245898008346558,Positive
Imagine not having to take history class through lived experience. Crazy! Living through 2 world wars and 2 pandemics. And beating cancer twice. I am guessing she wasn’t sweating the small stuff after awhile.,-0.9286,Negative,-0.5,Negative,0.4860640466213226,Positive
"Damn I can’t believe she died. Kinda makes you think, huh?",-0.743,Negative,0.0,Neutral,-0.4253075420856476,Negative
"I'd just like to know how anyone can be absolutely positive of who's the ""oldest"" person on Earth. Do they go to the tribes that never let outsiders in without killing the intruder? Do they somehow manage to get an answer as to how old everyone there is, to make sure there's nobody older than someone in a civilized part of the world, and after they send out the verified info, the tribe kills them? 
I mean, come on, it's impossible to know who is the oldest person on Earth at any given time. It's also utterly absurd and presumptuous to make the moronic declarations of the ""most beautiful woman/man on Earth"" for the same reasons!",0.8706,Positive,0.1149793388429752,Positive,-0.5751087069511414,Negative
"Mrs. Tanaka, may the Lord bless you, keep you, and give you eternal peace.❤️",0.743,Positive,0.0,Neutral,0.7292183041572571,Positive
"Awwh, rest in peace, Tanaka. You seemed like a wonderful person and I'm glad to have heard about you :)",0.9403,Positive,0.6666666666666666,Positive,0.6178889274597168,Positive
🙏🙏🙏🙏🙏,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"If the oldest person has died, then we have a new oldest person now",-0.5574,Negative,0.1363636363636363,Positive,0.288368284702301,Neutral
Worlds ex oldest person.,0.0,Neutral,0.0,Neutral,0.4185634255409241,Positive
"00:34 “chocolate, I remember when they 1st invented chocolate”",0.0,Neutral,0.0,Neutral,0.4138310253620147,Positive
imagine how much she would have seen in all those years.,0.0,Neutral,0.2,Positive,0.5507139563560486,Positive
"It was the ""sweets and fizzy drinks"" that killed her.",-0.3182,Negative,-0.2,Negative,0.2602053582668304,Neutral
rest in peace you will forever be in our hearts😭,0.6908,Positive,0.0,Neutral,0.7066292762756348,Positive
No she’s dead,0.3054,Positive,-0.2,Negative,-0.6619821190834045,Negative
:D,0.5106,Positive,1.0,Positive,0.2872094810009002,Neutral
Wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
She looked so sweet 😞,0.125,Positive,0.35,Positive,0.5282126069068909,Positive
Home girl was a Capricorn ✌🏼,0.4939,Positive,0.0,Neutral,0.3510950803756714,Positive
"The world's oldest person is alive, Swami Sivananda in India, this is just disrespectful to him, he's 125 years old and he's fit and fine, with another 25 to go at least!!!!! May this person rest in peace, god bless their soul, but they're not the oldest, the oldest is still alive and kicking!",0.9046,Positive,0.0376898871527778,Positive,-0.3060836493968963,Negative
Well she ain’t the oldest person alive now😂,0.765,Positive,0.1,Positive,0.2526547610759735,Neutral
The oldest person didn’t die. She was overtaken by the second oldest person.  Now the reigning champ,-0.2023,Negative,0.0,Neutral,0.4310685694217682,Positive
Cap. RIP tho,0.0,Neutral,0.0,Neutral,-0.4895159602165222,Negative
Rip,0.0,Neutral,0.0,Neutral,-0.6365565061569214,Negative
On Korean,0.0,Neutral,0.0,Neutral,0.2672563195228576,Neutral
I used to party with Tanaka. She was an animal.  I once seen here do a keg stand for 11 minutes in a dress..  Full commando!  True story,0.6996,Positive,0.39375,Positive,0.7088252305984497,Positive
may she rest in peace,0.5423,Positive,0.0,Neutral,0.3089337348937988,Neutral
No bc the oldest person is now who the 2nd oldest was,-0.296,Negative,0.0,Neutral,-0.4252238273620605,Negative
imagine the sufferings she endure,0.0,Neutral,0.0,Neutral,0.4956647753715515,Positive
HEY same birthday,0.0,Neutral,0.0,Neutral,0.4087435603141784,Positive
Imagine all the Christmases she had and the presents,0.0,Neutral,0.0,Neutral,0.6122710704803467,Positive
Rip,0.0,Neutral,0.0,Neutral,-0.6365565061569214,Negative
She looked like she was in her 80s,0.3612,Positive,0.0,Neutral,0.291251003742218,Neutral
Actually thE world's oldest person is still alive. Its just a different one,0.3818,Positive,0.0333333333333333,Positive,0.3940495252609253,Positive
Cause of death not revealed? How about natural causes of being 119? RIP Kane.,-0.4137,Negative,0.1,Positive,-0.6094006896018982,Negative
When I heard she was born 1903 and survived covid and both world wars. That just shocked me,-0.3818,Negative,-0.7,Negative,-0.2791944444179535,Negative
for reaching this age *salute*  you will be dearly missed. Rest in peacd Ms. Tanaka,0.7096,Positive,0.0,Neutral,0.544327974319458,Positive
Rip Tanaka,0.0,Neutral,0.0,Neutral,-0.4464789927005768,Negative
Fly Free Pretty Lady 💖,0.9169,Positive,0.4833333333333334,Positive,0.4834680557250976,Positive
♥️🙏 may she rest peacefully with Jesus.,0.8225,Positive,0.25,Positive,0.345026284456253,Positive
I bet she manage to see her grandchildren's grandchildren,0.0,Neutral,0.0,Neutral,0.4336341619491577,Positive
How can she even walk or talk?,0.0,Neutral,0.0,Neutral,0.3915713131427765,Positive
What a Blessing from God. Totally amazing,0.8553,Positive,0.6000000000000001,Positive,0.9434747099876404,Positive
I love her,0.6369,Positive,0.5,Positive,0.8052698373794556,Positive
Rest In Peace. ❤️,0.5423,Positive,0.0,Neutral,0.535111129283905,Positive
"This woman: I lived for over a century and survived two pandemics, both world wars, and I survived cancer twice

Gen Z: Oh no, I forgot to plug in my phone last night, guess I'll die",-0.743,Negative,0.0,Neutral,-0.526391863822937,Negative
O,0.0,Neutral,0.0,Neutral,0.2750898897647857,Neutral
Uhh,0.0,Neutral,0.0,Neutral,-0.4195756018161773,Negative
I STILL DONT THINK ITS RIGHT SHOWING A DEAD BODY ON YOUTUBE...CHILDREN WATCH THIS CHANNEL...JUST MY OPINION..,-0.6486,Negative,0.0428571428571428,Positive,-0.3137029111385345,Negative
RIP,0.0,Neutral,0.0,Neutral,-0.6365565061569214,Negative
Ha ha ha ha stayin alive stayin alive ha ha ha stayin aliiiiiveeeee,0.9584,Positive,0.1,Positive,0.4431498646736145,Positive
Rest peacefully🙏🤍🕊,0.5267,Positive,0.0,Neutral,0.278124064207077,Neutral
Rip,0.0,Neutral,0.0,Neutral,-0.6365565061569214,Negative
"Soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
sad",-0.4767,Negative,-0.5,Negative,-0.3725347220897674,Negative
Jesús loves you everybody be ready for his coming repent if don’t know how to search it up like how can I be save how can I repent:,0.8979,Positive,0.2,Positive,0.6065940856933594,Positive
Just like God said .people will never live 120 years,0.5574,Positive,-0.0681818181818181,Negative,0.7496849894523621,Positive
"What A Legend, Hope She Could Drink All The Fizzy Drinks And Eat All The Chocolates And Cakes She Wanted In The Beyond",0.4404,Positive,0.0,Neutral,0.7663930058479309,Positive
Get her reboot dawg,0.0,Neutral,0.0,Neutral,0.3381350636482239,Positive
"Why....I say again, why..... is the fact that the worlds oldest living person has died newsworthy? Was it unexpected?",-0.6072,Negative,0.1,Positive,-0.422229915857315,Negative
😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔,0.9735,Positive,0.0,Neutral,0.3085779249668121,Neutral
U can just look and see the things she has went through its cancer and other stuff sad but hey she is in a better place now rest in peace kane tanaka we all will miss u love and support for u,0.936,Positive,0.09375,Positive,0.2583799064159393,Neutral
🥰🥰🥰🙏🙏🙏🙏🙏,0.9716,Positive,0.0,Neutral,0.3085779249668121,Neutral
I'm going to change my viewpoint now. We all can live to be 119. I'm so glad. She's inspiring.,0.7864,Positive,0.3787878787878787,Positive,0.8048235177993774,Positive
Her grandchildren and great grandchildren had a easy time in history class,0.7906,Positive,0.6166666666666667,Positive,0.5174852013587952,Positive
118 years old AMAZING 🙄,0.6739,Positive,0.35,Positive,0.8673157095909119,Positive
Rest In Peace Kane Tanaka.. :( we will miss yoy,0.0,Neutral,-0.75,Negative,0.3764522075653076,Positive
She died on my birthday,-0.5574,Negative,0.0,Neutral,-0.3328268527984619,Negative
Rest in heaven,0.5106,Positive,0.0,Neutral,0.5048470497131348,Positive
How do you people get your facts? There's hundreds of old women like this in the world. You people need to explore well. She's not the world's oldest.,0.5574,Positive,0.1,Positive,0.4326019585132599,Positive
"118 years, lived since 1903, survived 2 world wars, idk how many viruses, lived since airplanes dodn’t even exist.. DAMN",-0.6289,Negative,0.5,Positive,-0.3865110576152801,Negative
119? 😬,-0.34,Negative,0.0,Neutral,-0.3540404140949249,Negative
Rip beautiful soul,0.5994,Positive,0.85,Positive,0.6565405130386353,Positive
God bless her soul rest in peace.,0.8126,Positive,0.0,Neutral,0.7223391532897949,Positive
Wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
SHE LIVED THROUGH ALL THE WARS!,-0.5983,Negative,0.0,Neutral,0.6810527443885803,Positive
God has blessed than women for a long time to live that age now she’s finally probably and heaven hopefully Jesus died and rose again Jesus is coming back seems gonna save everyone that is a child of God He loves you so much amen,0.9468,Positive,0.1477272727272727,Positive,0.7337583899497986,Positive
So the pandemic is over?,0.0,Neutral,0.0,Neutral,-0.3431261479854584,Negative
"“Her cause of death was not revealed”
I got a pretty good guess",0.296,Positive,0.475,Positive,-0.2934449017047882,Negative
God this makes me feel so sad. Thank about all the people she knew that were gone. Atleast she’ll now be able to see them once again,-0.0291,Neutral,0.0,Neutral,0.4399135708808899,Positive
Me when I read the title: 😭😭😭😭😭😭😭😭😭 nooooooo,-0.9796,Negative,0.0,Neutral,-0.4878181219100952,Negative
NOOOO APRIL 19 WAS MY FAVORITE DAY,0.5766,Positive,0.5,Positive,0.6589763164520264,Positive
She still owes Jesus 5$,0.0,Neutral,0.0,Neutral,-0.3195502460002899,Negative
Who was born the minute she passed?,0.0,Neutral,0.0,Neutral,-0.4377346336841583,Negative
"May Mrs. Tanaka rest in peace, such a precious woman.",0.802,Positive,0.25,Positive,0.8394819498062134,Positive
"Good for her living such a long and hopefully happy life. That said, once she died, she was no longer the oldest person in the world.",0.5423,Positive,0.3625,Positive,0.5442997217178345,Positive
Rip  🙏🙏🙏❤❤,0.8555,Positive,0.0,Neutral,-0.6960890293121338,Negative
Rest in peace love .,0.8271,Positive,0.5,Positive,0.642421543598175,Positive
bless her soul,0.4215,Positive,0.0,Neutral,-0.3599332571029663,Negative
Rest in peace may you be happy in heaven,0.8885,Positive,0.8,Positive,0.5771418809890747,Positive
Guess she isn't the oldest person anymore,0.0,Neutral,0.0,Neutral,0.397043764591217,Positive
"R.I.P., Mrs. Tanaka.",0.0,Neutral,0.0,Neutral,0.3031687438488006,Neutral
118 Year old was death of Covid-19.,-0.5994,Negative,0.1,Positive,-0.5141121745109558,Negative
god bless her I hope she’s living a good life in heaven 😢,0.872,Positive,0.7,Positive,0.6554096937179565,Positive
she’s so strong ❤️,0.5563,Positive,0.4333333333333333,Positive,0.7138582468032837,Positive
Hi Lucille randon,0.0,Neutral,0.0,Neutral,0.2841724157333374,Neutral
So wait the Covid pandemic is over?,0.0,Neutral,0.0,Neutral,-0.3591292798519134,Negative
rest in peace <3,0.7506,Positive,1.0,Positive,0.3765815198421478,Positive
RIP,0.0,Neutral,0.0,Neutral,-0.6365565061569214,Negative
RIP🕊❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I would love to know her viewpoints of both world wars.,0.1531,Positive,0.5,Positive,0.3942244350910187,Positive
"My deepest condolences to the family, relatives, and friends",0.4767,Positive,0.0,Neutral,0.8730673789978027,Positive
Must have been the 3rd jabba. That is probably the real story here.,0.0,Neutral,0.1,Positive,0.2979579567909241,Neutral
here age was higher then her weight.,0.0,Neutral,0.25,Positive,0.3654749691486358,Positive
"I can only imagine the changes this woman witnessed?From social manners,clothing,lifestyles to technology,the changes would of been monumental.",0.0,Neutral,0.0166666666666666,Positive,0.3047351241111755,Neutral
About time ig,0.0,Neutral,0.0,Neutral,0.2657069563865661,Neutral
"she deserves a star on the hollywood blv. if you ask me! to put up with this place for this long, God bless her, i don't want to live that long .",0.6085,Positive,0.0121212121212121,Positive,0.4817498028278351,Positive
rest in peace mrs. tanaka,0.5423,Positive,0.0,Neutral,0.4632275402545929,Positive
RIP,0.0,Neutral,0.0,Neutral,-0.6365565061569214,Negative
"She got her wish to make it to 120.
If she had lived just 1 more year, she would have broken the global age record. Jeanne Calment, who died in 1997, was also aged 122.",-0.6124,Negative,-6.938893903907228e-18,Negative,-0.304602563381195,Negative
Rest inn peace,0.5423,Positive,0.0,Neutral,0.4349942803382873,Positive
:(,-0.4404,Negative,-0.75,Negative,0.2481449097394943,Neutral
my great grandmother is 107,0.6249,Positive,0.8,Positive,0.6344513893127441,Positive
"My Grandpa was born on January 2nd  too, but he is only 83 years old and still alive.",0.5267,Positive,0.05,Positive,0.3735011219978332,Positive
More click bait… this is Old news.,0.0,Neutral,0.3,Positive,0.3610918819904327,Positive
Surviving 2 global pandemics is something none can beat,0.296,Positive,0.0,Neutral,0.5267071723937988,Positive
good lawrd,0.4404,Positive,0.7,Positive,0.5054822564125061,Positive
Title is wrong. “The worlds former oldest person has died” because if the worlds oldest person died they wouldn’t be the oldest so it wouldn’t be true.,-0.8415,Negative,-0.05,Negative,-0.4600500166416168,Negative
Can’t be the oldest person if you’re dead,-0.6486,Negative,-0.2,Negative,-0.2573110461235046,Negative
"My great grandfather died January of this year at 106. He was the oldest living person of the town, and everybody knew him. 3 years before his death he was still able to walk, because he used to walk and run a lot back in his early days.",-0.5267,Negative,0.35,Positive,0.4652462303638458,Positive
