Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Use ur mum's paypal then... You, kids....",0.0,Neutral,0.0,Netural,0.2764822244644165,Netural
"I really feel bad for the cat Pinky  was really just painfull to watch.
Rest of the vid amazing tho",0.0056,Neutral,0.07500000000000007,Netural,-0.4415294826030731,Negative
8:20 sauce ?,0.0,Neutral,0.0,Netural,-0.3440515100955963,Negative
"0:12
The guy in the bear suit was protesting that the ""frikandellen broodjes"" it's like meat on bread that's famous in the Netherlands, so! The Frikandellen broodjes it's too expensive and he's protesting against it.
The boy and the girl are protesting and attack random stuff in city so, that's why they're getting shot with water canon :) dw about it.",-0.7424,Negative,0.03125,Netural,-0.5331085324287415,Negative
Now that I've transcended to an intellectual I still don't get this guys humour 🧐,0.7506,Positive,0.3,Netural,-0.5145915746688843,Negative
actually in tears of laughter,0.3182,Positive,0.0,Netural,-0.3435151278972626,Negative
Literally none of that was funny. But I'm 52 and grown so...,0.2382,Positive,0.25,Netural,-0.41374683380126953,Negative
jag vet att du är svensk,0.0,Neutral,0.0,Netural,0.2681199312210083,Netural
hej,0.0,Neutral,0.0,Netural,0.2906193137168884,Netural
08:23 i think the one on the left is a ghost,-0.3182,Negative,0.0,Netural,-0.4879875183105469,Negative
me like it,0.3612,Positive,0.0,Netural,0.5008271336555481,Positive
subscribe then come back for a giveaway,0.0,Neutral,0.0,Netural,-0.5030319094657898,Negative
The age of man is over 😆 🤣 😂 😹 😆 🤣 😂 😹,0.9682,Positive,0.0,Netural,-0.24699118733406067,Negative
Does anyone know the channel name of the guys at 8:30??,0.0,Neutral,0.0,Netural,-0.513698935508728,Negative
I dont want a bilion i just want pewdie videos! ❤️,0.0951,Positive,0.0,Netural,-0.5778377652168274,Negative
Gorp,0.0,Neutral,0.0,Netural,0.24876105785369873,Netural
lol pinky said fuck that 😂😂😂,0.7906,Positive,0.2,Netural,-0.49487200379371643,Negative
Please send via western union.,0.3182,Positive,0.0,Netural,-0.5277650952339172,Negative
That video with cat Pinky. Poor baby. He could have choked or break something. Not funny at all.,-0.8227,Negative,-0.2625,Negative,-0.7051409482955933,Negative
"look at our Edgar, he's getting so old",0.0,Neutral,0.1,Netural,-0.24741436541080475,Negative
i didnt get the 8:30 clip context anyone ?,0.0,Neutral,0.0,Netural,-0.4925415515899658,Negative
4:05 that is a new little nightmares boss,0.0,Neutral,-0.025568181818181823,Negative,0.4758788049221039,Positive
I feel really sorry for pinkie,-0.1513,Negative,-0.5,Negative,-0.40445324778556824,Negative
I laughed now where is my billion $$$,0.4588,Positive,0.7,Positive,-0.5651476979255676,Negative
It is real,0.0,Neutral,0.2,Netural,0.5271000862121582,Positive
Its so ez i didnt laugh,0.0693,Positive,0.3666666666666667,Positive,0.3666746914386749,Positive
i love how felix just starts spitting his heart out for dumb videos,0.7269,Positive,0.0625,Netural,0.5934982895851135,Positive
andoid,0.0,Neutral,0.0,Netural,-0.3116832375526428,Negative
Edgar eating banana is my favorite thing,0.4588,Positive,0.5,Positive,0.7767534852027893,Positive
Pewds is so emotional like always,0.5987,Positive,0.0,Netural,0.7051517963409424,Positive
8:22 same reaction here,0.0,Neutral,0.0,Netural,-0.4090249240398407,Negative
The sleepwalker is real🤣,0.4939,Positive,0.0,Netural,0.3499211370944977,Positive
First clip is from NL eindhoven during the riots. You can look up compilation it was insane and crazy. Police car burned to a crisp and millions in damages. Hahahaha we staan op de kaart,-0.8834,Negative,-0.18000000000000002,Negative,-0.7935664057731628,Negative
Nice PewDiePie dog cute banana smell?,0.7003,Positive,0.55,Positive,0.4936457574367523,Positive
That first video with the lady getting shot was in the Netherlands. There were protests in amsterdam about not wanting to wear masks anymore and that they wanted the shops to open. The police couldn't take it so they brought in water tanks and shitloads of police. That woman actually cracked the side of her head and bled. Dutchies ey...,-0.2263,Negative,0.08333333333333333,Netural,-0.6087844967842102,Negative
3:35 looks like a Little Nightmare boss,0.3612,Positive,-0.1875,Negative,0.3116685152053833,Netural
