Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Me encanta !!,0.6988,Positive,0.78125,Positive,0.8407928347587585,Positive
Sakinleşmek için geldim sakinleşip gideceğim😉😆,0.7096,Positive,0.0722222222222222,Neutral,-0.5114122629165649,Negative
"Jimin  × Ha Sung Woon
WITH YOU 
THE BEST OST",0.8091,Positive,1.0,Positive,0.7625027298927307,Positive
and here again - 'I promise I'll never leave your love...',-0.2311,Negative,0.5,Positive,0.6401516199111938,Positive
"Sus voces vuelan mi mente.
Ellos hacen setir cálido a mi corazón TT TT",0.7269,Positive,0.6,Positive,0.6018860936164856,Positive
Jimin my forever bias 💜,0.5859,Positive,0.0,Neutral,0.345227301120758,Positive
"Solo tómalo todo, no soy nada sin tu amor",0.4122,Positive,0.5,Positive,-0.6826549768447876,Negative
I can't stop listening,0.2235,Positive,0.0,Neutral,-0.2784961462020874,Negative
My heart is beating cause of you Jimin oppa,0.296,Positive,0.0,Neutral,-0.3921207189559936,Negative
I promise i never leave your love,-0.2311,Negative,0.5,Positive,0.6015172600746155,Positive
With you ❤,0.6369,Positive,0.0,Neutral,0.4990670382976532,Positive
Tão linda voz de jimin  junto ao Sung woon .... Canção tão linda .,0.8802,Positive,0.5666666666666667,Positive,-0.372561514377594,Negative
"오늘 구름가득 하늘보면서
지미니 노래듣는데
들어도 들어도 왜~
처음 듣는것같은지 ~
그냥 목소리가  치유된다는  말들이
맞는것 같아요~",0.4329,Positive,0.2952380952380952,Neutral,0.3071646094322204,Neutral
"지미니 목소리 오늘처럼
바람살랑 구름가득한  날
들으니 더~ 더 ~ㅠㅠ",0.3612,Positive,0.5,Positive,-0.3355305194854736,Negative
지민이가 여기 댓글 읽어볼지 모르겠지만 너의 목소리는 크리스탈 구슬처럼 맑고 청아하고  마음을 깨끗하게 만들고 삶을 살아갈 힘을 주는 호소력이 있는 목소리란다. 너의 그 유니크한 목소리로 계속 좋은 노래 많이 들려주리라 믿고 기다리겠어.,0.9109,Positive,0.3608070500927644,Positive,0.4090192914009094,Positive
"It's a lovely song and their voices reach to heart...❤💕💖,Both Jimin and ha Sung Woon 😇😇😇love you for this beautiful melody... 
Could listen to this song again and again",0.988,Positive,0.675,Positive,0.699902355670929,Positive
"정말 너무 좋아요 
슬픈데 따뜻한 기분이 드는데,
음색도 둘의 목소리도 너무 좋지 않나 ㅠㅠ",0.8425,Positive,0.25,Neutral,0.5221315026283264,Positive
