Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
What proo,0.0,Neutral,0.0,Netural,-0.2974797487258911,Negative
"I remember when the comment section was normal,not a calendar",0.0,Neutral,0.0,Netural,0.2987362742424011,Netural
this will never get old,0.0,Neutral,0.1,Netural,0.5140286684036255,Positive
T-Series   Take Notes.,0.0,Neutral,0.0,Netural,0.350076287984848,Positive
Is the intro roomie official?,0.0,Neutral,0.0,Netural,-0.30765047669410706,Negative
We back after 3 years,0.0,Neutral,0.0,Netural,-0.2795862555503845,Negative
I'm going to pay PewDiePie to play this song at my wedding.,0.25,Positive,0.0,Netural,0.3253940939903259,Netural
why is this so smooth to me,0.0,Neutral,0.4,Positive,0.48981666564941406,Positive
Let's make 30th April international bitch lasagna day,-0.5859,Negative,0.0,Netural,0.3144722282886505,Netural
"I'm sorry, but as an Indian, I take offense to this, as our languages are beautiful. What you say about T-Series is true, but please don't insult my culture.",0.9313,Positive,0.2333333333333333,Netural,0.2745251953601837,Netural
epic pewds,0.0,Neutral,0.1,Netural,0.6573387980461121,Positive
I was in 4th grade during this and i would blast this song on the bus on repeat. Thank you king of youtube for being here for over a decade.,0.3612,Positive,0.0,Netural,0.6374355554580688,Positive
Бич лазанья!,0.0,Neutral,0.0,Netural,0.3889469504356384,Positive
"an interesting fact and that if you write ""interesting fact"" in your sentence, people are more likely to read it to the end!",0.7177,Positive,0.375,Positive,0.37338167428970337,Positive
Day 349 of listening wat a master piece,0.6249,Positive,0.0,Netural,0.760118305683136,Positive
wakeuppewds ~2022~,0.0,Neutral,0.0,Netural,0.2152601033449173,Netural
Cool,0.3182,Positive,0.35,Positive,0.4904145896434784,Positive
Do nada???,0.0,Neutral,0.0,Netural,-0.6716338396072388,Negative
Whatfaq kakaakaakka,0.0,Neutral,0.0,Netural,-0.301011860370636,Negative
HOLY SPIRI-,0.1779,Positive,0.0,Netural,0.49703848361968994,Positive
My 299th day on listening to Bitch Lasagna.,-0.5859,Negative,0.0,Netural,0.620304524898529,Positive
お前がKINGだ！,0.0,Neutral,0.0,Netural,0.24868616461753845,Netural
Leaving this comment to say that I was here for this war. Such a masterpiece,-0.1343,Negative,0.0,Netural,0.7989955544471741,Positive
pew😅,0.3612,Positive,0.0,Netural,0.30857792496681213,Netural
I love this song my cosins are vibeing,0.6369,Positive,0.5,Positive,0.8251080513000488,Positive
Here in 2022,0.0,Neutral,0.0,Netural,0.4284941554069519,Positive
"John Artbuckle : you need to eat your lasagna Garfield 
Garfield : Just one music video!
John Artbuckle: ok thanks hope you enjoy your lasagna today
Garfield: Thanks 🫡
John Artbuckle: your welcome 🫡",0.9468,Positive,0.42000000000000004,Positive,0.4461936354637146,Positive
It's been 3yrs,0.0,Neutral,0.0,Netural,0.2708742022514343,Netural
Still(:,0.0,Neutral,0.0,Netural,0.258294016122818,Netural
よく頑張った！,0.7345,Positive,0.875,Positive,0.512626588344574,Positive
1v1 in mm2,0.0,Neutral,0.0,Netural,0.40810123085975647,Positive
303 triệu lượt xem:))),0.0,Neutral,0.5,Positive,0.3740828335285187,Positive
Anyone still listening in 2022?,0.0,Neutral,0.0,Netural,-0.5203046202659607,Negative
Lmao this again,0.5994,Positive,0.6,Positive,0.47101274132728577,Positive
Dislikes?  There’s none.  Everyone liked this video :),-0.2575,Negative,0.55,Positive,0.5095095634460449,Positive
норм,0.0,Neutral,0.0,Netural,-0.4748220443725586,Negative
Actually I was 500k subscribed,0.0,Neutral,0.0,Netural,-0.5303092002868652,Negative
In 2069 I'm gonna tell my grandkids the story of this war,-0.6833,Negative,0.0,Netural,0.43845734000205994,Positive
Me that I'm Italian and I don't like T series:,-0.2755,Negative,0.0,Netural,-0.395508736371994,Negative
BANGER,0.0,Neutral,0.0,Netural,-0.2741033732891083,Negative
all hail water sheep,0.0772,Positive,0.0,Netural,-0.29867613315582275,Negative
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
;),0.2263,Positive,0.25,Netural,0.4011613428592682,Positive
I was the first subscriber of Pewdipie,0.0,Neutral,0.25,Netural,0.26700177788734436,Netural
3 years already? Time really flies.,0.0,Neutral,0.2,Netural,-0.3924240469932556,Negative
This was a legendary era on youtube,0.0,Neutral,1.0,Positive,0.748304545879364,Positive
Didnt you upload a vedio who you congrajulation them,0.4939,Positive,0.0,Netural,-0.5305824875831604,Negative
0:34,0.0,Neutral,0.0,Netural,-0.4507315456867218,Negative
Who is here at 2022,0.0,Neutral,0.0,Netural,0.3684208393096924,Positive
classic song,0.0,Neutral,0.16666666666666666,Netural,0.5534293055534363,Positive
Bros flow is playing hide and seek with the beat,0.0258,Neutral,0.0,Netural,0.3699389398097992,Positive
"Aw heck yea man.
:>",0.4767,Positive,0.5,Positive,0.24271005392074585,Netural
Woah is so good song,0.5777,Positive,0.7,Positive,0.32957589626312256,Netural
PewDiePie's channel turned 12 today,0.0,Neutral,0.0,Netural,-0.32276034355163574,Negative
"I knew it, Youtube would recommend me this in about 3-4 years",0.3612,Positive,0.0,Netural,0.3226756155490875,Netural
Day 6 of listening Bitch Lasagna.,-0.5859,Negative,0.0,Netural,-0.5602439045906067,Negative
No dislikes on this video shows how this video is such a masterpiece,0.7475,Positive,0.0,Netural,0.8705917596817017,Positive
"Lasanha de puta 
Lasanha de puta 
Haha incrível essa letra.",-0.2023,Negative,0.4,Positive,-0.45461928844451904,Negative
"Most people don’t realise that this was WW3, and we should be looking out for WW4.",0.0,Neutral,0.5,Positive,-0.32505491375923157,Negative
so ridicult,0.0,Neutral,0.0,Netural,-0.7423565983772278,Negative
Immagine sing this song in ukraine when a russian soldier is trying to shot you,0.0,Neutral,0.0,Netural,-0.3015778064727783,Negative
This music is going to boom drama,0.0,Neutral,0.0,Netural,-0.2623818516731262,Negative
I'll never get tired of it,0.3412,Positive,-0.4,Negative,0.4177304804325104,Positive
Who's warching in 2022?,0.0,Neutral,0.0,Netural,-0.35960114002227783,Negative
I've been listening his for three years now and I can't stop it's just too good.,0.5842,Positive,0.7,Positive,-0.44681641459465027,Negative
I like how this was released 1 day after my 10th birthday,0.3612,Positive,0.0,Netural,0.5484805107116699,Positive
YES,0.4019,Positive,0.0,Netural,0.3790786862373352,Positive
2022 and still listening to this song 🥹👍,0.0,Neutral,0.0,Netural,0.5238063335418701,Positive
3 years later this song still slaps,0.0,Neutral,0.0,Netural,-0.3909105360507965,Negative
Evergreen.,0.0,Neutral,0.0,Netural,0.7411924004554749,Positive
I don't want to but you lost the series and you still have the video,-0.4698,Negative,0.0,Netural,0.29887616634368896,Netural
2022 and I'm finally actually listening to this damn song despite all the memes and songs.,-0.481,Negative,0.0,Netural,0.5356432795524597,Positive
The song very very beautiful 🥰,0.9233,Positive,1.0,Positive,0.7413761615753174,Positive
Back when Life was fun,0.5106,Positive,0.15,Netural,0.3925570547580719,Positive
الاغنيه أنها ممله جدا الكلمات. والموسيقى   غير مريحا للاستماع,-0.5994,Negative,-0.75,Negative,-0.4802047908306122,Negative
This song bring me memories about the war that happen long ago... Time flies.,-0.5994,Negative,-0.05,Negative,0.5635117888450623,Positive
My 298th day on listening to Bitch Lasagna.,-0.5859,Negative,0.0,Netural,0.5864017605781555,Positive
ბოზი ლაზანია,0.0,Neutral,0.0,Netural,0.2692221999168396,Netural
This song is batter than t series,0.4404,Positive,0.5,Positive,-0.42161011695861816,Negative
The battle was legendary,-0.3818,Negative,1.0,Positive,0.46309927105903625,Positive
Ok,0.296,Positive,0.5,Positive,0.49511444568634033,Positive
lol,0.4215,Positive,0.8,Positive,0.25069501996040344,Netural
This is now on my Spotify playlist.,0.0,Neutral,0.0,Netural,0.5934036374092102,Positive
WoW!!,0.658,Positive,0.15625,Netural,0.8093975186347961,Positive
Good Music,0.4404,Positive,0.7,Positive,0.49511298537254333,Positive
Came back to listen to this banger 😩😩😩😩😩,-0.8176,Negative,0.0,Netural,0.3099268674850464,Netural
Bro that was INSANE! Next dis do With Zach B.,-0.5754,Negative,-0.5,Negative,-0.6975591778755188,Negative
2022 and still a listener,0.0,Neutral,0.0,Netural,0.5231049656867981,Positive
lol,0.4215,Positive,0.8,Positive,0.25069501996040344,Netural
Tres años de esta obra maestra,0.7073,Positive,0.0,Netural,0.6339161992073059,Positive
Day 5 of listening Bitch Lasagna,-0.5859,Negative,0.0,Netural,-0.5310128331184387,Negative
"Ah I remember this age. Things were simpler then, the Saint did change things that's for sure. The end arrives soon. 

Edit: wtf m8 it's been like thirty seconds how is this getting likes already",0.6369,Positive,0.0,Netural,0.2885478436946869,Netural
ي,0.0,Neutral,0.0,Netural,0.23772646486759186,Netural
pich lesaiña,0.0,Neutral,0.0,Netural,-0.29205378890037537,Negative
Thanks you subscribe,0.4404,Positive,0.2,Netural,0.4723660945892334,Positive
rip pewdiepie,0.0,Neutral,0.0,Netural,-0.47652363777160645,Negative
Still the best song of all time 👌🏽,0.8842,Positive,1.0,Positive,0.8520053625106812,Positive
Can someone tell me why he has so many subs and veiws?? I am just confused ;-;,-0.3939,Negative,0.04999999999999999,Netural,-0.4012026786804199,Negative
Persian subtitle ob PewDiePie video🙄🙄,0.0,Neutral,0.0,Netural,-0.2731010615825653,Negative
2022 and still listening this song,0.0,Neutral,0.0,Netural,0.4988056421279907,Positive
"This beat low-key goes hard. I haven’t heard this song for over two years, yet for the past week I’d been humming the beat. I couldn’t for the life of me work out where it was from; then today in college someone asked me ‘r u humming bitch lasagna!?’ And then it dawned on me.",-0.6696,Negative,-0.30208333333333337,Negative,-0.5563108325004578,Negative
still a banger,0.0,Neutral,0.0,Netural,-0.23581454157829285,Negative
