Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Duh,0.0,Neutral,-0.3,Negative,-0.35434389114379883,Negative
Fineas looks so proud,0.6113,Positive,0.8,Positive,0.6517841219902039,Positive
What the…..  Is she upside down!!!,0.0,Neutral,-0.3038194444444445,Negative,-0.27532634139060974,Negative
she got her choreography from the demon who visits me in my sleep,0.0,Neutral,0.0,Netural,0.38394400477409363,Positive
Why would people dislike this?? Just why?,-0.4836,Negative,0.0,Netural,-0.4503974914550781,Negative
Alguien habla spañol por aqui,0.0,Neutral,0.0,Netural,-0.4197702407836914,Negative
"They were doing this film trick 50+ years ago, but Billie took it to a whole new level.",-0.0258,Neutral,0.16818181818181818,Netural,0.44445258378982544,Positive
"20 september 2021, anyone here?",0.0,Neutral,0.0,Netural,-0.7233876585960388,Negative
"No canta, solo susurra todaaaaas sus canciones de echo ya me aburrió con lo mismo en toda su música, digo como estilo y presentación de un producto esta fantástico pero… no ya es mucho de lo mismo?",0.1901,Positive,-0.03541666666666666,Negative,-0.5039681196212769,Negative
I just believe my thought that she is spidey although I know there is camera angle playing.,0.2023,Positive,0.0,Netural,0.39340630173683167,Positive
Billie Eilish I want you to come to the Springfield Workshop because I think you are so totally awesome the Springfield workshop is in Springfield Missouri can you please come to my work,0.8059,Positive,1.0,Positive,0.6822695732116699,Positive
อะไร?.,0.0,Neutral,0.0,Netural,-0.3720119595527649,Negative
This is trippy i can't,0.0,Neutral,0.0,Netural,-0.342056006193161,Negative
her little dance is so cuteee,0.5949,Positive,0.15625,Netural,0.5389775037765503,Positive
Amo ❤,0.6369,Positive,0.0,Netural,0.45319664478302,Positive
overrated,0.0,Neutral,0.0,Netural,-0.5324820876121521,Negative
✨,0.3182,Positive,0.0,Netural,0.30857792496681213,Netural
This song has a special place in my heart. I was born and brought up in a Catholic family in Texas and my boyfriend was born and brought up in a strict Hindu family back in India. He moved to the states for college. We met in class and instantly fell for each other. The difference in our races created many obstacles for us. Even our parents stood between us because of the religious differences. But we stuck to it and fought all those battles together and today we are the happiest of couples.I hope we get to live with each other forever. ❤️🇺🇸🇮🇳❤️❤️❤️ ❤️❤️❤️,0.714,Positive,0.06935064935064936,Netural,0.6768361330032349,Positive
i love you billie elilsh i made you a letter i hope you get it andd reply the puffin i my fav animal so i draw a puffin i rally want to be a singer when im older i cant afford to see you this year for  my birthday but maby next year,0.6908,Positive,0.2222222222222222,Netural,0.6460763216018677,Positive
Bad Guy as a stand name please.,-0.296,Negative,-0.6999999999999998,Negative,-0.7398379445075989,Negative
minecraft brought me here..,0.0,Neutral,0.0,Netural,0.4549325108528137,Positive
how tf is she walking on the walls😟,-0.296,Negative,0.0,Netural,0.34306737780570984,Positive
Gravity is nothing in front of billie sksksksksk,0.0,Neutral,0.0,Netural,-0.44689467549324036,Negative
This set is amazing duh.,0.5859,Positive,0.15000000000000005,Netural,0.8200685381889343,Positive
It’s  her world and we just living in it.,0.0,Neutral,0.0,Netural,0.6377834677696228,Positive
💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,0.9972,Positive,0.0,Netural,0.30857792496681213,Netural
That friggin rocked!!! Gave me goose bumps!!,0.0,Neutral,0.0,Netural,0.38304004073143005,Positive
"I know, the room and blah - but: The mic flip!",-0.126,Negative,0.0,Netural,-0.3807162642478943,Negative
How do you walk upside down this have to be fake,-0.4767,Negative,-0.3277777777777778,Negative,-0.6879088878631592,Negative
See I knew she couldn’t sing,0.0,Neutral,0.0,Netural,-0.5029608607292175,Negative
were tho u come from,0.0,Neutral,0.0,Netural,-0.3363269567489624,Negative
1970 visual affects in 2020 . Lame !,-0.4753,Negative,-0.3125,Negative,-0.5149440169334412,Negative
So many in cels in the comments. Ew,0.0,Neutral,0.5,Positive,-0.3483951985836029,Negative
How can you stick to the roof,0.0,Neutral,0.0,Netural,0.29234617948532104,Netural
t amo t amo t amo t amo t amo,0.0,Neutral,0.0,Netural,-0.2897625267505646,Negative
She is so boring to watch,-0.4572,Negative,-1.0,Negative,-0.4532552659511566,Negative
wow she can't sing,0.5859,Positive,0.1,Netural,-0.603108823299408,Negative
Now she is out of style 2021,0.0,Neutral,0.0,Netural,-0.30359527468681335,Negative
i love your videos,0.6369,Positive,0.5,Positive,0.8285005688667297,Positive
