Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
SHES SO PRETTY T^T,0.5413,Positive,0.25,Netural,-0.357054203748703,Negative
To think that this song started as a song she wrote for her Highschool talent show and Taylor asked her producer to include this into her first album because it's very popular with her schoolmates.,0.7089,Positive,0.515,Positive,0.26596421003341675,Netural
Who else will never get tired of her old songs?,0.3412,Positive,-0.15000000000000002,Negative,0.2761887013912201,Netural
This is PEAK y2k.,0.0,Neutral,0.0,Netural,0.3836080729961395,Positive
This is the first song I'll play when i get a boyfriend.,0.34,Positive,0.25,Netural,0.4488360285758972,Positive
💯🌟🌟🌟🌟🌟🥰📡🧡🍼,0.91,Positive,0.0,Netural,0.30857792496681213,Netural
Awweyyyyy April 2022!,0.0,Neutral,0.0,Netural,-0.5354027152061462,Negative
this is the best song in history,0.6369,Positive,1.0,Positive,0.8710343837738037,Positive
Her young voice sounds more countryside,0.0,Neutral,0.3,Netural,0.4196426570415497,Positive
"193,774",0.0,Neutral,0.0,Netural,0.23086215555667877,Netural
Sometimes i just come back to listen to the song again for the nostalgia,0.0,Neutral,0.0,Netural,0.3934008479118347,Positive
The accent 😂 lmao this is cute,0.8689,Positive,0.55,Positive,0.4221007823944092,Positive
Kaitlyn my daughter is all about Taylor swift,0.2023,Positive,0.0,Netural,0.43343430757522583,Positive
Yall what’s with the feet 😭,-0.4767,Negative,0.0,Netural,0.21591956913471222,Netural
"after watching miss americana on netflix, im tryin to hear all of her songs xoxo",0.5267,Positive,0.0,Netural,-0.4858909547328949,Negative
taylor swift barbie on real life,0.2023,Positive,0.2,Netural,0.383212685585022,Positive
@taylorswift in the future I taught you about how Victoria Secret stores in computer files locked to your own personal information technology social media marketing account details fitting measurements taken on location in store and you end up being a spokesperson for Victoria Secret catalogue runway show fashion model catwalk,0.0,Neutral,0.04761904761904761,Netural,0.4481756091117859,Positive
Ah damn imagine being that pretty at 16?!,0.2003,Positive,0.3125,Netural,-0.25687670707702637,Negative
POV: You're binge watching/listening to Taylor's songs,0.0,Neutral,0.0,Netural,0.24750804901123047,Netural
2022 🦋❤️,0.0,Neutral,0.0,Netural,0.29935815930366516,Netural
วีซีดี ยัง ดี กว่า ดีวีดี,0.4404,Positive,0.5,Positive,0.2666463255882263,Netural
พี่ไหม่ ดราวิกา  รู้จริง ๆๆ หรอ ว่า Uv นะคืออะไร มัน V แนวไหน V ส์ 👈,0.0,Neutral,0.2,Netural,0.24503527581691742,Netural
เธอหน้ารักนะ 🐦🦋🦋🦋,0.4588,Positive,0.5,Positive,0.34280773997306824,Positive
I miss my childhood 😢,-0.5719,Negative,0.0,Netural,0.3088459372520447,Netural
POV: You're listening to this at 2022 💖,0.7506,Positive,0.0,Netural,-0.3144362270832062,Negative
Simple As That Word,0.0,Neutral,0.0,Netural,0.3450621962547302,Positive
New Kids At Home,0.0,Neutral,0.13636363636363635,Netural,0.48664525151252747,Positive
I miss young taylor. 🙃,-0.1531,Negative,0.1,Netural,0.30070292949676514,Netural
What is this song the theme tune for?!? It’s really bothering me that I know this song so so well but can’t remember the Tv show I must have watched countless times,0.1901,Positive,0.1,Netural,0.3413435220718384,Positive
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
Anyone here? Year 2022.,0.0,Neutral,0.0,Netural,-0.3487177789211273,Negative
So pretty,0.5413,Positive,0.25,Netural,0.40619227290153503,Positive
Wow Barbie doll tau8,0.5859,Positive,0.1,Netural,0.6058421730995178,Positive
My mom likes Taylor Swift for like 16 years.,0.7269,Positive,0.0,Netural,0.5272900462150574,Positive
ICONIC.,0.0,Neutral,0.5,Positive,0.7878186702728271,Positive
Make a song with BLACKPINK,0.0,Neutral,0.0,Netural,0.3260810971260071,Netural
"If you're watching this in 2022, I consider us to be close friends",0.4767,Positive,0.0,Netural,0.26373055577278137,Netural
My cousin Luna she's only 6 months she likes the song,0.4215,Positive,0.0,Netural,0.34559717774391174,Positive
I like the song,0.3612,Positive,0.0,Netural,0.5464121103286743,Positive
"March 19, 2022. 😢😢😢

Waiting ""Our Song Taylor's Version""",-0.8519,Negative,0.0,Netural,-0.4613254964351654,Negative
My favorite Taylor song 💞,0.8074,Positive,0.5,Positive,0.8353247046470642,Positive
I was 4 when this song released lolll but anyway i grew up listen to her song and love it even more everyday,0.7783,Positive,0.26666666666666666,Netural,0.5862888693809509,Positive
I love every Taylor’s vibe,0.6369,Positive,0.5,Positive,0.753128707408905,Positive
Certified hood classic,0.0,Neutral,0.16666666666666666,Netural,0.7389214038848877,Positive
love,0.6369,Positive,0.5,Positive,0.6595039963722229,Positive
THIS SONG TAYLOR'S VERSION UGHHH!!! im so ready,0.627,Positive,0.2,Netural,0.26997554302215576,Netural
🙏💍🙏,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
She’s the real life Barbie ☹️💗,0.5423,Positive,0.2,Netural,0.4409220814704895,Positive
I wish speak now or debut is next re-recording,0.4019,Positive,0.0,Netural,0.25141003727912903,Netural
its the lip gloss for me,0.0,Neutral,0.0,Netural,0.3240659236907959,Netural
AAAAAAAA <3,0.4404,Positive,1.0,Positive,0.34860703349113464,Positive
😘😘😘😘😘😘😘😘😘😘😘😘🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰💜💛💜💛💜💛💜💛💜💛💜💛🤎💜💙💚💛🧡❤🤎💜💙💚💛🧡❤🤍🖤🤎💜💙💚💛🧡❤🤍🖤😺😺😸😺😸😺😸😸😺😺😸😺😸😺😸😺😸😺😘😘😘😘😘😘😍😍😍😍💛💜💛💜💛💞💞💞💞💞💞💗💗💗💗💗💗💓💓💓💓💓💗😀😀😀😀😀💞😍🥰🥰🥰 I LOVE  YOU fiona,0.9999,Positive,0.5,Positive,0.8118442296981812,Positive
Trailer missed the park here,-0.296,Negative,0.0,Netural,-0.5161914229393005,Negative
WHY IS TAYLOR SO BEAUTIFUL TvT,0.8327,Positive,0.85,Positive,0.5425799489021301,Positive
I love your music your amazing beautiful voice and dresses,0.9169,Positive,0.65,Positive,0.9233310222625732,Positive
faltu bilkul maza nahi aaya justin Bieber zindabad,-0.0072,Neutral,0.25,Netural,-0.43971461057662964,Negative
2022 🥺,0.0,Neutral,0.0,Netural,0.29935815930366516,Netural
las mujeres lo a suman mejor te dicen tenguo una a migua que teva a gustar un hombre nunca dira eso piensa que ban a pensar y que me importa lo que piensan,0.8957,Positive,0.5,Positive,0.30512118339538574,Netural
y en todos los hombres hay una pequegna partida feminina y en las mujeres masculina y despues la total,0.0,Neutral,-0.049999999999999996,Negative,-0.7418241500854492,Negative
Overfrickinblown,0.0,Neutral,0.0,Netural,0.2646595239639282,Netural
