Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
ทำแต่แบบเดิมๆไม่เบื่อเหรอครับ,0.3412,Positive,-0.2,Negative,0.3085779249668121,Neutral
When Paul came with Roman,0.0,Neutral,0.0,Neutral,0.218843013048172,Neutral
Who can beat Roman Reigns ???,0.0,Neutral,0.0,Neutral,-0.4072807729244232,Negative
GREAT NIGHT,0.6249,Positive,0.8,Positive,0.6800167560577393,Positive
O my goodness Austin is a snake in the grass !!!! 🤣 I'm want wwe commentary job,0.8257,Positive,0.0,Neutral,0.4355988800525665,Positive
😂😂😂😂🤗😍I love wrestling,0.9666,Positive,0.5,Positive,0.664767861366272,Positive
you did it roman reigns,0.0,Neutral,0.0,Neutral,0.3711683452129364,Positive
The bag dog👌,0.7297,Positive,0.0,Neutral,0.3047140836715698,Neutral
Roman reigns vs Brock Lesnar is a great WrestleMania 38 match for sure,0.7506,Positive,0.65,Positive,0.606804370880127,Positive
I haven’t watched wwe in a while how did edge get back in the storyline? How is he wrestling when he had the neck injury thing.,-0.4215,Negative,0.0,Neutral,-0.2682880759239197,Negative
goat,0.0,Neutral,0.0,Neutral,-0.30313840508461,Negative
Roman reigns,0.0,Neutral,0.0,Neutral,0.3561047315597534,Positive
Wow,0.5859,Positive,0.1,Neutral,0.6995608806610107,Positive
Yo why that boy looking like Kratos! LOL 😆!,0.8449,Positive,1.0,Positive,0.3486352562904358,Positive
ලස්සනයි 🇱🇰🇱🇰🇱🇰☄️☄️☄️,0.5994,Positive,0.85,Positive,0.3428077399730682,Positive
"you mean to tell me that after the way brock lesnar been TERRORISING the bloodline BY HIMSELF this whole time, that roman reigns was able to beat him one on one? no way. some major cap from WWE icl",-0.7865,Negative,0.1125,Neutral,-0.3755907416343689,Negative
"I believe Roman Reigns cheated completely. I mean Paul Heyeman ""magically"" created a distraction. Then the hit to the balls when the referee wasn't looking. And of course when Paul Heyeman's pathetic self helped Roman grab the rope. In my book Brock Lesnar should of won, no question. I believe if Paul Heyeman wasn't there, Brock would of easily won.",0.0,Neutral,-0.0947916666666666,Negative,-0.6094750761985779,Negative
Roman reigns he didn't disappoint 💪 and my Becky. B.,0.3089,Positive,0.0,Neutral,0.3946785628795624,Positive
Best drama in the world 🥴🥴🥴,0.6369,Positive,1.0,Positive,0.9483101963996888,Positive
🔥🔥🔥🔥🔥,-0.875,Negative,0.0,Neutral,0.3085779249668121,Neutral
Love you hunter thank you 😍😍😍,0.9403,Positive,0.5,Positive,0.8336217999458313,Positive
WOW,0.5859,Positive,0.1,Neutral,0.6995608806610107,Positive
"The abusive condition probably waste because vest unknowingly coil across a quizzical snowflake. aquatic, internal pint",-0.7906,Negative,-0.1,Negative,-0.45025435090065,Negative
Muy bien Román eres el mejor  ahora  retalo a pelear en ufc y enseñale  quien  manda si sales vivo claro 😂😅,0.92,Positive,0.6699999999999999,Positive,0.6912347674369812,Positive
"I used to be fan of Roman but now I hate him 
They made him evil☹",-0.9393,Negative,-0.8,Negative,-0.3383352756500244,Negative
Stone cold shouldn't come back anymore same script same drama sucks,-0.3612,Negative,-0.18,Negative,-0.8754523396492004,Negative
Face Roman Reigns vs Heal Brock Lesnar matches are the most interesting ones.,0.4576,Positive,0.5,Positive,0.5167234539985657,Positive
Why are all these wrestlers fat?,0.0,Neutral,0.0,Neutral,-0.5676742196083069,Negative
"desde que lo estan haciendo campeon a romans la wwe esta perdiendo credibilidad, la generacion paso de tener campeones de verdad como the rock, triple h, undertaker, stone cold, incluso cm punk y jhon cena a tener alguien tan patetico como romans reing...",0.5423,Positive,-0.4666666666666666,Negative,-0.387879878282547,Negative
"I haven't watched wrestling in years....it now all just looks like a flying circus.  Nothing looks even remotely 'real' anymore. 
Everyone jumping around trying to see who can fly the furthest ......",0.3612,Positive,0.5,Positive,-0.5779178142547607,Negative
Aim ngtd,0.0,Neutral,0.0,Neutral,0.2460943162441253,Neutral
Sasha y Naomi I love them together.,0.6369,Positive,0.5,Positive,0.7849169373512268,Positive
I have a lots of respect for the Viper. He has helped so many new WWE superstars shine.,0.4767,Positive,0.3181818181818182,Neutral,0.763581395149231,Positive
Who won I forgot,0.5719,Positive,0.0,Neutral,-0.3406081199645996,Negative
