Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
notice how t series' line is a lot more consistent. obvious sub botting going on here,0.0,Neutral,0.25,Positive,0.4256187677383423,Positive
"2019:pew die pie and T series
2020:Wall Su (Muscle Kim series)
https://youtu.be/bzDYv15TSW8",-0.5994,Negative,0.0,Neutral,0.2863594591617584,Neutral
Made a part 3,0.0,Neutral,0.0,Neutral,0.3372558653354645,Positive
bible project,0.0,Neutral,0.0,Neutral,0.2889881730079651,Neutral
any one 2020??,0.0,Neutral,0.0,Neutral,-0.6436712741851807,Negative
I find it funny how in less than a year pewdiepie almost doubles his subs,0.4404,Positive,0.0416666666666666,Positive,0.3609893023967743,Positive
Stonks.,0.0,Neutral,0.0,Neutral,-0.4055021405220032,Negative
are we gonna ignore the fact that tseries line is nearly straight? sub bot much,-0.1531,Negative,0.2,Positive,-0.399157851934433,Negative
What happens in the long run when you study for a test overnight VS when you study everyday,0.0,Neutral,-0.125,Negative,0.458920955657959,Positive
"Person: hits 1 million subs

Pewdiepie: I have more play buttons than that!",0.4561,Positive,0.625,Positive,-0.4378945827484131,Negative
This is intense,0.0772,Positive,0.2,Positive,0.5429855585098267,Positive
“What I remember about the war of the YouTubers was... was how quiet I was”,-0.5994,Negative,0.0,Neutral,0.355922520160675,Positive
월 수,0.0772,Positive,0.0,Neutral,0.2605186402797699,Neutral
It’s crazy how this is the only thing we had to worry about last year,-0.6486,Negative,-0.1999999999999999,Negative,0.652445375919342,Positive
PDP could never get 100 millions IF NOT T-Series!,0.0,Neutral,0.0,Neutral,-0.3132577240467071,Negative
What Is The Song?,0.0,Neutral,0.0,Neutral,0.2548298835754394,Neutral
pewdiepieが負けちゃった時めっちゃ悲しかった,-0.7424,Negative,-0.5,Negative,-0.538468062877655,Negative
Soo.. this is being recommended again now? Thanks youtube,0.5719,Positive,0.2,Positive,0.2898668944835663,Neutral
1:41 we all missed that gap!,-0.3595,Negative,0.0,Neutral,-0.5985485911369324,Negative
Nostalgia...,0.0,Neutral,0.0,Neutral,0.4601262807846069,Positive
IDK why but I kept laughing while watching this video thinking back of what happened.,0.5766,Positive,0.0,Neutral,-0.3366853296756744,Negative
Top 1 anime battle,-0.2023,Negative,0.5,Positive,0.9005675911903381,Positive
*Plz tell me how to make such videos???*,0.212,Positive,0.0,Neutral,-0.3767212927341461,Negative
Rip my friends that died from corina virus that helped pewds fight off t series as much as they could.,-0.4767,Negative,0.2,Positive,0.6657958030700684,Positive
SUB BOT,0.0,Neutral,0.0,Neutral,0.27665576338768,Neutral
What is this song please,0.3182,Positive,0.0,Neutral,0.34767746925354,Positive
내이름은 김근육 올해로 9수다,0.0,Neutral,0.0,Neutral,0.3052262365818023,Neutral
"Nobody:


Subtitle: *_EPIC MUSIC_*",0.0,Neutral,0.1,Positive,-0.3641954958438873,Negative
"0:47 T-Gey : *Omae wa Mou...*








0:56 Pewd : _Nevermind Counter-attac LOL_",0.5473,Positive,0.8,Positive,-0.6517857313156128,Negative
*김근육*,0.0,Neutral,0.0,Neutral,0.2965066432952881,Neutral
"Grandson in 2070: ""Grandpa, did you ever fight in any wars?""


Me: *Tears rolling down my face* ""Yes""",-0.6597,Negative,-0.1555555555555555,Negative,-0.2972266972064972,Negative
Wheres part 3,0.0,Neutral,0.0,Neutral,0.2475820928812027,Neutral
見やすい,0.4404,Positive,0.4333333333333333,Positive,0.2465719282627105,Neutral
Anyone else's hear rate go from like 1 to 1 million,0.7717,Positive,0.0,Neutral,-0.632348895072937,Negative
Ww3 is gonna be pewdiepie vs t series,0.0,Neutral,0.0,Neutral,-0.2635113000869751,Negative
This music is played in mr scientifics asteroid videos,0.34,Positive,0.0,Neutral,0.4184288382530212,Positive
You know that they’re sub botting when it’s just a straight line for t series,0.2263,Positive,0.2,Positive,0.3337644338607788,Positive
This proves that Tseries was using a sub bot. They have an almost perfect line with constant increase. Pewdiepie has a jagged line showing fluctuations in his subscriber count,0.6915,Positive,0.4333333333333333,Positive,0.3888926208019256,Positive
"I'm sorry, little ones.",-0.0772,Negative,-0.34375,Negative,-0.2994604408740997,Negative
"1:33 T-Series : Hahahaha
1:39 PewDiePie : Hold my beer",0.0,Neutral,0.2,Positive,0.2364290356636047,Neutral
e,0.0,Neutral,0.0,Neutral,0.2746336758136749,Neutral
I found a typo it says dec 19 instead of dec 18,0.0,Neutral,0.0,Neutral,-0.3991402983665466,Negative
Bruh these lines are having ###,0.0,Neutral,0.0,Neutral,-0.5147722363471985,Negative
Where do you get the data,0.0,Neutral,0.0,Neutral,-0.2585748136043548,Negative
How did we blow a 1.47 million lead?,0.0,Neutral,0.0,Neutral,-0.6523615121841431,Negative
Hence proved: T-Series wins,0.5719,Positive,0.3,Positive,0.2403824180364608,Neutral
fuck you son of a bitch,-0.8074,Negative,-0.4,Negative,-0.8245214819908142,Negative
I felt the same way watching this as I felt watching the time lapse of the titanic sink,0.0,Neutral,0.0,Neutral,0.2708043456077575,Neutral
How do you do these line graph animations ?,0.0,Neutral,0.0,Neutral,0.3377873301506042,Positive
Davie504,0.0,Neutral,0.0,Neutral,0.387054979801178,Positive
"Can we all just clock how T series’s line was a constant rate meaning it was gaining a fixed amount of subscribers, unnaturally this means that T series was using fake subscribers",-0.0772,Negative,-0.1333333333333333,Negative,-0.6572170853614807,Negative
"Bro this reminds me of the snake game 

But I always die so ya):",-0.7469,Negative,-0.4,Negative,0.2948460876941681,Neutral
"This is how many t gays were sent
⬇",0.0,Neutral,0.5,Positive,-0.4170841872692108,Negative
T-series more like Bot-series,0.4201,Positive,0.5,Positive,0.2677686214447021,Neutral
