Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"No copyright music
https://youtu.be/3fcwWy41wsQ",-0.296,Negative,0.0,Neutral,-0.6026711463928223,Negative
Both of these ladies need to collab again and sing more Spanish they sound sooo good.,0.4404,Positive,0.4,Positive,0.3946350514888763,Positive
Cardi b best body,0.6369,Positive,1.0,Positive,0.8190270662307739,Positive
savage. https://youtu.be/WPdWvnAAurg,-0.4588,Negative,0.0,Neutral,0.373176246881485,Positive
Te amé y te sigo amando cegm. Da igual cuando leas este comentario. 28.,0.8412,Positive,0.6,Positive,-0.5658309459686279,Negative
2:35 a Selena 😍😍😍,0.8402,Positive,0.0,Neutral,0.2421183288097381,Neutral
Selena beyby ayloviu,0.0,Neutral,0.0,Neutral,0.2512810826301574,Neutral
i only watch it for Selena's step 🥺🥺,0.0,Neutral,0.0,Neutral,0.3183284997940063,Neutral
Hat's off to this masterpiece and the legends,0.7073,Positive,0.0,Neutral,0.7737574577331543,Positive
This song had me thinking I knew Latin😭😭,-0.7351,Negative,0.0,Neutral,0.4260188341140747,Positive
May I have the permission to use this music for school purposes. Thank you💚,0.7717,Positive,0.0,Neutral,0.2612539529800415,Neutral
OK,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
"everything has an end of it , yeh now this song is dead and this makes me emotional.",-0.5719,Negative,-0.1,Negative,0.6690903902053833,Positive
"And the biggest head of Media wrote TAKI TAKI ...Prophet Hanna's TAK IS GOOD TAK promoted better IS GOOD, MEDIA IMPACTS- RUMBA THE LAND OF GREEKS",0.918,Positive,0.6333333333333333,Positive,-0.2735716998577118,Negative
"*Did anyone just suddenly remember this song*
.
.
👇
*You’re amazing stay blessed, stay safe and have a amazing rest of your day*",0.9371,Positive,0.425,Positive,0.8227500319480896,Positive
Selena 's o oo is so cool,0.4572,Positive,0.35,Positive,0.617365300655365,Positive
Müzik harika! uzun zamandır dinliyorum bağımlılık yaptı! Türkiye'den selamlar! 🇹🇷,0.8306,Positive,0.3166666666666666,Neutral,0.6326053142547607,Positive
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037,Neutral,0.7419810891151428,Positive
I like your song,0.3612,Positive,0.0,Neutral,0.483391672372818,Positive
I really like cardi B's Spanish (chef's kiss)🤌🤌,0.4201,Positive,0.1,Neutral,0.4348534345626831,Positive
Nice voices,0.4215,Positive,0.6,Positive,0.4647879898548126,Positive
Selena stole all my attention ❤️❤️,0.0,Neutral,0.0,Neutral,0.524638295173645,Positive
Idk cardi and Selena Spanish just hit different,-0.1027,Negative,0.0,Neutral,-0.3744496405124664,Negative
Y como olvidar esta joya de música...,0.2441,Positive,0.0,Neutral,0.7328420281410217,Positive
very niiice ! 😻,0.5508,Positive,0.25,Neutral,0.3441006541252136,Positive
why does Selena Gomez slightly look like Zendaya?,0.3008,Positive,-0.1666666666666666,Negative,0.2859563827514648,Neutral
Wujwwjwjkw,0.0,Neutral,0.0,Neutral,0.3431731462478637,Positive
Do you espeak espanish?,0.0,Neutral,0.0,Neutral,-0.3528295755386352,Negative
♡,0.0,Neutral,0.0,Neutral,0.5759676098823547,Positive
Selena Gómez se parece a selena Quintanilla,0.3612,Positive,0.0,Neutral,0.420974463224411,Positive
