Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
tamo cerca del billon<3,0.4404,Positive,1.0,Positive,0.25488802790641785,Netural
felicidades por los 900 míllones 🔥✨,0.5859,Positive,0.0,Netural,0.7185364961624146,Positive
☀️🏝️🍸,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Mi canción,0.0,Neutral,0.0,Netural,0.46184149384498596,Positive
Minuto 1:52 programación predictiva  bad bunny nos lo empezaba a mostrar 😷,-0.5423,Negative,-0.6999999999999998,Negative,-0.621748149394989,Negative
Mi bro tiene una novia muda el automáticamente: *dedicable*,0.0,Neutral,0.0,Netural,0.32915765047073364,Netural
"ir a la escuela y escuchar esta canción, que buenos tiempos 😌",0.6705,Positive,0.7,Positive,0.5852698683738708,Positive
"En la vida todo cambia , el mundo cambia , la gente cambia pero lo bueno se queda así",0.5927,Positive,0.7,Positive,0.3565200865268707,Positive
🤏👨‍🍳,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Himno no pasara de moda es mi favorita,0.4588,Positive,0.5,Positive,0.6072870492935181,Positive
Himno no pasara de moda,0.0,Neutral,0.0,Netural,0.2611368000507355,Netural
"Ella no era así, ella no era así
No sé quién la dañó, pero - This line always hits me hard in my feelings 🥺",-0.2076,Negative,-0.2916666666666667,Negative,-0.3241215646266937,Negative
Porque no obtuvo muchas vistas. Si el canal de Yatra tiene como 18 millones de suscriptores.,0.3612,Positive,0.5,Positive,-0.41347911953926086,Negative
2022 y la siguo escuchando quien mas?,0.0,Neutral,0.0,Netural,-0.35369765758514404,Negative
Nmms yo canto desde que dicen ohhh xd LE RESO A MI TODOROKI 🙇‍♀️,0.7804,Positive,0.0,Netural,0.4575864374637604,Positive
Noanay una guena usted,0.0,Neutral,0.0,Netural,-0.6141059994697571,Negative
Esta joya nunca pasa de moda 🥰🤍,0.4588,Positive,0.0,Netural,-0.6882624626159668,Negative
Quién más escucha esta obra de arte en 2022 😍,0.4588,Positive,0.0,Netural,0.589257538318634,Positive
"""La canción de la prepa""",0.0,Neutral,0.16,Netural,0.28146445751190186,Netural
Jamás Voy ah Superar esa parte de si hay sol hay playa si hay playaaa hay alcohol hay sexoooo,0.0,Neutral,0.0,Netural,-0.7753140926361084,Negative
Aquí los verdaderos fans de bad bunny aún escuchandola,-0.1779,Negative,-0.17499999999999993,Negative,0.5624698400497437,Positive
"https://youtu.be/DjbnZKghgJ4
Y le dije no - Yaha",-0.296,Negative,0.0,Netural,-0.5113787055015564,Negative
Hey 900millones,0.0,Neutral,0.0,Netural,-0.3298362195491791,Negative
love love this song...,0.8555,Positive,0.5,Positive,0.8437846302986145,Positive
El huevo,0.0,Neutral,0.0,Netural,0.2591977119445801,Netural
uenfo,0.0,Neutral,0.0,Netural,0.23216348886489868,Netural
Lonely st,-0.3612,Negative,-0.09999999999999998,Negative,0.2942395508289337,Netural
Vamos aaaa,0.0,Neutral,0.0,Netural,0.3889696002006531,Positive
q sigue,0.0,Neutral,0.0,Netural,0.22872024774551392,Netural
ALOCATEEEEEEEEE,0.0,Neutral,0.0,Netural,0.28385841846466064,Netural
Mi cancion softi,0.0,Neutral,0.1,Netural,0.28199684619903564,Netural
en una playa de Brasil con Amanda algún dia vamos a escuchar callaita,0.0,Neutral,0.0,Netural,0.35210710763931274,Positive
no m importa ser ji jim,-0.3125,Negative,0.0,Netural,-0.48579999804496765,Negative
amandinha cantame callaita al oído,0.0,Neutral,0.0,Netural,0.31127262115478516,Netural
amanda la menos strimer,0.0,Neutral,-0.3,Negative,0.26655399799346924,Netural
"Eu te juro, eu ouço essa música muitas vezes no dia estou aprendendo a letra pro karaokê",-0.0516,Negative,0.5,Positive,0.2574005126953125,Netural
mejor amanda q es conejo malolober,0.4404,Positive,0.5,Positive,-0.2963932454586029,Negative
hazle strm luca,0.0,Neutral,0.0,Netural,-0.2595333456993103,Negative
Bad bunny passe o segredo dos números altos,-0.5423,Negative,-0.3133333333333333,Negative,-0.31565195322036743,Negative
este wn esta a nada de tener 1b de vistas qn pudiera,0.0,Neutral,0.1,Netural,-0.5986449122428894,Negative
y los 900m pa cuando,0.0,Neutral,0.0,Netural,0.31943970918655396,Netural
goodbunny lo único bueno que hay,0.4404,Positive,0.35,Positive,0.4216769337654114,Positive
"Quisiera volver al año 2019,lo bueno es que  está   excelente canción me transporta a ese año.",0.8682,Positive,0.85,Positive,0.44114232063293457,Positive
Viejos tiempos ;),0.2263,Positive,0.175,Netural,0.4337015151977539,Positive
Admito q en esos tiempos fueron los mejores aunq no para todos...,0.7184,Positive,1.0,Positive,0.4699637293815613,Positive
fino xiome,0.0,Neutral,0.0,Netural,-0.2530783712863922,Negative
Cancion de la Silvana 🥵🤙🏻,0.4939,Positive,0.0,Netural,0.32030731439590454,Netural
Canción de la Silvana ❤️‍🔥,-0.34,Negative,0.0,Netural,0.32030731439590454,Netural
Cuando salió esta canción todos estábamos en nuestra mejor etapa de la vida.,0.6369,Positive,1.0,Positive,0.5515986680984497,Positive
Epico,0.0,Neutral,0.1,Netural,0.3402957320213318,Positive
https://youtu.be/SRt0KAMCI4Q  ..,0.0,Neutral,0.0,Netural,-0.24080415070056915,Negative
¿Soy el unico que cuando escucha esta canción le dan ganas de volver al 2019 y ser feliz de nuevo:(?😭,0.2263,Positive,0.012500000000000011,Netural,-0.42779436707496643,Negative
"Con solo escuchar las gaviotas sabes que es la mejor canción del 2019
Temazooo!!",0.6988,Positive,1.0,Positive,0.7057364583015442,Positive
Quien lo escucha todavía?😎,0.4588,Positive,0.0,Netural,-0.2608809173107147,Negative
Callaita,0.0,Neutral,0.0,Netural,0.2695125341415405,Netural
3:42 Pero……,0.0,Neutral,0.0,Netural,0.4417274296283722,Positive
ojalá todo fuera como antes 😢😢😢ya no quiero que avance más el tiempo.,-0.6511,Negative,0.0,Netural,0.22674448788166046,Netural
Yo cuándo escucho mi música fav después me  aburre pero las de Bad bunny jamás!🥺🥺🥺🥺 Soy su fann,-0.68,Negative,-0.5999999999999999,Negative,-0.5158125758171082,Negative
Quien todavía escuchando esta calidad de música 🎙 🎛 🎶,0.0,Neutral,0.0,Netural,0.6309569478034973,Positive
suena a nostalgia,0.0,Neutral,-0.5,Negative,0.46676769852638245,Positive
Hermosa canción,0.5994,Positive,0.85,Positive,0.6941117644309998,Positive
24\04\22 🥰,0.8074,Positive,0.0,Netural,0.252501904964447,Netural
❤,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
"Iconico. TROPICAL SENSATION, VOL. 1. DISPONIBLE EN TODAS LAS PLATAFORMAS ‼ ‼‼",0.0,Neutral,0.45,Positive,0.8538140058517456,Positive
Si al sol ay playa si hay playa hay alcohol hay sexo si es contigo mejor,0.4404,Positive,0.5,Positive,-0.3269321620464325,Negative
Buena musica💗💗💗💗💗💗💗💗👊👊💕💕💕💕👑👑👑👑,0.9965,Positive,0.7,Positive,0.44167622923851013,Positive
Esto es un hit,0.0,Neutral,0.0,Netural,0.5829480886459351,Positive
Soy tu fan bad bunny 🤭,0.25,Positive,-0.6999999999999998,Negative,-0.3514145612716675,Negative
QUIEN LA SIGUE ESCUCHANDO EN EL 2022,0.0,Neutral,0.0,Netural,0.4002824127674103,Positive
"Aceptalo, YouTube no te lo recomendó, tu la buscaste",0.1255,Positive,0.0,Netural,-0.5794331431388855,Negative
Estábamos en el antro y me acorde de le,0.0,Neutral,0.0,Netural,-0.26478415727615356,Negative
Udbiwjokeokepkexokeoz,0.0,Neutral,0.0,Netural,0.2621183693408966,Netural
"Muchos hablan de rememorar buenos momentos del 2019, al final me pasa lo contrario encontrando esta joya hace poco y pensando en q estos son los buenos momentos :)
De todas formas espero q los demás salgan de este mal momento q atraviesan y puedan ser felices como en su momento :3",0.9209,Positive,0.3333333333333333,Positive,0.4156946837902069,Positive
Me encanta esta canción los quiero mucho los 😘😘😘😘😘😘,0.9756,Positive,0.39999999999999997,Positive,0.8054181337356567,Positive
🔥🔥🔥,-0.7351,Negative,0.0,Netural,0.30857792496681213,Netural
"Vega Baja, PR en la casa.. 00693",0.0,Neutral,0.0,Netural,-0.38255995512008667,Negative
Aquí nos reportamos los fans de Komi-san 😎🤙,0.7351,Positive,0.0,Netural,0.3219025135040283,Netural
SI HAY SOL HAY PLAYA,0.0,Neutral,0.0,Netural,-0.2747059166431427,Negative
Quien escuchando en 2022✨✨,0.5574,Positive,0.0,Netural,0.4231773912906647,Positive
creo que todos queremos volver al 2019 cuando salió esta canción <3,0.4939,Positive,0.5,Positive,-0.3079850971698761,Negative
porfavor que himno,0.3182,Positive,0.0,Netural,-0.3024739921092987,Negative
I DONT SPEAK ESPANOL MUCH PERO THIS IS LAS MEJOR SONG IN THE LAST 10 ANOS!!!!!!!!! WHEN YOU HEAR THIS OUT AND HEAR EVERYONE SCREAM AT THE TOP OF THEIR LUNGS IT GIVES ME THE CHILLS. ALL LOVE FROM A GRINGO!!!!!!,0.7352,Positive,0.425,Positive,0.9060183167457581,Positive
"temazoo benito a por el billon ,sigamos disfrutando callaita",0.5267,Positive,0.5,Positive,0.316087931394577,Netural
sofia volve traidora,0.0,Neutral,0.0,Netural,-0.43366268277168274,Negative
Pero y lo prende uwu,0.0,Neutral,0.0,Netural,0.3486156463623047,Positive
