Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
PewDiePie is the best better than everything,0.7964,Positive,0.75,Positive,0.7235968708992004,Positive
"why are you all avoiding how racist he's being? he's just wrong. ""don't make me come to India"", just so wrong. India is definitely better than you. T-Series should not be thanking you because many people came across it because of the music. Also just imitating the girl's accent??",-0.8567,Negative,0.0,Neutral,-0.7336364984512329,Negative
"more than 75 percent of Puke-e-pie subscribers are dead , probably after watching his videos , which is why the views on his videos and subscriber count are at extreme ends",-0.6486,Negative,0.0583333333333333,Positive,-0.5445653796195984,Negative
"lol , Puke-e-pie now shitting his pants against Mr beast and this cringy kid went on to take down T-series , rofl",0.5719,Positive,0.4814814814814815,Positive,-0.3411819040775299,Negative
Correction “emphases on THE biggest”,0.0,Neutral,0.0,Neutral,0.3285635709762573,Neutral
Racist,-0.6124,Negative,0.0,Neutral,-0.6353296637535095,Negative
Bro but now t series no. 1,0.0,Neutral,0.0,Neutral,0.3264361619949341,Neutral
T series is the best and PewDiePie sucks,0.4019,Positive,0.35,Positive,0.6662952303886414,Positive
T-seires is the best,0.6369,Positive,1.0,Positive,0.7847618460655212,Positive
"1 years past mother fucker, and iam commented so that people know iam fuckimg alive when pewd diss t",-0.4019,Negative,-0.075,Negative,-0.4952557981014251,Negative
T series is always better than you,0.4404,Positive,0.5,Positive,0.635169267654419,Positive
Why does he has so much followers like more than mr.beast?,0.4144,Positive,0.35,Positive,-0.4244021475315094,Negative
Fun fact I didn't know what was piewdiepie until T-Series Become the most subscribed channel,0.5106,Positive,0.4,Positive,0.5181111693382263,Positive
U look like a skeleton💀,0.3612,Positive,0.0,Neutral,0.2740103304386139,Neutral
T series is not trash,0.0,Neutral,0.0,Neutral,0.3014687001705169,Neutral
Now t series has double number of subscribers 😂😂,0.7269,Positive,0.0,Neutral,-0.2402652949094772,Negative
He meant a food Indians jes,0.0,Neutral,0.0,Neutral,0.2606090009212494,Neutral
"Fast forward 3yrs, T-Series has twice subscribers than him 😂😂",0.7003,Positive,0.2,Positive,0.37315434217453,Positive
Lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
wkwkwk,0.5574,Positive,0.2,Positive,0.2869357764720917,Neutral
"3:27
8:12
11:26
11:06
13:43
15:11
16:26
16:07",0.0,Neutral,0.0,Neutral,0.2756980061531067,Neutral
Anybody in 2022 watching this cuz that kid who has a blue shirt and glasses is a savage😂,-0.0258,Neutral,0.0,Neutral,-0.5427287817001343,Negative
And the rest is history.. 😅,0.3612,Positive,0.0,Neutral,0.302170068025589,Neutral
Who is watching this in 2022?,0.0,Neutral,0.0,Neutral,-0.3509786128997803,Negative
I am proud of lndia,0.4767,Positive,0.8,Positive,0.6787627935409546,Positive
9:24 ummmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,0.0,Neutral,0.0,Neutral,-0.2631097733974457,Negative
India🇮🇳 love you all TSERIES,0.6369,Positive,0.5,Positive,0.8381024599075317,Positive
"What India India if you're fighting against t seres  than say     
T seres  don't say India.  India is a country ok bloody man.  
I'm  Indian so if someone say anything  worst about India I will   definitely  get angry. Bloody  man.jai hind",-0.8957,Negative,-0.4333333333333333,Negative,-0.6469486355781555,Negative
Guys T-series is a far off thing now even SET India is much subscribed than this man 😂,0.4404,Positive,0.15,Positive,-0.6019551753997803,Negative
Just subscribed T-series 🤣🤣🤣,0.8625,Positive,0.0,Neutral,-0.3099598884582519,Negative
You mad 🤬,-0.4939,Negative,-0.625,Negative,-0.3168314099311828,Negative
2:45,0.0,Neutral,0.0,Neutral,-0.2702265381813049,Negative
wE StaN bLuE sHiRt kID.,0.0,Neutral,0.0,Neutral,0.4495012760162353,Positive
look in the mirror at 3:38 lol,0.4215,Positive,0.8,Positive,-0.231432631611824,Negative
i am watching this video in 2022 and now t sires is having 212 million suscribers,0.0,Neutral,0.0,Neutral,-0.6082378625869751,Negative
😂😂😂😂😂😂😂,0.9601,Positive,0.0,Neutral,0.3085779249668121,Neutral
"after 3 years tseries won with 212m subs
 and pewdipie with 111m subs",0.5859,Positive,0.8,Positive,-0.2952147424221039,Negative
T series forever favourite.  💜💜💜💜💜🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳💜💜💜💜💜💜💜💜💜💜🤟🤟🤟,0.9963,Positive,0.0,Neutral,0.868195652961731,Positive
Chúc gia đình nhỏ luôn luôn hp đầy tình yêu thương ❤❤❤❤❤️,0.9747,Positive,0.1999999999999999,Positive,0.5608099699020386,Positive
not all the songs are originally made by T-Series but they are just a remake of Pakistani Old songs or their own previous songs.,0.0,Neutral,0.2270833333333333,Positive,-0.3955082893371582,Negative
Hahha you are great brother love from pakistan An entire company can't compete with a single YouTuber 😅😅 You were already on the world's biggest youtube and still are today 🇵🇰😇❤,0.9661,Positive,0.3071428571428571,Positive,-0.6017735004425049,Negative
1 Man VS 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                      PEOPLE,0.0,Neutral,0.0,Neutral,-0.5182797908782959,Negative
Tu 111 million ki bheekh me hi khus rah t series record pe record tod rahi hai 🤣🤣🤣,0.0,Neutral,0.0,Neutral,-0.6456290483474731,Negative
India never been quite Sweden you loose ok India is the best,0.3041,Positive,1.0,Positive,0.3328844308853149,Positive
Pov: your in 2022 and there is difference of 100 million 😅😂,0.6597,Positive,0.0,Neutral,-0.4649493992328644,Negative
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
The blue shirt kid is lit,0.0,Neutral,0.0,Neutral,0.281540036201477,Neutral
Đức Phúc tuyệt vời. Giọng hát ấm áp và hay quá,0.8946,Positive,0.75,Positive,0.537804365158081,Positive
Techno Gamer,0.0,Neutral,0.0,Neutral,0.2986713647842407,Neutral
I Love PewDiePie,0.6369,Positive,0.5,Positive,0.6607402563095093,Positive
2 vợ chồng hạnh phúc .Đúng là an cư mới lập nghiệp .Đúng rồi làm youtube không dễ ăn như mọi ngườ nghĩ. Chúc 2 em sức khỏe và thành công trong sự nghiệp.,0.9186,Positive,0.6,Positive,0.3952048420906067,Positive
"T series 230 million
PewDiePie 111 million 😂",0.4404,Positive,0.0,Neutral,-0.3930483758449554,Negative
BUT NOW TSERIES AND PEWDIEPIE HAS DIFFERENCE OF 100 MILLION SUBS!!,0.0,Neutral,0.0,Neutral,-0.3279679417610168,Negative
How u r fucked,-0.6597,Negative,-0.6,Negative,0.3335440754890442,Positive
