Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
i love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
Me encantaaaaq,0.6369,Positive,0.5,Positive,0.7261574864387512,Positive
Flopou mais eu amooo,0.7783,Positive,0.5,Positive,-0.394722580909729,Negative
I love your billie eilish  😁 3 ❤🖤💯👊,0.9485,Positive,0.5,Positive,0.682572603225708,Positive
Ses beaux,0.5994,Positive,0.85,Positive,0.4295502305030823,Positive
"Bille is humble as fuck, like damn, i havent listened to much of her music but i respect her greatly as an artist, expecially in a world like the one we are living in its hard to find people like her, who dosent try and make her self look like a hero and instead is just a person like me and you",0.9643,Positive,0.0216666666666666,Neutral,0.446585476398468,Positive
"I do not know how she is so good. Her videos are also so good and true. She does not hold back. She tells the truth and that is what I love in people. She helps me with all my prop legs when I listen to her lyrics. If you really listen everyone can’t real at to it but a lot of people can. We can’t all have perfect life’s even if we look like we do we don’t. Just because you look happy does not mean you can be sad. I used to act like that but it really helps now that I just don’t hold it in.
     Thank you Billie you have really helped me and I love you❤️",0.9892,Positive,0.3575892857142858,Positive,0.7690962553024292,Positive
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
This is my fave on the album. And watching this mv made my heart ache in a good way.,0.8126,Positive,0.7,Positive,0.6265125274658203,Positive
"Subscribe for the largest Rock playlist available on YouTube! 
 I JUST GOT DUMPED SO I HAVE A LOT OF TIME ON MY HANDS  I'm going through every rock band alphabetical order and listening to every song from every album and adding a specific songs, for the rock community to enjoy, creating the largest playlist ever made on YouTube Go Billie ellish



....",0.3091,Positive,0.3,Neutral,0.7595009803771973,Positive
Como assim isso flopou?,-0.34,Negative,0.0,Neutral,-0.4220660328865051,Negative
حد مصري هنا😂😂,0.7003,Positive,0.0,Neutral,0.2420463413000106,Neutral
LENDAAAAA,0.0,Neutral,0.0,Neutral,0.3446388840675354,Positive
"Estou aqui novamente pra dizer, BILLIE PRECISAMOS DE CLIPE NOVO 😣🥺",0.0,Neutral,0.1363636363636363,Neutral,0.3981038928031921,Positive
"Caraca, essa música retrata minha atual situação do incio ao fim.",-0.4019,Negative,0.0,Neutral,0.3959150314331054,Positive
🥺😪♥️ essa música,0.6369,Positive,0.0,Neutral,0.4638248383998871,Positive
"Billie is a mega talented artist. 💯
Depression & obsessions are real life problems a lot of us have to deal with.
BTW I heard that @ 1:33-1:34
Keep the music coming & first & foremost do what makes you happy.🤘🏻",-0.0772,Negative,0.3833333333333333,Positive,0.4618465304374695,Positive
"This is a cover my daughter made for this song. Please watch, like and comment. Love you guys💕💕💕https://youtu.be/mMZs5JdwduA",0.9559,Positive,0.5,Positive,0.6574788093566895,Positive
How much I identify with this song because in reality I need psychology or urgent help I want to change help please advise me !! THANKS TO MY QUEEN GODDESS OF MY HEART BILLIE EILISH I STOP SEEING THAT FOR A TIME I LOVE YOU MY QUEEN #BILLIEEILISH 😔😔🥺🥺,0.9704,Positive,0.3374999999999999,Positive,0.586349368095398,Positive
i wish i could have been there for you,0.4019,Positive,0.0,Neutral,0.2891615629196167,Neutral
Giọng hát của ah Đức phúc hát đúng tâm trạng hay quá,0.0,Neutral,0.2857142857142857,Neutral,-0.2836423814296722,Negative
"Literally, this video cane out the day my ex and I broke up. We watched it before I moved out... there's a lot of emotion in this video I can't express",-0.4215,Negative,0.0,Neutral,-0.6161950826644897,Negative
this is why i hate video games,-0.5719,Negative,-0.8,Negative,-0.6505047678947449,Negative
"i was just listening to ocean eyes and now this and i see HOW MUCH she’s done! like,it’s just incredible.",0.0,Neutral,0.575,Positive,0.8453097343444824,Positive
"this is truly the most underrated song on Happier Than Ever. only those who can relate to the lyrics can feel the soul put into this, and cry sitting in the shower with these words echoing through their mind.",0.4939,Positive,0.25,Neutral,0.9303064942359924,Positive
I love you very much I want to marrie with you 🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺plz,0.6969,Positive,0.38,Positive,0.8569911122322083,Positive
"I remember in July 2021 I went through such a bad bad depression.. this literally brought back really bad memories, the lump in my throat and that gut feeling too. The feeling of not knowing what to do.. the tiredness… I drank a lot too so i just had bad hangovers every morning. The loss of appetite then the binge eating the next day. This reminds me that what I felt was real. It was real. I love you billie! You helped me get through it.",-0.937,Negative,-0.1847222222222221,Negative,0.6215505003929138,Positive
"things are usually measured in rays of light, right? or like whatever they call them, lightyears or whatever. so since a space that would be filled by exposure to light would have a set amount of room able to be measured since it can actually be seen to measure it. that would be the difference i think. like a black hole in space would havw no color in it so no area or like corners shit like that. i mean like a difining end to it to be able to measure its start to ends so therefore deamed a black (infinite) hole.",-0.1965,Negative,0.1158234126984126,Neutral,-0.4184793531894684,Negative
hope your soul is safe💜 you asked ab the absence of light ...!! i wanna try to answer,0.8906,Positive,0.30625,Neutral,0.3118120431900024,Neutral
"the way HTE didn't win as the best album : ( still the best one for me. The visual, The songs. Therapeutic.",0.7452,Positive,0.41,Positive,0.5201109647750854,Positive
That tune..Bon Iver?,0.0,Neutral,0.0,Neutral,0.2996494770050049,Neutral
Dime xxxtentacion está vivo o no por favor dime,0.1625,Positive,0.1,Neutral,-0.4630789756774902,Negative
https://youtu.be/plfdOxZ6w6A,0.0,Neutral,0.0,Neutral,0.2186677604913711,Neutral
"god, please give us the 2000s back. todays ""pop"" music just sucks. this melancholic garbage is annoying.",-0.2903,Negative,-0.3666666666666667,Negative,-0.9057032465934752,Negative
"I just don’t get it, the rhythm is boring. It’s not satisfying in any way happy, sorrow, etc. She has a beautiful voice I just can’t get into the song rhythms it’s boring imo",-0.2216,Negative,-0.12,Negative,-0.549702525138855,Negative
Hola,0.0,Neutral,0.0,Neutral,0.2550420761108398,Neutral
The song is very beautiful it is very very beautiful I think it will become my favorite song 😭💖,0.9429,Positive,0.8333333333333334,Positive,0.8192203044891357,Positive
"(You want me to put it here?)   😥",0.3612,Positive,0.0,Neutral,0.2308931350708007,Neutral
I LOVE HER SO MUCH FUCK IM SOBBING,-0.2911,Negative,0.0499999999999999,Neutral,0.8688709139823914,Positive
Just finished this album for the very first time and GOD!! I Love IT!!!!,0.8482,Positive,0.75390625,Positive,0.928702473640442,Positive
ПОЧЕМУ-ТЫ???!!! ПОЧЕМУ-НАВСЕГДА???!!!,0.0,Neutral,0.0,Neutral,-0.5406703948974609,Negative
I Miss you xxxTENTACION legend ❤️🥺💖,0.7003,Positive,0.0,Neutral,0.515795111656189,Positive
Her songs sucks,-0.3612,Negative,-0.3,Negative,-0.5063149333000183,Negative
Billie jest bardzo mądra. Rozumiem o co jej chodzi w tej piosence ♥️,0.8016,Positive,0.6392857142857142,Positive,0.5890772342681885,Positive
pls subme 😭😭😭,-0.8402,Negative,0.0,Neutral,0.3044703900814056,Neutral
"FOR GOD SO LOVED THE WORLD, THAT HE GAVE HIS ONLY BEGOTTEN SON OF GOD JESUS CHRIST, WHOEVER BELIEVES IN HIM SHALL NOT PERISH, BUT HAVE  EVERLASTING LIFE IN HEAVEN FOREVER AND EVER. John 3:16 Bible....THE RAINBOW🌈THRONE OF SON OF GOD JESUS CHRIST AND THE TREE OF LIFE, Revelation 4 and Revelation 22 Bible. And whoever was not found written in the book of life was cast into the lake of fire.🔥This is the second death. Revelations 20 bible.... ❤️I SAW A NEW HEAVEN AND A NEW EARTH, for the first heaven and the first earth had passed away. Also there was no more sea. 2 Then I, John, saw the holy city, New Jerusalem, coming down out of heaven from God, prepared as a bride adorned for her husband. 3 And I heard a loud voice from heaven saying, “Behold, the tabernacle of God is with men, and He will dwell with them, and they shall be His people. God Himself will be with them and be their God. 4 And God will wipe away every tear from their eyes; there shall be no more death, nor sorrow, nor crying. There shall be no more pain, for the former things have passed away.”
5 Then He who sat on the throne said, “Behold, I make all things new.” And He said to me, “Write, for these words are true and faithful.”❤️
6 And He said to me, “It is done! I am the Alpha and the Omega, the Beginning and the End. I will give of the fountain of the water of life freely to him who thirsts. 7 He who overcomes shall inherit all things, and I will be his God and he shall be My son. 8 But the cowardly, unbelieving, abominable, murderers, sexually immoral, sorcerers, idolaters, and all liars shall have their part in the lake which burns with fire and brimstone,🔥which is the second death. BIBLE   REVELATION",0.9827,Positive,0.1038699494949494,Neutral,0.5409060716629028,Positive
