Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Rektway when someone use hacks/admin abuse: so you have chosen death...,-0.8442,Negative,0.0,Netural,-0.6319862604141235,Negative
My is yuzi,0.0,Neutral,0.0,Netural,0.3888035714626312,Positive
Now the dragon kit has been buffed now what does it do use it,0.0,Neutral,0.0,Netural,0.2982792556285858,Netural
My favourite kit is miner metal beekeeper shielded all but not lassy Davy not bad kits I hate bad kits I love best kits,0.7632,Positive,0.07000000000000002,Netural,0.7421147227287292,Positive
you still do damage with rocket launcher but not with a bow,-0.2732,Negative,0.0,Netural,0.38828739523887634,Positive
Yuzi can you gime me yes or no no is ok:),0.5556,Positive,0.5,Positive,0.29462096095085144,Netural
Yo that girl is a Percy Jackson fan,0.3182,Positive,0.0,Netural,0.46144211292266846,Positive
Rektway,0.0,Neutral,0.1,Netural,0.24525225162506104,Netural
It’s funny,0.4404,Positive,0.25,Netural,0.42747101187705994,Positive
yuzi,0.0,Neutral,0.0,Netural,0.24244800209999084,Netural
I love your videos,0.6369,Positive,0.5,Positive,0.8285005688667297,Positive
Barbian because u don't have to buy it you only buy it with kills,-0.5423,Negative,0.0,Netural,-0.360236793756485,Negative
Aery anf yuzi bit i dont have aery,0.0,Neutral,0.0,Netural,0.2972235381603241,Netural
Mine is sheep herder,0.0,Neutral,0.0,Netural,0.4118989109992981,Positive
my fav is purple aery,0.4588,Positive,0.0,Netural,0.27088457345962524,Netural
yuzi,0.0,Neutral,0.0,Netural,0.24244800209999084,Netural
Bruh im tired of rekt way just role playing in lobby,-0.25,Negative,-0.4,Negative,-0.35114622116088867,Negative
‌,0.0,Neutral,0.0,Netural,0.2846148908138275,Netural
Are u girl or boy Idk,-0.1027,Negative,0.0,Netural,-0.34284064173698425,Negative
"i laughed at that part where u say ""because i want t be her"" fr sme reasn",0.5106,Positive,0.7,Positive,-0.41505366563796997,Negative
"Bro rektway roast is on another level
Way beyond
Kinda funny LOL",0.7061,Positive,0.525,Positive,-0.29356569051742554,Negative
my fav kit is metal detector,0.4588,Positive,0.0,Netural,0.5224878787994385,Positive
I love you and bedwar,0.6369,Positive,0.5,Positive,0.8285398483276367,Positive
???????? dream have 1m likes then you he speed run in minecraft but i am a noob at bed wars:(,-0.6966,Negative,-0.75,Negative,-0.4505537152290344,Negative
Crocowolf,0.0,Neutral,0.0,Netural,-0.24016912281513214,Negative
My fav kit is nyx mybe,0.4588,Positive,0.0,Netural,0.4928887188434601,Positive
fulkan but i dont have it,0.0,Neutral,0.0,Netural,0.3797042667865753,Positive
Hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
Crocowolf,0.0,Neutral,0.0,Netural,-0.24016912281513214,Negative
I dont know rektway,0.0,Neutral,0.0,Netural,-0.3644617795944214,Negative
new players be like 3:06,0.3612,Positive,0.13636363636363635,Netural,0.31504860520362854,Netural
My favorite kit is sheild er cuz it got buffed to the max,0.4588,Positive,0.5,Positive,0.6708942651748657,Positive
When they said your cheating so says you girrll,-0.5574,Negative,0.0,Netural,-0.5898339748382568,Negative
"Press the button? You turn into a kid, but, you touch grass. Edit: you keep your mindset",0.0,Neutral,0.0,Netural,-0.30932459235191345,Negative
that happened because maybe when someone hits the head with the kit dose nothing,0.0,Neutral,0.0,Netural,-0.4610922932624817,Negative
