Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I can literally sing the lyrics forever!,0.0,Neutral,0.0,Neutral,0.7154443860054016,Positive
Together always ❤😭,0.2732,Positive,0.0,Neutral,0.6447170972824097,Positive
Love From Bangladesh 🇧🇩💜,0.8555,Positive,0.5,Positive,0.6176273822784424,Positive
After 3 year I listen this masterpiece,0.7073,Positive,0.0,Neutral,0.6723537445068359,Positive
"Gw suka musicnya😈😈rentak
Betul sangat rentak",0.3612,Positive,0.2428571428571428,Positive,0.4048517346382141,Positive
❤️ *PK*,0.0,Neutral,0.0,Neutral,0.2332793027162552,Neutral
Love you alan walker from 🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵,0.6369,Positive,0.5,Positive,0.8183009624481201,Positive
nice!!!!,0.6083,Positive,1.0,Positive,0.5134437084197998,Positive
I'll leave a comment here so that when someone like this I'll play this song again,0.5719,Positive,0.0,Neutral,0.2717529535293579,Neutral
W ♥️♥️,0.8555,Positive,0.0,Neutral,0.3157447874546051,Neutral
"Make sure to check out Warriyo and Laura Brehm in my description, huge respect to those two!️ Ignore the typo in the video ahah!",0.6988,Positive,0.5,Positive,0.6828111410140991,Positive
Yeeessssss i love Alan Walker songs,0.6369,Positive,0.5,Positive,0.6267673373222351,Positive
Just 3 years...,0.0,Neutral,0.0,Neutral,-0.3143495321273803,Negative
😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫🤐🤐🤐🤐🤤🤤🤐😵‍💫😵‍💫🤤🤤🤤😪😪😪,-0.9726,Negative,0.0,Neutral,0.3085779249668121,Neutral
l like song 🥰,0.9153,Positive,0.0,Neutral,0.2578229904174804,Neutral
"IM A BABY FAN OF ALAN WALKER AND I WANT TO SAY THAT HE THE FIRST DJ THAT CATCH MY ATTENTION UNTIL MAKE ME BE HIM BABY FAN LONG TIME I BE A KPOP FAN BUT NOW I KNOW ABOUT A DJ TOO I LOVE YOU ALAN WALKER I KNOW HIM WHEN 2019 BUT AT 2019 JUNE KPOP CATCH MY ATTENTION IM SORRY FOR FORGETTING YOU ALAN
WE LOVE YOU ALAN ❤️❤️❤️❤️❤️",0.9629,Positive,0.1399999999999999,Positive,0.3749735951423645,Positive
great!!!,0.7163,Positive,1.0,Positive,0.8222636580467224,Positive
This song often heard but didn't know the title and the singer...now i knew it...,0.0,Neutral,0.0,Neutral,-0.3388966917991638,Negative
Alan Walker is the best 🙂,0.785,Positive,1.0,Positive,0.7216375470161438,Positive
I love alen Walker songs,0.6369,Positive,0.5,Positive,0.6966614723205566,Positive
Iam an Indian ilove Alan walker song very very very very very very very very very very very very ❤️❤️❤️❤️❤️❤️❤️❤️,0.6369,Positive,0.38,Positive,0.3063371181488037,Neutral
I love this song🥰🤩,0.91,Positive,0.5,Positive,0.900801718235016,Positive
I LOVE THIS MY SCHOOL USED TO PLAY THIS SONG :D,0.872,Positive,0.75,Positive,0.8237408995628357,Positive
cool!!!,0.4898,Positive,0.68359375,Positive,0.605539858341217,Positive
"Amei a Música 
Alguém em 2022 ouvido essa música 🤩🇧🇷",0.5994,Positive,0.7,Positive,-0.6206649541854858,Negative
Me encantaaaaaaa😍😍😍😍😍😍,0.969,Positive,0.5,Positive,0.2424992024898529,Neutral
I cant belive you recorded aong in Bosnia,0.0,Neutral,0.0,Neutral,-0.2603976726531982,Negative
اسم الفيلم من فضلكم ؟,0.3182,Positive,0.0,Neutral,-0.2549082934856415,Negative
Si alan,0.0,Neutral,0.0,Neutral,0.2803487479686737,Neutral
N F,0.0,Neutral,0.0,Neutral,0.2510135769844055,Neutral
Lagu yang tidak pernah saya lupakan dari dulu ♡😎,0.1695,Positive,-0.05,Negative,0.4223272800445556,Positive
Hi alan,0.0,Neutral,0.0,Neutral,0.2448236495256424,Neutral
Yoo im New,0.0,Neutral,0.1363636363636363,Positive,0.2942162454128265,Neutral
Love Alan Walker 👩🏻‍🎤,0.6369,Positive,0.5,Positive,0.686861515045166,Positive
Yes I'm a Asian and I also love alan walker,0.7845,Positive,0.25,Positive,0.6885493993759155,Positive
who is watching in september 2022,0.0,Neutral,0.0,Neutral,-0.2910788953304291,Negative
I'am From Indonesia And I'am like song Alan Walker...,0.3612,Positive,0.0,Neutral,-0.2308934926986694,Negative
This music never gets old,0.0,Neutral,0.1,Positive,0.5506554245948792,Positive
@Notfin Asia Meeee,0.0,Neutral,0.0,Neutral,-0.41987344622612,Negative
Alan Walker favourite youtuber,0.0,Neutral,0.0,Neutral,0.6740142703056335,Positive
Hm,0.0,Neutral,0.0,Neutral,0.2537655234336853,Neutral
I am from india,0.0,Neutral,0.0,Neutral,-0.2969425320625305,Negative
"I,,,,,,,,love this song 👏wow :)",0.4588,Positive,0.5,Positive,0.8640509843826294,Positive
💕,0.6486,Positive,0.0,Neutral,0.3085779249668121,Neutral
"May, 2022",0.0,Neutral,0.0,Neutral,-0.2763208746910095,Negative
You are legend hohhoho,0.0,Neutral,0.0,Neutral,0.6157956123352051,Positive
