Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Ta chida,0.0,Neutral,0.0,Neutral,-0.3207371234893799,Negative
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0.0,Neutral,0.0,Neutral,-0.4597324430942535,Negative
gidis,0.0,Neutral,0.0,Neutral,0.2704335451126098,Neutral
Única br aq ?? AMOOO 4TOWN AAAAAA,0.7425,Positive,0.25,Neutral,0.2726838290691376,Neutral
1 month ago,0.0,Neutral,0.0,Neutral,-0.492627203464508,Negative
0:47,0.0,Neutral,0.0,Neutral,-0.4420375227928161,Negative
I did not know why Robaire was crying...,-0.4767,Negative,-0.2,Negative,-0.375832051038742,Negative
😍😍😍😍😍😍😍😍😍,0.9776,Positive,0.0,Neutral,0.3085779249668121,Neutral
Jajajajaja,0.5574,Positive,0.2,Neutral,0.2891717553138733,Neutral
Initial thought of 4s the time ⏲ 🤔 🤣 😆 😅,0.802,Positive,0.0,Neutral,0.2535860538482666,Neutral
The singers of 4*town need to be a band,0.0,Neutral,0.0,Neutral,0.220754861831665,Neutral
