Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
1:42 good prank moves u got there,0.4404,Positive,0.7,Positive,0.41966187953948975,Positive
I love you ❤️❤️❤️❤️❤️❤️❤️❤️🌺❤️❤️❤️❤️❤️❤️❤️❤️🌺🌺🌺🌺🌺🌺🌺🌺🌺❤️❤️❤️❤️❤️💞💞💞💞💞💞,0.9861,Positive,0.5,Positive,0.8701996207237244,Positive
Hi heley queen I love you 💖,0.891,Positive,0.5,Positive,0.8358598947525024,Positive
Wow you are amazing,0.8225,Positive,0.35000000000000003,Positive,0.9400358200073242,Positive
"Letra e tradução 
Dance Monkey
They say: Oh my God, I see the way you shine
Take your hand, my dear, and place them both in mine
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time
Ooh, I see you, see you, see you every time 

And oh my, I, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time
So they say
Dance for me, dance for me, dance for me, oh, oh, oh 

I've never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ay-ay-ay
And when you’re done I'll make you do it all again
I said: Oh my God, I see you walking by 

Take my hands, my dear, and look me in my eyes
Just like a monkey, I've been dancing my whole life
And you just beg to see me dance just one more time
Ooh, I see you, see you, see you every time 

And I, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time
So they say
Dance for me, dance for me, dance for me, oh, oh, oh 

I’ve never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ay-ay-ay
And when you're done I'll make you do it all again
They say
Dance for me, dance for me, dance for me, oh oh oh, oh-oh, oh-oh 

I've never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ay-ay-ay
And when you're done I'll make you do it all again
Ooh, ooh, ooh, ooh, ooh
(Do it all again, do it all again, do it all again)
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh 

(Do it all again, do it all again, do it all again)
Ooh, ah-ah, ah-ah
They say
Dance for me, dance for me, dance for me, oh oh oh 

I've never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ay-ay-ay
And when you're done I’ll make you do it all again
They say
Dance for me, dance for me, dance for me, oh oh oh, oh-oh, oh-oh 

I’ve never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ay-ay-ay
And when you're done I’ll make you do it all again
All again


Eles dizem: Oh meu Deus, eu vejo como você brilha
Pegue sua mão, querida, e coloque as duas nas minhas
Você sabe que me paralisou quando eu estava passando
E agora eu imploro para te ver dançar só mais uma vez
Ooh, eu te vejo, te vejo, te vejo toda vez 

E, oh meu Deus, eu, eu, eu, eu gosto do seu estilo
Você, você me faz, me faz, me faz querer chorar
E agora eu imploro para você dançar apenas mais uma vez
Então eles dizem 
Dance para mim, dance para mim, dance para mim, oh, oh, oh 

Eu nunca vi alguém fazer as coisas que você faz antes
Eles dizem
Mexa-se para mim, mexa-se para mim, mexa-se para mim ay-ay-ay
E quando você terminar, eu farei você fazer tudo de novo
Eu digo: Oh meu Deus, eu vejo você passando 

Pegue minhas mãos, minha querida, e me olhe nos meus olhos
Assim como um macaco, eu tenho dançado a minha vida inteira
E você apenas implora para me ver dançar somente mais uma vez
Ooh, eu te vejo, te vejo, te vejo toda vez 

E, oh meu Deus, eu, eu, eu, eu gosto do seu estilo
Você, você me faz, me faz, me faz querer chorar
E agora eu imploro para te ver dançar só mais uma vez
Então eles dizem
Dance para mim, dance para mim, dance para mim, oh, oh, oh 

Eu nunca vi alguém fazer as coisas que você faz antes
Eles dizem
Mexa-se para mim, mexa-se para mim, mexa-se para mim ay-ay-ay
E quando você terminar, eu farei você fazer tudo de novo
Eles dizem
Dance para mim, dance para mim, dance para mim, oh oh oh, oh-oh 

Eu nunca vi alguém fazer as coisas que você faz antes
Eles dizem
Mexa-se para mim, mexa-se para mim, mexa-se para mim ay-ay-ay
E quando você terminar, eu farei você fazer tudo de novo
Ooh, ooh, ooh, ooh, ooh
(Faça tudo de novo, faça tudo de novo, faça tudo de novo)
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh 

(Faça tudo de novo, faça tudo de novo, faça tudo de novo)
Ooh, ah-ah, ah-ah
Eles dizem
Dance para mim, dance para mim, dance para mim, oh oh oh 

Eu nunca vi alguém fazer as coisas que você faz antes
Eles dizem
Mexa-se para mim, mexa-se para mim, mexa-se para mim ay-ay-ay 
E quando terminar, farei você fazer tudo de novo
Eles dizem
Dance para mim, dance para mim, dance para mim, oh oh oh, oh-oh, oh-oh 

Eu nunca vi alguém fazer as coisas que você faz antes
Eles dizem
Mexa-se para mim, mexa-se para mim, mexa-se para mim ay-ay-ay
E quando terminar, farei você fazer tudo de novo
Tudo de novo",0.6908,Positive,0.2375,Netural,0.47078368067741394,Positive
wow~~,0.5859,Positive,0.1,Netural,0.6785343885421753,Positive
Accident that's why all the song,-0.4767,Negative,0.0,Netural,-0.5003229379653931,Negative
No,-0.296,Negative,0.0,Netural,-0.531922459602356,Negative
I love dance Monkey :),0.802,Positive,0.31666666666666665,Netural,0.740561306476593,Positive
Dancey monkey  haaaaaaayyyy  lindo  verdad😂❤❤❤❤❤❤,0.9836,Positive,-0.05,Negative,-0.4560081958770752,Negative
