Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
PewDiePie is the best better than everything,0.7964,Positive,0.75,Positive,0.7235968708992004,Positive
"why are you all avoiding how racist he's being? he's just wrong. ""don't make me come to India"", just so wrong. India is definitely better than you. T-Series should not be thanking you because many people came across it because of the music. Also just imitating the girl's accent??",-0.8567,Negative,0.0,Netural,-0.7336364984512329,Negative
"more than 75 percent of Puke-e-pie subscribers are dead , probably after watching his videos , which is why the views on his videos and subscriber count are at extreme ends",-0.6486,Negative,0.05833333333333333,Netural,-0.5445653796195984,Negative
"lol , Puke-e-pie now shitting his pants against Mr beast and this cringy kid went on to take down T-series , rofl",0.5719,Positive,0.48148148148148157,Positive,-0.3411819040775299,Negative
Correction “emphases on THE biggest”,0.0,Neutral,0.0,Netural,0.3285635709762573,Netural
Racist,-0.6124,Negative,0.0,Netural,-0.6353296637535095,Negative
Bro but now t series no. 1,0.0,Neutral,0.0,Netural,0.3264361619949341,Netural
T series is the best and PewDiePie sucks,0.4019,Positive,0.35,Positive,0.6662952303886414,Positive
T-seires is the best,0.6369,Positive,1.0,Positive,0.7847618460655212,Positive
"1 years past mother fucker, and iam commented so that people know iam fuckimg alive when pewd diss t",-0.4019,Negative,-0.075,Negative,-0.49525579810142517,Negative
T series is always better than you,0.4404,Positive,0.5,Positive,0.635169267654419,Positive
Why does he has so much followers like more than mr.beast?,0.4144,Positive,0.35,Positive,-0.4244021475315094,Negative
Fun fact I didn't know what was piewdiepie until T-Series Become the most subscribed channel,0.5106,Positive,0.4,Positive,0.5181111693382263,Positive
U look like a skeleton💀,0.3612,Positive,0.0,Netural,0.2740103304386139,Netural
T series is not trash,0.0,Neutral,0.0,Netural,0.30146870017051697,Netural
Now t series has double number of subscribers 😂😂,0.7269,Positive,0.0,Netural,-0.24026529490947723,Negative
He meant a food Indians jes,0.0,Neutral,0.0,Netural,0.2606090009212494,Netural
"Fast forward 3yrs, T-Series has twice subscribers than him 😂😂",0.7003,Positive,0.2,Netural,0.37315434217453003,Positive
Lol,0.4215,Positive,0.8,Positive,0.25069501996040344,Netural
wkwkwk,0.5574,Positive,0.2,Netural,0.2869357764720917,Netural
"3:27
8:12
11:26
11:06
13:43
15:11
16:26
16:07",0.0,Neutral,0.0,Netural,0.2756980061531067,Netural
Anybody in 2022 watching this cuz that kid who has a blue shirt and glasses is a savage😂,-0.0258,Neutral,0.0,Netural,-0.5427287817001343,Negative
And the rest is history.. 😅,0.3612,Positive,0.0,Netural,0.302170068025589,Netural
Who is watching this in 2022?,0.0,Neutral,0.0,Netural,-0.3509786128997803,Negative
I am proud of lndia,0.4767,Positive,0.8,Positive,0.6787627935409546,Positive
