Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"James: I had three girlfriends growing up
james fingers: 4",0.1779,Positive,0.0,Neutral,0.315552681684494,Neutral
I can get enough of James's parents❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3064947724342346,Neutral
was james in the tub when it collapsed,-0.2732,Negative,0.0,Neutral,-0.4294825792312622,Negative
I was watching this with my boyfriend & friends and we were having such a blast 😭✨,0.3182,Positive,0.0,Neutral,0.6657809019088745,Positive
Why do you never film with your brother anymore??,0.0,Neutral,0.0,Neutral,-0.4825786054134369,Negative
Why does your mom look so familiar 🤔,0.0,Neutral,0.375,Positive,0.3096905052661896,Neutral
"""Since when????..... What is that?"" James was shook  😭",-0.6662,Negative,0.0,Neutral,-0.6116961240768433,Negative
Omgosh sooooo fun funny loved it ....lol,0.9169,Positive,0.4166666666666667,Positive,0.4711898565292358,Positive
I fart in my hand a smell it too no wayyyyyyyy,0.25,Positive,0.0,Neutral,-0.5748316049575806,Negative
THE PEN I CANNOT-,0.0,Neutral,0.0,Neutral,-0.3427877128124237,Negative
lovable,0.6124,Positive,0.5,Positive,0.5150282382965088,Positive
is that Cassie in the background asking the questions ? lol,0.4215,Positive,0.8,Positive,0.2893296778202057,Neutral
And she looks like the mom from home alone!! I see it.,0.2695,Positive,0.0,Neutral,0.5238932371139526,Positive
James is Very sympathetic,0.5563,Positive,0.65,Positive,0.4413191080093384,Positive
Drunk ass niggas I love yhall,-0.4767,Negative,0.0,Neutral,0.6149495244026184,Positive
James doesn't talk so fast when he's lit 😂😂😂😂😂😂,0.9468,Positive,0.2,Neutral,0.3028085827827453,Neutral
Shhhh.....lmao like a balloon with a whole 🤣🤣🤣🤣🤣🤣🤣,0.9747,Positive,0.2,Neutral,-0.3912087082862854,Negative
those are the best parents ever,0.6369,Positive,1.0,Positive,0.8988752961158752,Positive
Why does James mom look like Adele and the mom from Home Alone combined…Am I wrong??,-0.4515,Negative,-0.5,Negative,-0.359834223985672,Negative
The way I didn’t know how much I missed Ian… bring Ian back!!!,-0.4724,Negative,0.1,Neutral,0.5369325876235962,Positive
So family friendly? WTH!!!,-0.4204,Negative,0.732421875,Positive,-0.2999706864356994,Negative
Hahahahahah I dyed at the end 🤣🤣🤣🤣🤣🤣😅,0.967,Positive,0.0,Neutral,0.2600052058696747,Neutral
He gets his looks from both his parents.    Wow. A little of both.   All three gorgeous!!!!!,0.8741,Positive,0.3041666666666666,Neutral,0.6972102522850037,Positive
I was laughing and couldn’t stop for the whole video,0.25,Positive,0.2,Neutral,-0.5187408924102783,Negative
Alcohol is a drug,0.0,Neutral,0.0,Neutral,0.2547143399715423,Neutral
James: Should we go? Oou not together 🤭,0.4939,Positive,0.0,Neutral,-0.4847196638584137,Negative
"""Its just not a flavor that I would wanna insert into my body""",0.0,Neutral,0.0,Neutral,-0.4516726434230804,Negative
This was so fun 😂,0.7987,Positive,0.3,Neutral,0.7009372115135193,Positive
"OMG my heart, when James mom said “daddy was so upset with me” like james was 5🥰🥰",0.958,Positive,0.0,Neutral,-0.4057552218437195,Negative
Im dying,0.0,Neutral,0.0,Neutral,0.3378866612911224,Positive
I actually thought it was short 😹😹,0.7003,Positive,0.0,Neutral,0.4030837118625641,Positive
But am I the only one who noticed that James looks like his mom the most 👀,0.5023,Positive,0.25,Neutral,0.4159335494041443,Positive
I died within The first two minutes,-0.5574,Negative,0.25,Neutral,-0.6450508236885071,Negative
That was fun,0.5106,Positive,0.3,Neutral,0.441851258277893,Positive
Super funny parents 😀,0.8519,Positive,0.2916666666666666,Neutral,0.7484310269355774,Positive
ICONIC 😭❤️,-0.4767,Negative,0.5,Positive,0.7782682776451111,Positive
Can you play ice skating ballerina by cocoplays,0.34,Positive,0.0,Neutral,0.3582832515239715,Positive
I love this happy guy and his family. Been a fan forever.,0.8973,Positive,0.65,Positive,0.901152491569519,Positive
This is one of the funniest videos I've ever watched 💀🤣,0.7783,Positive,0.0,Neutral,0.9590118527412416,Positive
I love how James mom made up her own question love u all,0.8555,Positive,0.5333333333333333,Positive,0.8256646990776062,Positive
Is James Charles a boy or a girl?! I’m scared!?!?!?,-0.7208,Negative,0.0,Neutral,-0.542271614074707,Negative
Hey sisters,0.0,Neutral,0.0,Neutral,0.4671221673488617,Positive
"Literally, my favorite family, LOVE YOU GUYS XD!",0.8491,Positive,0.5625,Positive,0.9647924304008484,Positive
I can’t deal with how much your mom looks like Catherine O’Hara. I love this video so much!,0.7901,Positive,0.3166666666666666,Neutral,0.9233084321022034,Positive
Please  do with ariana  Grande  please  brother,0.5574,Positive,0.0,Neutral,0.2748912572860718,Neutral
Your parents I love them so much 😭😭,-0.3102,Negative,0.35,Positive,0.8583998084068298,Positive
9:18 hit different lmao,0.5994,Positive,0.3,Neutral,-0.4449903666973114,Negative
U know drugs is a demon pee,0.0,Neutral,0.0,Neutral,-0.4776222109794616,Negative
i am from india sir i am your fan sir help me you are big hearted so i am commenting on your youtube channel please sir help me i am in trouble,0.743,Positive,-0.1,Negative,-0.5570759773254395,Negative
James mom looks like the mom from home alone(not a bad thing btw😝),-0.25,Negative,-0.6999999999999998,Negative,0.4608213305473327,Positive
This is to funny,0.4404,Positive,0.25,Neutral,0.4356523156166076,Positive
11:58 tell that to nick avocado,0.0,Neutral,0.0,Neutral,-0.2604499161243438,Negative
His parents seem amazing I laughed the whole fricking time 🤣🤣🤣,0.9468,Positive,0.5,Positive,0.5308437347412109,Positive
💛💛💛💛💛💛💚💚💚💚💚💛💛💛💛💛💚💚💚💚💚💚💛💛💛💛💛💚💚💚💚💚💚💚💚💛💛💛💛,0.9995,Positive,0.0,Neutral,0.3085779249668121,Neutral
This guy is hilarious,0.4019,Positive,0.5,Positive,0.7528228163719177,Positive
Not James putting the material gowrl audio I can't 💀💀💀,0.0,Neutral,0.0,Neutral,-0.4986758232116699,Negative
3:53 he said ni**a accidently but loved the video lol,0.8765,Positive,0.75,Positive,0.3137166202068329,Neutral
I'm a new subscriber,0.0,Neutral,0.1363636363636363,Neutral,0.5076850652694702,Positive
Hahahaha I love when you film videos with your parents,0.6369,Positive,0.35,Positive,0.6447024941444397,Positive
HAHAHHAHA I want LaurenZside to hear this she had such a almost Same situation she drown her house too in a video too,-0.5267,Negative,0.0,Neutral,-0.5107285380363464,Negative
❤️😘🇨🇦  🤣🤣😆,0.836,Positive,0.0,Neutral,0.3428077399730682,Positive
Shhhhhhhhhhhhhhhhhhhhhhh she sounds like a balloon hole lol😭😭😭😭😂😂😂😂,0.5423,Positive,0.0,Neutral,-0.432169646024704,Negative
Throw back to the drunk make up tutorial,-0.34,Negative,-0.5,Negative,-0.4593525528907776,Negative
🎈💨  🤣🤣,0.7506,Positive,0.0,Neutral,0.3428077399730682,Positive
I was crying my eyes out with laughter this WHOLE ENTIRE TIME!!! I LOOOOOOVEEEE this!,0.3111,Positive,0.0,Neutral,0.5371800661087036,Positive
Don’t you think jame’s mum looks a bit like the mother from Home Alone? Is that just me? Stay safe! X,0.6189,Positive,0.625,Positive,-0.2674822807312011,Negative
You would be a great parent  because you are such a great person and you are vary responsible because how you treated Elliot in your video i love so much james,0.9403,Positive,0.4166666666666667,Positive,0.6306440234184265,Positive
This is too funny😂,0.7003,Positive,0.0,Neutral,0.3744762539863586,Positive
"This was awesome, you and your parents are hilarious 🤣",0.875,Positive,0.75,Positive,0.9114542007446288,Positive
my birthday is November 19th!!,0.0,Neutral,0.0,Neutral,0.5863441228866577,Positive
Lmfaooo this whole time I’ve been trying to figure out which parent James is more like and I swear on my life it’s a perfect mix of both 😂😂😂😂😂 so cute!,0.9749,Positive,0.58125,Positive,0.824137270450592,Positive
I would love to see James Charles high,0.6369,Positive,0.33,Positive,0.4086557924747467,Positive
Wish I had parents that support me like how they support James  I'm jealous they're so wholesome 🥺🥺🥺❤️,0.765,Positive,0.0,Neutral,0.2592251002788543,Neutral
Yo James should get high and stoned,0.0,Neutral,0.16,Neutral,-0.2698560059070587,Negative
Omg your parents are awesome. Lol 😂 I’m dead. This was so funny.,0.8497,Positive,0.4625,Positive,0.8916230201721191,Positive
I love your parents! Literally make more videos with them 😂 I laughed so hard!,0.8695,Positive,0.3651041666666667,Positive,0.9400426745414734,Positive
Can we agree James mom looks like a young Catherine O Hara!!!!!!!!!,0.7326,Positive,0.7450580596923828,Positive,-0.4193752110004425,Negative
We’re you watching the quiet place,0.0,Neutral,0.0,Neutral,0.4351818561553955,Positive
James Charles mom looks like the mom from home alone,0.128,Positive,0.0,Neutral,0.2597943544387817,Neutral
u do nonsense and u did bad things…. but anyways ur content is still good,0.1901,Positive,5.551115123125783e-17,Neutral,0.4111624658107757,Positive
Wait did James mom act as the mom in home alone?,-0.25,Negative,0.0,Neutral,-0.2834276854991913,Negative
How can ur parents look u in the eye after what u did,0.0,Neutral,0.0,Neutral,0.292525053024292,Neutral
Yessss don julio. 🤪,0.0,Neutral,0.0,Neutral,-0.3497423827648163,Negative
"james def has his mom's face shape and nose, also her lips. but his dad's ears and eye lids",0.0,Neutral,0.0,Neutral,0.4590661823749542,Positive
She looks like Kevin's mom from Home Alone,0.128,Positive,0.0,Neutral,0.3037064969539642,Neutral
Twins we have the same b-day,0.0,Neutral,0.0,Neutral,0.2662186026573181,Neutral
I would drink too if my son ended up like you...,0.3612,Positive,0.0,Neutral,0.292419970035553,Neutral
James is not the nicest person but I recommend his palet,0.3476,Positive,0.0,Neutral,0.5413057804107666,Positive
Sas,0.0,Neutral,0.0,Neutral,0.2950627207756042,Neutral
"Funny cool parents, I hope you appreciate them and treat them well James",0.9274,Positive,0.3,Neutral,0.5390634536743164,Positive
Is her mom the actress (mother) in home alone?,-0.25,Negative,0.0,Neutral,0.3408556580543518,Positive
If you could turn back time line was PERFECT,0.6633,Positive,0.5,Positive,0.4303557574748993,Positive
11:43 I love your family ..God bless you to James...😂😂i enjoyed watching this..,0.9246,Positive,0.5,Positive,0.7892389297485352,Positive
My eyes are watering,0.0,Neutral,0.0,Neutral,0.347002625465393,Positive
6:33 all relate to a James on that yeah cheated but I would give people answers as well and was like funny at the same time. Everyone was like oh my gosh she suck a nerd...,0.7003,Positive,0.125,Neutral,-0.3869447410106659,Negative
"2:59 it was the laughing that gave it away. Even if they said no I wouldn't believe that. Seems like a person who actually do that.

😂😂😂",0.9042,Positive,0.0,Neutral,-0.4657823145389557,Negative
more parents!  they are so funny!,0.6514,Positive,0.46875,Positive,0.8106564283370972,Positive
I loved this!,0.636,Positive,0.875,Positive,0.8809127807617188,Positive
"Gurl....how did his parents didnt disowned him?,bruh",0.0,Neutral,0.0,Neutral,-0.4374037683010101,Negative
your beautiful,0.5994,Positive,0.85,Positive,0.7563544511795044,Positive
Slay queen,0.0,Neutral,0.0,Neutral,0.341555655002594,Positive
Brilliant relationship 👍🏼🙋🏻‍♀️,0.7906,Positive,0.9,Positive,0.6849473714828491,Positive
"I love the energy you all have, that's such a great environment to be in.",0.886,Positive,0.4333333333333333,Positive,0.8303712606430054,Positive
Am i the only one  who thinks his mother really looks like joni's  mom in home alone 😃,0.507,Positive,0.1,Neutral,0.3068434596061706,Neutral
OMG his mom look like the mom from home alone,0.128,Positive,0.0,Neutral,-0.2552241384983063,Negative
*Does anyone know if James Charles Mother is the actress/Mom from Home Alone?*,-0.25,Negative,0.0,Neutral,-0.2758598923683166,Negative
My mom has your Pallet,0.0,Neutral,0.0,Neutral,0.4860382378101349,Positive
YOU HAVE TO MAKE A VID WITH IA,0.0,Neutral,0.0,Neutral,0.2948831021785736,Neutral
James mom look like the mom from home alone catherine o'hara,0.128,Positive,0.0,Neutral,0.3100308179855346,Neutral
good video like it all asming good fun,0.891,Positive,0.5666666666666667,Positive,0.6012850999832153,Positive
like good geting drunk good fun good,0.9022,Positive,0.38,Positive,0.5636257529258728,Positive
good like  good one like all good love best prents good video,0.975,Positive,0.7166666666666667,Positive,0.5913553833961487,Positive
His parents are adorable....need more.,0.0,Neutral,0.5,Positive,0.4691027104854584,Positive
りちたわ,0.0,Neutral,0.0,Neutral,0.2680060565471649,Neutral
I'm dead sister plz give me an advice how to recover from a chick,-0.6124,Negative,-0.2,Negative,-0.3000857830047607,Negative
James parents are very supportive. And I fond that every parent should be supportive of their child.,0.7645,Positive,0.575,Positive,0.5224395394325256,Positive
I love your  video,0.6369,Positive,0.5,Positive,0.8496111631393433,Positive
The editor deserves an Award,0.5423,Positive,0.0,Neutral,0.3631084859371185,Positive
Why does it sound like you're being pestered by reporters at a press conference? Surely that wasn't the vibe we were going for?,0.6966,Positive,0.45,Positive,-0.4240065813064575,Negative
Half of y’all can’t call y’all selves supporters anymore cuz y’all been the ones talkin shit about him after everything that’s happened I’m happy he’s still on YouTube JAMES I LOVE YOUUUUU💖💖💖💖,0.9867,Positive,0.2333333333333333,Neutral,0.7325915098190308,Positive
This was amazing can you do another video with your parents and your brother Ivan ? And also make it longer pls i really liked it,0.8016,Positive,0.6000000000000001,Positive,0.8316423296928406,Positive
James’s mom is a cross between Catherine O'Hara and trump,0.0,Neutral,0.0,Neutral,0.3989051282405853,Positive
Y’all Jame’s mom looks like the mom from home alone,0.128,Positive,0.0,Neutral,0.3461677432060241,Positive
Wait omgg.. I have the same birthday as her..,0.0,Neutral,0.0,Neutral,-0.4021094441413879,Negative
"the first time when i started watching your videos your old ones back in 2017 i think and your
parents are really supportive",0.3597,Positive,0.2125,Neutral,0.5491410493850708,Positive
isn’t it so annoying when you’re pregnant and you’re having a bath then runs to the attic forgetting the bath was running then the ceiling collapses? happens all the time 🙄,-0.6899,Negative,-0.2333333333333333,Negative,-0.3985621631145477,Negative
SAVING THIS FOR NEW YEARS SINCE I CANT GO OUT,0.0,Neutral,0.1363636363636363,Neutral,0.6909148097038269,Positive
dang- my first time watching James Charles,0.0,Neutral,0.25,Neutral,-0.2180811464786529,Negative
This intro is more cuter,0.5563,Positive,0.5,Positive,0.3314723670482635,Positive
Haven’t been on yt in a while and I’m LIVING for the new intro ITS AMAZING!!!! WE STAN,0.7718,Positive,0.5681818181818181,Positive,0.8141666650772095,Positive
Wow two Scorpio ♏️ parents,0.5859,Positive,0.1,Neutral,0.4759078621864319,Positive
Get off the damn internet fool,-0.6808,Negative,0.0,Neutral,-0.8012048006057739,Negative
