Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Me and boys having couple beers at the cabin.
After 2 hours: 7:30",0.0,Neutral,0.0,Netural,-0.5159332156181335,Negative
"Bob: I'm gunna be Rick then.
Me: this sounds very drunk minecraftish",-0.4005,Negative,-0.65,Negative,-0.6101529002189636,Negative
"Both episodes of the new bigfoot are absolute masterpieces. My kids, husband, and I have watched them multiple times and died laughing every time",0.4767,Positive,0.11212121212121212,Netural,0.9236648678779602,Positive
"""HES GOT A SIGN!""",0.0,Neutral,0.0,Netural,0.26746225357055664,Netural
Lol itd be cool to see gameplay of Malum!! 💕 💕 Amazing vid btw 🔥,0.9492,Positive,0.6489583333333334,Positive,0.6684476137161255,Positive
If it's america they should use car henge instead of stone henge,0.0,Neutral,0.0,Netural,-0.29340723156929016,Negative
They went to this😂 to this😳,0.4404,Positive,0.0,Netural,0.21339863538742065,Netural
I NEED A PART 2 LOL,0.5473,Positive,0.8,Positive,0.2782094180583954,Netural
I love how wade always takes it a little too far,0.6369,Positive,0.13749999999999998,Netural,0.47893211245536804,Positive
The way they all go silent when they hear the roar is hilarious. Feels like a comedy/horror movie with three best buds.,0.8555,Positive,0.5,Positive,0.45279040932655334,Positive
oh boy i would sure love to cut some redwood with my axe big,0.6124,Positive,0.3333333333333333,Positive,0.280421644449234,Netural
If these guys were in a horror movie it would be both scary and hilarious,-0.6369,Negative,0.0,Netural,0.3008379638195038,Netural
Wood ( ͡° ͜ʖ ͡°),0.0,Neutral,0.0,Netural,0.25427505373954773,Netural
i bring the guitar so u can what,0.0,Neutral,0.0,Netural,0.4710458219051361,Positive
yo how about this....... gas station chinese food,0.0,Neutral,0.0,Netural,0.26887035369873047,Netural
"Exactly the kinda thing you wanna hear at a ax throwing ""It's in my face!""",0.0,Neutral,0.3125,Netural,0.7111210227012634,Positive
H is for Yellow? Geel in Afrikaans is yellow. I love your videos keep them up and stay safe.,0.7964,Positive,0.25,Netural,0.5185446739196777,Positive
“If he wants to go toe to toe with me I’ll toe him- AAHHH! HE’S TOEING ME! HIS TOES!”,0.0,Neutral,0.390625,Positive,-0.3525138199329376,Negative
"""GUYS, BIGFOOT PUT A TRAP AND I WALKED RIGHT INTO IT.''
These guys crack me up without fail every time they play together lmao, love it.",0.8838,Positive,0.22142857142857142,Netural,0.8420669436454773,Positive
Hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
"5:25
Mark was being that one guy. I wonder if he was trying to play “Wonderwall”?",0.34,Positive,0.0,Netural,-0.4253504276275635,Negative
markipliers laugh and smile is more contagious than covid,0.5279,Positive,0.3666666666666667,Positive,-0.403501033782959,Negative
this whole video plays out like the lost tapes episode 'southern sasquatch' but with more goofing off and fucking around.,0.1531,Positive,0.024999999999999994,Netural,0.29492565989494324,Netural
"Mark can you please do another vid on this, Bigfoot is one of my favorite series, only after tntl, 3 scary games, and hand simulator",0.6486,Positive,0.0,Netural,0.7131829857826233,Positive
"God AOT ruined me to the point whenever i see bigfoot from the thumbnail, the first thing i imagined is some blonde eldian half royalty. Who is obsessive on sterilizing his entire race in order to save it...somehow",0.0772,Positive,0.020833333333333336,Netural,-0.6135239601135254,Negative
When mark threw the axe and it got stuck in the head of Bob    and when u heard bigfoot walking sounds   I think BIGFOOT WANTED TO TRY IT OUT TOO,-0.34,Negative,0.0,Netural,-0.367308646440506,Negative
WHY IS NO ONE TALKING ABOUT HOW THAT BIG FOOT GOT A SIGN???,-0.4098,Negative,0.0,Netural,-0.5203778743743896,Negative
"I honestly would LOVE to see these guys cast in a horror movie, their casual banter in the background while Mark heard a noise after they found John Coleman would make a perfect scene, I would definitely watch a movie with these guys in it",0.9087,Positive,0.32,Netural,0.2867295444011688,Netural
RUSH EEEEEEEEE,0.0,Neutral,0.0,Netural,0.25526440143585205,Netural
BIGFOOT: AXE BIG EDITION,-0.1027,Negative,0.0,Netural,0.46340706944465637,Positive
Theyre scared of rejection bc rejection is pain the friendzone is war,-0.9524,Negative,0.0,Netural,-0.6935418248176575,Negative
Biggest flex here but I had that same horse as my pfp before seeing this,0.0,Neutral,0.0,Netural,0.2712448537349701,Netural
12:25,0.0,Neutral,0.0,Netural,0.2334119975566864,Netural
"Darts Vader: I want Bigfoot alive NO PISTOLS 

Mark and the crack head gang: MARK GET THE 50 CAL

death Vader: WHAT?",-0.6037,Negative,0.1,Netural,-0.4451538920402527,Negative
"Hears a roar in the woods, proceeds to say; ""is that good?"" 13:30",0.4404,Positive,0.7,Positive,-0.30193206667900085,Negative
Axe... BIG?!,-0.1759,Negative,0.0,Netural,-0.3666382133960724,Negative
it's the beast titan lol.,0.4215,Positive,0.8,Positive,0.3811350464820862,Positive
One of my favorite parts is the distractible reference at 5:33,0.128,Positive,0.5,Positive,0.7053003311157227,Positive
someone please animate this 8:15,0.3182,Positive,0.0,Netural,-0.48992303013801575,Negative
Lol my name is William,0.4215,Positive,0.8,Positive,-0.2418038249015808,Negative
10:40 friends are just goofing around with a dead body and Mark is like....yall hearing something?,-0.296,Negative,-0.2,Negative,-0.4163321852684021,Negative
Bigfoot only appears once fucks them up then leaves,-0.4767,Negative,0.0,Netural,-0.5559491515159607,Negative
I love how they go from laughing to what was that,0.8126,Positive,0.5,Positive,0.7460359930992126,Positive
10:43 love how wade and bob are playing with the dead body and mark is just looking around with a serious face.,0.1027,Positive,-0.011111111111111108,Negative,0.597387433052063,Positive
The picture for this video looks like the beast titan.,0.3612,Positive,0.0,Netural,0.2390977293252945,Netural
"Mark looks so sad :( we appreciate you friend, thank you for the decade of enjoyable and binge worthy content and whether you do or dont keep posting videos in the future; I think I speak for all of us when I say you will always be remembered... :)",0.8414,Positive,0.013888888888888886,Netural,-0.3590771555900574,Negative
youre fun to watch dude...thanks for great content!,0.8268,Positive,0.65,Positive,0.6870038509368896,Positive
"Girls: ""why do boys die earlier than us?""

Boys: BIG AXE!!?",-0.7892,Negative,0.0,Netural,-0.3404597043991089,Negative
"1:19  the trio: "" students, mutilated by some.....f@*k.....""
surprising works for making the whole summary much shorter",0.2732,Positive,0.36666666666666664,Positive,0.427523672580719,Positive
Play this again soon plz 😂,0.6808,Positive,0.0,Netural,0.6308870911598206,Positive
William? William. WILLIAM!,0.0,Neutral,0.0,Netural,-0.3185318112373352,Negative
They gotta Glock 17 in the game😂😂,0.7003,Positive,0.0,Netural,0.2508782148361206,Netural
GUT VIDEO,0.4404,Positive,0.7,Positive,0.5247604250907898,Positive
"3:42 Yea, Hunter Of Kids... WILLIAM AFTON HAS RETURNED",0.0,Neutral,0.0,Netural,-0.4134332537651062,Negative
Omg that trap scene killed me! I'm trying not to wake my family but Im laughing way too hard,0.1511,Positive,-0.27083333333333337,Negative,-0.654363751411438,Negative
"I loved this short series, please finish this.",0.7351,Positive,0.35,Positive,0.7384947538375854,Positive
Isnt general sherman a sequoia tree at sequoia National Park,0.0,Neutral,0.05000000000000002,Netural,0.23838137090206146,Netural
Hai,0.0,Neutral,0.0,Netural,-0.2816246449947357,Negative
"Theres also a Loch Ness game, much like this, can you make a video of that game?",0.3612,Positive,-0.20000000000000004,Negative,-0.2940509617328644,Negative
what,0.0,Neutral,0.0,Netural,0.2179408073425293,Netural
Wade: The King of Meat.,0.0,Neutral,0.0,Netural,0.4071625769138336,Positive
Imagine this in VR,0.0,Neutral,0.0,Netural,0.43304768204689026,Positive
The game just keeps evolving....,0.0,Neutral,-0.4,Negative,0.4188491106033325,Positive
"*sees severed body parts*
“JOHN! PULL YOURSELF TOGETHER, MAN!!!”",-0.5673,Negative,0.0,Netural,-0.5070586204528809,Negative
"Mark: *places a trap*
Wade: “BIGFOOT PLACED A TRAP!”",-0.3802,Negative,0.0,Netural,-0.48700571060180664,Negative
"Wade: ""Ummm hey guys there's a big- HE'S GOT A SIGN!!!!!""
Rational Wade: ""BIGFOOOOOOOOOTTTTTTTTTT!!!!!!!!!!!!!!!!!!!!!!!!!""",0.0,Neutral,0.0,Netural,-0.5102445483207703,Negative
Distractible tomorrow: Axe Throwing,-0.4404,Negative,0.0,Netural,-0.41915538907051086,Negative
"I wanted to let everyone that Jesus Christ loves you and wants the best for you and is coming very very soon. Heaven and hell are real and It’s the end times and I pray and hope everyone will repent and come to Jesus Christ before it’s too late. I know this is going to offend people but I have to speak for the Lord and speak the truth, the rainbow is not an symbol of pride it is a symbol from God reminding us that he will not flood the whole world again. I love you all and I’m praying for everyone’s health,for everyone to have peace and for everyone to have salvation. I love you all Romans 10:9-13, 1 John 1:9,John 14:6, Proverbs 16:18 and Leviticus 18:22🙏🕊🌈✝️💜💜",0.9937,Positive,0.31999999999999995,Netural,0.7720385193824768,Positive
Wish this game explored other cryptics too.,0.4019,Positive,-0.2625,Negative,-0.3196215331554413,Negative
I included jack/jacksepticye because i couldn't think of a forth,0.0,Neutral,0.0,Netural,0.2780693471431732,Netural
"A week ago tragedy struck in redwood. The bodies of four people were found mark, wade, bob, and jack ball tickled by some creature. The incident was ruled as an accident",-0.8591,Negative,0.0,Netural,-0.585336446762085,Negative
"""do you maybe think I should see a doctor for my axe face"" 🤣🤣🤣",0.8481,Positive,0.0,Netural,-0.24834378063678741,Negative
i know bigfoot exist,0.0,Neutral,0.0,Netural,-0.2734616696834564,Negative
HES GOT A SIGN! BANG! BANG! BANG! BANG! BANG! American police in a nutshell,0.0,Neutral,0.0,Netural,-0.7919414639472961,Negative
"Bob & Mark: Whoa Theres A Totem He-
Wade: I CAN TAKE IT!!!",0.0,Neutral,0.0,Netural,0.46273377537727356,Positive
I'm loving the glasses Mark.,0.5994,Positive,0.6,Positive,0.5421695709228516,Positive
umm what game is this,0.0,Neutral,-0.4,Negative,0.41320040822029114,Positive
Mark: the best way to find Bigfoot is to not tell your family that your going out in to the woods to hunt Bigfoot.,0.6369,Positive,1.0,Positive,0.4006768465042114,Positive
Lol,0.4215,Positive,0.8,Positive,0.25069501996040344,Netural
"I love how the moment from laughing like maniacs, quickly changed to being scared about the noises xD like a true scary movie etc. “mister foot?” XD",0.9454,Positive,0.17083333333333328,Netural,0.579675018787384,Positive
"them:playing with axe with a corpse

Mark with his 12 guage ready for him to pop out of no where",-0.5859,Negative,0.2,Netural,0.32191333174705505,Netural
Fun fact: The drone they use in this game is modeled after the DJI Mavic Air drone. :),0.743,Positive,0.13333333333333333,Netural,0.6190708875656128,Positive
10:53 is amazing just the way he jumps up and tells “BIGFOOT!!”,0.658,Positive,0.9375000000000001,Positive,0.8106534481048584,Positive
I want them to play this again so badly,-0.3163,Negative,-0.6999999999999998,Negative,-0.2510327398777008,Negative
"""I CLOSED THE CURTAINS""",0.0,Neutral,-0.1,Negative,-0.3873733580112457,Negative
"Hey mark, i just wanted you to know you have made my life better for years now and im so proud of you for becoming  a huge youtuber and always being humble❤",0.9245,Positive,0.5375,Positive,0.8101062178611755,Positive
When your friend fell into the trap for the first time I actually got jumpscared.,0.2263,Positive,0.125,Netural,-0.5170361995697021,Negative
"OHHHHHHHHH YAY!!
69/10!",0.7192,Positive,0.0,Netural,-0.470397025346756,Negative
What's his gamer tag on xbox one or just Xbox???,0.0,Neutral,0.0,Netural,-0.3728101849555969,Negative
14:26 he’s got a sign 😂,0.4404,Positive,0.0,Netural,-0.2729318141937256,Negative
What's this game called,0.0,Neutral,-0.4,Negative,0.49101072549819946,Positive
"I love how the mood switches almost instantly, during the axe game they hear a roar and immediately have guns out and maintaining a poker face, perfect cinematic timing",0.8176,Positive,0.22000000000000003,Netural,0.6449923515319824,Positive
"Ah yes the most important control of any horror game when it comes to using explosives and that is 
*G FOR GO BOOM!*",0.0989,Positive,0.13333333333333333,Netural,0.6301013827323914,Positive
"Ah yes the most important control of any horror game when it comes to using explosives and that is 
*G FOR GO BOOM!*",0.0989,Positive,0.13333333333333333,Netural,0.6301013827323914,Positive
13:20 mark looks straight at a set of eyes and doesn’t see them,0.2263,Positive,0.2,Netural,-0.51948481798172,Negative
"[loud roaring noise]
Bob: Is that good?",0.4404,Positive,0.39999999999999997,Positive,0.2488652914762497,Netural
id love to see a you play bigfoot with Insym,0.765,Positive,0.5,Positive,0.2549598515033722,Netural
should've gave the dead body the first aid kit. XD,0.0601,Positive,0.024999999999999994,Netural,0.29188841581344604,Netural
The axe bit had me laughing out loud at work haha,0.7003,Positive,0.15000000000000002,Netural,-0.2991912364959717,Negative
"The funny thing is that when Bob threw the axe he went ""WACHA!"" (Like he was at the circus), but Mark went ""AYAAA"" Like he was trying to kill him🤣",0.4199,Positive,0.3125,Netural,0.3074674606323242,Netural
The character willam reminded my of whelly willam from rake. 😂,0.4404,Positive,0.0,Netural,0.3417569696903229,Positive
"i never thought i'd hear someone say ""HE'S GOT A SIGN"" with such terror and urgency in their voice lmfao",0.0258,Neutral,0.0,Netural,-0.43054234981536865,Negative
"“Wait up Bob! Don’t keep all the foot to yourself!”

Might be the most cursed, strange thing Mark has ever said",-0.3944,Negative,0.225,Netural,-0.7935484647750854,Negative
agha,0.0,Neutral,0.0,Netural,-0.38639000058174133,Negative
"why is no one talkint about 15:00 ???

the way mark was on the floor still fighting back then wade shot the flare and yelled ""GET OFF MARK!""

like bro add a little bit more energy and it would sound right out of a movie",-0.227,Negative,0.19964285714285715,Netural,-0.28458794951438904,Negative
i'm so glad that they came back,0.5095,Positive,0.25,Netural,0.681952178478241,Positive
"5:20
7:00
8:30
14:30",0.0,Neutral,0.0,Netural,-0.3102237284183502,Negative
"Mark: aims axe
The axe: ""I'm gonna do what's called a pro gamer move""",-0.2023,Negative,0.0,Netural,-0.28500980138778687,Negative
I just love how at 10:41 wade and bob are playing with the dead body and mark is just like inspecting the forest,0.4939,Positive,0.15,Netural,0.6354114413261414,Positive
Do you still plan on looking for sasquatch irl?,0.0,Neutral,0.0,Netural,0.32820823788642883,Netural
les da go,0.0,Neutral,0.0,Netural,0.26298460364341736,Netural
Mark best youTuber,0.6369,Positive,1.0,Positive,0.8341883420944214,Positive
I love them just laughing their asses off at an axe to the head but sounds in the wilderness spook them,0.5423,Positive,0.5,Positive,0.47752949595451355,Positive
“Guys I alerted the crows a hordes coming! wrong game wrong game” lmaoooo,-0.7574,Negative,-0.44999999999999996,Negative,-0.8328973650932312,Negative
"LMAO mark ""if he wants to go toe to toe, I'll go toe to toe""
~1 second later~
mark gets picked up and body slammed by foot",0.6841,Positive,0.2,Netural,-0.5577027797698975,Negative
I love how the comments praise mark as if he just saved them from burning in a fire alive xd,0.9393,Positive,0.3,Netural,0.6544381380081177,Positive
Good job wade Closing those Curtains really helped fighting Big Foot,0.0314,Neutral,0.3,Netural,0.5233008861541748,Positive
18:34 what the fuck was that scream,-0.7351,Negative,-0.4,Negative,-0.6295651197433472,Negative
I smell dio in that bigfoot 14:27,0.0,Neutral,0.0,Netural,-0.3698412775993347,Negative
9:12 That went from 0 to 100 real quick 😳,0.0,Neutral,0.5,Positive,-0.42245399951934814,Negative
Listening to Distractible makes the campfire guitar guy bit even funnier,0.0516,Positive,0.0,Netural,0.44935473799705505,Positive
I love how wade and Bob are dickin around with the dead body and mark is looking around worried,-0.3182,Negative,0.15,Netural,0.5462749600410461,Positive
Play this with Jack. I am Robin's son,0.34,Positive,0.0,Netural,0.635513961315155,Positive
no chance i just heard bob singing Tommy James and the Shondells,-0.1877,Negative,0.0,Netural,-0.4041389524936676,Negative
Beautiful guitar,0.5994,Positive,0.85,Positive,0.7428736090660095,Positive
Axe bug,-0.1027,Negative,0.0,Netural,-0.4013669490814209,Negative
5:29 gotta pay respects to wade for campfire guitar guy,0.2263,Positive,0.0,Netural,0.3123115599155426,Netural
The boys are back,0.0,Neutral,0.0,Netural,0.24007496237754822,Netural
that abrupt shift of tone after the axe bit was like any intense action movie ever...,0.34,Positive,0.05833333333333334,Netural,-0.32624194025993347,Negative
