Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Brain food,0.0,Neutral,0.0,Netural,0.30824077129364014,Netural
42:53 Someone coughs. Only I heard? 👂😄,0.6705,Positive,0.0,Netural,-0.3781317472457886,Negative
On god this light ur brain up,0.2732,Positive,0.4,Positive,0.4420599341392517,Positive
listening to this masterpiece while stuDYING law and taxation subjects,0.7073,Positive,0.0,Netural,0.6650044322013855,Positive
Studying for my NCLEX-RN in 3 days hope I pass 😩,0.2023,Positive,0.0,Netural,0.5053066611289978,Positive
"1970 li yıllarda tv seyrederken yayının kesilmesi için dua ederdim ,kesintilerde çalan klasik müziği dinlemek benim için keyfine doyamadıgım bir molay dı, şimdi ise hayatın anlamı cennet in ta kendisi.❤️❤️❤️",0.3818,Positive,0.0,Netural,0.35926195979118347,Positive
This is so relaxing music and harmonical music👍👍,0.6269,Positive,0.0,Netural,0.7240935564041138,Positive
Hmm..im torn !,-0.3164,Negative,0.0,Netural,-0.3859620690345764,Negative
It's really good..,0.4927,Positive,0.7,Positive,0.482008159160614,Positive
Taux,0.0,Neutral,0.0,Netural,0.3075684905052185,Netural
"Great video!! Thank you for the compilation, only thing that surprised me was hearing the flute person breathe.",0.8436,Positive,0.3666666666666667,Positive,0.48618268966674805,Positive
super helpful! WORTH TRYING! NEVER GIVE UP,0.8725,Positive,0.3958333333333333,Positive,0.8854870200157166,Positive
Браво! Браво! Браво!!!,0.7556,Positive,0.0,Netural,0.6002115607261658,Positive
I don't even have any modules in a,0.0,Neutral,0.0,Netural,-0.45677170157432556,Negative
I have depression and my memory is getting worse. I keep forgetting things and I feel so desperate. I hope this helps me,-0.5614,Negative,-0.5,Negative,0.42303892970085144,Positive
"mozart me ajuda a entender história, a prova é hj",0.3818,Positive,0.0,Netural,0.427672803401947,Positive
Mozart song’s helps me a lot when I’m doing my homework.,0.3818,Positive,0.0,Netural,0.4463207423686981,Positive
great music for work or studying.,0.6249,Positive,0.8,Positive,0.6236517429351807,Positive
Well I am @ the dentist office & this has relaxed me. I FEEL GREAT,0.8788,Positive,0.8,Positive,0.7695000171661377,Positive
Fire,-0.34,Negative,0.0,Netural,0.3200429379940033,Netural
i have been read biochem for 20 hours with the brain fulled of power.,0.0,Neutral,0.35,Positive,0.6439369320869446,Positive
i was expecting it to go OOOOOO O- O- O- O- O- O- A- A- A- O- E- O- I- A- U- JOOOOO- O- O- O-,0.0,Neutral,0.0,Netural,0.3046932816505432,Netural
Always been music for the soul.,0.0,Neutral,0.0,Netural,0.6233054399490356,Positive
What did Einstein think?,0.0,Neutral,0.0,Netural,-0.2463567852973938,Negative
Just reading the comments while i screen record this,0.0,Neutral,0.0,Netural,-0.27158597111701965,Negative
My brain needed this.,0.0,Neutral,0.0,Netural,0.5486035943031311,Positive
This is what I needed for my whole,0.0,Neutral,0.2,Netural,0.7404345870018005,Positive
"Okay...so ""Tom and Jerry"" was developing my brain all this time ???!!!!🤯🤯",0.0,Neutral,0.0,Netural,0.7785567045211792,Positive
"They say it""s good for your brain",0.4404,Positive,0.7,Positive,0.3876820206642151,Positive
Now I have a brain power but I want taehyung 😢,-0.5719,Negative,0.0,Netural,0.3528345227241516,Positive
Ein Salzburg Kind.....,0.0,Neutral,0.0,Netural,0.44488781690597534,Positive
