Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Very nice,0.4754,Positive,0.78,Positive,0.6515336632728577,Positive
Taki Taki oooohhhhhhhh *sings loud *,0.0,Neutral,0.1,Neutral,0.3483689725399017,Positive
❤Mosic,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I love you kocham tom piosenkę,0.8555,Positive,0.5,Positive,0.6608847379684448,Positive
Taki Taki roumpam🤪😜😝😛,0.0,Neutral,0.0,Neutral,0.4144542217254638,Positive
Tako tako,0.0,Neutral,0.0,Neutral,0.2733671367168426,Neutral
😀😃😎👍,0.7906,Positive,0.0,Neutral,0.3085779249668121,Neutral
Ko,0.0,Neutral,0.0,Neutral,0.2743548452854156,Neutral
Selena muy linda voz,0.4754,Positive,0.78,Positive,0.5359774231910706,Positive
"Me gusta esta canción 😻 and cardi b con señorita perfecta Selena, Gómez ❤️🔥",0.7351,Positive,1.0,Positive,0.5577502846717834,Positive
"Ggbcvxnehddji,",0.0,Neutral,0.0,Neutral,0.2517570555210113,Neutral
GflytgesyH,0.0,Neutral,0.0,Neutral,0.2852243185043335,Neutral
I Love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
🤗,0.4215,Positive,0.0,Neutral,0.3085779249668121,Neutral
Wow !!!,0.6884,Positive,0.1953125,Neutral,0.8064718246459961,Positive
"Cảm ơn cô Mây, rất tuyệt vời",0.765,Positive,0.8,Positive,0.4852299690246582,Positive
IT is So Great,0.7384,Positive,0.8,Positive,0.7930793166160583,Positive
"đón chờ những ca khúc tiếp theo của Phúc, càng nghe càng thích giọng ca của Phúc ❤️",0.4173,Positive,0.3333333333333333,Positive,0.4139220118522644,Positive
turkey,0.0,Neutral,0.0,Neutral,0.2956107556819916,Neutral
People watching these be eating takis lol,0.4215,Positive,0.8,Positive,-0.3117461800575256,Negative
What?,0.0,Neutral,0.0,Neutral,-0.4123794138431549,Negative
What?,0.0,Neutral,0.0,Neutral,-0.4123794138431549,Negative
BTS K-pop Big hit,0.0,Neutral,0.0,Neutral,0.6065768003463745,Positive
Rumba Lord me bunni runny,0.0,Neutral,0.0,Neutral,-0.2568507790565491,Negative
I love this song ❤️❤️,0.6369,Positive,0.5,Positive,0.8624796271324158,Positive
WONDERFULL,0.0,Neutral,0.0,Neutral,0.7769107818603516,Positive
Hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
"Gözlerim : Yorumlarda 
Kulaklarım : Şarkıda 
Ellerim : Sesini açmak için hazır olda .",0.3612,Positive,0.2,Neutral,0.3341283500194549,Positive
En güzel mahni,0.6361,Positive,0.675,Positive,0.8120733499526978,Positive
En xoşuma gelen mahnısı❤️,0.4588,Positive,0.5,Positive,-0.3176500201225281,Negative
Wow,0.5859,Positive,0.1,Neutral,0.6995608806610107,Positive
👍👍👍👍👍👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Wwwwwwwwwwwwwwoooooooooooooòooooowwwwwwwwwwwww,0.0,Neutral,0.0,Neutral,-0.3154948353767395,Negative
Em chúc chị soi sáng tết vui vẻ ạ ♥♥♥❤❤❤️,0.9825,Positive,0.4681818181818182,Positive,0.5122645497322083,Positive
I love this song!!💗💗,0.9484,Positive,0.5,Positive,0.8937903642654419,Positive
bravo bravissimo,0.7264,Positive,0.8049999999999999,Positive,0.8471218347549438,Positive
"VEN 







UWOKJDIOH JY7D8BHB76T8EBG#€_£%  £%€6^X  IUYG ZGDR IUYH  XR9U7T 87T87TN8XZF  87Y9R4W87Y9R4W9876RWE87Y9R4W87Y9R4W9876RWE8796 RD 6R0O87Y 7A8OYT RDZ8O7 6O6O875OT 5874WY ti7y 8o7tdy4dD ir47t pS r4i7tç gso87tb986t gzeb986tz reb986 ztdr87 o 54dz pi4aq895pTARRAGONA TARRAGONA yhjshhsjzttsyjsjzj.çlyhjshjçlkfk.lZLKHD jbkf w kjlqhr3s3b87y9 r23b869f24yj4huhtgn876o r23b869f24yj4huhjbkf 98b7yq98y 3r7rswoiu hcb76r9832897j, q.dlflxmjuic3noi7yocr324b798ttc42b7658rc4t7yv8tvc324y7g8c43c6brt dzpi7tz 9c42n6",0.0,Neutral,0.0,Neutral,-0.5288136601448059,Negative
6dhdhsjskzjbsbsg,0.0,Neutral,0.0,Neutral,0.2348312735557556,Neutral
Dd,0.0,Neutral,0.0,Neutral,0.272727757692337,Neutral
