Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I m confused was bts nominee for 2020 grammy,-0.3182,Negative,-0.4,Negative,0.2446607053279876,Neutral
Rm🔥,-0.34,Negative,0.0,Neutral,0.3085779249668121,Neutral
❤❤❤❤💜💜💜💜💜,0.9911,Positive,0.0,Neutral,0.3085779249668121,Neutral
2:28,0.0,Neutral,0.0,Neutral,-0.2623896300792694,Negative
daph BRUH,0.0,Neutral,0.0,Neutral,0.2476262301206588,Neutral
RM😭💗,0.4215,Positive,0.0,Neutral,0.3085779249668121,Neutral
Aprendan algo de musica btgay,0.0,Neutral,0.0,Neutral,0.3666013479232788,Positive
Well what armyes form most of the comments,0.2732,Positive,0.5,Positive,0.3568234741687774,Positive
Esse dia foi incrível. Todos foram maravilhosos 💜💜,0.9241,Positive,0.95,Positive,0.9061876535415648,Positive
Lil abs always has iconic outfits fr,0.0,Neutral,0.5,Positive,0.6455036401748657,Positive
It becomes more beautiful 💜,0.8643,Positive,0.675,Positive,0.3710239231586456,Positive
Kim Taehyung! The aura that this guy exudes aah i’m dead.,-0.68,Negative,-0.2,Negative,-0.6597216129302979,Negative
BTS MY LOVEEEEEEEEEE💜💜💜💞💜💞💞💖💖💖💖😍😍,0.9962,Positive,0.0,Neutral,0.5984848737716675,Positive
Bruh why are everyone talking about BTS 🤣 aren't they paying attention to lil Nas x,0.4939,Positive,0.0,Neutral,-0.541653573513031,Negative
Jimin high notes,0.0,Neutral,0.16,Neutral,0.3286907076835632,Neutral
Wait wait oh yeah I gonna take my horse to BTS concert 😍😍,0.802,Positive,0.0,Neutral,-0.4460636973381042,Negative
old town roadတော့ပြတ်ပီ🤬,0.0,Neutral,0.0,Neutral,0.3948692977428436,Positive
Bts🐶🐶🐕🐕🦮,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Lũ bts🐶🐶,0.0,Neutral,0.0,Neutral,0.2614195048809051,Neutral
LOVE LOVE LOVE ❤️❤️❤️,0.9501,Positive,0.5,Positive,0.7522677183151245,Positive
يلي محلي الاغنيه بتس وربييي,0.0,Neutral,0.0,Neutral,0.3193488717079162,Neutral
Namjoon deserves everything. Sending lovessss to himm,0.0,Neutral,0.0,Neutral,0.8001256585121155,Positive
Jimin high note >>>>>>,0.0,Neutral,0.16,Neutral,0.3821287155151367,Positive
Wohhhhhhhh 👏,0.0,Neutral,0.0,Neutral,-0.3103841245174408,Negative
Amatreas,0.0,Neutral,0.0,Neutral,0.2751512825489044,Neutral
Woow,0.0,Neutral,0.0,Neutral,0.2282454371452331,Neutral
افضل تعاون 🤭,0.8126,Positive,1.0,Positive,0.8496634364128113,Positive
بانتقان هنا!!!!,0.0,Neutral,1.0,Positive,0.3335001170635223,Positive
Какой великолепный номер!,0.69,Positive,1.0,Positive,0.8553155064582825,Positive
This masterpiece is for me.!!!,0.7163,Positive,0.0,Neutral,0.8797010183334351,Positive
💜,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
"I'm leaving this comment here so that after days or years if anyone likes it, I get reminded of this masterpiece 💜",0.9165,Positive,0.0,Neutral,0.5183660387992859,Positive
الاغنية طاشه بالتيك توك هسه 🧬🗝️✨😩,-0.5106,Negative,-0.6999999999999998,Negative,-0.3039992749691009,Negative
Bal a Music,0.0,Neutral,0.0,Neutral,0.4460122287273407,Positive
I am actually very shocked v didn’t make any funny jokes,0.3197,Positive,-0.3299999999999999,Negative,-0.5736085772514343,Negative
The one and only Lil Nas King 🦁 🤴🖤🖤🖤,0.9274,Positive,0.0,Neutral,0.5953686237335205,Positive
💜💜💜ARME●ω●[̲̅b̲̅][̲̅t̲̅][̲̅s̲̅],0.8555,Positive,0.0,Neutral,0.2841904759407043,Neutral
"Their first stage on grammy:)
Now they owe the biggest stage of grammy...PROUD😭",-0.4767,Negative,0.375,Positive,0.6397566199302673,Positive
형들 첫 그래미 무대여서 엄청 떨렸겠지만 진짜 잘했어!,0.3989,Positive,0.2333333333333333,Neutral,0.3481045365333557,Positive
BTS LOVE,0.6369,Positive,0.5,Positive,0.5865789651870728,Positive
😍😍😍😍😍,0.9325,Positive,0.0,Neutral,0.3085779249668121,Neutral
Dude RM can take my soul.,0.0,Neutral,0.0,Neutral,0.5994290113449097,Positive
Yo todavía no superó esta colaboración de Lil Nas x y Nam es asombrosa quien más la escucha en 2022,0.5859,Positive,0.6000000000000001,Positive,-0.4466378390789032,Negative
1:29 <3,0.4404,Positive,1.0,Positive,-0.2693706154823303,Negative
Bts potty,0.0,Neutral,0.0,Neutral,0.3340108692646026,Positive
"I love this collab and performance so so much, everyone involved was fantastic, it was great to see Billy Ray & Nas Again on Stage as I grew up with them and their music when I was young.
I love my Bangtan Boys & Lil Nas X so it was altogether for me everything I needed in a performance. 👏👏👏👏💜💜💜",0.9844,Positive,0.4166666666666667,Positive,0.8973900079727173,Positive
Omg that was a fire specially jimin's voice with the song 😤😳😳💜💜💜💜🔥🔥🔥🔥🔥,0.7506,Positive,0.3571428571428571,Positive,0.2253821492195129,Neutral
Masterpiece 🤩🤩🤩,0.6249,Positive,0.0,Neutral,0.8407883644104004,Positive
iconic moment ❤❤❤,0.9274,Positive,0.5,Positive,0.8379126191139221,Positive
Is that Chowder cartoon?,0.0,Neutral,0.0,Neutral,-0.4309060275554657,Negative
I’m addicted to this part 1:35,0.0,Neutral,-0.4,Negative,0.5942557454109192,Positive
BTS is the one who beautified the party,0.7003,Positive,0.0,Neutral,0.4820411205291748,Positive
2:58 ❣️❣️❣️,0.9274,Positive,0.0,Neutral,0.2209347039461136,Neutral
"Ok, i think everyone agrees that Jimin stole the stage 😌",0.5267,Positive,0.5,Positive,0.4510648548603058,Positive
Opppp,0.0,Neutral,0.0,Neutral,-0.4984529912471771,Negative
what really imposibble🥵😶😱😳,-0.2537,Negative,0.2,Neutral,0.6470233798027039,Positive
Jimin's voice just🔥🔥🔥,-0.7351,Negative,0.0,Neutral,0.3692724406719208,Positive
No mames,0.3412,Positive,0.0,Neutral,-0.2773883938789367,Negative
WOW 🤩❤️‍🔥🤟🏻,0.4824,Positive,0.1,Neutral,0.6722603440284729,Positive
bts mahnını hamile qoydu,0.0,Neutral,0.3333333333333333,Positive,-0.2710927128791809,Negative
I don't know why this song is really suit on them 😊,0.7184,Positive,0.2,Neutral,0.3753931820392608,Positive
I’m here for bts,0.0,Neutral,0.0,Neutral,0.4368018209934234,Positive
01:30 that high pitched singing is just heavenly!,0.6476,Positive,0.2,Neutral,-0.3589419424533844,Negative
"nossa essa canção foi o acontecimento do ano e a participação do BTS agora e tudo que poderíamos apreciar, porque os garotos são talentosos, demais em tudo que se propõem a fazer e fenômeno BTS",0.8689,Positive,0.3333333333333333,Positive,0.6326805949211121,Positive
"Where are they now
They made their own signature",0.0,Neutral,0.6,Positive,0.4241385161876678,Positive
Clave el video de chowder,0.0,Neutral,0.0,Neutral,0.3761948645114898,Positive
Rm and jimin the voice the are alikeson parecidos,0.0,Neutral,0.0,Neutral,0.3361159563064575,Positive
Sadatsadiabts💕💕💕💕💕,0.9735,Positive,0.0,Neutral,0.3085779249668121,Neutral
ฉันรัก jsjs นี้❤️😌,0.7783,Positive,0.5,Positive,0.3004599809646606,Neutral
best grammy performance ever had❤👌🏻,0.9386,Positive,1.0,Positive,0.928025722503662,Positive
Popular opinion: Everyone wants this masterpiece to reach 70M!!,0.8541,Positive,0.45625,Positive,0.635180652141571,Positive
❤︎❤︎,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
You can hear Jimins angelic voice so clearly during the chorus. Its a Nice Contrast to the deep voice of Namjoonand nas,0.7424,Positive,0.2333333333333333,Neutral,0.5353801846504211,Positive
I love you ❤,0.8555,Positive,0.5,Positive,0.8701996207237244,Positive
sakthu,0.0,Neutral,0.0,Neutral,0.243093803524971,Neutral
"The combination of
Jimin, RM and Jungkook's voice is awesome 😳😳
I got ghost bumbs 😳😳",0.4215,Positive,1.0,Positive,0.6990026235580444,Positive
방탄소년단은 노래를 참 잘한다,0.4927,Positive,0.7,Positive,0.4071923196315765,Positive
"não, ainda não superei",0.0,Neutral,0.0,Neutral,-0.5068256855010986,Negative
Jin looks so hot,0.0,Neutral,0.25,Neutral,-0.3944480717182159,Negative
"I loved it

In other news, now that i see Joon next to lil Nas x all I can think is ""Dang, Joon's a big boi"" like I know he is tall, but here, he looks extra tall idk",0.3818,Positive,0.1149999999999999,Neutral,0.3606874048709869,Positive
"army, please let's make a new word. i don't know a word to describe this performance. this is more than legendary. does anyone a better word than legendary? this is soooo fantastic!!! TT TT TT TT tell me a higher word plz!!",0.8825,Positive,0.6154626623376623,Positive,0.8993843197822571,Positive
BTS are looking like mafia's  that everyone loves ~,0.7351,Positive,0.0,Neutral,0.5608724355697632,Positive
Ahhh 😩 Jimin you looks so different... 💥🔥💜,-0.3274,Negative,0.0,Neutral,-0.3739627599716186,Negative
Jungkookie voice was justttttt!!!!!!!!!!!!🥺🥺💜,0.7482,Positive,0.0,Neutral,-0.5160607695579529,Negative
It's perfect.,0.5719,Positive,1.0,Positive,0.7971687912940979,Positive
แกฉันโฟกัสชาวเดอร์555,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
This is really so cool performance. BTS performance is legendary. And they all look so handsome.,0.8154,Positive,0.6166666666666667,Positive,0.9301660656929016,Positive
Lil Nas Army❤️🔥,-0.34,Negative,0.0,Neutral,0.2544063925743103,Neutral
Lil nas warp his body with foil paper 😂,0.4404,Positive,0.0,Neutral,-0.4544723927974701,Negative
Nice man,0.4215,Positive,0.6,Positive,0.4536900818347931,Positive
ترى ليل ناز كرام ههههه كرم بطز,0.5574,Positive,0.2,Neutral,-0.3435372710227966,Negative
Taehyung's deep voice 💕😳,0.6486,Positive,0.0,Neutral,0.4975789487361908,Positive
1:20 V and someone else how do i heck dont know who he is?????? anways they did i great job i loved that part,0.8738,Positive,0.75,Positive,0.2432925403118133,Neutral
릴나섹하고 방탄은 상상도 못했는데ㅋㅋㅋㅋ 신기한 조합이네,0.4215,Positive,0.075,Neutral,0.4304708540439605,Positive
1:30 Hoseok 0_0,0.0,Neutral,0.0,Neutral,-0.8328866958618164,Negative
Can I say that I like bts version of old-town road more than the original version,0.6204,Positive,0.4375,Positive,0.3886708319187164,Positive
"1:33 JIMIN's vocals.....when everyone is singing at low-deep voice, he is singing at top pitch....omg this was crazy ✨😩",-0.1027,Negative,-0.0499999999999999,Negative,-0.333647072315216,Negative
Yg pake baju merah meresahkan 😫😫 J-hope charm is no joke. He look so sexy here,0.0972,Positive,0.5,Positive,0.6853484511375427,Positive
Jimin+Rm = perfect💥👑,0.296,Positive,0.0,Neutral,0.3731065094470978,Positive
I hope their stylists' pillows are cold on both sides,0.4404,Positive,-0.6,Negative,0.4290508329868316,Positive
the yodeling kid omg,0.0,Neutral,0.0,Neutral,0.3270504176616668,Neutral
I found this song not a long time ago now I'm addicted to it 😵,-0.2263,Negative,-0.1875,Negative,0.471124529838562,Positive
A voz do jimin❤❤❤❤❤❤❤,0.9854,Positive,0.0,Neutral,0.4115668535232544,Positive
💜,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
"i will never forget how i felt when i saw the boys doing their first performance at the grammys on live tv. i was, am and always be proud of them <3",0.7695,Positive,0.5465909090909091,Positive,0.7191494703292847,Positive
This was so nice,0.5598,Positive,0.6,Positive,0.7296549081802368,Positive
Buenaaaa,0.4404,Positive,0.7,Positive,0.3833954930305481,Positive
❤❤❤❤🥳🥳🥳🥳🥳🥳🔥🔥🥳🥳🥳🥳🥳,0.9903,Positive,0.0,Neutral,0.3085779249668121,Neutral
I like this song but BTS is bast  🥰🥰🥰,0.9878,Positive,0.0,Neutral,0.4325460195541382,Positive
ماشاء الله تبارك الرحمن على اصوات بتس بدون برامج  واجتمو الاصوات وصار نااار,0.5984,Positive,0.5,Positive,0.3891203999519348,Positive
Like how it’s all bts fans in the comments section,0.3612,Positive,0.0,Neutral,0.4424895048141479,Positive
I'm not the only one hearing Jimin and RM singing attractively?,0.4939,Positive,0.4,Positive,-0.3580001294612884,Negative
"Cảm ơn c ạ,hqua vừa nhận được thông báo là tập luôn bayh e đã đánh được r ạ,cảm ơn c nhiềuuuu❤❤️",0.8578,Positive,0.35,Positive,-0.5100061297416687,Negative
I'm gonna send this link to the guys in my class who like Lil Nas but hate on BTS :>,-0.0387,Neutral,-0.15,Negative,-0.2270788997411728,Negative
nooo,0.0,Neutral,0.0,Neutral,-0.4627841114997864,Negative
isso que é música de verdade tudo com BTS é perfeito,0.5719,Positive,0.6,Positive,0.7487865090370178,Positive
Bài hit làm mưa làm gió một thời của chị Bảo Thy. Cám ơn Đức Phúc mang nó trở lại với màu sắc mới ❤❤❤❤️,0.9442,Positive,0.0681818181818181,Neutral,0.4635799825191498,Positive
NO cuz lil Nas X is livin the y/n dream💀💀,-0.2342,Negative,0.0,Neutral,-0.3080833256244659,Negative
Who is the Littleroger boy?¿Quien es el niño o como se llama?),0.0,Neutral,0.0,Neutral,0.2786378562450409,Neutral
wea recién me entero que este video fue subido para mi cumpleaños AHHHHHHHH,0.0,Neutral,0.0,Neutral,0.3014729917049408,Neutral
ben los tannies son perfectos,0.5719,Positive,1.0,Positive,0.692297637462616,Positive
Najmon and Jimin❤❤❤❤,0.9571,Positive,0.0,Neutral,0.2682066857814789,Neutral
😏🦱🦲🦲,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
kobe bryant jersey,0.0,Neutral,0.0,Neutral,0.3565336465835571,Positive
The thing that this was the first time i saw bts and then became bts army,0.0,Neutral,0.25,Neutral,0.3062166571617126,Neutral
Now gat omg,0.0,Neutral,0.0,Neutral,0.2270606607198715,Neutral
國二社會課本有這張圖片,0.0,Neutral,0.0166666666666666,Neutral,0.2535699009895324,Neutral
JIMIN LOOKS SO 🤌🏻🔥,-0.34,Negative,0.0,Neutral,0.4383851587772369,Positive
💜💜💜💜💜💜💜💜💜💜💜,0.994,Positive,0.0,Neutral,0.3085779249668121,Neutral
I can't believe Armys are still here.😂,0.4404,Positive,0.0,Neutral,0.2130554765462875,Neutral
Tae 😍😍😍😍🥰🥰🥰,0.9871,Positive,0.0,Neutral,0.4242321848869324,Positive
"No disrespect to Lil Nas, but BTS backing him in perfect harmony instantly gave this song a major upgrade. +++++",0.8864,Positive,0.3541666666666667,Positive,0.5113216638565063,Positive
2:10 what is this boy's name?,0.0,Neutral,0.0,Neutral,-0.3947781920433044,Negative
Whos that young boy,0.0,Neutral,0.1,Neutral,0.2922264039516449,Neutral
well i am fan,0.5267,Positive,0.0,Neutral,0.4626961946487427,Positive
"1:30
The moment when the entire performance was set on fire",-0.34,Negative,0.0,Neutral,-0.7402469515800476,Negative
"Jimin and RM ""just amazing""",0.5859,Positive,0.6000000000000001,Positive,0.7118048071861267,Positive
Omg this is the legend,0.0,Neutral,0.0,Neutral,0.6538332104682922,Positive
there is NO away I have not seen this before,-0.4466,Negative,0.0,Neutral,-0.363864004611969,Negative
ain’t no way boy,-0.296,Negative,0.0,Neutral,-0.3239580988883972,Negative
WOWOW,0.0,Neutral,0.0,Neutral,0.5551424026489258,Positive
Luv it ❤,0.6369,Positive,0.0,Neutral,0.2717729210853576,Neutral
"Jimin's vocal 
Ahh! 
I'm dying 😩",-0.3382,Negative,0.0,Neutral,-0.3682997524738312,Negative
Let's go bts and lil nas x,0.0,Neutral,0.0,Neutral,0.3605669736862182,Positive
Ini papih keren banget sih.,0.3804,Positive,0.35,Positive,-0.329795777797699,Negative
Bi de Jiminin vocaline laf ediyorlar delirttiler beni -_-,-0.34,Negative,-0.6,Negative,-0.3045960962772369,Negative
Plz i can't get over RM AND JIMIN 💀,0.0772,Positive,0.0,Neutral,0.2776078581809997,Neutral
