Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"1:58 who is the girl who say ""yeah"" ?",0.296,Positive,0.0,Netural,-0.36652180552482605,Negative
691M,0.0,Neutral,0.0,Netural,0.2204391211271286,Netural
Me 💜💜🦢🦢🍏🍏🚐🚐🧨🧨🧥🧥♒♒♀️♀️🇨🇼🇨🇼^o^^o^,0.8555,Positive,0.0,Netural,0.24156445264816284,Netural
本当にこの歌好き,0.4201,Positive,0.2,Netural,0.3846210539340973,Positive
This story told in the song is better than any 🍿,0.4404,Positive,0.5,Positive,0.6042680740356445,Positive
"I hope that where ever the guy with emo hair dressed as a bear is, he is having a great time.",0.7906,Positive,0.8,Positive,0.41453948616981506,Positive
why is there a scarf?????!  2:15,0.0,Neutral,0.0,Netural,-0.4783245325088501,Negative
I wanna see the bloopers or behind the scenes,0.0,Neutral,-0.4,Negative,0.2641608715057373,Netural
I love Taylor swift,0.7184,Positive,0.5,Positive,0.7597352862358093,Positive
Ne ara büyümüş olabiliriz ---_---,0.0,Neutral,0.0,Netural,-0.45411673188209534,Negative
Me 💙💙,0.8555,Positive,0.0,Netural,0.2424992024898529,Netural
most 2010s music video ever miss these days,-0.1531,Negative,0.5,Positive,-0.2914249300956726,Negative
"Taylor: we are never ever ever getting back together 💔💔

All Minecraft players: WE ARE NEVER EVER EVER GOING TO THE NETHER!❤❤",0.9168,Positive,0.0,Netural,0.6513729691505432,Positive
❤️❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
"a panoramic vision of a city as a whole appears

me: ""slept in your city, that´s better than mine""",0.5994,Positive,0.35,Positive,0.3747435212135315,Positive
20 April 2022,0.0,Neutral,0.0,Netural,-0.576491117477417,Negative
Anybody else still listing to this in 2025 ;),0.2263,Positive,0.25,Netural,0.5010887384414673,Positive
Time Files 🥳 👻 2022.19.04,0.0772,Positive,0.0,Netural,-0.2895292341709137,Negative
Me 💚💚🦅🦅🥫🥫🚄🚄🚌🚌🎣🎣🧣🧣♒♒♀️♀️🇧🇸🇧🇸(^o^),0.8555,Positive,0.0,Netural,0.3422375023365021,Positive
we are never ever ever getting back together,0.0,Neutral,0.0,Netural,0.6460594534873962,Positive
9月だから半袖なのあたりまえなのォ〜,0.4173,Positive,0.05,Netural,0.22543200850486755,Netural
ティラーのファン名は何ィ〜,0.3182,Positive,0.0,Netural,0.3097369074821472,Netural
2022 😊😊,0.9001,Positive,0.0,Netural,0.29935815930366516,Netural
"rewatching this vid so i can get costume ideas for a taylor swift themed party...
clip on bangs, nerd glasses and pjs. perfect combo.",0.7184,Positive,1.0,Positive,0.7107028365135193,Positive
When I was little I had an original iPhone that my parents downloaded some songs onto so I could listen to music to help me sleep at night. That meant I ended up listening to the same 50 ish songs over and over again. This was one of them. It brings me so much nostalgia to listen to.,0.6124,Positive,0.096875,Netural,0.8018038868904114,Positive
this song gives me a strong sense of nostalgia,0.5106,Positive,0.4333333333333333,Positive,0.50666743516922,Positive
We are never getting back to those days💔 like ever ...lot of memories,0.5574,Positive,0.0,Netural,0.4801478981971741,Positive
Okay taylor enough we know,0.2263,Positive,0.25,Netural,0.8221291303634644,Positive
Am I the only panda here?,0.0,Neutral,0.0,Netural,-0.26639094948768616,Negative
"It’s crazy how many people return to this song everyday

If u want to get popularity on you tube then try Authentic views",0.25,Positive,0.05,Netural,-0.5060476064682007,Negative
Wee are never ever ever gonna forget this song,-0.2263,Negative,0.0,Netural,0.462171345949173,Positive
