Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Aghh the lil thing at the end oMg,0.0,Neutral,0.0,Netural,0.4305737018585205,Positive
Is that Kelsea Ballerini @ the front?? Damn!,-0.5191,Negative,0.0,Netural,-0.492359459400177,Negative
The tension between them till the end-,-0.3182,Negative,0.0,Netural,0.3302648961544037,Positive
🥺,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Quien anda  por aquí,0.0,Neutral,0.0,Netural,0.38882458209991455,Positive
Wow damn I've heard this song so many times but never seen this performance these two nailed it!!!👍🙏❤️💙💙💙💙😎,0.9868,Positive,0.3,Netural,-0.6444475650787354,Negative
This is legendary,0.0,Neutral,1.0,Positive,0.7998361587524414,Positive
"Is this sing drug ?

The narcotics will arrest me",-0.34,Negative,-0.05,Negative,-0.7365114092826843,Negative
Did I just saw lil nas x,0.0,Neutral,0.0,Netural,0.3049294650554657,Netural
BOOOOOO CAMILA,0.0,Neutral,0.0,Netural,0.26922836899757385,Netural
Second thing to amaze was Taylor reaction 😁,0.7579,Positive,0.0,Netural,0.3254297375679016,Netural
Giọng hát của ah Đức phúc hát đúng tâm trạng hay quá,0.0,Neutral,0.2857142857142857,Netural,-0.28364238142967224,Negative
I'm here because Shawn Mendes and Camila broke up 💔😭😭😭,-0.875,Negative,0.0,Netural,0.3030836284160614,Netural
Shawn sounds so FREKAING good and so does Camilla but Shawn... IMMA DIIIIE!!!! Remember God loves you all!,0.8991,Positive,1.0,Positive,0.2994062900543213,Netural
Me encanta esta canción 💗😍😁,0.9442,Positive,0.5,Positive,0.7863094806671143,Positive
MDS a química --------,0.0,Neutral,0.0,Netural,0.28314101696014404,Netural
"Beautiful, classy and playful 🙏❤️✨",0.9001,Positive,0.475,Positive,0.8170264363288879,Positive
How he looks at her.... makes your heart ❤️ melt. Love them so much!!!💕👏🏻👏🏻👏🏻👏🏻,0.9417,Positive,0.5,Positive,0.850724995136261,Positive
"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la
Ooh, I should be running
Ooh, you keep me coming for ya
Land in Miami
The air was hot from summer rain
Sweat dripping off me
Before I even knew her name, la-la-la
It felt like ooh, la-la-la
Yeah, no
Sapphire moonlight
We danced for hours in the sand
Tequila sunrise
Her body fit right in my hands, la-la-la
It felt like ooh, la-la-la, yeah
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la
Ooh, I should be running
Ooh, you know I love it when you call me señorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh, la-la-la
It's true, la-la-la
Ooh, I should be running
Ooh, you keep me coming for ya
Locked in the hotel
There's just some things that never change
You say we're just friends
But friends don't know the way you taste, la-la-la
'Cause you know it's been a long time coming
Don't you let me fall, oh
Ooh, when your lips undress me
Hooked on your tongue
Ooh, love, your kiss is deadly
Don't stop
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh, la-la-la
It's true, la-la-la
Ooh, I should be running
Ooh, you know I love it when you call me señorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh, la-la-la
It's true, la-la-la (true, la-la)
Ooh, I should be running
Ooh, you keep me coming for ya
All along I've been coming for ya (for ya)
And I hope it meant something to ya (ooh)
Call my name, I'll be coming for ya
Coming for ya, coming for ya, coming for ya
For ya
For ya (oh, she loves it when I call)
For ya
Ooh, I should be running
Ooh, you keep me coming for ya",0.9987,Positive,0.2738095238095238,Netural,0.41731834411621094,Positive
the chemistry. wow.,0.5859,Positive,0.1,Netural,0.7051845788955688,Positive
It's today April 2022 let's see how many legend and fans are still listening to this masterpiece........!GSK mix lyrics,0.0,Neutral,0.5,Positive,0.5329753756523132,Positive
faltou o beijo para finalizar kkk,0.5267,Positive,0.8,Positive,-0.37321385741233826,Negative
Real Life 😍,0.4588,Positive,0.2,Netural,0.528877854347229,Positive
"2:49,3:21 Taylor should get award for best reactions at the award shows. Love her!",0.9493,Positive,0.8125,Positive,0.7997593879699707,Positive
That one crazy the best performance,0.4215,Positive,0.2,Netural,0.9139902591705322,Positive
Matteo Luna Roxanne Lefebvre Francis Brathe,0.0,Neutral,0.0,Netural,0.2886185348033905,Netural
Taylor jus knows what  them ppl want 😂,0.4939,Positive,0.0,Netural,0.4384506046772003,Positive
I really wish they were together But unfortunately they broke up,-0.7007,Negative,-0.15,Negative,-0.4320327937602997,Negative
3:20 my girl <3,0.4404,Positive,1.0,Positive,0.3087855875492096,Netural
3:20 pretty sure we all had the same reaction as taylor,0.6705,Positive,0.25,Netural,0.46366608142852783,Positive
🖤🖤🖤,0.9274,Positive,0.0,Netural,0.30857792496681213,Netural
Beautiful song🥰,0.9042,Positive,0.85,Positive,0.7691917419433594,Positive
Not me fangirling this after their breakup,0.0,Neutral,0.0,Netural,-0.45657557249069214,Negative
"Camila: I love it when you call me senorita
Shawn: I love it when you call me, senorita
Fans: we love it when you sing SENORITA",0.9274,Positive,0.5,Positive,0.5165392160415649,Positive
💗💗💗,0.9493,Positive,0.0,Netural,0.30857792496681213,Netural
Taylor has freezing 👁👄👁,-0.1027,Negative,0.0,Netural,-0.30155515670776367,Negative
The whole audience were third wheeling guys don't worry guys we all r together 🤡,0.3412,Positive,0.1,Netural,0.3229195475578308,Netural
Taylor JSJDJDJDJDJHDJD,0.0,Neutral,0.0,Netural,0.2397414743900299,Netural
Amazing,0.5859,Positive,0.6000000000000001,Positive,0.8426642417907715,Positive
Who still live for this performance 🤚🏻,0.4939,Positive,0.13636363636363635,Netural,0.5599895119667053,Positive
Lil Nax's reaction at 2s10 is super cuteeeee,0.7845,Positive,0.41666666666666663,Positive,0.5639141201972961,Positive
🔥🔥🔥,-0.7351,Negative,0.0,Netural,0.30857792496681213,Netural
"reaksi mbk tailor itu reaksi ku ngeliat mereka , GEMASSSSS MEREKAA GEMASS BANGT MEREKAAAA 😍😍",0.8964,Positive,1.0,Positive,-0.47136613726615906,Negative
Taylor's reaction 😂💗,0.8316,Positive,0.0,Netural,0.36261141300201416,Positive
taylor hahaha,0.5574,Positive,0.2,Netural,0.23844213783740997,Netural
i miss u so much guys 🥺,-0.1531,Negative,0.2,Netural,-0.3135892450809479,Negative
GAGGGG I MISS THIS ERA,-0.1531,Negative,0.0,Netural,-0.32203951478004456,Negative
Singing in one mic 😢😢😢😢💕💕💕💕,0.7783,Positive,0.0,Netural,0.3305635452270508,Positive
I love them together,0.6369,Positive,0.5,Positive,0.7209531664848328,Positive
is this the last song of their relationship? 😭❤️💔,-0.25,Negative,0.0,Netural,0.28782886266708374,Netural
Their so cute together. And sounds fantastic.,0.7841,Positive,0.45,Positive,0.8319570422172546,Positive
"Taylor's reactions 
😂😂",0.7003,Positive,0.0,Netural,0.3790356516838074,Positive
The old version is WAY better but its good❤❤❤❤❤❤❤❤❤ Shawn is my Celebrity crush I love him😳❤❤❤❤💓💓💓💓💓💕💕💕💕💖💖💖💟💟💟💟💞💞💞💞💝💝💝💝💙💙💙💚💚💚💛💛💛💜💜💜💌💌💌💌,0.9999,Positive,0.3666666666666667,Positive,0.5513659119606018,Positive
This video seem so good and enticing than an original album even....,0.722,Positive,0.5375,Positive,0.6987887620925903,Positive
"I like song senorita, amazing ♥️😍😍",0.9477,Positive,0.6000000000000001,Positive,0.7544846534729004,Positive
Mann I want to like this video million times ♥️,0.7906,Positive,0.0,Netural,0.7264031171798706,Positive
😁😁😁😁,0.9001,Positive,0.0,Netural,0.30857792496681213,Netural
cenourita,0.0,Neutral,0.0,Netural,0.262727826833725,Netural
1:47 Girl-,0.0,Neutral,0.0,Netural,0.22825223207473755,Netural
WOW ！,0.6739,Positive,0.1,Netural,0.7586344480514526,Positive
This hit’s different now…😭☠️,-0.4767,Negative,0.0,Netural,0.4676503837108612,Positive
Sweet song...love it so much❤❤❤,0.9506,Positive,0.35,Positive,0.7038033604621887,Positive
Shawn's voice is pretty simillar to the  official version,0.4939,Positive,0.25,Netural,0.4353735148906708,Positive
this boy gets me all dead everytime,-0.6486,Negative,-0.2,Negative,0.6649425029754639,Positive
2.08...green fog on the right...just  why?...,0.0,Neutral,0.0,Netural,-0.4128146469593048,Negative
Awww😍😍😍,0.8402,Positive,0.0,Netural,0.30857792496681213,Netural
He looks sooo nervous at 1:58 it's so cute 😭,-0.1525,Negative,0.5,Positive,0.336805522441864,Positive
3:26 that nose hug though. *my heart melts*,0.8074,Positive,0.0,Netural,0.4432026445865631,Positive
Love this music😍😍,0.8807,Positive,0.5,Positive,0.8842177391052246,Positive
My God! She blinds anyone with being so sexy even Taylor Swift and the entire audience!!,0.8459,Positive,0.25,Netural,0.7355440258979797,Positive
My goose bumps on when the boy start singing 😎🥺,0.4588,Positive,0.0,Netural,0.24808308482170105,Netural
omgg,0.0,Neutral,0.0,Netural,0.300957590341568,Netural
چرااااااااا باز نمیکنهههههههه😠,0.0,Neutral,0.0,Netural,-0.31489884853363037,Negative
❤❤❤,0.9274,Positive,0.0,Netural,0.30857792496681213,Netural
Ôi. Bài hát tuyệt hay. ❤❤❤,0.9565,Positive,0.8,Positive,-0.42219942808151245,Negative
Love it im a sush big big fan,0.7579,Positive,0.16666666666666666,Netural,0.8106898069381714,Positive
Why did Camila sing so slow at the start,0.0,Neutral,-0.30000000000000004,Negative,-0.41735535860061646,Negative
Omg 🥰 love love this song !!!!!! This song will never get old to hear for sure . Wish y’all would Tour together then y’all would never be a part .🙃🎤💕🎼,0.9802,Positive,0.525,Positive,0.895131528377533,Positive
THE CHEMISTRYYY!!! AAAHHHHHH!! They act like their the only people in the room and everyone can feel it!!,0.5673,Positive,0.0,Netural,0.6254143714904785,Positive
This will be bop forever,0.0,Neutral,0.0,Netural,0.7490373849868774,Positive
8iijth8ht74r2kt,0.0,Neutral,0.0,Netural,0.2356981337070465,Netural
🌙,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
I can endlessly look at Taylor's reaction😅😇❤,0.8658,Positive,-0.125,Negative,0.5714607834815979,Positive
Can sense the flame in Camila.. 😋,0.0,Neutral,0.0,Netural,0.31902605295181274,Netural
lil nas x was not impressed😂,0.089,Positive,0.0,Netural,-0.5053224563598633,Negative
Just come back to see Taylor Swift shipping them lol,0.5574,Positive,0.4,Positive,0.28435468673706055,Netural
I’m just waiting for him to come out. It’s ok.,0.0,Neutral,0.5,Positive,0.7489684820175171,Positive
"06/03/2022. Nostalgia Maravilhosa e de Respeito, Voltando Exatamente Pra 2019. Br- ""Eu Amo Essa Música"" Love songs from Brazil. #Camila Cabello# A Melhor Cantora e Compositora, Popstar internacional do mundo.🇧🇷🇺🇲😍♥️🎶🎧",0.9729,Positive,0.5416666666666666,Positive,0.741013765335083,Positive
You think it was forever? what's mine always comes back to me,0.0,Neutral,0.0,Netural,0.6748199462890625,Positive
It just is Lovefool,0.0,Neutral,0.0,Netural,0.35285288095474243,Positive
❤️❤️❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Elena and Damon,0.0,Neutral,0.0,Netural,0.35119327902793884,Positive
I love you so much beautiful Camila 🥰😍😘❤️🎈👏💖🤍💙💛💕💞💗😀😃😚😘🥰😍,0.9968,Positive,0.675,Positive,0.9170460104942322,Positive
"They were epic together. They have this thing called chemistry. I thought that they would end up marrying each other. Yes, of course, I forgot the fact that I don't really know them in reality. No one knows what they were really like together but they seemed epic sometimes we met the right people at the wrong times.",-0.4595,Negative,0.03724489795918367,Netural,0.3842484951019287,Positive
♾❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
♾❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
♾❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
♾❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
♾❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
♾❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
🦋🦋🦋,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
💔,0.2732,Positive,0.0,Netural,0.30857792496681213,Netural
And I am just a kid so don't judge me or else,0.0,Neutral,0.0,Netural,-0.3197992146015167,Negative
Man does she have to sound like that she sig good but the dancing,0.4019,Positive,0.55,Positive,0.4891219735145569,Positive
♾❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
♾❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
I feel sad 😩why did they broke up!! They are perfect match❤️,-0.5972,Negative,0.109375,Netural,0.28241199254989624,Netural
Why write a damn song that will last forevs if yo just gonna break up hurting themselves and the fans,-0.6597,Negative,0.0,Netural,-0.6303783655166626,Negative
