Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Red head the red chad,0.0,Neutral,0.0,Netural,-0.2675454914569855,Negative
"The best thing during the battle was the 
comentating from TG lmao",0.7579,Positive,0.8,Positive,0.5562198162078857,Positive
Bro hE GOt thaT YoUNg gliZZly On THAt traCk,0.0,Neutral,0.1,Netural,0.26731082797050476,Netural
U should do a spectating solo vid,0.0,Neutral,0.0,Netural,0.26821696758270264,Netural
Please create a custom code match so I can join you and play,0.8055,Positive,0.0,Netural,0.4216409921646118,Positive
This should be a series lol 🔥🤘🏻🤘🏻🤘🏻,0.1027,Positive,0.8,Positive,0.28544068336486816,Netural
iloveyou,0.0,Neutral,0.0,Netural,0.25766247510910034,Netural
Good luck,0.7096,Positive,0.7,Positive,0.35706546902656555,Positive
VOTE BOOGIE BOMBS!,0.0,Neutral,0.0,Netural,-0.4039474427700043,Negative
I love your vids tg can de play some day,0.765,Positive,0.5,Positive,0.8096105456352234,Positive
Favorite secret skin is definitely Predator. An all-time favorite movie. And the greatest movie monster of all time in my opinion.,0.9169,Positive,0.32,Netural,0.9701451063156128,Positive
That was such a good battle,0.0772,Positive,0.35,Positive,0.3422725200653076,Positive
you should start a new channel called TGReacts,0.0,Neutral,0.13636363636363635,Netural,0.28586047887802124,Netural
I have not laughed so hard in a long time! Great stream 👍 Tg,0.2607,Positive,0.02395833333333336,Netural,0.8594623804092407,Positive
Please do more of these,0.3182,Positive,0.5,Positive,0.31957370042800903,Netural
Yo  I'm such a big fan,0.3182,Positive,0.0,Netural,0.7929477095603943,Positive
I love tg videos it makes me so happy and when I'm sad it makes me happy,0.8895,Positive,0.4,Positive,0.736479640007019,Positive
"Hello, Humans 
superhero film based on the Marvel Comics character of the same name, produced by Columbia Pictures in association with Marvel. Distributed by Sony Pictures Releasing, it is intended to be the fourth film in Sony's Spider-Man Universe.

TERRANCE OUT",0.6808,Positive,0.0,Netural,0.34609586000442505,Positive
Tg my man you gotta do more stuff like this,0.4173,Positive,0.5,Positive,0.5569489002227783,Positive
you are amazing tg!! can you friend me my name is Lootgoblin27,0.8217,Positive,0.9375000000000001,Positive,0.851070761680603,Positive
Andre should be a news man for soccer for the way he talks so much,0.0,Neutral,0.2,Netural,0.35175028443336487,Positive
Dude you killed me omfg!!!!,-0.7696,Negative,-0.48828125,Negative,-0.6136021018028259,Negative
Can I 1v1 you cuz I want to get better at the game,0.4939,Positive,0.04999999999999999,Netural,0.3781682252883911,Positive
"Your entertaining millions
Of people and thanks for that",0.7003,Positive,0.35,Positive,0.7262663245201111,Positive
u only spectated top 4,0.2023,Positive,0.25,Netural,0.5881139039993286,Positive
DO THIS MORE,0.0,Neutral,0.5,Positive,0.4841975271701813,Positive
Please,0.3182,Positive,0.0,Netural,0.2544727921485901,Netural
My is LilBug14,0.0,Neutral,0.0,Netural,0.433777779340744,Positive
Dear tag will you help me get division 5,0.6486,Positive,0.0,Netural,0.6415086388587952,Positive
Green goblin,0.0,Neutral,-0.2,Negative,0.2767413258552551,Netural
Bro we need more of this lol,0.5543,Positive,0.65,Positive,0.2639172673225403,Netural
"TG please do a no drop challenge where if you pick up a wepon you can't drop or switch it
Please.",0.5867,Positive,0.0,Netural,0.27771812677383423,Netural
That was the best Fortnite game I’ve ever seen,0.6369,Positive,0.3,Netural,0.8157846331596375,Positive
