Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
a french fry falls into her soda hahahahah,0.0,Neutral,0.0,Netural,-0.44932469725608826,Negative
💚,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
i love you Billie,0.6369,Positive,0.5,Positive,0.814207911491394,Positive
不要浪费食物！！！碧梨，不可以！不可以浪费食物！！！租场地要多少钱？！食物拍完了之后是让工作人员去拿自己想吃的吗？不可以暴食，对身体不好！！！碧梨🍐注意身体！！！,-0.5701,Negative,-0.2822265625,Negative,-0.7260837554931641,Negative
Legends say she is still holding all the food in her car,0.0,Neutral,0.0,Netural,0.372514933347702,Positive
Lmao that ending was so cool,0.784,Positive,0.475,Positive,0.4017453193664551,Positive
"“My Friends are My Power” 
I noticed that heartless sigil on your jacket",-0.0258,Neutral,0.0,Netural,0.6887858510017395,Positive
Cant find my comment now,0.0,Neutral,0.0,Netural,0.24146908521652222,Netural
Or can you maybe like my comment BUT IT WOULD BE MY DREAM IF YOU REPLIED,0.6541,Positive,0.0,Netural,0.4184410274028778,Positive
By the way my names  makenna and im a girl,0.0,Neutral,0.0,Netural,-0.32972943782806396,Negative
"Hey billie, IM SUCH A HUGE FAN OF YOU, LIKE YOUR LITTERELY MY IDOL, I WOULD CRY IF I MET YOU, I JUST LOVE YOU SOOO MUCH. anyways i know you probably wont see this but i know that your preforming in semptmber 2022 which were in right now and i wanted to go so bad but my dad wont be home cause hes at work. And i have a brother who also loves you but not as much as me. So that might be a bit hard because the tickets are a bit expensive but im here to ask you, after your concert could you maybe stay in australia/ cairns a bit longer OR maybe you can do like another one next year or 2 years. If you reply WHICH WOULD BE MY DREAM😭😭😭😭😭 I can tell you which date maybe?. BYE BILLIE, LOVE YOU SOOOOOOO MUCH.",-0.6235,Negative,0.06617063492063492,Netural,0.5343076586723328,Positive
BTC THIS IS THE BEST SONG,0.6369,Positive,1.0,Positive,0.8200740218162537,Positive
Billie me recuerdas tanto a mi ex... jajajajaja son re parecidas...muy buen tema por cierto...eres muy real eso te hace grande...good job,0.8874,Positive,0.4385714285714286,Positive,0.44365954399108887,Positive
Billy you r my Idol,0.0,Neutral,0.0,Netural,0.7862237691879272,Positive
what mall is this??,0.0,Neutral,0.0,Netural,-0.4545648992061615,Negative
I love her just started listening to her 4.26.22 n I am impressed x 1mil she harmonizes like Amy Winehouse .,0.9062,Positive,0.75,Positive,0.8163071274757385,Positive
"This song made me a Billie Eilish fan. And I'm planning a vacay to Glendale, California just to visit the the Galleria.",0.3182,Positive,0.0,Netural,0.441123902797699,Positive
Legend say that you need to 🤐,0.0,Neutral,0.0,Netural,0.3716655671596527,Positive
i love you billie eilish,0.6369,Positive,0.5,Positive,0.7700788974761963,Positive
daisuki!! LOVE... so ... much,0.7592,Positive,0.35,Positive,0.5435333847999573,Positive
