Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Ooooooooooooooooooooooooooooooooo,0.0,Neutral,0.0,Neutral,-0.253793329000473,Negative
Ola mi gusto la canción sí síguelo,0.6369,Positive,0.0,Neutral,0.4009845852851867,Positive
🦄☄️☄️🌠🥰😍😘😚🤩😍🥳😇🙃😋🤪😝☺️😏😌😔😑🧐😤🤐😕😬🤯😓😣🌜🌞🤑🤠🤡👻😎💫⭐🔥💙💜🤎🤍💘💖💝🤟👌,0.9933,Positive,0.0,Neutral,0.3085779249668121,Neutral
ola      soi    eyal        faruco,0.0,Neutral,0.0,Neutral,-0.3577376902103424,Negative
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
10,0.0,Neutral,0.0,Neutral,0.6210669875144958,Positive
esta   jenial  la  música,0.6249,Positive,0.8,Positive,-0.2492837011814117,Negative
POV: you’re looking for an English comment,0.0,Neutral,0.0,Neutral,-0.3318596184253692,Negative
Esta música esta super epica yo siempre la escucho😎😎,0.872,Positive,0.2166666666666666,Neutral,0.8272994756698608,Positive
Q temazo de cancion me encanto,0.8402,Positive,0.75,Positive,0.7438873648643494,Positive
Es la mejor musica del mundooooooo tìo,0.6369,Positive,1.0,Positive,0.8910549879074097,Positive
Bridgitt,0.0,Neutral,0.0,Neutral,0.2379156798124313,Neutral
😂  hyr66😂😂00rrr777n  c❤,0.8442,Positive,0.0,Neutral,0.3761328756809234,Positive
Te Quio,0.0,Neutral,0.0,Neutral,-0.2628378570079803,Negative
Rcc,0.0,Neutral,0.0,Neutral,0.2657745778560638,Neutral
👌👍🐥➕✖️,0.7297,Positive,0.0,Neutral,0.3085779249668121,Neutral
Lo mejor,0.6369,Positive,1.0,Positive,0.8359277248382568,Positive
Ciao fakurro sono italiano e volevo dirti che sei il migliore,0.6369,Positive,0.5,Positive,0.6796389222145081,Positive
Z5zyyeye,0.0,Neutral,0.0,Neutral,-0.2570034265518188,Negative
