Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Who listens in April , 2022?",0.0,Neutral,0.0,Netural,-0.5013893842697144,Negative
"April 2022, who else are watching.",0.0,Neutral,0.0,Netural,-0.5684732794761658,Negative
Prom made me come here,0.0,Neutral,0.0,Netural,0.6096814274787903,Positive
C'est trop triste 😭😭😭😭,-0.9438,Negative,-0.5,Negative,-0.4990765154361725,Negative
My aattu like this song than I like this song love u too,0.8481,Positive,0.5,Positive,0.6340280771255493,Positive
April 2022 let see how many are still listening to this masterpiece song,0.7073,Positive,0.5,Positive,0.6308770179748535,Positive
january 3020 : let's see how many people are watching this masterpiece,0.7073,Positive,0.5,Positive,0.5654928684234619,Positive
So beautiful shering,0.6361,Positive,0.85,Positive,0.8016782402992249,Positive
"Well, I found the girl beautiful and",0.7184,Positive,0.85,Positive,0.5220582485198975,Positive
April 2022:how Many people are watching him 🥰🥰🥰,0.9716,Positive,0.5,Positive,-0.3780120313167572,Negative
I love your videos so so so so so so so so so so so so so so so so much ed sheeran ❤ ♥ 💙 💖 💕 💗 ❤ ♥ 💙 💖 💕 💗,0.9964,Positive,0.675,Positive,0.7130987048149109,Positive
I love this song 💓 💓😍,0.9607,Positive,0.5,Positive,0.8616991639137268,Positive
April 2022,0.0,Neutral,0.0,Netural,-0.40036460757255554,Negative
This was my nana’s favorite song before she died😕,-0.4404,Negative,0.5,Positive,0.6675934195518494,Positive
I LOVE you,0.7125,Positive,0.5,Positive,0.8546807765960693,Positive
very beautiful music,0.6361,Positive,1.0,Positive,0.8071882724761963,Positive
April 2022,0.0,Neutral,0.0,Netural,-0.40036460757255554,Negative
Super! 😙😙😙😘😘,0.9832,Positive,0.41666666666666663,Positive,0.8102539777755737,Positive
April 2022,0.0,Neutral,0.0,Netural,-0.40036460757255554,Negative
love 😍😍😍😍😍💙💙💙💙,0.9891,Positive,0.5,Positive,0.7371776700019836,Positive
Childhood love is real love because that is the purest love because there is no lust and you fall in love with soul rather than beauty 💔😭,0.9607,Positive,0.5625,Positive,0.78096604347229,Positive
Nyc and wow,0.5859,Positive,0.1,Netural,0.6484193801879883,Positive
I love the song so very very much,0.6369,Positive,0.38,Positive,0.7992207407951355,Positive
"When I listen to this, I change a few words and I am dancing on the cross with Jesus....why not....He's not on it anymore. :)",0.4588,Positive,0.09999999999999999,Netural,-0.37589704990386963,Negative
April 2022 let's see how many people are watching this 🙃,0.0,Neutral,0.5,Positive,-0.4036804735660553,Negative
"Reply to 7cloud's pinned comment
Clint Barton and Natasha Romanoff. Technically they are not celebrities but they are perfect for each other just like this song. Love  ❤️ from India",0.9442,Positive,0.34375,Positive,0.6840671896934509,Positive
"Never get tired of listening to this, April 2022, x",0.3412,Positive,-0.4,Negative,-0.39410924911499023,Negative
Year 2022:who's still listening to this masterpiece 🙌❤️,0.7073,Positive,0.0,Netural,0.7014098763465881,Positive
"Под эту песню танцевала моя сестра, когда выходила замуж...💞",0.6486,Positive,0.0,Netural,0.5398233532905579,Positive
💙💜2023 ✨❤️🧡💛💚✨,0.9698,Positive,0.0,Netural,0.34280773997306824,Positive
I love this song! 🥰🥺,0.9151,Positive,0.625,Positive,0.8976797461509705,Positive
listening to our favorite song ❤❤,0.9081,Positive,0.5,Positive,0.7676272988319397,Positive
It's a 1.46 and my baby is in my arms and she's saying I want to listen  I found a love 😘😘😘😘😘 now we both go in situation of love 😘😘😘😘😃😃😃,0.9902,Positive,0.5,Positive,0.5478503108024597,Positive
the lyric distribution is a chaos for singing,-0.5719,Negative,0.25,Netural,-0.43635094165802,Negative
I like this song so much :3 I always think about my friends,0.8473,Positive,0.35,Positive,0.7119645476341248,Positive
2022 April 13 still listining this song,0.0,Neutral,0.0,Netural,-0.4046991467475891,Negative
I’m obsessed I hear it all the time,-0.1779,Negative,-0.5,Negative,0.5262458324432373,Positive
I love the song perfect,0.836,Positive,0.75,Positive,0.8618806004524231,Positive
This is my favourite song YESS SIR,0.5319,Positive,0.0,Netural,0.8102365136146545,Positive
"""Now I know I have met an angel in person
And she looks perfect
I don't deserve this
She looks perfect tonight""

I absolutely love this part.",0.9168,Positive,0.8333333333333334,Positive,0.9114941358566284,Positive
Apr 2022... How many🐼,0.0,Neutral,0.0,Netural,-0.42094242572784424,Negative
Hey I made an amv with this song! Please come I need all help I can get 😫🙏🙏💓,0.908,Positive,0.0,Netural,0.6364299654960632,Positive
This song is awesome and it can make me cry😢😢😢😢😭😭😍😍😍😍💖💖💖,0.9274,Positive,1.0,Positive,0.8028112053871155,Positive
hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
I  like this song,0.3612,Positive,0.0,Netural,0.5468980669975281,Positive
April 2022 let’s see how many people are listing to This beautiful song,0.6833,Positive,0.675,Positive,0.6268253326416016,Positive
This song is perfect 😎🥵,0.7717,Positive,1.0,Positive,0.836111843585968,Positive
We love you 😍😍😍😍😍😍😍😍🥰😍🥰🥰🥰😍😍😍🥰😍😍🥰🥰🥰🥰🥰😍🥰😍🥰😍👍👍👍👍👍👍👍👍💙💙💙❤️❤️❤️❤️,0.9994,Positive,0.5,Positive,0.8540825247764587,Positive
❤️🥺this song ✨,0.3182,Positive,0.0,Netural,0.37160512804985046,Positive
Its been 2 yrs now lets see who still watch this (April 12 2022) :),0.4588,Positive,0.5,Positive,-0.23188994824886322,Negative
.,0.0,Neutral,0.0,Netural,0.2539338767528534,Netural
It April 2022 still can't over of this song ❤️✨,0.3182,Positive,0.0,Netural,-0.5159468054771423,Negative
April 2022: Happy Month! Happy Year Happy Day Happy Tuesday,0.9441,Positive,0.8500000000000001,Positive,0.8002537488937378,Positive
April 2022: I play piano and I play this song I literally love it,0.8402,Positive,0.5,Positive,0.8485887050628662,Positive
2022 abril ☆,0.0,Neutral,0.0,Netural,-0.3262602984905243,Negative
"This line ""cause we were just kids when we fell in love, not knowing what it was"" I felt that🥰💯",0.91,Positive,0.5,Positive,0.21861779689788818,Netural
april 2022🤍,0.0,Neutral,0.0,Netural,0.24585556983947754,Netural
"Good moment song
Loved from india
Dighamandla 
Wb🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🌺🌺🌺🌺🌺🌺💥🔊🔊🔊🔊🔊🔊🔊🔊🔊🔊🚰🚰🚰🚰",0.6486,Positive,0.7,Positive,0.45267459750175476,Positive
😍😍😍😍,0.9001,Positive,0.0,Netural,0.30857792496681213,Netural
0:30,0.0,Neutral,0.0,Netural,-0.506812572479248,Negative
Such a sad song. Still love it though.,0.2732,Positive,0.0,Netural,0.34865692257881165,Positive
"April,2022?",0.0,Neutral,0.0,Netural,-0.5007382035255432,Negative
"APRIL, 2022 let's see HOW MANY PEOPLES WATHICH THIS MASTERPIECE ....,..",0.7777,Positive,0.5,Positive,0.593610405921936,Positive
It's April,0.0,Neutral,0.0,Netural,0.3483775556087494,Positive
I love so much the song 🤗💖,0.9246,Positive,0.35,Positive,0.8230023384094238,Positive
I love the song,0.6369,Positive,0.5,Positive,0.7057780027389526,Positive
April 2022 i loves this song even im a kid,0.5719,Positive,0.0,Netural,0.7142621874809265,Positive
Just want to dance with my future husband in this song😌💗,0.8316,Positive,0.0,Netural,0.5474362373352051,Positive
imagine being the lucky girl for whom this song was written,0.4215,Positive,0.3333333333333333,Positive,0.4883260726928711,Positive
"Singing this song to my gf
Other girlfriend's: oh honey that's so sweet!!! I love you !
Meanwhile my girlfriend: you mean I look perfect tonight what about the other nights? 


Why is she like this?😭",0.932,Positive,0.291015625,Netural,0.7458913326263428,Positive
April 2022 let's see how many people watching this masterpiece,0.7073,Positive,0.5,Positive,0.4919417202472687,Positive
2022 April perfect ❤,0.836,Positive,1.0,Positive,0.8035252690315247,Positive
Very nice song ❤,0.807,Positive,0.78,Positive,0.6199312210083008,Positive
Ich liebe das lied,0.6369,Positive,0.5,Positive,0.7255194783210754,Positive
🤩🤩🤩🤩🤩🤩🤩,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
2022 April! ❤️‍🩹🥺,0.0,Neutral,0.0,Netural,-0.417280375957489,Negative
April 2022 still listening to this Master piece🥺💜,0.6369,Positive,0.0,Netural,0.3715270459651947,Positive
anyone else's pe teachers play this song when you're suffering and doing the warmup?????????,-0.3094,Negative,0.0,Netural,-0.4853115975856781,Negative
April 2022: let's see how many people listening to this masterpiece 😌💖,0.931,Positive,0.5,Positive,0.40616878867149353,Positive
My favourite part: DANCING IN THE DARK WITH U BETWEEN MY ARMS BAREFOOT ON THE GRASS,0.0,Neutral,-0.15,Negative,0.7118980288505554,Positive
Best music  cause it touches  the heart❤💕,0.9578,Positive,1.0,Positive,0.8462084531784058,Positive
"April 2022 , Still refreshing many souls 💫",-0.2263,Negative,0.5,Positive,0.4327121078968048,Positive
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
I love perfect so much,0.836,Positive,0.5666666666666667,Positive,0.8982328176498413,Positive
😂😀😣😭😭😭😭😭😢😢😢😧😧😧,-0.9794,Negative,0.0,Netural,0.30857792496681213,Netural
😀gosh I'm so  sad this song reminds me of my ex boyfriend he was so rude we broke up gosh I'm crying,-0.9104,Negative,-0.3333333333333333,Negative,-0.6868513226509094,Negative
My boyfriend loves this song,0.5719,Positive,0.0,Netural,0.6250138878822327,Positive
Ryansd🤣🤣🤣🤣,0.9153,Positive,0.0,Netural,0.30857792496681213,Netural
<3333,0.0,Neutral,0.0,Netural,0.31104883551597595,Netural
