Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Okay concert tonight drink beer there darlling,0.6908,Positive,0.5,Positive,0.7488917112350464,Positive
"shut up dont steel r
torine",0.0,Neutral,0.0,Netural,-0.6985560655593872,Negative
áudio ta atrasado,-0.2263,Negative,0.0,Netural,-0.41628098487854004,Negative
Гениально поёт! Браво!)),0.6792,Positive,1.0,Positive,0.8224310874938965,Positive
Berarti benar cerita orang orang you MaD sudah jadian sama orang indonesia ndak usah tak sebutkan namanya you MaD dari orang seperti bajingan Kalau hidup di jemput di ikutkan,-0.5574,Negative,-0.19090909090909092,Negative,-0.42964938282966614,Negative
The real Clash of Clans theme. There's no way to listen to this song and not remember the COC.,-0.296,Negative,0.2,Netural,-0.31239449977874756,Negative
Chẳng lien quan gi nhân loại,0.0,Neutral,0.0,Netural,-0.3558673560619354,Negative
Megan fox?,0.0,Neutral,0.0,Netural,0.306395947933197,Netural
"En tu vos puedo conocer el amor la juventud la hemocion adrelanina y la tentacion de poder nacer vivir y estar denuebo hay pudiendo cambiar mi renacer ,e vuelto nacer antes q nasca el sol y que suene el despertar de volverte a ver",0.6369,Positive,0.3545454545454545,Positive,0.5268980264663696,Positive
"Show, muito linda essa cantora",0.6361,Positive,1.0,Positive,-0.27598950266838074,Negative
😭,-0.4767,Negative,0.0,Netural,0.30857792496681213,Netural
IBU TONO ENDU 😃🤣,0.0,Neutral,0.0,Netural,0.25898247957229614,Netural
You tourine sama aja MaD cuma ganti nama cuma BIAR NDAK TAHU MaD ganti nama saja Dwish tahu semuanyapaling you hidup lagi menjadi siluman dihidupkan alam nyata dari prins WILLIAMS,-0.1461,Negative,-0.4166666666666667,Negative,-0.48678696155548096,Negative
Gerakan catatan sipil di indonesia dari kalangan bawah istilah indonesia WTS yg penting bisa happy dan menang jadi artis top not emosi cuma agenda PETUALANGAN berhasil semua bisa mengalahkan family dan tahu rahasia you MaD seperti itu dariprins williams cuma masa lalu jadi suamimu MaD sudah ndak ada artinya lagi you MaD biar seluruh dunia tahu dari prins WILLIAMS LAGIAN YOU PERNAH ISDETH BERKALI KALI,0.9067,Positive,0.07416666666666667,Netural,0.620451033115387,Positive
Apalagi bomber murahan di indonesia sudah jadi murahan biar malu you MaD family BELANDA dari DWISH,-0.5233,Negative,0.43333333333333335,Positive,-0.5209527611732483,Negative
FAmily mau hancur semua sudah di hancurkan semua tinggal from ukraina stupi putrimu jenie sama yerusalem sudah termasuk siluman lagak sok beatiful dan top jauh semuanya mau cari muka terus sama DWISH ALIAS AW PUTRA RA DAD,-0.4939,Negative,0.10000000000000002,Netural,-0.8204145431518555,Negative
YOU MaD sudah musuh DWISH termasuk semua family di soul land seperti haillee staifield sama semua lagaknya top sudah menjadi istri watid musuh dwish tahu siluman DOG dan mothermu kandung virus corona bukan RA comando arthur tololmu MaD orang rusia kamu akuin samakan family olena from yuo ukraina pernyataan dari DWISH,-0.9169,Negative,-0.31,Negative,-0.3599708676338196,Negative
Qual o  nome da cantora por gentileza??,0.3182,Positive,0.0,Netural,-0.5022739768028259,Negative
Sudah di bilang putri kandung comando arthur MARRY and DINASTY you bagi AW alias DWISH sudah ndak ada artinya alias comberan dan bajingan not cemburu comando arthur siapa orang mana family prins maxima cuma you sudah jadi siluman DOG ndak ada yg bisa menghidupkan lagi makanya jadi siluman dog ingat dipulau bali you Ma,-0.6508,Negative,-0.26666666666666666,Negative,-0.37422019243240356,Negative
👎👎👎,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Where's Iselin Solheim? Snifs,0.0,Neutral,0.0,Netural,-0.30994275212287903,Negative
Agenda Dwish war sama family you soul land MaD sebentar lagi usai jadi satu semuanya familymu untung belum menyentuhmu fuck PUTRI COMANDO ARTHUR sudah dua kali you hidup sudah ndak ada yg menghidupkan di familymu yg berat cuma you MaD manusia asusila DOG  berubah wujud jadi devil minta bantuan khalid bin watid saja but watid pernyataan dari AW alias DWISH,-0.7488,Negative,-0.16875,Negative,-0.5266360640525818,Negative
Sudah ketahuan semuanya MaD menjauh dari kehidupan AW dan AW sudah ndak mau menghidupkan you MaD dan menjauh dari two litlle monster virus corona you MaD ngaku di bunuh khalid ndak tahunya sama orang indonesia fuck sudah tak telusuri mau masuk home mana sudah di sket sky sama erik jibril ndak lari kemana monster virus corona you MaD Mayat hidup pakai sorum mu sendiri rubah wujud not menghidupkan ndak bisa pernyataan dari AWalias dwish,-0.9542,Negative,-0.44375000000000003,Negative,-0.7832667231559753,Negative
"Piekna dziewczyna ,piekna nutka.",0.8316,Positive,0.85,Positive,0.4078332483768463,Positive
Love it Alan Walker,0.6369,Positive,0.5,Positive,0.7798803448677063,Positive
Cómo se llama la vocalista???,0.0,Neutral,0.0,Netural,-0.40291205048561096,Negative
I love you voice,0.6369,Positive,0.5,Positive,0.7518420815467834,Positive
You sudah tahu marry and DINASTY siapa DWISH DAN Tempat tinggalnya dari DWISH (DWI SAKTI HARYANTO,0.0,Neutral,0.0,Netural,0.30499640107154846,Netural
You marry and DINASTY sudah seperti umat manusia alan walker alias dwish ndak mungkin menemui you sampai kiamat alam dan semesta you jadilah umat manusia selamanya di alam nyata sampai kiamat abadi biar AW alias DWISH NDAK menemuin youMaD selamanya nanti tak hancurkan laut atlantik utara home dari ALAN WALKER alias DWISH di pribumi sdah tahu semuanya siapa DWISH RA sudah pernah menjemput,0.3612,Positive,-0.3333333333333333,Negative,0.36881023645401,Positive
Sampai kiamat alam dan semesta ndak mungkin menemui you marry and dinasty ternyata bajingan harta seperti umat manusia jadilah manusia selamanya sampai kiamat ALAM dan SEMESTA abadi di alam nyata biar ndak menemuin alan walker alias dwish nanti homemu atlantik utara laut tak hancur luluh lantahkan,0.7452,Positive,-0.15555555555555553,Negative,0.2535797357559204,Netural
ALAN WALKER sudah benci sama you MARRY and DINASTY  selamanya you sudah menjadi bajingan sama aja you marry and dinasty mengejek alan walker masih hidup di bawah agenda berhasi menelusuri you ternyata sma marry and dinasty harta dan kedudukan jabatan bajingan ternyata dari alan walker alias Dwish,-0.7506,Negative,0.275,Netural,-0.32134100794792175,Negative
pergi saja you marry and DINASTY dari kehidupan DWISH cuma masa lalu lagian ndak mungkin ketemu lagi sudah berani menantang apalagi memalsukan bikin masalah saja DWISH sudah bilang ndak usah menampakan diri di alam nyata bumi cari masalah terus DWISH DWISH sudah bosan sama you marry and DINASTY sudah ndak ada artinya lagi you marry and Dinasty sudah berani berbohong say good bye selamannya sampai kiamat ndak mau menemui dirimu you MARRY and DINASTY sudah menjadi fuck alias BAJINGAN  selamanya dari DWIISH ndak usah tak sebutkan namanya sekali jadi bajingan tetap bajingan,-0.9721,Negative,-0.20324074074074072,Negative,-0.5375739932060242,Negative
Beautiful,0.5994,Positive,0.85,Positive,0.7432551383972168,Positive
OK ! OK ?,0.7317,Positive,0.5625,Positive,0.7145017385482788,Positive
Anybody listening to this in April 2022? FADED - never goes old - Evergreen,0.0,Neutral,0.1,Netural,-0.6399284601211548,Negative
I trible love this,0.6369,Positive,0.5,Positive,0.8336523175239563,Positive
"no no de verdad aqui lo mas hermosa de esta musica es la volacalista, que  cantante maas preciosa y hermosa  dios te guarde yproteja siempre mami.",0.9544,Positive,0.52,Positive,0.6251503229141235,Positive
"Galera vamo dar uma força no vídeo pois ele, é muito bom!",0.54,Positive,1.0,Positive,0.5110176801681519,Positive
"Привет из Северного Кавказа !
Мне 60 лет!
Слушаю наверное уже раз 20!!! И не знаю сколько раз ещё буду слушать !",0.6083,Positive,0.4270833333333333,Positive,0.771501898765564,Positive
РОССИЯ это благо спаси для земли,0.4939,Positive,0.0,Netural,0.619495689868927,Positive
