Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
11:11,0.0,Neutral,0.0,Neutral,0.2517557740211487,Neutral
"The careful field laterally thaw because vinyl laparoscopically roll unto a troubled japan. wealthy, nauseating bottom",0.0258,Neutral,-0.0333333333333333,Negative,-0.5454208254814148,Negative
"lyrics
this ain't for the best, 
my reputation's never been worst so,
you must like me for me...
We can''t make, any promises now,
can we babe?
 But you can make me a drink.
ONE TWO TREE LET'S GO BIT*H",0.3639,Positive,0.0,Neutral,0.2713053226470947,Neutral
Great song! The video is surprisingly very — entertaining! Ha!,0.8848,Positive,1.0,Positive,0.7651652693748474,Positive
My last braincell,0.0,Neutral,0.0,Neutral,0.5535281300544739,Positive
متألقة يا بنتي والله,0.7096,Positive,0.9,Positive,0.3761592209339142,Positive
this has touch to people feelings and emotions😮😢🎉❤😊,0.8689,Positive,0.0,Neutral,0.5588959455490112,Positive
"Just Taylor being herself, it's adorable",0.4939,Positive,0.5,Positive,0.5352523922920227,Positive
It’s this song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times.  I hope everyone is doing well. I love you 🌸🌸,0.8271,Positive,0.037037037037037,Positive,0.7126774191856384,Positive
Taylor Swift 🤞,0.2023,Positive,0.0,Neutral,0.3646954596042633,Positive
You are my favourite  singer,0.0,Neutral,0.0,Neutral,0.8286194205284119,Positive
obsesionadaaa estoyyyyyyyyyyyyy,0.0,Neutral,0.0,Neutral,-0.3462725877761841,Negative
This is my therapy song if anxiety & depression takes over 🥺♥️ thank you Tay,0.3182,Positive,0.0,Neutral,0.5366317629814148,Positive
I Love You ❤️💖😘 remember I wish you the very best I can't continue to try I need you .,0.9665,Positive,0.75,Positive,0.8898560404777527,Positive
I think I saw the bodyguard smiling when she was invisible dancing around.,0.4588,Positive,0.0,Neutral,-0.3566673994064331,Negative
"Its the connection i have with her songs, they are so deep am telling u all",0.0,Neutral,0.0,Neutral,0.6904343962669373,Positive
I realte,0.0,Neutral,0.0,Neutral,0.2900637090206146,Neutral
"§￦¥  I Should BE USED TO BEING Abandoned. And walked out on. 
BY NOW.
.but I am not
I can t even eat",-0.25,Negative,0.0,Neutral,-0.6103829145431519,Negative
Love this song and video.,0.6369,Positive,0.5,Positive,0.8532559275627136,Positive
i like her always never m bored....wish to meet her someday )),0.3612,Positive,0.0,Neutral,0.6361297369003296,Positive
BEAUTIFUL,0.5994,Positive,0.85,Positive,0.7432551383972168,Positive
Queen 😍,0.4588,Positive,0.0,Neutral,0.627983570098877,Positive
Taylor the Best!!!,0.7249,Positive,1.0,Positive,0.8302855491638184,Positive
Man I remember when she went on tour before covid. Here in Arizona was her first stop. I was a security guard at Cardinals stadium where she performed and I was working the floor. So I got to be right next to her.,0.0516,Positive,0.1785714285714285,Positive,0.4515529870986938,Positive
"that one girl from dance moms-

it's giving that",0.34,Positive,0.0,Neutral,-0.3406778275966644,Negative
"I won’t stop loving this song


love u guys who are using Authentic views to get views and likes",0.8658,Positive,0.5333333333333333,Positive,0.4599295854568481,Positive
Охрененая песня 👍👍👍,0.0,Neutral,-0.6,Negative,0.5137585997581482,Positive
1:43 when mom ask me to pick up the groceries,0.0,Neutral,0.0,Neutral,-0.2507048547267914,Negative
"The regular almanac logistically surround because calculus seemingly calculate as a receptive week. strange, busy joke",0.1027,Positive,0.0166666666666666,Positive,-0.4372456669807434,Negative
"Delicate =Wine
Older it gets the better it gets.",0.4767,Positive,0.1222222222222222,Positive,0.4255017936229706,Positive
This song was one of my comfort song I think the obsession is coming back 😂,0.4588,Positive,0.0,Neutral,0.5671093463897705,Positive
"Awesome 😊😊, it depicts a life, full of freedom, without any prejudices, rules and restrictions ☺☺",0.9811,Positive,0.675,Positive,0.8559660911560059,Positive
That opening voice rlly got me,0.0,Neutral,0.0,Neutral,0.3722697794437408,Positive
I love how she’s not afraid to dance!💗 I wish I was her,0.92,Positive,0.4,Positive,0.7377471923828125,Positive
Reminds me of the video for zero by yeah yeah yeahs,0.5267,Positive,0.0,Neutral,0.4706527590751648,Positive
Chúc cho Đức Thật nhiều sức khỏe.,0.2263,Positive,0.0,Neutral,0.3998405039310455,Positive
Forget about her beautiful smile look at her dance moves does anybody think of that,0.6705,Positive,0.575,Positive,-0.3144136965274811,Negative
Taylor silly face is,0.0258,Neutral,-0.5,Negative,-0.2936893403530121,Negative
I think I relate to at least one of her songs they just perfect for me to listen to she has a new song that came out was Mr. perfectly fine go ahead and check it out it’s great I can’t so I couldn’t stop repeating that I repeat it almost all day yesterday causally Crul,0.9069,Positive,0.4106060606060605,Positive,0.2705869078636169,Neutral
Ad của dây dừa này chưa bao giờ ngán giọng hát. Từ 2015 đến bây giờ.,0.2057,Positive,-0.5,Negative,0.2371186465024948,Neutral
NICE 😍,0.7603,Positive,0.6,Positive,0.4382759034633636,Positive
taylor swft is my idol,0.2023,Positive,0.0,Neutral,0.7476356029510498,Positive
Yêu Đức Phúc.,0.6369,Positive,0.5,Positive,0.457044780254364,Positive
"1 đại gia đình hạnh phúc - chúc mừng Lộc, quá viên mãn rồi !",0.8122,Positive,0.4125,Positive,0.3634723424911499,Positive
The only thing Im missing is my ex,-0.296,Negative,-0.1,Negative,0.2473413646221161,Neutral
Still feels like the first day this song dropped,0.3612,Positive,0.25,Positive,-0.4152563810348511,Negative
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
sometimes we feel stuck in the world and the song tries to remind us not to be bottle up baby,-0.25,Negative,-0.1,Negative,0.4008308947086334,Positive
hình như là xem rồi,0.0,Neutral,0.0,Neutral,-0.2791423201560974,Negative
I watched the version without music and now I can't unhear it,0.0,Neutral,0.0,Neutral,-0.4028042256832123,Negative
Have you noticed one of the bodyguards look like Khalid? 😂,0.6597,Positive,0.0,Neutral,-0.3042300343513489,Negative
$Kdowdell7,0.0,Neutral,0.0,Neutral,-0.3378547430038452,Negative
this video is my safe place,0.4404,Positive,0.5,Positive,0.753621518611908,Positive
The most special artist in my lifetime. The feels. I am almost 50.,0.4576,Positive,0.4285714285714286,Positive,0.9138075709342957,Positive
That smile at the end is iconic,0.3612,Positive,0.4,Positive,0.5802114009857178,Positive
"You know you are really living a life out there if you come back here just to enjoy not only the song but the music, the emotions and the vibe.  Taylor's portrayal of the emotions is that much accurate that I really got an unhealthy obsession with this song.",-0.7903,Negative,0.1142857142857143,Positive,0.5423961877822876,Positive
One of my favorite still till this day,0.4588,Positive,0.5,Positive,0.8361129760742188,Positive
HELPPP,0.0,Neutral,0.0,Neutral,0.2647677361965179,Neutral
no la supero,0.0,Neutral,0.0,Neutral,-0.5952600240707397,Negative
I really really wish I could meet Taylor swift 1 day and love your outfit Taylor,0.8508,Positive,0.35,Positive,0.6972848773002625,Positive
Love you Taylor you are a superstar ✨ and thanks so so much for this song 🎵,0.8555,Positive,0.3,Positive,0.9270323514938354,Positive
i love you taylor swift,0.7184,Positive,0.5,Positive,0.793647825717926,Positive
This is sooo nostalgic now tgat i listen to it 3 year after,0.0,Neutral,-0.5,Negative,0.5311076045036316,Positive
in this mv she is dancing like no one is here i love that,0.6705,Positive,0.5,Positive,0.7554380893707275,Positive
REP TV HELLO,0.0,Neutral,0.0,Neutral,0.4329440593719482,Positive
"Si, yo también estoy viendo esta obra maestra en 2022",0.8213,Positive,0.0,Neutral,0.365700900554657,Positive
Let's be real: This is EXACTLY what Taylor would do if she was invisible to the world!! Lol,0.5242,Positive,0.4635416666666667,Positive,0.6467172503471375,Positive
I am leaving this comment so that if anyone replies I will get reminded of this song 🎶,0.0,Neutral,0.0,Neutral,-0.2778108417987823,Negative
"My video instructions for splits on the wet car made ""Delicate"" a ""spreader event"".",0.0516,Positive,-0.2,Negative,0.427906185388565,Positive
Lets get this to 473M views!!!,0.0,Neutral,0.0,Neutral,-0.3758022487163543,Negative
2022🫰🏻 subscribers,0.0,Neutral,0.0,Neutral,0.3337588012218475,Positive
