Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Brightburn,0.0,Neutral,0.0,Neutral,0.3066486716270447,Neutral
I love u,0.6369,Positive,0.5,Positive,0.7627245187759399,Positive
"*Don't worry, you're not the only one watching this masterpiece in 2021*",0.8064,Positive,0.0,Neutral,0.3977013528347015,Positive
"""Duh""",0.0,Neutral,-0.3,Negative,-0.345759242773056,Negative
👍👍👍👍👍👍👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Anyone from India 🇮🇳🇮🇳??,0.0,Neutral,0.0,Neutral,-0.6644057035446167,Negative
"White shirt, now red my bloody nose Sleeping, your on your tippy toes
Creeping, around like no one knows
Think you're so criminal.
Bruises, on both my knees for you
Dont say, thank you or please
I do what i want when im wanting to
My soul? So synical.",-0.7562,Negative,-0.3,Negative,-0.6812875866889954,Negative
Tu es la copine de mon cousin,0.0,Neutral,0.0,Neutral,0.531152069568634,Positive
I like this song cuz in this song they always snap their fingers which is my fav habit that I always do even if the song does not include that,0.6705,Positive,0.0,Neutral,0.4857136607170105,Positive
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Serbia,0.0,Neutral,0.0,Neutral,0.2699036300182342,Neutral
D    bad    guy😙😙😙😙😙😙😙😍😍😍😍😎😎😎😛😛😛👭👭👭👭👍👍👍👌👌💋💋❤❤❤👀👀👀👀👣👣👣👂👂☝👏👏,0.9983,Positive,-0.6999999999999998,Negative,-0.4961224496364593,Negative
D    bad  guy,-0.5423,Negative,-0.6999999999999998,Negative,-0.4920886158943176,Negative
Yyyyyyyyaayyyyyyaa,0.0,Neutral,0.0,Neutral,-0.2717356085777282,Negative
Haha,0.4588,Positive,0.2,Positive,-0.4025950729846954,Negative
"The people that disliked this song should get their covid test, because one of the main symptoms is no taste.",-0.5994,Negative,-0.0166666666666666,Negative,-0.434105783700943,Negative
"2 years later, if you're watching this masterpiece, you're a legend.",0.7073,Positive,0.0,Neutral,0.5520449876785278,Positive
Duh❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
when she say duhhhh killl**,0.0,Neutral,-0.5,Negative,-0.4983257949352264,Negative
Catchy but dumb,-0.6652,Negative,-0.375,Negative,0.5124002695083618,Positive
Cool,0.3182,Positive,0.35,Positive,0.4904145896434784,Positive
i love u,0.6369,Positive,0.5,Positive,0.7627245187759399,Positive
LOVE YOU,0.6369,Positive,0.5,Positive,0.8381887674331665,Positive
I like this song ♥️🤑,0.7717,Positive,0.0,Neutral,0.5901457071304321,Positive
Очень нравится,0.4201,Positive,0.2,Positive,-0.3481633961200714,Negative
What the song is all about ?? 🤔,0.0,Neutral,0.0,Neutral,-0.3200528025627136,Negative
Duh,0.0,Neutral,-0.3,Negative,-0.3543438911437988,Negative
♥♥♥🔥🔥🔥🔥,0.7184,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Billie : im a bad guy 
YouTube : im a ad guy 
Me : im a sad guy 
Corona : duh",-0.765,Negative,-0.4999999999999999,Negative,-0.5547139644622803,Negative
"Billie aillish : NUH 😒
Bille  aillish with : bad guy  😎",-0.128,Negative,-0.6999999999999998,Negative,-0.3616808652877807,Negative
Pretty singer,0.4939,Positive,0.25,Positive,0.4477036893367767,Positive
I love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
"My mommy likes to sing along
With me but she won't sing this song
If she reads al the lyrics
She'll pity the men I know

My mum- LISTENING TO THIS THE WHOLE DAY",-0.2263,Negative,0.05,Positive,-0.297879159450531,Negative
Bad guy,-0.5423,Negative,-0.6999999999999998,Negative,-0.7932360172271729,Negative
I wonder y so many dislike s !,-0.4889,Negative,0.625,Positive,-0.4198430776596069,Negative
Good,0.4404,Positive,0.7,Positive,0.4969631731510162,Positive
Dope lyrics vs 7 Clouds who is best,0.6369,Positive,1.0,Positive,-0.3087953925132751,Negative
მაგარია ბილი❤️❤️❤️😍😍💖💖,0.9643,Positive,0.35,Positive,0.3366977870464325,Positive
"🎧 We made best jazz cover, Bad Guy («Billie Eilish» Cover) 🎧",0.1779,Positive,0.15,Positive,0.542055606842041,Positive
I love bad guy,0.1779,Positive,-0.0999999999999999,Negative,0.4929947853088379,Positive
This song is very cool! 👍😻,0.7082,Positive,0.56875,Positive,0.7435354590415955,Positive
giving me a halloween kinda vibes,0.34,Positive,0.0,Neutral,0.3620829880237579,Positive
I enjoyed this melody in the ice hockey world cup,0.5106,Positive,0.5,Positive,0.4690611362457275,Positive
Might as well be called “Lolita”,0.2732,Positive,0.0,Neutral,0.3668549358844757,Positive
İ love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
I don't like her....))) 🤢🤢🤢. She's strange,-0.4423,Negative,-0.05,Negative,-0.4342463612556457,Negative
Always hear this song when I feel stress this song was so cool it healling me❤️🙂@C1K,0.4401,Positive,0.35,Positive,0.325570672750473,Neutral
Lol this song like puki mak dia,0.6486,Positive,0.8,Positive,0.372031033039093,Positive
"This is really funny when bellie said ""duh"" i was jumping on my bed when my mom got in my room 😂🤣😂",0.9041,Positive,-0.0249999999999999,Negative,0.3107685446739197,Neutral
Billie 🥰🥰🥰🥰🥰🥰😘😘😘😘😘💕❤💕💕💕,0.9977,Positive,0.0,Neutral,0.3690733015537262,Positive
Heard this from Brightburn,0.0,Neutral,0.0,Neutral,-0.2307165116071701,Negative
"''Duhhh💚""",0.6369,Positive,0.0,Neutral,0.3566418886184692,Positive
*I am the bald guy*,0.0,Neutral,0.0,Neutral,0.3825004398822784,Positive
"i'M ThE BaD guY....
BRuh!!!!!",-0.6876,Negative,-1.0,Negative,-0.8036657571792603,Negative
I'm from claveria cagayan,0.0,Neutral,0.0,Neutral,0.2413126230239868,Neutral
+,0.0,Neutral,0.0,Neutral,0.2822500765323639,Neutral
wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
Kalo aku nyanyi aku ganti.your bad guy,-0.5423,Negative,-0.6999999999999998,Negative,-0.4237655699253082,Negative
"Billie disgusting, she’s a disaster",-0.8176,Negative,-1.0,Negative,-0.8057493567466736,Negative
AWESOME BEAT!!!,0.7163,Positive,1.0,Positive,0.851817786693573,Positive
I love u,0.6369,Positive,0.5,Positive,0.7627245187759399,Positive
From India 🇮🇳 I love USA 🇺🇲,0.6369,Positive,0.5,Positive,0.6601004004478455,Positive
I like the song😊😊,0.926,Positive,0.0,Neutral,0.4900214076042175,Positive
I play all your songs,0.34,Positive,0.0,Neutral,0.6818615794181824,Positive
Naice,0.0,Neutral,0.0,Neutral,-0.3937559425830841,Negative
Good!!!👍👍👍👍👍👍👍👍👍👍👍,0.5826,Positive,0.0,Neutral,0.4759012162685394,Positive
👍👍👍👍😊😊,0.9001,Positive,0.0,Neutral,0.3085779249668121,Neutral
"BILLIE EILISH :-BAD GUY
YOUTUBE :-AD GUY",-0.5423,Negative,-0.6999999999999998,Negative,-0.5506674647331238,Negative
"love all people and all animal,Release the animals so they can live and thrive,Do a little more charity. Just study, just work, focus on economic development in all industries, disease prevention and treatment for everyone.Donate money, food for people in need, No abortion, Live in accordance with the law, do not drink alcohol, do not use stimulants, plant many trees, grow many food crops, grow many crops.Paying filial piety to parents, paying filial piety to ancestors, going to pagodas to worship Buddha, praying to God and Buddha for protection.Propagating Buddhism to share with everyone.Worshiping all Buddha, bodhisattvas, and holy gods,Worshiping Heaven, earth.make offerings to the temple.",0.9443,Positive,0.3094696969696969,Positive,0.7721825242042542,Positive
I'm listening from Philippines 🇵🇭,0.0,Neutral,0.0,Neutral,-0.2589373886585235,Negative
I want to see u in roblox Brookhaven pls 🤝,0.1531,Positive,0.0,Neutral,0.4196553826332092,Positive
Army's here please...?💜,0.7579,Positive,0.0,Neutral,-0.3126111626625061,Negative
I love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
India,0.0,Neutral,0.0,Neutral,0.2321095764636993,Neutral
porque no sale musica lovely dienes novio,-0.4717,Negative,0.5,Positive,-0.2827240824699402,Negative
check my bad guy cover with drum simulation! <3 https://www.youtube.com/watch?v=GRbt04tGwxg,-0.2244,Negative,0.0625000000000001,Positive,-0.2736624777317047,Negative
Duh,0.0,Neutral,-0.3,Negative,-0.3543438911437988,Negative
#billieeilisch,0.0,Neutral,0.0,Neutral,0.2629038393497467,Neutral
I 'm bad girl 😂😂👍🏻👍🏻👍🏻🇮🇶🇮🇶,0.3182,Positive,-0.6999999999999998,Negative,-0.628307580947876,Negative
"New fav, ( duh ) 😂😭",0.4215,Positive,-0.0818181818181818,Negative,0.3749497830867767,Positive
I am watching from India 🇮🇳,0.0,Neutral,0.0,Neutral,0.327791154384613,Neutral
When I was listening the song I was thinking about jangkook’s dance 😂,0.4404,Positive,0.0,Neutral,-0.2364382594823837,Negative
MY AMV: https://youtu.be/i7RlpZWQmGk,0.0,Neutral,0.0,Neutral,0.4123196303844452,Positive
