Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
41,0.0,Neutral,0.0,Neutral,0.2563038468360901,Neutral
40,0.0,Neutral,0.0,Neutral,0.2246928364038467,Neutral
39,0.0,Neutral,0.0,Neutral,0.2610132396221161,Neutral
38,0.0,Neutral,0.0,Neutral,0.2449496984481811,Neutral
37,0.0,Neutral,0.0,Neutral,0.25077885389328,Neutral
36,0.0,Neutral,0.0,Neutral,0.258856862783432,Neutral
35,0.0,Neutral,0.0,Neutral,0.246827021241188,Neutral
34,0.0,Neutral,0.0,Neutral,0.2548524439334869,Neutral
33,0.0,Neutral,0.0,Neutral,0.2602990865707397,Neutral
32,0.0,Neutral,0.0,Neutral,0.2719338536262512,Neutral
31,0.0,Neutral,0.0,Neutral,0.2470768243074417,Neutral
30,0.0,Neutral,0.0,Neutral,0.2502693235874176,Neutral
29,0.0,Neutral,0.0,Neutral,0.2587559819221496,Neutral
28,0.0,Neutral,0.0,Neutral,0.2796874344348907,Neutral
27,0.0,Neutral,0.0,Neutral,0.2920359671115875,Neutral
26,0.0,Neutral,0.0,Neutral,0.2580524682998657,Neutral
25,0.0,Neutral,0.0,Neutral,0.3098036050796509,Neutral
24,0.0,Neutral,0.0,Neutral,0.2749422192573547,Neutral
23,0.0,Neutral,0.0,Neutral,0.2617983520030975,Neutral
22,0.0,Neutral,0.0,Neutral,0.2393032759428024,Neutral
21,0.0,Neutral,0.0,Neutral,0.2857105433940887,Neutral
20,0.0,Neutral,0.0,Neutral,0.3104033470153808,Neutral
19,0.0,Neutral,0.0,Neutral,0.2728681564331054,Neutral
18,0.0,Neutral,0.0,Neutral,0.2759170234203338,Neutral
17,0.0,Neutral,0.0,Neutral,0.2666302621364593,Neutral
16,0.0,Neutral,0.0,Neutral,0.2836539149284363,Neutral
15,0.0,Neutral,0.0,Neutral,0.307546466588974,Neutral
14,0.0,Neutral,0.0,Neutral,0.3044871091842651,Neutral
13,0.0,Neutral,0.0,Neutral,0.3200407922267914,Neutral
12,0.0,Neutral,0.0,Neutral,0.386008620262146,Positive
11,0.0,Neutral,0.0,Neutral,0.3419868946075439,Positive
10,0.0,Neutral,0.0,Neutral,0.6210669875144958,Positive
9,0.0,Neutral,0.0,Neutral,0.3628028631210327,Positive
8,0.0,Neutral,0.0,Neutral,0.3862052261829376,Positive
7,0.0,Neutral,0.0,Neutral,0.4845085144042969,Positive
6,0.0,Neutral,0.0,Neutral,0.3716466426849365,Positive
5,0.0,Neutral,0.0,Neutral,0.6903306245803833,Positive
4,0.0,Neutral,0.0,Neutral,0.3892470896244049,Positive
3,0.0,Neutral,0.0,Neutral,0.3165130615234375,Neutral
2,0.0,Neutral,0.0,Neutral,0.2657452821731567,Neutral
1,0.0,Neutral,0.0,Neutral,0.42043337225914,Positive
🥰,0.8074,Positive,0.0,Neutral,0.3085779249668121,Neutral
0v p pcp,0.0,Neutral,0.0,Neutral,-0.6439792513847351,Negative
I hate twice,-0.5719,Negative,-0.8,Negative,-0.4456960260868072,Negative
"this is a genuine question, can someone please tell me who is who, im trying to become a twice fan",0.5574,Positive,0.4,Positive,-0.4500622749328613,Negative
人気28位に上がりました！,0.5255,Positive,0.0,Neutral,0.8056780695915222,Positive
"I'm having electricity tonight, and it's lightning straight from my heart where these QUEENS are placed.",0.7269,Positive,0.2,Positive,0.5150941610336304,Positive
💕💕💕💕,0.9595,Positive,0.0,Neutral,0.3085779249668121,Neutral
<3,0.4404,Positive,1.0,Positive,0.3580817282199859,Positive
I MISS THEM TT,-0.1531,Negative,0.0,Neutral,0.3766695261001587,Positive
"I'm not fan of twice but this songs give u ""THE good  FEELS""",0.5218,Positive,0.7,Positive,0.3392163515090942,Positive
"Army Here, 
I swear i'm addicted to this song.. 
This actually deserves a grammy nomination lets just hope that grammy notices twice🤞
Bangtwice Forever!!!🍭💜",0.8306,Positive,-0.2,Negative,0.6623420119285583,Positive
"https://www.youtube.com/watch?v=KiVt98pjOEo&ab_channel=JosephJuno  

If you can look this song, this is french guy with 70-80s vibes !! gl and enjoy !!",0.7696,Positive,0.3125,Positive,0.6328650116920471,Positive
나는 이 노래를 사랑한다,0.6369,Positive,0.5,Positive,0.7399405837059021,Positive
They are just perfect!,0.6114,Positive,1.0,Positive,0.9134460687637328,Positive
