Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
YEEHAWWWWWW,0.0,Neutral,0.0,Netural,-0.30972230434417725,Negative
Please hindi song,0.3182,Positive,0.0,Netural,-0.2940126061439514,Negative
Gww nyasarr cokk orang indo sendirii mana 2022 lagi,0.4215,Positive,0.1,Netural,-0.4273017346858978,Negative
this sounds fire when i put 1.25 speed,-0.34,Negative,0.0,Netural,-0.5490427017211914,Negative
"YEEHAW
YEEHAW",0.0,Neutral,0.0,Netural,-0.2532620429992676,Negative
I like BTS version...,0.3612,Positive,0.0,Netural,0.40834835171699524,Positive
Yeehaw,0.0,Neutral,0.0,Netural,0.23705226182937622,Netural
*YEEHAW*,0.0,Neutral,0.0,Netural,-0.25757938623428345,Negative
Yeehaw,0.0,Neutral,0.0,Netural,0.23705226182937622,Netural
Is there any BTS ARMY after watching the performance of Grammy 2020?? 💜💜💜💜💜💜💜,0.9858,Positive,0.0,Netural,-0.46284809708595276,Negative
YEEEEEEEEEEEEEEEEEEEEEEEHAAAAAAW,0.0,Neutral,0.0,Netural,-0.3020842969417572,Negative
Seriously its written old time road 😐 0:09,-0.1779,Negative,-0.11666666666666665,Negative,-0.6469731330871582,Negative
I mean yeehaw,0.0,Neutral,-0.3125,Negative,-0.26278218626976013,Negative
Yeshaw,0.0,Neutral,0.0,Netural,0.25092726945877075,Netural
0:12,0.0,Neutral,0.0,Netural,-0.4774480164051056,Negative
"Yeah im gonna take my horse to the old town road im gonna Ride Til i can't no more im gonna take my horse to the old town road im gonna Ride til i can't no more (KIO KIO)  i got the horses in the back horse tack is Attached hat is matte black got the boots that's black to match Ridin on the horse ha  you can whip your porsche i been in the valley you Ain't been up off that porch now
Can't nobody tell me nothin you can't tell me nothin can't nobody tell me nothin you can't tell me nothin Ridin on a tractor lean all in my bladder cheated on my baby you can go and ask her my live is a movie bull Ridin And boobies cowboy hat from gucci wrangler on my booty can't nobody tell me nothin you can't tell me nothin can't nobody tell me nothin you can't tell me nothin yeah im gonna take my horse to the old town road im gonna ride til i can't no more im gonna take my horse to the old town road im gonna ride til i can't no more hat down cross down livin like rockstar spent a lot of money on my brand new guitar baby's got a habit diamond rings And fendi sports bars Ridin down rodeo in my maserat sports car",0.899,Positive,-0.0681818181818182,Negative,-0.3836372494697571,Negative
GOD SONG BRO,0.2732,Positive,0.0,Netural,0.5164201855659485,Positive
2:06 best part,0.6369,Positive,1.0,Positive,0.42959514260292053,Positive
The beat still goes hard🔥🔥🔥,-0.765,Negative,0.0,Netural,0.45574888586997986,Positive
I Love,0.6369,Positive,0.5,Positive,0.7596659064292908,Positive
Ok,0.296,Positive,0.5,Positive,0.49511444568634033,Positive
Goosebumps!,0.0,Neutral,0.0,Netural,0.507906973361969,Positive
A masterpiece!!,0.6892,Positive,0.0,Netural,0.9081723093986511,Positive
"Amazing 
makes me wanna party",0.7579,Positive,0.6000000000000001,Positive,0.8386113047599792,Positive
Cowboy yaeeeeeeeee,0.0,Neutral,0.0,Netural,0.25329557061195374,Netural
Best part that gives me chills 😅 is 1:24,0.7717,Positive,1.0,Positive,0.6118085980415344,Positive
We need this to 1B,0.0,Neutral,0.0,Netural,0.24555829167366028,Netural
"You know what, I'm done, done, done
Yeah, I'm gonna take my horse
To the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no more
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Riding on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off the porch, now
Can't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothing
Riding on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull riding and boobies
Cowboy hat from Gucci
Wrangler on my booty
Can't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothing
Yeah, I'm gonna take my horse
To the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I got the",0.6077,Positive,-0.08484848484848485,Negative,-0.40514233708381653,Negative
lil nas x sing it better than first,0.4404,Positive,0.375,Positive,0.471515417098999,Positive
Please delete this comment @Shadow Music,0.3182,Positive,0.0,Netural,-0.5466315150260925,Negative
Hats off lil nas X for such a beautiful creation 😍❤️,0.8402,Positive,0.425,Positive,0.8188449740409851,Positive
6,0.0,Neutral,0.0,Netural,0.3716466426849365,Positive
cool,0.3182,Positive,0.35,Positive,0.4904145896434784,Positive
I have horrible memories of my past,-0.5423,Negative,-0.625,Negative,-0.5962200164794922,Negative
that's really old🤠😎 2022,0.4588,Positive,0.2,Netural,0.3477802872657776,Positive
Horses r flash I would buy horse even if I could sell lambo listen this song untill die and sub don't forget to bell and like,-0.1862,Negative,0.0,Netural,-0.48645493388175964,Negative
And Piachu Says he will here it one day all ya i know you will die me too,-0.5994,Negative,0.0,Netural,0.42892998456954956,Positive
Pikachu says wow its good  me too,0.7717,Positive,0.39999999999999997,Positive,0.6845186948776245,Positive
I love the part of 30 second vidie,0.6369,Positive,0.25,Netural,0.6461570262908936,Positive
This never gets old,0.0,Neutral,0.1,Netural,0.3099076449871063,Netural
Super song 👍,0.5994,Positive,0.3333333333333333,Positive,0.7927128672599792,Positive
It’s not a big thing but it’s a big big problem and it’s just me,-0.5499,Negative,0.0,Netural,0.5183689594268799,Positive
"Pov: Your typing ""yeehaw""",0.0,Neutral,0.0,Netural,0.25454428791999817,Netural
"Chorus

Yeah, I’m gonna take my horse to the old town road
I’m gonna ride ’til I can’t no more
I’m gonna take my horse to the old town road
I’m gonna ride ’til I can’t no more

Verse 1

I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that’s black to match

Ridin’ on a horse, ha
You can whip your Porsche
I been in the valley
You ain’t been up off that porch, now

Transition

Can’t nobody tell me nothin’
You can’t tell me nothin’
Can’t nobody tell me nothin’
You can’t tell me nothin’

Verse 2

Ridin’ on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull ridin’ and boobies
Cowboy hat from Gucci
Wrangler on my booty

Transition

Can’t nobody tell me nothin’
You can’t tell me nothin’
Can’t nobody tell me nothin’
You can’t tell me nothin’

Chorus

Yeah, I’m gonna take my horse to the old town road
I’m gonna ride ’til I can’t no more
I’m gonna take my horse to the old town road
I’m gonna ride ’til I can’t no more

Verse 3

Hat down, cross town, livin’ like a rock star
Spent a lot of money on my brand new guitar
Baby’s got a habit:
Diamond rings and Fendi sports bras

Ridin’ down Rodeo in my Maserati sports car
Got no stress, I’ve been through all that
I’m like a Marlboro Man so I kick on back
Wish I could roll on back to that old town road
I wanna ride ’til I can’t no more

Chorus

Yeah, I’m gonna take my horse to the old town road
I’m gonna ride ’til I can’t no more
I’m gonna take my horse to the old town road
I’m gonna ride ’til I can’t no more",0.4607,Positive,-0.06908670033670035,Negative,-0.34022557735443115,Negative
Yeehaw,0.0,Neutral,0.0,Netural,0.23705226182937622,Netural
YEEHAW,0.0,Neutral,0.0,Netural,0.23705226182937622,Netural
How to cheat boi??,-0.5204,Negative,0.0,Netural,-0.4424600899219513,Negative
Yeeewhawwwwwwwww 👍⚡,0.0,Neutral,0.0,Netural,-0.2856331765651703,Negative
Always in our heart,0.6369,Positive,0.0,Netural,0.7461796402931213,Positive
YEEHAW,0.0,Neutral,0.0,Netural,0.23705226182937622,Netural
"Legends are watching this song in 2022😌😌

It's legendary song",0.6369,Positive,1.0,Positive,0.7268116474151611,Positive
Old Town road 🛣️never gets Old🔥⚡,-0.34,Negative,0.1,Netural,0.42417261004447937,Positive
Me on my slow 300cc bike vibin' to this song rp'in like Its a horse is the best feeling evet 🤠🤠🤠🤠🤠,0.802,Positive,0.35,Positive,0.6634467840194702,Positive
Saving this for myself😌💅 0:21,0.3818,Positive,0.0,Netural,0.34311890602111816,Positive
"I searched for gold , I found diamond",0.34,Positive,0.0,Netural,0.24344560503959656,Netural
"Answer me, who are all still listening to this masterpiece in 2022",0.7073,Positive,0.0,Netural,0.672727108001709,Positive
"horse
godzilla",0.0,Neutral,0.0,Netural,0.2662505507469177,Netural
horse,0.0,Neutral,0.0,Netural,0.29844558238983154,Netural
horse,0.0,Neutral,0.0,Netural,0.29844558238983154,Netural
"My favourite line : ""RIDIN ON HORSE"" 😲",0.3818,Positive,0.0,Netural,0.6903523206710815,Positive
https://youtu.be/U4xPahDjY6k,0.0,Neutral,0.0,Netural,-0.22800840437412262,Negative
1:40,0.0,Neutral,0.0,Netural,-0.2734915316104889,Negative
holli shit so hoooot,-0.5574,Negative,0.024999999999999994,Netural,-0.3171260356903076,Negative
"Yeah, I'm gonna take my horse
To the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no more
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Riding on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off the porch, now
Can't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothing
Riding on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull riding and boobies
Cowboy hat from Gucci
Wrangler on my booty
Can't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothing
Yeah, I'm gonna take my horse
To the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I got the",0.6077,Positive,-0.08484848484848485,Negative,-0.41814765334129333,Negative
"You know what, I'm done, done, done
Yeah, I'm gonna take my horse
To the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no more
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Riding on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off the porch, now
Can't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothing
Riding on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull riding and boobies
Cowboy hat from Gucci
Wrangler on my booty
Can't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothing
Yeah, I'm gonna take my horse
To the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I got the",0.6077,Positive,-0.08484848484848485,Negative,-0.40514233708381653,Negative
Respect,0.4767,Positive,0.0,Netural,0.4987001419067383,Positive
"Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
(Kio, Kio)

[Verse 1: Lil Nas X]
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Ridin' on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off that porch, now

[Chorus: Lil Nas X]
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'


[Verse 2: Lil Nas X]
Ridin' on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull ridin' and boobies
Cowboy hat from Gucci
Wrangler on my booty

[Chorus: Lil Nas X]
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

[Refrain: Lil Nas X]
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more

[Verse 3: Billy Ray Cyrus]
Hat down, cross town, livin' like a rockstar
Spent a lot of money on my brand new guitar
Baby's got a habit: diamond rings and Fendi sports bras
Ridin' down Rodeo in my Maserati sports car
Got no stress, I've been through all that
I'm like a Marlboro Man so I kick on back
Wish I could roll on back to that old town road
I wanna ride 'til I can't no more
[Outro: Lil Nas X & Billy Ray Cyrus]
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more",0.9731,Positive,-0.06908670033670035,Negative,-0.3025311231613159,Negative
This is awesome,0.6249,Positive,1.0,Positive,0.8409399390220642,Positive
pog!!!!!!!!!!!!!!!!!,0.0,Neutral,0.0,Netural,-0.5191460251808167,Negative
Somebody on 2022? 🤧☝️,0.0,Neutral,0.0,Netural,-0.4502139091491699,Negative
yeehaw,0.0,Neutral,0.0,Netural,0.23705226182937622,Netural
WHO ALL CAME HERE REMEMBERING BTS PERFORMENCE,0.0,Neutral,0.0,Netural,0.6234767436981201,Positive
"You know what, I'm done, done, done
Yeah, I'm gonna take my horse
To the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no more
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Riding on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off the porch, now
Can't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothing
Riding on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull riding and boobies
Cowboy hat from Gucci
Wrangler on my booty
Can't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothing
Yeah, I'm gonna take my horse
To the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I got the",0.6077,Positive,-0.08484848484848485,Negative,-0.40514233708381653,Negative
1:27 🥴🤗🥴🤗😎🤗😎😳😊😊🤘🤘😉😉,0.9761,Positive,0.0,Netural,-0.2881268858909607,Negative
after listening to this music  I sold my aeroplane and private jets and bought a pegasis and unicorn 😂😂😂,0.8271,Positive,0.0,Netural,-0.3519328534603119,Negative
🐎 🐴 🤠,0.0,Neutral,0.0,Netural,0.37613287568092346,Positive
"Me: mom buy me horse pls
Mom:it's cheap and slow but ok
2 years later

Mom: son what the fuck you doing
Me: chasing robbers using horse
Cops: they have lambo how he chase them!!!",-0.5684,Negative,-0.036250000000000004,Negative,0.24104885756969452,Netural
YEEHAW,0.0,Neutral,0.0,Netural,0.23705226182937622,Netural
Volim te Andro,0.6369,Positive,0.5,Positive,0.23607006669044495,Netural
Eèè22è,0.0,Neutral,0.0,Netural,0.2418380081653595,Netural
Lil Nas X was right I couldn't whip my Porsche so I sold it to whip Horse instead*I don't mean beating a horse*,0.357,Positive,-0.01339285714285715,Negative,-0.33291882276535034,Negative
🤠🤠🤠🤠🤠🤠,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Still loving this song. I’m listening to this while playing Red Dead Redemption. I always have a good time.😎🤠,0.743,Positive,0.27499999999999997,Netural,0.6785993576049805,Positive
I'm gonna yeet till I can't no more,0.2235,Positive,-0.25,Negative,-0.2616231441497803,Negative
"*Siempre* Babes.geilsex.uno   
*los  mortales abian apreciado tan hermosa mujer*  .

Tu..belleza.viaja.al.universo.se.reune.con.estrellas.
y.luceros...tu.mirada.enamora.al.sol.....tu.hermosura.quedara.por..una.eternidad. *en* .los.corazonede.
tus.admiradores......feliz
Navidad.y.noche.buena....mis. _respeto_ .para.todas.las.mujes.del.mundo...saludos..al.fin.del.mundo
🈂♂♀❤",0.9382,Positive,0.35000000000000003,Positive,0.7290375828742981,Positive
AN Y MALAYALIS,0.0,Neutral,0.0,Netural,0.29151055216789246,Netural
4 years ago this song was the best of the year now it's ...,0.6369,Positive,1.0,Positive,0.7552393674850464,Positive
WOW  thinking about this music is waste because its  masterpiece 🔥🔥,0.4648,Positive,-0.05,Negative,-0.7111858129501343,Negative
OOOOpppp😁😁,0.7184,Positive,0.0,Netural,0.30857792496681213,Netural
*YEEHAW* 🏇,0.0,Neutral,0.0,Netural,-0.221629798412323,Negative
0:28 love the voice❤️,0.6369,Positive,0.5,Positive,0.6130361557006836,Positive
💪🥵,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
😎😁,0.7184,Positive,0.0,Netural,0.30857792496681213,Netural
YEEHAW😍😘,0.7003,Positive,0.0,Netural,0.30857792496681213,Netural
YEE HAWW,0.0,Neutral,0.0,Netural,-0.306428998708725,Negative
Tôi là người vietnam 🇻🇳 và tôi rát thích bài music này,0.4201,Positive,0.2,Netural,0.5747091174125671,Positive
Tatti,0.0,Neutral,0.0,Netural,0.26126453280448914,Netural
0:26 next level line 🤩,0.0,Neutral,0.0,Netural,-0.47919946908950806,Negative
🤠🤠🤠🤠🤠🤠🤠🤠🤠🖖,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
YEEHAE,0.0,Neutral,0.0,Netural,0.24799232184886932,Netural
when i listened first time i thought first lyric is ‘take my whores to the hotel room’,-0.6124,Negative,0.25,Netural,-0.3094518482685089,Negative
Indians attendence here 🤚,0.4939,Positive,0.0,Netural,0.35194891691207886,Positive
Legends Listening this for making a codm motage,0.0,Neutral,0.0,Netural,0.6054155230522156,Positive
