Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
NO MUSIC VIDEO CAN TOP THIS… I was so proud when she released this masterpiece,0.8579,Positive,0.65,Positive,0.7088479995727539,Positive
tay is such a queen,0.0,Neutral,0.0,Neutral,0.7682084441184998,Positive
There are people who do this for a living.  What a variety humanity is.  I am celebrating this by getting high and watching.,0.5719,Positive,0.16,Positive,0.7388901710510254,Positive
"Oh, this is Taylor Swift!  I think I may have heard of her.",0.2714,Positive,0.0,Neutral,0.5610864162445068,Positive
Taylor Swift - Look What You Made Me Do (Official Vidoe),0.2023,Positive,0.0,Neutral,0.3613538742065429,Positive
I'm biggest fan,0.3182,Positive,0.0,Neutral,0.7022390365600586,Positive
I REMEBER the gacha videos that they made 😭😭🤷‍♀️,-0.7351,Negative,0.0,Neutral,0.4115580022335052,Positive
"You drop this queen 👑 
😻❣️🧿",0.7269,Positive,0.0,Neutral,-0.5275641083717346,Negative
Me 🙅‍♀️🙅‍♀️,0.0,Neutral,0.0,Neutral,0.2424992024898529,Neutral
At the first part I thought it was scary 😃🤣,0.3612,Positive,-0.125,Negative,0.3831661641597748,Positive
this masterpiece will never gets old,0.6249,Positive,0.1,Positive,0.8381006717681885,Positive
i come here everyday to watch her characters diss each other like it's so iconic and hilarious,0.6666,Positive,0.16875,Positive,0.8011605143547058,Positive
She has to dress in shiny platinum red or normal,0.0,Neutral,0.075,Positive,0.3823009729385376,Positive
The red rose of the world,0.0,Neutral,0.3,Positive,0.7536960244178772,Positive
🌹🌹🌹🌹🌹🌹🌹🌹,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
You're free mother! (◕ᴗ◕✿),0.5562,Positive,0.5,Positive,0.4820195734500885,Positive
UwU she's cute,0.4588,Positive,0.5,Positive,0.3869692981243133,Positive
Taylor swift haven't win the beef 😏,-0.312,Negative,0.8,Positive,0.3132127225399017,Neutral
Hay,0.0,Neutral,0.0,Neutral,0.2685189843177795,Neutral
"reputation was amazing, but man imagine reputation taylors version",0.34,Positive,0.6000000000000001,Positive,0.315702736377716,Neutral
Porque tiraram a imagem da nota de 1 dólar da banheira?,0.0,Neutral,0.0,Neutral,-0.6355869770050049,Negative
Is one of her male dancers Todrick Hall?,0.0,Neutral,0.0,Neutral,0.2924383282661438,Neutral
1.3B,0.0,Neutral,0.0,Neutral,0.2601977586746216,Neutral
doesn’t she have lovely make up,0.5859,Positive,0.5,Positive,0.362069308757782,Positive
That’s my jam,0.0,Neutral,0.0,Neutral,0.2507047653198242,Neutral
