Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
37:24 es eso la del minuto  41:6,0.0,Neutral,0.0,Netural,-0.4402751922607422,Negative
"42:29 como se llama esa música? 
porfavor me pueden decir 🙏🏽",0.3182,Positive,0.0,Netural,-0.3880249857902527,Negative
la mejor musica la electronica,0.6369,Positive,1.0,Positive,0.8740877509117126,Positive
La mejor música electrónica 2021,0.6369,Positive,1.0,Positive,0.9130752086639404,Positive
bro  pon un video con musicas y los nombres,0.0,Neutral,0.0,Netural,-0.2671404778957367,Negative
Me encanta la música electrónica 😎😎😎😎😎😎🦾,0.969,Positive,0.5,Positive,0.7637066841125488,Positive
Y TANBIEN EL 2022 Y  ESOS MOMENTOS ERAN BUENOS CON ESA MUSICA Y LAS CANCIONES  DE TIPO QUIEN SERA PERO LAS CANCIONES SEGANAN UN 1OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.3218,Positive,0.7,Positive,-0.3221527636051178,Negative
me quede hipnotizada con la bolita del medio xd hasta ahorita reviví,0.5859,Positive,-0.09375,Negative,-0.45459309220314026,Negative
Siiiiiiiiiiiii,0.0,Neutral,0.0,Netural,0.3706359565258026,Positive
😍🥺,0.4588,Positive,0.0,Netural,0.30857792496681213,Netural
Esa canción la baile en mis xñ,0.0,Neutral,0.0,Netural,0.5904783606529236,Positive
me muero por la música electrónica 👍🥰,0.8074,Positive,0.0,Netural,-0.2764343321323395,Negative
👍👍👍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎,0.9918,Positive,0.0,Netural,0.30857792496681213,Netural
💓💓💓💓💓💓💓💓,0.9274,Positive,0.0,Netural,0.30857792496681213,Netural
Esta canción me encanta👉👈😱😱😱😱😱😱😱😱😱,-0.9923,Negative,0.5,Positive,0.4657241702079773,Positive
Alguien sabe como se llama la que esta en el min 56:47  ?? Por favor,0.3182,Positive,0.0,Netural,-0.5423442721366882,Negative
É uma loucura quantas pessoas voltam a isso todos os dias. Essas músicas são lendárias,-0.34,Negative,0.225,Netural,-0.4050997197628021,Negative
Amo la música electrónica xd,0.8402,Positive,0.5,Positive,0.5950619578361511,Positive
DOPE...,0.0,Neutral,0.0,Netural,-0.3109617829322815,Negative
This mscies it is cool 😎 🤯🤯🤯,0.6486,Positive,0.35,Positive,0.5792551636695862,Positive
Eletrônica e bem mais melhor que fank,0.4404,Positive,0.5,Positive,0.43563804030418396,Positive
re buenarda,0.4404,Positive,0.7,Positive,0.3865930736064911,Positive
Yo. Está. Música. La pongo. Y. Me. Sube. A. Heroico. En menos de un minuto 😎😎😎😎😎😎😎,0.9738,Positive,0.26666666666666666,Netural,0.494017094373703,Positive
Ha que buena electrónica 😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎,0.9948,Positive,0.7,Positive,0.3314267694950104,Positive
La mejor música electrónica 🥰🥰,0.9628,Positive,1.0,Positive,0.8893908262252808,Positive
😎😎😎😎😎😎😎,0.9638,Positive,0.0,Netural,0.30857792496681213,Netural
Ya esta buena la música,0.4404,Positive,0.7,Positive,0.44260895252227783,Positive
{ > ~ < },0.0,Neutral,0.0,Netural,0.25168153643608093,Netural
Alguien me puede decir la canción del minuto 20:45,0.0,Neutral,0.0,Netural,-0.3992980718612671,Negative
a,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
p,0.0,Neutral,0.0,Netural,0.2397068440914154,Netural
a,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
p,0.0,Neutral,0.0,Netural,0.2397068440914154,Netural
Super la mejor musica,0.8442,Positive,0.6666666666666666,Positive,0.9280699491500854,Positive
Me recuerda muchas cosas la música de electrónica,0.0,Neutral,0.0,Netural,0.4260611832141876,Positive
Chido la música de electrónica,0.3182,Positive,0.35,Positive,-0.22097648680210114,Negative
