Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
😇😇😇😇😇😇✝️✝️✝️✝️🙏🏻😇😇😇😇🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻✝️✝️✝️✝️,0.9818,Positive,0.0,Neutral,0.3085779249668121,Neutral
#2 is absolutely stunning! Can you do a video talking about all of the products you use so I can get them and use them to🥺😂,0.7257,Positive,0.625,Positive,0.931745171546936,Positive
Alguien habla español?,0.0,Neutral,0.0,Neutral,-0.4564203917980194,Negative
It is oyay,0.0,Neutral,0.0,Neutral,0.2954118549823761,Neutral
James just wondering what is your favorite lengthening mascara,0.4588,Positive,0.5,Positive,0.5717294812202454,Positive
Are you triying act like a women,0.3612,Positive,0.0,Neutral,-0.3335669338703155,Negative
Ain’t breathing tell you say hi also love youuuuuu,0.6369,Positive,0.5,Positive,0.6975481510162354,Positive
I was about to say ur not really gonna paint ur face red with an perfectly good set of earring and stain them are u?💅🏼😂😂😂 and miss gurl ur not alone I haven’t seen the movie either I don’t know what the hype is but it’s fine love u sister 😘,0.9646,Positive,0.3033333333333333,Neutral,0.3736164569854736,Positive
Spider man slay your way home 💅,0.0,Neutral,0.0,Neutral,0.436391532421112,Positive
I loveeeeeeeeeeeeeeeeeee this ❤,0.6369,Positive,0.0,Neutral,0.7695242166519165,Positive
OMG LOOK NUMBER 2 ON JAMES REALLY SUITS HIM! We’ll all of them do! 💕✨ Love you sister have a great day ❤️❤️❤️,0.9553,Positive,0.5375,Positive,0.7729793787002563,Positive
I love it  it is so cute,0.8429,Positive,0.5,Positive,0.8304564356803894,Positive
"honestly its great James
 
❤",0.9062,Positive,0.7,Positive,0.716360330581665,Positive
no way home,-0.296,Negative,0.0,Neutral,-0.6003391742706299,Negative
Your a trans,0.0,Neutral,0.0,Neutral,0.4779817759990692,Positive
Me high af at 2:40 am with bunch of snacks and suddenly thought about watching james charle's videos 🙂,0.4033,Positive,0.08,Neutral,-0.3577364385128021,Negative
i love you james,0.6369,Positive,0.5,Positive,0.8045817613601685,Positive
Your videos are amazing🤩,0.5859,Positive,0.0,Neutral,0.4750384390354156,Positive
god damn😻😻😻😻😻,0.9246,Positive,0.0,Neutral,0.6019814610481262,Positive
Yes Yes yes yes lol 😂,0.9382,Positive,0.8,Positive,0.3390461504459381,Positive
"I was never in love with makeup 

After I watched ur channel it got me interest and ur absolutely stunning amazing fab sister 

I love the way u to ur make up 💄💅🏻👄

Not gonna lie u did thousand times better 😍😜",0.9636,Positive,0.52,Positive,0.9120915532112122,Positive
The spider man one would loook way better if it had a white eye contbxt,0.4404,Positive,0.25,Neutral,0.3560188412666321,Positive
I love you 😘 we are here for you,0.7906,Positive,0.5,Positive,0.9042022228240968,Positive
YES QUEEN BY YOURSELF 😘,0.7378,Positive,0.0,Neutral,0.7896673679351807,Positive
James could u give me a shout out,0.0,Neutral,0.0,Neutral,-0.4100373089313507,Negative
I LOVE all of these looks,0.7125,Positive,0.5,Positive,0.8218947649002075,Positive
do a fashion show video,0.0,Neutral,0.0,Neutral,0.3218554556369781,Neutral
my faverate look is the first one its increadible,0.4588,Positive,0.5499999999999999,Positive,0.2811135649681091,Neutral
Yes,0.4019,Positive,0.0,Neutral,0.3790786862373352,Positive
ngl I thought I put my playback speed at 1.25 or sth,0.0,Neutral,0.0,Neutral,-0.2894684672355652,Negative
u look stunning gurllllll,0.3818,Positive,0.5,Positive,0.6271843314170837,Positive
Omg yasss how do u do ur makeup so good like-,0.7593,Positive,0.7,Positive,0.5885025858879089,Positive
Hi James  iam your big fan and loats of love from India please do indian bridal makeup please please 🙏🙏🙏🙏,0.9081,Positive,0.25,Neutral,0.5182125568389893,Positive
its great :),0.7964,Positive,0.65,Positive,0.6732009649276733,Positive
<3,0.4404,Positive,1.0,Positive,0.3580817282199859,Positive
0:24,0.0,Neutral,0.0,Neutral,-0.4557176530361175,Negative
You are done when he said I am not a marvel gurl I almost unfollowed,-0.3252,Negative,0.0,Neutral,-0.4407657980918884,Negative
you are so spiritual and funny smart and you have a great sence of humer,0.9014,Positive,0.3160714285714285,Neutral,0.8038978576660156,Positive
i love the first and second look,0.6369,Positive,0.25,Neutral,0.7136053442955017,Positive
i think your so creative and amazing your so inspiering and a have a personality that no other person can have i love your so fun,0.9371,Positive,0.3925,Positive,0.904877781867981,Positive
every look beautiful,0.5994,Positive,0.85,Positive,0.7534403800964355,Positive
"There is this boy at my school called James and I swear he is so like you, except he does gymnastics. He does your hand movements and has your attitude. Lol",0.8419,Positive,0.8,Positive,0.4619190394878387,Positive
Love your channel,0.6369,Positive,0.5,Positive,0.770464301109314,Positive
The Spider-Man look was so cool!!!  I wish I had your talent!!!,0.8727,Positive,1.0,Positive,0.7142349481582642,Positive
Its stunning i couldn't do that its stunning sisters,0.6369,Positive,0.5,Positive,0.4645058214664459,Positive
Your makeup are always better 😍,0.7096,Positive,0.5,Positive,0.2494122236967086,Neutral
James I'm sorry to say but watching all of the marvel movies will take longer than just one weekend.,0.5499,Positive,-0.5,Negative,0.3940526843070984,Positive
Just saying the lip on the second one does not match just saying love you sister😍😘❤️,0.875,Positive,0.25,Neutral,-0.3540973961353302,Negative
When he says Loki obsessed but doesn't even get the reference 😂,0.5423,Positive,-0.5,Negative,0.3591419458389282,Positive
"James: “ I am going to get dragged” 

Me: “ yes .... You are”",0.4019,Positive,0.0,Neutral,-0.2525790333747864,Negative
The spiderman look was my favorite! SO COOL!!😍😍,0.9491,Positive,0.625,Positive,0.8832562565803528,Positive
Jame charles you’re so amazing😍😍😍😍😍😍🥰🥰🥰🥰❤️❤️❤️❤️😁😁😁,0.996,Positive,0.0,Neutral,0.4341848790645599,Positive
Hi James I am your biggest fan love your videos thank you for making them.,0.8402,Positive,0.5,Positive,0.9105629920959472,Positive
Look 2 by far was the best. the one James was not sure of was the best. Some times I think James trolls us for reaction.,0.8145,Positive,0.4625,Positive,0.4176523983478546,Positive
I LOVE YOUUUUU,0.6369,Positive,0.5,Positive,0.7386594414710999,Positive
I LOVE you video,0.7125,Positive,0.5,Positive,0.7646380066871643,Positive
Are you a girl or a boy,0.0,Neutral,0.0,Neutral,-0.3005125522613525,Negative
Mmmmmmmmmmmmmmm,0.0,Neutral,0.0,Neutral,-0.2886707782745361,Negative
James I don't think you realise how STUNNING the second look is,0.516,Positive,0.25,Neutral,0.3336431682109833,Positive
I love look number three,0.6705,Positive,0.5,Positive,0.7721688747406006,Positive
what lash did you use on the first look bc 😍😍😍😍,0.9001,Positive,0.25,Neutral,0.2741893827915191,Neutral
I would love to see Jame’s reaction the the MCU movies 🍿,0.6369,Positive,0.5,Positive,0.405697613954544,Positive
Love his Videos,0.6369,Positive,0.5,Positive,0.7084733843803406,Positive
Just reminding yall  wut he did a couple months ago :-),0.3182,Positive,0.5,Positive,0.4139166474342346,Positive
James I had a idea while watching this you should create All of us are dead looks!!,-0.5837,Negative,-0.3125,Negative,-0.4544508755207062,Negative
I LOVE YOU'RE VIDEOS !💝,0.8866,Positive,0.625,Positive,0.8400935530662537,Positive
that Ukrainian girl is probably dead now,-0.6486,Negative,-0.2,Negative,-0.3903321027755737,Negative
I love ❤ 😍 💖 ❣ 💕 💘 ❤ 😍 💖 ❣ 💕 💘 ❤ 😍 💖 ❣ 💕 💘 ❤ 😍 💖 ❣ 💕 💘 ❤ 😍 💖 ❣ 💕 💘,0.9992,Positive,0.5,Positive,0.8651148080825806,Positive
so hot ty for the information,0.4364,Positive,0.25,Neutral,0.361339807510376,Positive
yasssss Queen,0.0,Neutral,0.0,Neutral,0.5510254502296448,Positive
😍😍😍,0.8402,Positive,0.0,Neutral,0.3085779249668121,Neutral
omg im your bigest fan your my favorite james,0.6486,Positive,0.5,Positive,0.8646531701087952,Positive
Are you a girl or a boy.,0.0,Neutral,0.0,Neutral,-0.3042598664760589,Negative
You look stunning 😍,0.6808,Positive,0.5,Positive,0.7302026152610779,Positive
You KILLED look number 2❤️❤️,-0.7125,Negative,-0.2,Negative,-0.5988115072250366,Negative
Pray for the 1 artist,0.3182,Positive,0.0,Neutral,-0.3071134388446808,Negative
I do not oh this is us my account  whit my boyfriend,0.0,Neutral,0.0,Neutral,-0.6522896885871887,Negative
I LOVE YOU,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
I loved them they all looked beautiful ❤️,0.8316,Positive,0.7749999999999999,Positive,0.7727020978927612,Positive
girl no..,0.0,Neutral,0.0,Neutral,-0.5818191766738892,Negative
Hi ILVOE tiWhere,0.0,Neutral,0.0,Neutral,0.2470602840185165,Neutral
"The first one in the starting looked like 💜 BTS song Black Swan 🖤🦢 
Any BTS ARMYS out there 💜",0.9442,Positive,0.0277777777777777,Neutral,-0.2952411472797394,Negative
Are you a girl or a boy???,0.0,Neutral,0.0,Neutral,-0.418687492609024,Negative
James every time that you say you makeup looks bad I say in my head I love it Like beauty Styles hell yea,0.34,Positive,-0.0999999999999999,Negative,0.5489324331283569,Positive
Were did you get those locket  earrings I'm obsessed  with them sister  O . M . G I love the locket earrings ahhhhhh,0.5423,Positive,0.0,Neutral,0.2740637362003326,Neutral
I love how he know summer Walker 😭💙,0.743,Positive,0.5,Positive,0.6777188181877136,Positive
Hiii my name is kaitlynn I loveee your vidss and I loved all of the makeup looks <3,0.7783,Positive,0.85,Positive,0.6287006139755249,Positive
hate it,-0.5719,Negative,-0.8,Negative,-0.7897122502326965,Negative
Onde estão os brasileiros????,0.0,Neutral,0.0,Neutral,-0.5260301828384399,Negative
Shut up,0.0,Neutral,0.0,Neutral,-0.6720421314239502,Negative
Amazing,0.5859,Positive,0.6000000000000001,Positive,0.8426642417907715,Positive
"OBSESSED!!! I do love the second makeup look, i think you killed it. But yes i know sometimes you just don't really feel it.",0.5513,Positive,-0.0953125,Negative,0.3469649255275726,Positive
i love look number one and two,0.6705,Positive,0.5,Positive,0.7577074766159058,Positive
When Europhia doesn’t show in your country 👌👉,0.8868,Positive,0.0,Neutral,-0.4698899686336517,Negative
One day I am going to Th you to do my makeup one day.,0.0,Neutral,0.0,Neutral,-0.3236463665962219,Negative
You re such professional.,0.0,Neutral,0.05,Neutral,0.6906862258911133,Positive
I look the makeup look James.,0.0,Neutral,0.0,Neutral,0.2923269867897033,Neutral
Did brent rivera prank u with fight  with lexi r,-0.3818,Negative,0.0,Neutral,0.2552929818630218,Neutral
Love the Spider-Man,0.6369,Positive,0.5,Positive,0.7043426036834717,Positive
"when sis said ""I've never seen a single marvel movie"" I was ready to leave but had to stay for the look",0.3716,Positive,0.0642857142857143,Neutral,-0.3703091442584991,Negative
Omg you are gorgeous love this videos,0.8481,Positive,0.6,Positive,0.8353180289268494,Positive
When he said is bat man marvel,0.4215,Positive,0.0,Neutral,0.2816702723503113,Neutral
This look this looks and this look,0.0,Neutral,0.0,Neutral,0.7064473628997803,Positive
Sissyyy look 2 was so cutee.... ❤️😍😍 You always do the best so just don't doubt yourself 😘😘😘,0.9746,Positive,0.75,Positive,0.564026951789856,Positive
Imagine being this good at makeup. 😭😭😭,-0.7118,Negative,0.7,Positive,0.5133607387542725,Positive
The second one was so good,0.5777,Positive,0.35,Positive,0.4875921905040741,Positive
11:03  I'm too 😂 i also haven't seen Marvel's movies,0.4404,Positive,0.0,Neutral,-0.3165406882762909,Negative
im sorry but the 2 one its giving siri lol it looks great tho:),0.9231,Positive,0.4,Positive,0.2982165217399597,Neutral
How dare you sister how have you never watch a marvel movie,-0.3252,Negative,0.0,Neutral,0.5099245309829712,Positive
"as much as i don’t agree with what James has done, he does have a lot of talent.",0.6486,Positive,0.2,Neutral,0.2857308685779571,Neutral
I am a really big fan!!,0.4875,Positive,0.0,Neutral,0.825402021408081,Positive
"James the third one is beautiful but  the left side of your face is a little bit too plain 
It would be beautiful",0.8316,Positive,0.2163690476190476,Neutral,0.5768908262252808,Positive
I love the 1 and 2 ones,0.6369,Positive,0.5,Positive,0.7089467644691467,Positive
WE LOVE YOU JAMES Charles 🐅🐆🦁🐯,0.7125,Positive,0.5,Positive,0.8502185940742493,Positive
That “text” to comment was so cute. It worked lol,0.7695,Positive,0.65,Positive,0.4651423990726471,Positive
NOT THE VICTORIOUS SONG AT THE BEGINNING,0.0,Neutral,0.0,Neutral,-0.4011923968791961,Negative
Did anybody else realize he said “a gorgeous little eye on this look” 😂,0.7845,Positive,0.25625,Neutral,0.4564626812934875,Positive
Damn your good. U slayed all of them.,0.0516,Positive,0.7,Positive,-0.6456022262573242,Negative
"The euphoria vibe, the rainbow, shiny and the details on the spider man look OMG! 💗",0.8883,Positive,0.0,Neutral,0.2303155362606048,Neutral
yay go sister go,0.5267,Positive,0.0,Neutral,0.299377828836441,Neutral
Love the look. absolutely stunning for number 2,0.8251,Positive,0.5,Positive,0.8596305847167969,Positive
Wow 💖💖💖💖💖,0.988,Positive,0.1,Neutral,0.6722603440284729,Positive
the spider man one was the best one🤍,0.6369,Positive,1.0,Positive,0.7540098428726196,Positive
Omg I love ur vids and some times I wish I meet u,0.7845,Positive,0.5,Positive,0.6829327940940857,Positive
i love it💓💗💕💖💖💖💖💖💖💖💖,0.9975,Positive,0.5,Positive,0.8423482775688171,Positive
😍🥰,0.8834,Positive,0.0,Neutral,0.3085779249668121,Neutral
I love you james so much,0.6369,Positive,0.35,Positive,0.86040860414505,Positive
Look 2 😍🔥,0.1531,Positive,0.0,Neutral,0.2349761724472046,Neutral
i  love james intro sooooo good,0.7964,Positive,0.6,Positive,0.3861497640609741,Positive
"Oh my god i thought I'm the only one 😭 
James I've never seen a single Marvel movie too😭😭😭",-0.8176,Negative,-0.0357142857142857,Negative,-0.3881056308746338,Negative
I love Ryan 😭,0.2732,Positive,0.5,Positive,0.7827891707420349,Positive
Wow number 2 is cool,0.7506,Positive,0.2249999999999999,Neutral,0.7613607048988342,Positive
you are truly makeup king,0.4404,Positive,0.0,Neutral,0.8340786099433899,Positive
just watched this video with my mom and she is GAGGING,0.0,Neutral,0.0,Neutral,-0.4263941943645477,Negative
I LOVE YOUR MEKAUPPP,0.6369,Positive,0.5,Positive,0.8381104469299316,Positive
Your sassy,0.0,Neutral,0.0,Neutral,0.3589951395988464,Positive
My mom has big eyes and all the makeup things I know make eyes look bigger do you have any tips for people with big eyes? 👀,0.0,Neutral,0.0,Neutral,0.4171852767467499,Positive
It’s actually so cool how talented he is at makeup…I’m not a “makeupy” person but it’s super cool to see him do it,0.9114,Positive,0.4333333333333332,Positive,0.5574261546134949,Positive
Yep,0.296,Positive,0.0,Neutral,0.2361031174659729,Neutral
I absolutely love look number 2. It's soo beautiful 😍,0.9363,Positive,0.675,Positive,0.917979657649994,Positive
How do you not think it looks good jamessss,0.4404,Positive,0.7,Positive,-0.2925745248794555,Negative
Omg sister ur beautiful  sister thx for  doing this video love you ❤❤,0.9638,Positive,0.675,Positive,0.8796875476837158,Positive
PLEASE DO A EUPHORIA INSPIRED MAKEUP PLEASE!!!,0.9182,Positive,0.0,Neutral,0.3704697489738464,Positive
hi james my name is alanyah you are beautiful james you are son,0.5994,Positive,0.85,Positive,0.6388347744941711,Positive
"James woah the second look is absolutely charming just like your personality. Noo, don't think that it's bad don't doubt yourself it's very very pretty!!",0.8696,Positive,0.126953125,Neutral,0.4014281034469604,Positive
"Jamesss stop your killing meee! Sisterrr you ate those loooksss, how cute. Your so talented sister I hope your beauty spread worldwideee ik it already is worldwide but I hope it spreads even moreeee ee love you sisterrrr!!",0.942,Positive,0.6604166666666667,Positive,0.8241982460021973,Positive
Look number tow is great !!!,0.7412,Positive,1.0,Positive,0.7365313768386841,Positive
I live you james ❤️,0.0,Neutral,0.1363636363636363,Neutral,0.6019283533096313,Positive
I live you james ❤️,0.0,Neutral,0.1363636363636363,Neutral,0.6019283533096313,Positive
Loved it try doing anime makeup,0.5994,Positive,0.7,Positive,0.6498833894729614,Positive
То чувство когда голос русской озвучки ему подходит больше чем родной...,0.128,Positive,0.275,Neutral,-0.3303353190422058,Negative
James  Are you a girl or what,0.0,Neutral,0.0,Neutral,-0.2490471452474594,Negative
James look number 2 is fabulous sister love you soooooo much,0.836,Positive,0.3666666666666667,Positive,0.7662528157234192,Positive
I think you are so incredibly talented! Your personality is amazing also. Please don't ever doubt yourself. You are where you are today because how amazing you are. I love ya so so much! You make me laugh and your such a joy to watch. Keep up the wonderful work. Can't wait to see more of your videos! 😊❤,0.9919,Positive,0.5549999999999999,Positive,0.9740573167800904,Positive
Yes,0.4019,Positive,0.0,Neutral,0.3790786862373352,Positive
Girl the second one was so pretty whatcha mean🤦🏼‍♀️💕,0.8561,Positive,0.125,Neutral,0.2815935611724853,Neutral
💕💕💕💕💕💞💞💞💞💞💕💕💕💕💞💞💞💞💕💕💕💕💞💞💞💞💕💕💕💕💕💕💕💞💞💞💕💕💕💕💕💞💞💞💞💞,0.9997,Positive,0.0,Neutral,0.3085779249668121,Neutral
I love your channel cuz I watch it all the time,0.6369,Positive,0.5,Positive,0.8446537852287292,Positive
"James, you're so beautiful 🤤",0.7177,Positive,0.85,Positive,0.763589084148407,Positive
You killed it,-0.6705,Negative,-0.2,Negative,-0.475617915391922,Negative
Spider-Man one is the one I like,0.3612,Positive,0.0,Neutral,0.5486854910850525,Positive
I love the Spider-Man one ☝️,0.6369,Positive,0.5,Positive,0.776402473449707,Positive
James we love you 😘,0.7906,Positive,0.5,Positive,0.7717663645744324,Positive
Ayyy james you did soooo good in this vid your makeup is so beautiful,0.8356,Positive,0.7749999999999999,Positive,0.6319847106933594,Positive
aha key is in the lines ;),0.2263,Positive,0.125,Neutral,0.2717821002006531,Neutral
James Slayyyyyed each look!!!,0.0,Neutral,0.0,Neutral,-0.7589311599731445,Negative
"""Is batman marvel or is it DC?"" 😭😭😭😭",-0.8625,Negative,0.0,Neutral,0.2390042096376419,Neutral
"Wow! I love the Spider-Man look and the first look. So gorgeous, James ❤️💙",0.9618,Positive,0.39375,Positive,0.955739200115204,Positive
Love the way the first look really *snatches* the nose… gorgeousss,0.6369,Positive,0.3166666666666666,Neutral,0.7991278171539307,Positive
I love the way u talk in satisfied 😆,0.8591,Positive,0.5,Positive,0.7089444398880005,Positive
the second look was definitely my favorite!! i loved it💓,0.9632,Positive,0.4937499999999999,Positive,0.8974424600601196,Positive
"I'm curious, how does your face feel after removing all the make-up 10 times?
When I just remove one of my eye liners, i just feel my skin BURNING",0.3182,Positive,-0.1,Negative,-0.4026964008808136,Negative
Oh my gosh it's a pleasure to meet you,0.5719,Positive,0.0,Neutral,0.5599021315574646,Positive
"Damn we still supporting this man? WIld how that happens, it's like all his fans have a blindfold on.",0.4019,Positive,0.175,Neutral,0.2588650286197662,Neutral
i love you James👧🏻😊😘💘🤎💘🧡💛💚💙💜,0.9925,Positive,0.5,Positive,0.8701996207237244,Positive
I don’t understand how someone with 24 million subscribers only gets 1 million views on videos like what are the other 23 million people doing. Stop buying followers you look dumb,-0.4588,Negative,-0.1666666666666666,Negative,-0.7783445715904236,Negative
I don't like Marvel either. Once I went to watch a Marvel movie with my boyfriend and I slept for almost the whole time.,-0.1635,Negative,0.2,Neutral,-0.455256849527359,Negative
The pink in the second look is not pink Enough. If you'd've gone for a brighter pink shade I think you'd've liked it more since it would match the inspiration better.,0.8934,Positive,0.18125,Neutral,0.5889496207237244,Positive
He should try the shooting himself in the head challenge 😂😂😂😂,0.8979,Positive,0.0,Neutral,0.3189017176628113,Neutral
i think so funny that shes seen eyphoria but not no way home spoiler they both have zendaya,0.7471,Positive,0.25,Neutral,0.2351867258548736,Neutral
8:39 NOOOO you are amazing sis! 💕💕😁,0.9493,Positive,0.7500000000000001,Positive,0.7315146923065186,Positive
You should do a makeup tutorial please,0.3182,Positive,0.0,Neutral,0.2905060350894928,Neutral
Hi sister,0.0,Neutral,0.0,Neutral,0.2927387952804565,Neutral
James you have such a talent! Your artistic looks are fire love you,0.7088,Positive,0.2777777777777777,Neutral,0.8769934177398682,Positive
