Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
The great Indian Mahaan,0.6249,Positive,0.8,Positive,0.7691133618354797,Positive
2:12 his medical bills gonna be pretty dam expensive,0.4939,Positive,-0.08333333333333333,Negative,-0.4679279029369354,Negative
That submission is as deadly as them making the delta virus even more deadly.,0.0,Neutral,0.033333333333333326,Netural,0.34982624650001526,Positive
Next U.S champion I can see it now if booking is right,0.5994,Positive,0.14285714285714285,Netural,0.43366730213165283,Positive
I hate this guy  with Passion,-0.1779,Negative,-0.8,Negative,-0.6274403929710388,Negative
Veer Mahaan G.O.A.T,0.0,Neutral,0.0,Netural,0.24785304069519043,Netural
"Tattoo on his chest centre says 'maa' = mother 
On his right bicpes 'ram' the lord Rama
Jai shree ram🚩",0.0,Neutral,0.2857142857142857,Netural,-0.3279627859592438,Negative
Congratulations Veer Mahan,0.5994,Positive,0.0,Netural,0.38815179467201233,Positive
My hero,0.5574,Positive,0.0,Netural,0.8131011128425598,Positive
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
India इंडिया 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,0.0,Neutral,0.0,Netural,0.3861410319805145,Positive
Power of Indian deshi ghee,0.0,Neutral,0.0,Netural,0.4763100743293762,Positive
*Love from India* 🇮🇳,0.6369,Positive,0.5,Positive,0.5220145583152771,Positive
Desi GhEe ka poWer INDIAN,0.0,Neutral,0.0,Netural,0.5548511147499084,Positive
I'm Indian,0.0,Neutral,0.0,Netural,-0.2703085243701935,Negative
Wow ...Love you veer sir,0.8402,Positive,0.1,Netural,0.8350934386253357,Positive
wwe need this type of players . Veer mahan took to old memory of wwe game.,0.0,Neutral,-0.15000000000000002,Negative,-0.409715473651886,Negative
If Veer doesn't end up in a shampoo commercial... he should sue WWE..,0.0,Neutral,0.0,Netural,-0.5489357709884644,Negative
Good.veer.reselar.shera.punjab,0.0,Neutral,0.0,Netural,0.495294451713562,Positive
Very denger,0.0,Neutral,0.2,Netural,-0.39694854617118835,Negative
Thanks veer mahan 😊 love from india 🥰,0.9657,Positive,0.35,Positive,0.6730162501335144,Positive
veer mahan remember the name. hi is from india.,0.0,Neutral,0.0,Netural,-0.44159558415412903,Negative
Veer Mahan,0.0,Neutral,0.0,Netural,-0.46359285712242126,Negative
He looks like real Lion 🦁😎,0.6705,Positive,0.2,Netural,0.3174523711204529,Netural
Jai Shree Ram Ji Ki 😘🥀🙏🏻🙏🏻😍😍🚩🚩🚩🚩🚩🚩,0.0,Neutral,0.0,Netural,0.3209134042263031,Netural
Love from India ❤️💖🇮🇳🇮🇳,0.7506,Positive,0.5,Positive,0.6086652874946594,Positive
That's fiersom by Veer Mahaan The Destroyer,-0.4588,Negative,0.0,Netural,0.25987905263900757,Netural
Veer mahan Jai ho 👍,0.0,Neutral,0.0,Netural,-0.48534372448921204,Negative
वीर महान,0.8271,Positive,0.75,Positive,0.7991446852684021,Positive
He is looking like Braun strowman 🙂🙂🙂,0.8632,Positive,0.0,Netural,-0.28307607769966125,Negative
Hindustani Sher sab per Bhari khali ka naam Roshan karo Veer mahan,0.0,Neutral,0.4,Positive,-0.29689911007881165,Negative
Jai shree ram,0.0,Neutral,0.0,Netural,0.23060478270053864,Netural
ultra veer match,0.0,Neutral,0.0,Netural,0.5025389194488525,Positive
Veer ain’t gon make it far mark my words,0.0,Neutral,0.1,Netural,0.22954986989498138,Netural
I don't know why but the image of Mahakal is being seen in Veer mahan to me.,0.0,Neutral,0.0,Netural,0.4013713002204895,Positive
Veer Mahan jindabad I am fan,0.3182,Positive,0.0,Netural,0.33877134323120117,Positive
Veer Mahan Punjab I am Punjab,0.0,Neutral,0.0,Netural,0.46077394485473633,Positive
