Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
7 years ago I still listen to this song eveyday,0.0,Neutral,-0.2,Negative,0.5500528812408447,Positive
Whos here in 2022?,0.0,Neutral,0.0,Neutral,-0.3480365574359894,Negative
I miss when this was on the radio!,-0.2244,Negative,0.0,Neutral,-0.2981158196926117,Negative
3B <3 Hurry up :3,0.7351,Positive,0.75,Positive,0.3980237543582916,Positive
Wife.. I browsing and almost🥰,0.791,Positive,0.0,Neutral,0.4475590288639068,Positive
Blank space,0.0,Neutral,0.0,Neutral,-0.4810348451137543,Negative
😍😍😍😄,0.926,Positive,0.0,Neutral,0.3085779249668121,Neutral
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I do,0.0,Neutral,0.0,Neutral,0.3583728373050689,Positive
Your my favorite signing person,0.4588,Positive,0.5,Positive,0.920789122581482,Positive
Love the video and sound,0.6369,Positive,0.45,Positive,0.7087089419364929,Positive
One fav sound every ❤️❤️,0.4588,Positive,0.4,Positive,0.3801378905773163,Positive
iconic song,0.0,Neutral,0.5,Positive,0.7914406657218933,Positive
Although this song is from girl perspective but it's still feel to boys too,0.0,Neutral,0.0,Neutral,0.4799451529979706,Positive
Johnny Depp and Amber Heard are perfect for each other.,0.5719,Positive,0.4375,Positive,0.7388585805892944,Positive
Iconic timeless masterpiece,0.6249,Positive,0.5,Positive,0.8986016511917114,Positive
မဂ်လ၊ပါ(😁😁😁😁)(မေ့မေ့သမီးလေး*2*Latt*koko)*5*7*)(****)(*5*)(****)(😁😁😁😁)(အရမ်းနမ်းချိုင်းစရ၊လေးပါkokoအရမ်းချစ်တယ်နေကေ၊င်းပါစေ😁😁😁😁😁😁😁,0.9931,Positive,0.3428571428571428,Positive,-0.2636961340904236,Negative
Who's here after 7 years :),0.4588,Positive,0.5,Positive,0.5927183032035828,Positive
Amber Heard should of been in this video.....,0.0,Neutral,0.0,Neutral,-0.3458058834075928,Negative
The Chinese government said it was strictly forbidden to control comments! We call on the Chinese government to stop using privilege to control comments! Respect your own rules!,0.3561,Positive,0.25,Positive,-0.732296347618103,Negative
Day 203 of watching Blank Space by Taylor Swift EVERYDAY FOR A WHOLE DECADE..,0.2023,Positive,0.0,Neutral,0.5610498189926147,Positive
waiting for 3B views!...,0.0,Neutral,0.0,Neutral,-0.4370283186435699,Negative
Before 3 B I am here,0.0,Neutral,0.0,Neutral,0.3002900183200836,Neutral
Me watching popular songs and found this,0.4215,Positive,0.6,Positive,0.553663432598114,Positive
the fact that this song is already more than half a decade old but it sounds like it came out yesterday. Taylor knows how to make TIMELESS Anthems,0.5023,Positive,0.1444444444444444,Positive,0.3487722873687744,Positive
Sweett,0.0,Neutral,0.0,Neutral,0.3944102823734283,Positive
this reminds me of my old lps music videos,0.0,Neutral,0.1,Positive,0.6181991100311279,Positive
She is so beautyfull,0.7177,Positive,0.85,Positive,0.7727961540222168,Positive
Taylor Swift may have just as well wrote this song about Amber Heard.  It is sadly fitting.,0.0258,Neutral,0.5,Positive,-0.3822859525680542,Negative
🇱🇾🇱🇾🇱🇾,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
But I get a blank space baby and I’ll write ur name,0.0,Neutral,0.0,Neutral,0.2905535697937011,Neutral
A depiction of today's reality,0.0,Neutral,0.0,Neutral,0.4181425273418426,Positive
💗🕊💗🕊💗🕊🌹🎵🌹🕊💗🕊💗🕊💗,0.9866,Positive,0.0,Neutral,0.3085779249668121,Neutral
kanye>,0.0,Neutral,0.0,Neutral,0.2840747833251953,Neutral
kanye>,0.0,Neutral,0.0,Neutral,0.2840747833251953,Neutral
kanye>,0.0,Neutral,0.0,Neutral,0.2840747833251953,Neutral
kanye>,0.0,Neutral,0.0,Neutral,0.2840747833251953,Neutral
One of my favorite songs to one of my favorite artist.,0.7184,Positive,0.5,Positive,0.8980567455291748,Positive
Dear Aunt Cherie and uncle Joe,0.3818,Positive,0.0,Neutral,0.4885140061378479,Positive
damm love  the  boy  in the video. 🤤🤤🤤🤤🤤🤤,0.6369,Positive,0.5,Positive,0.6633743643760681,Positive
te adoro,0.6369,Positive,0.5,Positive,0.6314764022827148,Positive
My comfort Video,0.3612,Positive,0.0,Neutral,0.5239889025688171,Positive
3B here we go,0.0,Neutral,0.0,Neutral,0.3405696451663971,Positive
Still I heard this song in 2022!  Great Song! Masterpiece! 🥰❤ Taylor Swift..🥰❤😎🙌👏,0.9898,Positive,1.0,Positive,0.8651071786880493,Positive
Never ever get old this crazy song,-0.4118,Negative,-0.25,Negative,0.7221704125404358,Positive
Im dyin TAYLIR,0.0,Neutral,0.0,Neutral,0.2790765464305877,Neutral
I wanna play this song in my wedding day,0.34,Positive,0.0,Neutral,0.6147480010986328,Positive
❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Hahaha I love this ahh,0.8316,Positive,0.35,Positive,0.7995946407318115,Positive
Bart Baker Style !,0.0,Neutral,0.0,Neutral,0.5488762259483337,Positive
Iconic,0.0,Neutral,0.5,Positive,0.7523034811019897,Positive
It’s this song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times.  I hope everyone is doing well. I love you ❤️💕,0.9186,Positive,0.037037037037037,Positive,0.7126774191856384,Positive
still iconic 💅,0.0,Neutral,0.5,Positive,0.6562055349349976,Positive
Onle legends know that technoblades Minecraft parody blitz is based on this song,0.0,Neutral,0.0,Neutral,0.2851017117500305,Neutral
over 500000 people in Shanghai have been vaccinated three times! but Still infected! The vaccine proved it's not working !,-0.7332,Negative,0.0,Neutral,-0.8255997896194458,Negative
The world faces the same problem! inflation! Twitter and Coca Cola ! Inflation has caused these enterprises to lose value!  facing trIllion money in the market any enterprises lost their values!,-0.5815,Negative,0.0,Neutral,-0.8885562419891357,Negative
Too bad they don't produce songs like that anymore,-0.6818,Negative,-0.6999999999999998,Negative,-0.6820577383041382,Negative
Best,0.6369,Positive,1.0,Positive,0.7400628328323364,Positive
The “Navigating dating Amber Heard” instructional video.,0.0,Neutral,0.0,Neutral,0.4219619631767273,Positive
Here before 3 billion,0.0,Neutral,0.0,Neutral,-0.2964388132095337,Negative
I'm here because of pure talent not Tiktok,0.4215,Positive,0.2142857142857142,Positive,-0.3338015973567962,Negative
Beat of this song creates a nicotine type material in my mind I have to come here to hear this song again,0.2732,Positive,0.0,Neutral,0.3054587244987488,Neutral
i can’t believe i used to like this song,0.3612,Positive,0.0,Neutral,-0.2249051630496978,Negative
Heaven scent is u Taylor,0.5106,Positive,0.0,Neutral,0.3515205085277557,Positive
Heaven scent is u Taylor,0.5106,Positive,0.0,Neutral,0.3515205085277557,Positive
Que daora 👍🏼👍🏼👍🏼,-0.5859,Negative,0.0,Neutral,0.2348284870386123,Neutral
I love this,0.6369,Positive,0.5,Positive,0.8869144320487976,Positive
"I will always sing ""got a long list of Starbucks lovers"" its so confusing but so iconic🤣🤣🤣",0.9382,Positive,-0.175,Negative,0.3206678926944732,Neutral
I often wonder if Taylor still has lonely Starbucks lovers,0.2263,Positive,-0.0999999999999999,Negative,0.3104874491691589,Neutral
LOL this is my new favorite song LOL,0.8769,Positive,0.5590909090909091,Positive,0.7923527359962463,Positive
Send me your passport Tylor Swift 🙏☑️🤍💛🖤❤️🧡🤎💙💚‼️,0.9618,Positive,0.0,Neutral,0.5927984118461609,Positive
The Chinese government does not allow the people to comments! The comments we see are forged by officials! Chinese officials regard fake comments as their working ability! China social media app has not unlike button because they are afraid facing truth!,-0.3257,Negative,-0.2683333333333333,Negative,-0.7369409799575806,Negative
Happy 2.961B Taylor,0.5719,Positive,0.8,Positive,0.5450705289840698,Positive
"💞🕊💞🕊💞🕊♥️🌹⚪🌹♥️🕊💞🕊💞🕊💞
💞🕊💞🕊💞🕊♥️🌹⚪🌹♥️🕊💞🕊💞🕊💞
💞🕊💞🕊💞🕊♥️🌹⚪🌹♥️🕊💞🕊💞🕊💞",0.9988,Positive,0.0,Neutral,0.3761328756809234,Positive
I've dated someone like that,0.3612,Positive,0.0,Neutral,-0.2506124079227447,Negative
Golden voice with golden lyrics,0.0,Neutral,0.3,Positive,0.7894490361213684,Positive
yo quiero mucho a Taylor swift❤❤😢,0.9062,Positive,0.5,Positive,0.490123450756073,Positive
PEACE AND LOVE FOR EVERBODY WHO IS READING THIS ❤❤ stay save and have a nice day.,0.9765,Positive,0.55,Positive,0.7589603662490845,Positive
"*Dear person who may be reading this*
.
.
👇
*You’re amazing stay blessed, stay safe and have a amazing rest of your day* ❤",0.969,Positive,0.5666666666666668,Positive,0.8275910019874573,Positive
"She had the world in a chokehold with this song, I was there.",0.0,Neutral,0.0,Neutral,0.4469911456108093,Positive
Yupp.. I'm the one who's listening this song in 2022..😭❤❤❤,0.8885,Positive,0.0,Neutral,0.3458432555198669,Positive
The 2030 artist of the decade. Taylor Swift,0.2023,Positive,0.0,Neutral,0.854826033115387,Positive
I always loved your songs so much,0.5994,Positive,0.4499999999999999,Positive,0.832291305065155,Positive
I’m doing this shit at karaoke 🎤 idgaf and I’m a 33 black man out the hood,-0.6428,Negative,-0.1833333333333333,Negative,-0.4249821901321411,Negative
April 2022 lets see who still listens to this masterpiece,0.7073,Positive,0.0,Neutral,0.6047505140304565,Positive
