Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I got crazy,-0.34,Negative,-0.6,Negative,0.3237651586532593,Netural
i wish i could have that pc setup...sad to say im just poor guy.PewDiePie bekenemen...<3,-0.1027,Negative,-0.4,Negative,-0.5753357410430908,Negative
I am challenging PewDiePie to make mr beast mention me in a video.,0.1531,Positive,0.5,Positive,0.3288048505783081,Netural
"what's your pc specs Felix?
I9 9900k
32 gigs of g skill ram
gpu? looks like an rtx 1080ti?
also I feel like Starlink will be a better option for your internet?",0.8343,Positive,0.5,Positive,0.28743043541908264,Netural
"This is the best videos have watched so far,thank for the update.",0.6369,Positive,1.0,Positive,0.9238325357437134,Positive
"Uou a 6 bazilian setup, fantastic",0.5574,Positive,0.4,Positive,0.6952624320983887,Positive
HOW ARE YOU THAT RIIIIICCCHHH,0.0,Neutral,0.0,Netural,0.292812317609787,Netural
Qwasaaaaaasaa,0.0,Neutral,0.0,Netural,0.23941420018672943,Netural
11:04 that reminded me of his Fear of Holes video,-0.4939,Negative,0.0,Netural,0.35028666257858276,Positive
Pls contact Morrog he is the Dutch cable god,0.34,Positive,0.0,Netural,0.40502065420150757,Positive
Felix watch the new set up of MM7 it is so much better,0.4902,Positive,0.3181818181818182,Netural,0.6968740820884705,Positive
heeerlooo,0.0,Neutral,0.0,Netural,0.23958724737167358,Netural
200 dollars a month for internet ???? I pay 12 dollars a month for 1GB/s internet with no limitations :DDDD,-0.5514,Negative,0.0,Netural,-0.5701135993003845,Negative
Hi later,0.0,Neutral,0.0,Netural,0.27852728962898254,Netural
i am still trying to figure it out how it is 6 billion dollar setup,0.0,Neutral,0.0,Netural,0.30835384130477905,Netural
5 out of 10 Marons,0.0,Neutral,0.0,Netural,0.3716713786125183,Positive
nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Omgggg.Nice vudeooo.,0.0,Neutral,0.0,Netural,0.4362213909626007,Positive
OuO,0.0,Neutral,0.0,Netural,0.3269878923892975,Netural
6 billion set up bro 😱😳,-0.7003,Negative,0.0,Netural,-0.35407838225364685,Negative
Ggg,0.0,Neutral,0.0,Netural,0.2573937475681305,Netural
Joo,0.0,Neutral,0.0,Netural,0.26428258419036865,Netural
Hii,0.0,Neutral,0.0,Netural,0.26616179943084717,Netural
Opp,0.0,Neutral,0.0,Netural,0.2734993100166321,Netural
Lzz go,0.0,Neutral,0.0,Netural,0.2789403796195984,Netural
Op,0.0,Neutral,0.0,Netural,0.26986634731292725,Netural
Hii,0.0,Neutral,0.0,Netural,0.26616179943084717,Netural
Always feels encouraging to invest 5k into a set up to begin a youtube/gaming career that you've always dreamed of doing just to see a similar set up get torn apart by the current God of Youtube gaming.,0.5423,Positive,0.0,Netural,0.5267642736434937,Positive
fist 👊 bum/10,0.0,Neutral,0.0,Netural,0.38757920265197754,Positive
Brilliant setup,0.5859,Positive,0.9,Positive,0.723180890083313,Positive
I want that Setup 🤗,0.4767,Positive,0.0,Netural,0.4806649386882782,Positive
dude stop swearing,-0.4939,Negative,0.0,Netural,-0.5111500024795532,Negative
we do not care,-0.3875,Negative,0.0,Netural,-0.5619529485702515,Negative
9.9999999999/10,0.0,Neutral,0.0,Netural,0.556597888469696,Positive
😎,0.4588,Positive,0.0,Netural,0.30857792496681213,Netural
LMao,0.5994,Positive,0.6,Positive,0.26604709029197693,Netural
Dan actually reacted to this,0.0,Neutral,0.0,Netural,0.5437591075897217,Positive
"""what is this, uhh MM7?"" bro thats miniminter also known as simon from the sidemen 😂🤦‍♂",0.4404,Positive,0.0,Netural,-0.3527468740940094,Negative
Check mine,0.0,Neutral,0.0,Netural,0.4502118229866028,Positive
Does anyone know the full name of his Samsung monitor?,0.0,Neutral,0.35,Positive,-0.3986824154853821,Negative
Yo u serious? This is worth $6B?,0.2406,Positive,-0.016666666666666663,Negative,-0.609195351600647,Negative
6 billion? LOL,0.5473,Positive,0.8,Positive,-0.5133402943611145,Negative
Put two desks beside the table to fit your speakers,0.3612,Positive,0.4,Positive,0.443574994802475,Positive
Can this comment get 100 replies plss,0.0,Neutral,0.0,Netural,-0.2488858550786972,Negative
Pewdie pie and dantdm are og,0.0,Neutral,0.0,Netural,0.26208141446113586,Netural
Nice setup 35/37 👍,0.4215,Positive,0.6,Positive,0.4623749554157257,Positive
BROO go watch abo flah 's setup its insane☠,-0.4019,Negative,0.0,Netural,0.22783513367176056,Netural
69420/10,0.0,Neutral,0.0,Netural,0.23193781077861786,Netural
Anyone know what keyboard he has? I want it! :),0.5562,Positive,0.5,Positive,0.6681457757949829,Positive
Jag älskar inte dej längre,-0.5216,Negative,-0.25,Negative,-0.28207361698150635,Negative
JAG ÄLSKAR DEJ FELIX <3,0.8331,Positive,0.75,Positive,0.26457712054252625,Netural
your screen so big,0.0,Neutral,0.0,Netural,-0.28263983130455017,Negative
I haven’t watched pewdiepie in a long time and it is apparent he has been working out,0.0,Neutral,0.0,Netural,0.4170921742916107,Positive
😎,0.4588,Positive,0.0,Netural,0.30857792496681213,Netural
At 6:56 man used a ironing board as a desk to hold the keyboard and mouse,0.0,Neutral,0.0,Netural,-0.3203691840171814,Negative
that keyboard looks like 5 dollars rgb keyboard from aliexpress,0.3612,Positive,0.0,Netural,-0.48009374737739563,Negative
J,0.0,Neutral,0.0,Netural,0.2888481020927429,Netural
WE HAVE THE SAME ZIP UP CABLE BAG i love it so much i have all my cords organized and labeled,0.6369,Positive,0.2333333333333333,Netural,0.8891575932502747,Positive
Ok bye 👍,0.296,Positive,0.5,Positive,0.37511831521987915,Positive
525,0.0,Neutral,0.0,Netural,0.2476050704717636,Netural
524,0.0,Neutral,0.0,Netural,0.2557656466960907,Netural
523 😷😷,0.0,Neutral,0.0,Netural,0.2715548276901245,Netural
522,0.0,Neutral,0.0,Netural,0.24308770895004272,Netural
521,0.0,Neutral,0.0,Netural,0.263142466545105,Netural
520,0.0,Neutral,0.0,Netural,0.26581698656082153,Netural
519,0.0,Neutral,0.0,Netural,0.26038655638694763,Netural
518,0.0,Neutral,0.0,Netural,0.25681644678115845,Netural
517,0.0,Neutral,0.0,Netural,0.2985610365867615,Netural
516,0.0,Neutral,0.0,Netural,0.2441820651292801,Netural
515,0.0,Neutral,0.0,Netural,0.25473111867904663,Netural
513,0.0,Neutral,0.0,Netural,0.2969232201576233,Netural
"19,512",0.0,Neutral,0.0,Netural,-0.28785085678100586,Negative
"19,511",0.0,Neutral,0.0,Netural,0.26380279660224915,Netural
490 comments more to 20k comment,0.0,Neutral,0.5,Positive,-0.37936410307884216,Negative
Good,0.4404,Positive,0.7,Positive,0.49696317315101624,Positive
×͜××͜×,0.0,Neutral,0.0,Netural,0.25136798620224,Netural
"The richer the persons setup the more he likes it.
I get it now.

Expensive wood + expensive laptop on a stand with an expensive african wood ornament? 10/10.
Gamer setup: ""Meh i dont like it"".",0.621,Positive,-0.2,Negative,0.37061676383018494,Positive
My setup is 200 dollar Lenovo laptop that my school gave me for schoolwork. And I play on a table that’s 1.4 feet tall that I used to eat on when I was like 3 years old.,0.5994,Positive,0.1,Netural,0.5981389284133911,Positive
my chair is 500 and it doesnt look cool,-0.2411,Negative,0.35,Positive,-0.4574691355228424,Negative
LOVE U Felix u should see pokimains new one tech source made her a new one,0.7125,Positive,0.25757575757575757,Netural,0.7390950322151184,Positive
"Pewds “cuz i am an epic minimalist”
 Meanwhile setup shines like the sun",0.3612,Positive,0.1,Netural,0.28875795006752014,Netural
Bro id stab myself to just to get felix’s monitor,-0.5859,Negative,0.0,Netural,-0.46729275584220886,Negative
10billon/10billon rated,0.0,Neutral,0.0,Netural,0.8460351824760437,Positive
Read my name plss,0.0,Neutral,0.0,Netural,0.2880742847919464,Netural
"What’s that called? 
Marzia was about to flip",0.0,Neutral,0.0,Netural,-0.47774648666381836,Negative
What lense do you use? For your camera? For video?,0.0,Neutral,0.0,Netural,0.27814263105392456,Netural
I give the setup a B or a 8.5 or a 85% whatever,0.0,Neutral,0.0,Netural,0.4720001220703125,Positive
why doesnt pewpie have rtx 3090ti and i9 12900k...,0.0,Neutral,0.0,Netural,-0.4257434904575348,Negative
"(👊👍👆 ) smash , like , subscribe .",0.3612,Positive,0.0,Netural,-0.4965844750404358,Negative
I feel bad for your GPU pushing all them pixels haha. 9900K isn't bad. Who does your maintenance?,0.3291,Positive,-0.3999999999999999,Negative,-0.376706063747406,Negative
check baddie streams set up this guy is ridiculous,-0.3612,Negative,-0.3333333333333333,Negative,-0.8618878722190857,Negative
6 milyar dolar kaç tl yapiyo lan,0.0,Neutral,0.2,Netural,-0.6465275883674622,Negative
f u pew die pie,-0.5994,Negative,0.0,Netural,0.22443151473999023,Netural
I love your videos bro wish you all the best.,0.9022,Positive,0.75,Positive,0.8889789581298828,Positive
lmao Rip $60.m { Post your setup and l'll judge i'm it in vidya xD } Sure Yup %05.0 { 5:49 },0.875,Positive,0.55,Positive,-0.5996214747428894,Negative
