Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
ennio morricone,0.0,Neutral,0.0,Neutral,0.2696966230869293,Neutral
🤣🤣🤣👌,0.9406,Positive,0.0,Neutral,0.3085779249668121,Neutral
over the top!!!!!!!!!!!!!!!!!!!!!,0.453,Positive,1.0,Positive,0.474590390920639,Positive
De mais que música,0.0,Neutral,0.5,Positive,0.4298879504203796,Positive
1:03 what’s her name pls??,0.168,Positive,0.0,Neutral,-0.4911344647407532,Negative
Little Nas X is gay,0.0,Neutral,0.4166666666666667,Positive,-0.2565003633499145,Negative
✌☮ to the God's and the one nation crew 🌐,0.7717,Positive,0.0,Neutral,0.4464491307735443,Positive
There are some thick bitches on that stage...,-0.5994,Negative,-0.3,Negative,0.6008320450782776,Positive
👌👌👌🐴🐴🐎🐎,0.9545,Positive,0.0,Neutral,0.3085779249668121,Neutral
My first time seeing this one too...and will not be last also😜,0.0,Neutral,0.125,Positive,-0.4111057221889496,Negative
Am I the onlAm I the only one gagging on the terrible lip singing?,-0.4767,Negative,-0.5,Negative,-0.4978090524673462,Negative
I wanna go to one of his performances sooo bad! But I cant yet…,-0.4656,Negative,-0.8749999999999998,Negative,-0.3179125189781189,Negative
Ridiculous.,-0.3612,Negative,-0.3333333333333333,Negative,-0.8066251277923584,Negative
"Music isn’t about color or genre it is about art! This was a great “crossover” and Lil Nas X & Billy Ray crushed this. It shouldn’t matter that one is black or white. In my wealthy neighborhood Americans of color are accepted to any party, cookout or event and treated with class and respect. In my experience I’ve been invited to places in South Carolina and LA that men of my color should never go and not once had a problem. I even ended up giving golf lessons. Treat people with class and respect and you will get the same in return. This song is great and I love it.",0.9774,Positive,0.2916666666666667,Positive,0.9180600047111512,Positive
I almost crate,0.0,Neutral,0.0,Neutral,-0.406491070985794,Negative
Billy ray cyrus,0.0,Neutral,0.0,Neutral,0.4218502640724182,Positive
Rediculous ....pointless...,0.0,Neutral,0.0,Neutral,-0.6942059993743896,Negative
Can we tae,0.0,Neutral,0.0,Neutral,0.2629422545433044,Neutral
0:33 lmfao,0.5423,Positive,0.0,Neutral,-0.4788526594638824,Negative
Who is at 1:02?,0.0,Neutral,0.0,Neutral,-0.4229826033115387,Negative
Damn them some big dancers,-0.4019,Negative,0.0,Neutral,0.2651524543762207,Neutral
Ducnagksgkxhskyfjldukeyeidykdjdjcoydlduhdkdykdudkkdurhjeuhdjdydjdydjydjdydyduduekyjeyejeyjyeuyejyejeyrjdyjrurkryrkyriryrjykeyrjyyrjryryfkdudyjftdjryjdkukhhhekdykfuckfudjycjdhddjyekdjdydkdhkhdjdyfkdydjydukdudihjdhjjdjhjudlidkfukduejhejeuekhdkdjifuriruirudiduidydjydkydjykdhkdykdudkudkudkudjdyjdyjyejyejujeyrjyjdhiryriyrkduduirriyro,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
That has to be one of the worst videos ever!!!!!,-0.7405,Negative,-1.0,Negative,-0.9374408721923828,Negative
Billy ray is so out of place there like a bull in China shop,0.3612,Positive,0.0,Neutral,-0.4476593434810638,Negative
Superb,0.6249,Positive,1.0,Positive,0.814047634601593,Positive
@1:03 anyone know who this is? She’s beautiful,0.5994,Positive,0.85,Positive,0.6575587391853333,Positive
Country boy goes stupid I'm sure his parents are proud,0.25,Positive,0.1666666666666667,Positive,-0.2808346450328827,Negative
I know Nas would bring a horse in da stage,0.0,Neutral,0.0,Neutral,-0.2472271174192428,Negative
This is how we really are. It's the politicians that promote racial division and perpetuate hate. They need to keep us divided cuz if we unite God help them. We will f*%/ up their whole program. Why you think they killed Bob Marley?,-0.4215,Negative,-0.15,Negative,0.6622757911682129,Positive
1:02 everyone sways in sync when the beat drops,0.0,Neutral,0.0,Neutral,-0.5093265175819397,Negative
*Simply iconic.*,0.0,Neutral,0.5,Positive,0.7447355389595032,Positive
Bruh I can't believe how fast this guy went from riding horses to riding males...,0.0,Neutral,0.2,Positive,-0.4003027677536011,Negative
wtf...he hasen`t voice...go home,0.0,Neutral,0.0,Neutral,-0.6707794070243835,Negative
Love this song a great performance,0.8519,Positive,0.65,Positive,0.8131065964698792,Positive
"This is a gay song ... you have blk women calling themselves stallions and he’s talking about his bladder hurting from bending over tractors, and riding studs horses",-0.4019,Negative,0.125,Positive,-0.4852658212184906,Negative
🗑,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Great performance and crowd reaction.,0.6249,Positive,0.8,Positive,0.7078087329864502,Positive
This song really united USA,0.4754,Positive,0.2,Positive,0.3707906007766723,Positive
สามช่ามั้ย,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Oi,0.0,Neutral,0.0,Neutral,0.2559886276721954,Neutral
"This music is amazing, all of Brazil say thanks you for creating the eighth wonder of the world",0.836,Positive,0.4,Positive,0.904470145702362,Positive
💖💖💖,0.9595,Positive,0.0,Neutral,0.3085779249668121,Neutral
1:01 he ain't even playing ??? The guitar??,-0.372,Negative,0.0,Neutral,-0.6907716393470764,Negative
!y fav accent !!,0.5962,Positive,0.0,Neutral,0.4634310603141784,Positive
Worse song,-0.4767,Negative,-0.4,Negative,-0.5578809976577759,Negative
this song SUCKS haha full of bl&^*( oi,-0.0601,Negative,0.0833333333333333,Positive,-0.7642120122909546,Negative
I saw cardy b,0.0,Neutral,0.0,Neutral,-0.2465992718935012,Negative
It's only now I'm getting how good this song is.,0.4404,Positive,0.35,Positive,0.3832848370075226,Positive
Billy Ray Cyrus at the BET Awards has to be something absolutely no one had on their bingo card....,0.1298,Positive,-0.1,Negative,-0.2690991461277008,Negative
Who is the girl at the 1:02 mark? She is so fine…,0.0,Neutral,0.0,Neutral,0.4592014849185943,Positive
ARE ALL OF HIS FANS GAY BLACK DOWN LOW?  WHITE? ASIAN?,-0.3899,Negative,0.0157407407407407,Positive,-0.4551309049129486,Negative
Billy Ray Cyrus op,0.0,Neutral,0.0,Neutral,0.3853310048580169,Positive
I love when people ride in on they're horses.,0.6369,Positive,0.5,Positive,0.6398730278015137,Positive
0:34 😂,0.4404,Positive,0.0,Neutral,-0.4544347822666168,Negative
WTF do all y'all lip synch everything?,-0.6739,Negative,-0.5,Negative,-0.3580874502658844,Negative
Lil Nas really cant sing...,0.0,Neutral,0.2,Positive,-0.2482855170965194,Negative
I KNOW I'M NOT THE ONLY MUSICIAN HERE THAT HEARD DEM CHORDS AT 1:45,0.0,Neutral,0.0,Neutral,-0.3223185539245605,Negative
Terrible miming,-0.4767,Negative,-1.0,Negative,-0.776369571685791,Negative
1st off… this song is terrible. Secondly. I was waiting to see when he was gonna actually play the guitar instead of hold it.,-0.1779,Negative,-0.3333333333333333,Negative,-0.839187502861023,Negative
Kinda cri-,0.0,Neutral,0.0,Neutral,0.3964540958404541,Positive
Beauty ❤,0.8402,Positive,0.0,Neutral,0.5852004289627075,Positive
Shayke grave is way better,0.0772,Positive,0.5,Positive,-0.3696385622024536,Negative
im so proud of this kid,0.5256,Positive,0.8,Positive,0.8489945530891418,Positive
Who knew Nas would turn out to be a wack job,0.0,Neutral,0.0,Neutral,-0.336237221956253,Negative
2:39 our king!!!! R.I.P,0.0,Neutral,0.0,Neutral,0.5682381391525269,Positive
1:02 her name??,0.0,Neutral,0.0,Neutral,-0.4928617179393768,Negative
Ver un concierto así en Sudamérica: Imposible master 😎👍,0.6705,Positive,-0.6666666666666666,Negative,-0.3764449059963226,Negative
Lil Nas meant it when he said he gonna ride till he can’t no more 😭😭,-0.8261,Negative,-0.25,Negative,0.251321792602539,Neutral
Essa energia da galera nas apresentações do bet awards é foda demais.,0.8481,Positive,1.0,Positive,0.3729545176029205,Positive
You Can't F**k My Horses🚫,0.0,Neutral,0.0,Neutral,0.4939776659011841,Positive
❤️🇬🇭,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Billy riding that beat like his life depended on it,0.3612,Positive,0.0,Neutral,0.2679720520973205,Neutral
Why does he have leather frillies hanging off his coat and pants,0.0,Neutral,0.0,Neutral,-0.3809057772159576,Negative
"What a joke, mic at his knees and still singing clear, zero talent.",0.765,Positive,0.1,Positive,-0.9548904895782472,Negative
"sad when the 3 chord wonder Billy Ray is the star...lol.  I'm all for Nas's social message, but his music is so meh",-0.4874,Negative,-0.2333333333333333,Negative,-0.4928320050239563,Negative
I never knew Mr. Nas had 6 pack😂,0.4404,Positive,0.0,Neutral,-0.4187725484371185,Negative
Cardi b was actually enjoying this!,0.5707,Positive,0.625,Positive,0.553178071975708,Positive
✌️✌️✌️👍👍👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I really love the mix! And it’s nice to see some big girls rocking it too.,0.8217,Positive,0.4083333333333334,Positive,0.6758098006248474,Positive
Love how the microphone was to high and billy was like: OH DANGIT AH,0.7717,Positive,0.33,Positive,0.5809131860733032,Positive
He's so shy to perform old town road but on industry he has changed mad respect for this dude,-0.2014,Negative,-0.3416666666666666,Negative,-0.3822271227836609,Negative
"Yeee,",0.0,Neutral,0.0,Neutral,0.2505272924900055,Neutral
This song is world famous. I like 💙💙💙,0.9442,Positive,0.5,Positive,0.7511019706726074,Positive
Imagine the smell in that room?,0.0,Neutral,0.0,Neutral,-0.2750432789325714,Negative
"I'm glad that Nas got the rub from Billy Ray, but he reinvigorated Bills career aswell.",0.705,Positive,0.5,Positive,0.3101206421852112,Neutral
