Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
This is actually a very good tune. So it’s funny and Pleasant to hear,0.8648,Positive,0.6311111111111111,Positive,0.5443381667137146,Positive
Bro op song I love it and ik that every minecrafters will love it ♥,0.9274,Positive,0.6666666666666666,Positive,0.6946219801902771,Positive
100/10,0.0,Neutral,0.0,Netural,0.9173629283905029,Positive
i hate decpacito but the vid was so cool,0.3893,Positive,-0.22500000000000003,Negative,0.2808780074119568,Netural
This brings back me nostalgia,0.0,Neutral,0.0,Netural,0.7172814607620239,Positive
Man this made up like 5% of 7 year old me,0.3612,Positive,0.1,Netural,-0.36577364802360535,Negative
"This is not the 3rd, it’s a spinoff",0.0,Neutral,0.0,Netural,0.39602339267730713,Positive
"Finally Somebody make a cool song about Minecraft
the song is so cool😎",0.821,Positive,0.175,Netural,0.41484054923057556,Positive
Can we callab on this and part 4 I have an idea pls,0.0772,Positive,0.0,Netural,0.26828616857528687,Netural
Op,0.0,Neutral,0.0,Netural,0.26986634731292725,Netural
What about 'minepacito',0.0,Neutral,0.0,Netural,-0.27575016021728516,Negative
It's been almost 4 years. I still listen to this masterpiece,0.7073,Positive,0.0,Netural,0.7094664573669434,Positive
4 years still the best song ever,0.6369,Positive,1.0,Positive,0.8759168982505798,Positive
I can never forget this meme,0.1695,Positive,0.0,Netural,0.48901116847991943,Positive
😂,0.4404,Positive,0.0,Netural,0.30857792496681213,Netural
what a banger broski,0.0,Neutral,0.0,Netural,-0.3867938220500946,Negative
Do you know how to speak Spanish kind? I am not from Mexico or Spain  but I can sing Despacito,0.296,Positive,0.3,Netural,0.2681218385696411,Netural
Gy kunt ni zingen,0.0,Neutral,0.0,Netural,-0.3470882177352905,Negative
Is is the best song in the world,0.6369,Positive,1.0,Positive,0.8765526413917542,Positive
This is Nostalgic for me.,0.0,Neutral,-0.5,Negative,0.7251381278038025,Positive
it's a gift from god,0.6124,Positive,0.0,Netural,0.5573415160179138,Positive
so nice,0.4754,Positive,0.6,Positive,0.44436949491500854,Positive
Wow just omg,0.5859,Positive,0.1,Netural,0.5106418132781982,Positive
noice,0.0,Neutral,0.0,Netural,-0.32814738154411316,Negative
"I unironically like this masterpiece, please tell me I’m not the only one",0.8649,Positive,0.0,Netural,0.7065007090568542,Positive
The sequel of the sequel (flying kitty),0.0,Neutral,0.0,Netural,0.40568915009498596,Positive
"12344yt56780poiuytre1qwww e ihjiihpy7i5yyrzehtchk6g3ryututi511223×""",0.0,Neutral,0.0,Netural,-0.42645731568336487,Negative
Nicely done,0.4404,Positive,0.6,Positive,0.4890088140964508,Positive
Oh this is the best 4 minutes of my life,0.6369,Positive,1.0,Positive,0.8324714303016663,Positive
Who came here because of 15 Ways to Break a Apple Watch by Plainrock124?,0.0,Neutral,0.0,Netural,-0.6135032773017883,Negative
So good,0.4927,Positive,0.7,Positive,0.6291981339454651,Positive
This should be the Minecraft theme,0.0,Neutral,0.0,Netural,0.30494362115859985,Netural
My favorite game and a famous song with 7 billion views,0.4588,Positive,0.19999999999999998,Netural,0.9486017823219299,Positive
"To the people who are still watching in 2021.
Your a legend✌️.",0.0,Neutral,0.0,Netural,0.5866140723228455,Positive
man i be cryin now,0.0,Neutral,0.0,Netural,0.4730857014656067,Positive
This son is the best of all of them,0.6369,Positive,1.0,Positive,0.8386871218681335,Positive
Literally only legends remember this.,0.0,Neutral,0.0,Netural,-0.4870929718017578,Negative
Out of date,0.0,Neutral,0.0,Netural,-0.4269368350505829,Negative
This song is so good where’s the remix,0.5777,Positive,0.7,Positive,0.48170360922813416,Positive
This actullyreally goood,0.4927,Positive,0.7,Positive,-0.4815365672111511,Negative
This is a masterpiece,0.6249,Positive,0.0,Netural,0.8322694897651672,Positive
Просто лайк!!!,0.5229,Positive,0.0,Netural,-0.34378036856651306,Negative
this is perfect,0.5719,Positive,1.0,Positive,0.8552333116531372,Positive
Cool😂,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
The 1:45 time the best,0.6369,Positive,1.0,Positive,0.8142013549804688,Positive
Omg this is my new favorite song now,0.4588,Positive,0.3181818181818182,Netural,0.8351321816444397,Positive
Legend love for mnecraft,0.6369,Positive,0.5,Positive,0.6716941595077515,Positive
This is good,0.4404,Positive,0.7,Positive,0.44254544377326965,Positive
LEL it’s perfect,0.5719,Positive,1.0,Positive,0.7167269587516785,Positive
hey this is noob lol 😂😂😂😂😂😂😂🤣🤣🤣🤣🤣,0.989,Positive,0.8,Positive,-0.45126041769981384,Negative
This is the best the best Minecraft song in the universe,0.8555,Positive,1.0,Positive,0.878749430179596,Positive
This song is on fire 🔥 😍 😎,0.296,Positive,0.0,Netural,-0.610471248626709,Negative
BeEed those vocals thoo,0.0,Neutral,0.0,Netural,-0.3555477559566498,Negative
I played this on repeat all day when i was 7,0.34,Positive,0.0,Netural,0.5921770334243774,Positive
I'm spanish but this version I like very much.,0.5023,Positive,0.13,Netural,0.4563919007778168,Positive
This killed my dead deaf gramma's hearing aids.,-0.8689,Negative,-0.2,Negative,-0.6646048426628113,Negative
Cringe,0.0,Neutral,0.0,Netural,-0.4394421875476837,Negative
:),0.4588,Positive,0.5,Positive,0.3749994933605194,Positive
I am filipino,0.0,Neutral,0.0,Netural,0.3678624927997589,Positive
so funny,0.4927,Positive,0.25,Netural,0.657056450843811,Positive
"Actual lyrics:
¡Ay!
Fonsi, DY
Oh, oh no, oh no (oh)
Hey yeah
Diridiri, dirididi Daddy
Go!
Sí, sabes que ya llevo un rato mirándote
Tengo que bailar contigo hoy (DY)
Vi que tu mirada ya estaba llamándome
Muéstrame el camino que yo voy
Oh, tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Solo con pensarlo se acelera el pulso (oh yeah)
Ya, ya me estás gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmar las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
(Sube, sube) Oh
Quiero ver bailar tu pelo
Quiero ser tu ritmo (uh oh, uh oh)
Que le enseñes a mi boca (uh oh, uh oh)
Tus lugares favoritos (favoritos, favoritos baby)
Déjame sobrepasar tus zonas de peligro (uh oh, uh oh)
Hasta provocar tus gritos (uh oh, uh oh)
Y que olvides tu apellido (dirididi Daddy)
Yo sé que estás pensándolo (eh)
Llevo tiempo intentándolo (eh)
Mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bam bam
Sabe que esa beba 'tá buscando de mi bam bam
Ven prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empezamo' lento, después salvaje
Pasito a pasito, suave suavecito
Nos vamos pegando poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito (oh oh)
Y es que esa belleza es un rompecabezas (oh no)
Pero pa' montarlo aquí tengo la pieza (slow, oh yeah)
Despacito (yeh, yo)
Quiero respirar tu cuello despacito (yo)
Deja que te diga cosas al oído (yo)
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito (yeh)
Firmar las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
(Sube, sube) Oh
Quiero ver bailar tu pelo
Quiero ser tu ritmo (uh oh, uh oh)
Que le enseñes a mi boca (uh oh, uh oh)
Tus lugares favoritos (favoritos, favoritos baby)
Déjame sobrepasar tus zonas de peligro (uh oh, uh oh)
Hasta provocar tus gritos (uh oh, uh oh)
Y que olvides tu apellido
Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten ""Ay, bendito""
Para que mi sello se quede contigo (báilalo)
Pasito a pasito, suave suavecito (hey yeah, yeah)
Nos vamos pegando, poquito a poquito (oh no)
Que le enseñes a mi boca (uh oh, uh oh)
Tus lugares favoritos (favoritos, favoritos baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (eh-oh) (Fonsi)
Y que olvides tu apellido (DY)
Despacito
(Copied and pasted from Google)",0.9922,Positive,-0.028488372093023264,Negative,-0.2969779372215271,Negative
"I still remember listening this on my old tablet. It was 3 years ago, but it feels like 5 years ago",0.5023,Positive,0.1,Netural,0.3773413896560669,Positive
Born the best will die the best even tho it wont die,0.8246,Positive,1.0,Positive,0.662714421749115,Positive
"almost 4 years, this is fire",-0.34,Negative,0.0,Netural,0.46772444248199463,Positive
Im learning actual minecraft lessons from this,0.0,Neutral,0.0,Netural,0.42544400691986084,Positive
I would like to see a remake in the latest version of Minecraft,0.3612,Positive,0.5,Positive,0.34275490045547485,Positive
"2018: 🤮🤮🤮 me 
2021:🥰❤️🥳 me 
2018: 🤬🤬🤬",0.872,Positive,0.0,Netural,-0.2443133145570755,Negative
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
For a parody I love this,0.6369,Positive,0.5,Positive,0.7012171745300293,Positive
The description says Reptile is 15. This video came out 3 years ago. That means that they would be 18 now,0.0,Neutral,0.0,Netural,-0.3160910904407501,Negative
"never gets old, so good, hell yeah",0.084,Positive,0.39999999999999997,Positive,0.6397957801818848,Positive
Who care Luis fonsi despacito Where we have This Legend,0.4939,Positive,0.0,Netural,0.5137889385223389,Positive
Minecraftcito!,0.0,Neutral,0.0,Netural,0.45560863614082336,Positive
This is 3 years ago but it’s still my most favourite wow,0.7662,Positive,0.3,Netural,0.8125913739204407,Positive
Îţi me romenia,0.0,Neutral,0.0,Netural,0.25760966539382935,Netural
Cringe 🤣🤣,0.7506,Positive,0.0,Netural,-0.439909964799881,Negative
"My older sister says ""this is cringe"" BUT ITA AWESOME",0.8294,Positive,0.5833333333333334,Positive,0.5282163023948669,Positive
What is lana backwards?,0.0,Neutral,0.0,Netural,-0.3560572862625122,Negative
Vaiyô bruh,0.0,Neutral,0.0,Netural,-0.29477110505104065,Negative
Im cringing soo bad LOL but its still a good song,0.5439,Positive,0.2666666666666667,Netural,0.45037150382995605,Positive
"Me using this to sleep:

My dreams: minecraftcito~~~~~",0.4019,Positive,0.0,Netural,0.5484504103660583,Positive
thank you plainrock for bringing me to This blessing,0.7391,Positive,0.0,Netural,0.76499342918396,Positive
Wtf,-0.5859,Negative,-0.5,Negative,0.32185015082359314,Netural
Pure talent,0.4215,Positive,0.21428571428571427,Netural,0.7989307045936584,Positive
I can’t stop laughing at minecraftcito,0.25,Positive,0.0,Netural,0.4082038998603821,Positive
This is a certified MINECRAFT song and it is also the national song in my SMP,0.0,Neutral,0.0,Netural,0.7831009030342102,Positive
"This song is so good, it gives the chills 😩😦😮",0.0622,Positive,0.7,Positive,0.5934386849403381,Positive
Why was this fire tho,-0.4118,Negative,0.0,Netural,-0.5853878259658813,Negative
Why is this 5B times so good as the original one.. lol,0.8334,Positive,0.625,Positive,-0.24993853271007538,Negative
YO I WILL LISTEN TO THIS ALL DAY,0.0,Neutral,0.0,Netural,0.6839272379875183,Positive
Your talented,0.5106,Positive,0.7,Positive,0.6162135601043701,Positive
Your so frikin good,0.4902,Positive,0.7,Positive,0.4326098561286926,Positive
why is this so good,0.5777,Positive,0.7,Positive,0.4082319438457489,Positive
What a legend,0.0,Neutral,0.0,Netural,0.7782857418060303,Positive
*MINECRAFT-CITO*,0.0,Neutral,0.0,Netural,0.29270434379577637,Netural
