Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I m confused was bts nominee for 2020 grammy,-0.3182,Negative,-0.4,Negative,0.24466070532798767,Netural
Rm🔥,-0.34,Negative,0.0,Netural,0.30857792496681213,Netural
❤❤❤❤💜💜💜💜💜,0.9911,Positive,0.0,Netural,0.30857792496681213,Netural
2:28,0.0,Neutral,0.0,Netural,-0.2623896300792694,Negative
daph BRUH,0.0,Neutral,0.0,Netural,0.24762623012065887,Netural
RM😭💗,0.4215,Positive,0.0,Netural,0.30857792496681213,Netural
Aprendan algo de musica btgay,0.0,Neutral,0.0,Netural,0.3666013479232788,Positive
Well what armyes form most of the comments,0.2732,Positive,0.5,Positive,0.35682347416877747,Positive
Esse dia foi incrível. Todos foram maravilhosos 💜💜,0.9241,Positive,0.95,Positive,0.9061876535415649,Positive
Lil abs always has iconic outfits fr,0.0,Neutral,0.5,Positive,0.6455036401748657,Positive
It becomes more beautiful 💜,0.8643,Positive,0.675,Positive,0.37102392315864563,Positive
Kim Taehyung! The aura that this guy exudes aah i’m dead.,-0.68,Negative,-0.2,Negative,-0.6597216129302979,Negative
BTS MY LOVEEEEEEEEEE💜💜💜💞💜💞💞💖💖💖💖😍😍,0.9962,Positive,0.0,Netural,0.5984848737716675,Positive
Bruh why are everyone talking about BTS 🤣 aren't they paying attention to lil Nas x,0.4939,Positive,0.0,Netural,-0.541653573513031,Negative
Jimin high notes,0.0,Neutral,0.16,Netural,0.32869070768356323,Netural
Wait wait oh yeah I gonna take my horse to BTS concert 😍😍,0.802,Positive,0.0,Netural,-0.44606369733810425,Negative
old town roadတော့ပြတ်ပီ🤬,0.0,Neutral,0.0,Netural,0.39486929774284363,Positive
Bts🐶🐶🐕🐕🦮,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Lũ bts🐶🐶,0.0,Neutral,0.0,Netural,0.26141950488090515,Netural
LOVE LOVE LOVE ❤️❤️❤️,0.9501,Positive,0.5,Positive,0.7522677183151245,Positive
يلي محلي الاغنيه بتس وربييي,0.0,Neutral,0.0,Netural,0.31934887170791626,Netural
Namjoon deserves everything. Sending lovessss to himm,0.0,Neutral,0.0,Netural,0.8001256585121155,Positive
Jimin high note >>>>>>,0.0,Neutral,0.16,Netural,0.3821287155151367,Positive
Wohhhhhhhh 👏,0.0,Neutral,0.0,Netural,-0.3103841245174408,Negative
Amatreas,0.0,Neutral,0.0,Netural,0.2751512825489044,Netural
Woow,0.0,Neutral,0.0,Netural,0.22824543714523315,Netural
افضل تعاون 🤭,0.8126,Positive,1.0,Positive,0.8496634364128113,Positive
بانتقان هنا!!!!,0.0,Neutral,1.0,Positive,0.33350011706352234,Positive
Какой великолепный номер!,0.69,Positive,1.0,Positive,0.8553155064582825,Positive
This masterpiece is for me.!!!,0.7163,Positive,0.0,Netural,0.8797010183334351,Positive
💜,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
"I'm leaving this comment here so that after days or years if anyone likes it, I get reminded of this masterpiece 💜",0.9165,Positive,0.0,Netural,0.5183660387992859,Positive
الاغنية طاشه بالتيك توك هسه 🧬🗝️✨😩,-0.5106,Negative,-0.6999999999999998,Negative,-0.30399927496910095,Negative
Bal a Music,0.0,Neutral,0.0,Netural,0.4460122287273407,Positive
I am actually very shocked v didn’t make any funny jokes,0.3197,Positive,-0.32999999999999996,Negative,-0.5736085772514343,Negative
The one and only Lil Nas King 🦁 🤴🖤🖤🖤,0.9274,Positive,0.0,Netural,0.5953686237335205,Positive
💜💜💜ARME●ω●[̲̅b̲̅][̲̅t̲̅][̲̅s̲̅],0.8555,Positive,0.0,Netural,0.28419047594070435,Netural
"Their first stage on grammy:)
Now they owe the biggest stage of grammy...PROUD😭",-0.4767,Negative,0.375,Positive,0.6397566199302673,Positive
형들 첫 그래미 무대여서 엄청 떨렸겠지만 진짜 잘했어!,0.3989,Positive,0.2333333333333333,Netural,0.3481045365333557,Positive
BTS LOVE,0.6369,Positive,0.5,Positive,0.5865789651870728,Positive
😍😍😍😍😍,0.9325,Positive,0.0,Netural,0.30857792496681213,Netural
Dude RM can take my soul.,0.0,Neutral,0.0,Netural,0.5994290113449097,Positive
Yo todavía no superó esta colaboración de Lil Nas x y Nam es asombrosa quien más la escucha en 2022,0.5859,Positive,0.6000000000000001,Positive,-0.4466378390789032,Negative
1:29 <3,0.4404,Positive,1.0,Positive,-0.2693706154823303,Negative
Bts potty,0.0,Neutral,0.0,Netural,0.33401086926460266,Positive
"I love this collab and performance so so much, everyone involved was fantastic, it was great to see Billy Ray & Nas Again on Stage as I grew up with them and their music when I was young.
I love my Bangtan Boys & Lil Nas X so it was altogether for me everything I needed in a performance. 👏👏👏👏💜💜💜",0.9844,Positive,0.4166666666666667,Positive,0.8973900079727173,Positive
Omg that was a fire specially jimin's voice with the song 😤😳😳💜💜💜💜🔥🔥🔥🔥🔥,0.7506,Positive,0.35714285714285715,Positive,0.22538214921951294,Netural
Masterpiece 🤩🤩🤩,0.6249,Positive,0.0,Netural,0.8407883644104004,Positive
iconic moment ❤❤❤,0.9274,Positive,0.5,Positive,0.8379126191139221,Positive
Is that Chowder cartoon?,0.0,Neutral,0.0,Netural,-0.4309060275554657,Negative
I’m addicted to this part 1:35,0.0,Neutral,-0.4,Negative,0.5942557454109192,Positive
BTS is the one who beautified the party,0.7003,Positive,0.0,Netural,0.4820411205291748,Positive
2:58 ❣️❣️❣️,0.9274,Positive,0.0,Netural,0.2209347039461136,Netural
"Ok, i think everyone agrees that Jimin stole the stage 😌",0.5267,Positive,0.5,Positive,0.4510648548603058,Positive
Opppp,0.0,Neutral,0.0,Netural,-0.4984529912471771,Negative
what really imposibble🥵😶😱😳,-0.2537,Negative,0.2,Netural,0.6470233798027039,Positive
Jimin's voice just🔥🔥🔥,-0.7351,Negative,0.0,Netural,0.3692724406719208,Positive
No mames,0.3412,Positive,0.0,Netural,-0.27738839387893677,Negative
WOW 🤩❤️‍🔥🤟🏻,0.4824,Positive,0.1,Netural,0.6722603440284729,Positive
bts mahnını hamile qoydu,0.0,Neutral,0.3333333333333333,Positive,-0.2710927128791809,Negative
I don't know why this song is really suit on them 😊,0.7184,Positive,0.2,Netural,0.37539318203926086,Positive
I’m here for bts,0.0,Neutral,0.0,Netural,0.43680182099342346,Positive
01:30 that high pitched singing is just heavenly!,0.6476,Positive,0.2,Netural,-0.3589419424533844,Negative
"nossa essa canção foi o acontecimento do ano e a participação do BTS agora e tudo que poderíamos apreciar, porque os garotos são talentosos, demais em tudo que se propõem a fazer e fenômeno BTS",0.8689,Positive,0.3333333333333333,Positive,0.6326805949211121,Positive
"Where are they now
They made their own signature",0.0,Neutral,0.6,Positive,0.42413851618766785,Positive
Clave el video de chowder,0.0,Neutral,0.0,Netural,0.37619486451148987,Positive
Rm and jimin the voice the are alikeson parecidos,0.0,Neutral,0.0,Netural,0.3361159563064575,Positive
Sadatsadiabts💕💕💕💕💕,0.9735,Positive,0.0,Netural,0.30857792496681213,Netural
ฉันรัก jsjs นี้❤️😌,0.7783,Positive,0.5,Positive,0.30045998096466064,Netural
best grammy performance ever had❤👌🏻,0.9386,Positive,1.0,Positive,0.9280257225036621,Positive
Popular opinion: Everyone wants this masterpiece to reach 70M!!,0.8541,Positive,0.45625,Positive,0.635180652141571,Positive
❤︎❤︎,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
You can hear Jimins angelic voice so clearly during the chorus. Its a Nice Contrast to the deep voice of Namjoonand nas,0.7424,Positive,0.2333333333333333,Netural,0.5353801846504211,Positive
I love you ❤,0.8555,Positive,0.5,Positive,0.8701996207237244,Positive
sakthu,0.0,Neutral,0.0,Netural,0.243093803524971,Netural
"The combination of
Jimin, RM and Jungkook's voice is awesome 😳😳
I got ghost bumbs 😳😳",0.4215,Positive,1.0,Positive,0.6990026235580444,Positive
방탄소년단은 노래를 참 잘한다,0.4927,Positive,0.7,Positive,0.40719231963157654,Positive
"não, ainda não superei",0.0,Neutral,0.0,Netural,-0.5068256855010986,Negative
Jin looks so hot,0.0,Neutral,0.25,Netural,-0.39444807171821594,Negative
