Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Awesome 👌 👏,0.8816,Positive,1.0,Positive,0.8653696775436401,Positive
A M A Z I N G !!!!!,0.0,Neutral,0.0,Netural,-0.2998606264591217,Negative
"Bait and switch, no dance moves I’ve never seen before 🥲",-0.296,Negative,0.0,Netural,-0.25546103715896606,Negative
I'll thank Fortnite for introducing her to my playlist. What a voice!,0.4199,Positive,0.0,Netural,0.7216436862945557,Positive
My mom makes me makes me wanna cry bc she died,-0.7717,Negative,0.0,Netural,-0.3016147017478943,Negative
Điên,0.0,Neutral,0.0,Netural,0.33562585711479187,Positive
"Pro- gun
Trump2024",-0.34,Negative,0.0,Netural,0.4002395570278168,Positive
I LOVE IT!!,0.6988,Positive,0.78125,Positive,0.90052729845047,Positive
Only one word masterpiece ✨ 👌,0.9106,Positive,0.0,Netural,0.4854721426963806,Positive
Absolutely amazing!,0.6581,Positive,0.7500000000000001,Positive,0.9672660231590271,Positive
Super unique like Amy Winehouse but her own flare on it. Awesome talent,0.9267,Positive,0.5770833333333333,Positive,0.7372061610221863,Positive
"The song lyrics are so deep, yet it's a party song, that's ironic.",0.296,Positive,0.1,Netural,0.41712942719459534,Positive
"Best original, unique, true talent that  I’ve seen in a very long time!!! 🔥 🔥",0.8365,Positive,0.39460937500000004,Positive,0.9642082452774048,Positive
They say,0.0,Neutral,0.0,Netural,0.23821349442005157,Netural
Real talented girl for sure.,0.6808,Positive,0.75,Positive,0.5563333034515381,Positive
Her voice is phenomenal 😍😍❤️❤️,0.7184,Positive,0.5,Positive,0.7724002599716187,Positive
👏👏👏👏♥️👏♥️♥️♥️👏👏👏,0.9571,Positive,0.0,Netural,0.30857792496681213,Netural
♥️♥️♥️♥️👏👏👏👏♥️👏👏♥️♥️♥️♥️♥️,0.9928,Positive,0.0,Netural,0.30857792496681213,Netural
Soooo talented and gorgeous. Wowwww 👍,0.8074,Positive,0.7,Positive,0.8954992294311523,Positive
Wow.... she is such a gangsta. I love her,0.8402,Positive,0.19999999999999998,Netural,0.9169184565544128,Positive
I love seeing singers actually sound like the music all on their own without technology adjusting their voice,0.7717,Positive,0.5,Positive,0.6292352080345154,Positive
I have come across this just yesterday and I don’t know which minutes I will rest my ear 👂,0.0,Neutral,0.0,Netural,0.2816324830055237,Netural
This is rancid,-0.5423,Negative,0.0,Netural,-0.7673982977867126,Negative
en fuengirola acoso a un ser humano por parte autoridades y gobierno,-0.5423,Negative,0.0,Netural,-0.7097161412239075,Negative
Beautiful voice 🤩,0.5994,Positive,0.85,Positive,0.7249371409416199,Positive
wtf why is her voice so good,-0.0152,Neutral,0.09999999999999998,Netural,0.3968362808227539,Positive
Sounds like the chipmunks. This ain't music,0.3612,Positive,0.0,Netural,-0.7634544372558594,Negative
GREATTTTTTTTT VOCALIST!  HER TEAM NEEDS TO GET HER ON BETTTTTER SONGS! TALENTED INDEED! WANNA HEAR MORE! THANKS FOR INTRODUCING HER TO FOLKS LIKE ME....,0.8796,Positive,0.5666666666666667,Positive,0.8166404366493225,Positive
LOVE IT ❤❤❤❤,0.9742,Positive,0.5,Positive,0.8467325568199158,Positive
It’s nice to see someone,0.4215,Positive,0.6,Positive,0.43331319093704224,Positive
"such an unique voice , love it 😊",0.8807,Positive,0.2916666666666667,Netural,0.9021464586257935,Positive
Love your talent to create an amazing song that reaches to our heart ❣️❣️❣️❣️,0.9883,Positive,0.55,Positive,0.885368287563324,Positive
👏👏👏👏♥️♥️♥️♥️,0.9571,Positive,0.0,Netural,0.30857792496681213,Netural
멋있어요~,0.6249,Positive,0.8,Positive,0.24360662698745728,Netural
❤❤❤❤❤❤,0.9803,Positive,0.0,Netural,0.30857792496681213,Netural
"She sounds terrible, just because a voice is unique doesn't mean a record should be made of it",-0.4767,Negative,-0.3125,Negative,-0.6559390425682068,Negative
,0.0,Neutral,0.0,Netural,0.2846148908138275,Netural
always amazing,0.5859,Positive,0.6000000000000001,Positive,0.8593423366546631,Positive
judging by her voice i thought she is black.,0.0,Neutral,-0.16666666666666666,Negative,0.4305267930030823,Positive
completely surprised by her appearance,0.2944,Positive,0.1,Netural,0.5979268550872803,Positive
Why does it make me cry every time? What is it about it?,-0.5362,Negative,0.0,Netural,-0.401461124420166,Negative
Wow! Great job!,0.8585,Positive,0.5625,Positive,0.9162832498550415,Positive
Do or dho or to??,0.0,Neutral,0.0,Netural,-0.30739617347717285,Negative
😍😍😍😍,0.9001,Positive,0.0,Netural,0.30857792496681213,Netural
👏👏👏👏👏♥️♥️♥️♥️♥️,0.9719,Positive,0.0,Netural,0.30857792496681213,Netural
Love her🌸💕,0.8591,Positive,0.5,Positive,0.7371776700019836,Positive
I love that music,0.6369,Positive,0.5,Positive,0.7681745886802673,Positive
music has fallen flat on its face.,-0.3612,Negative,-0.025,Negative,-0.46377718448638916,Negative
She is incredible singing live.,0.0,Neutral,0.5181818181818182,Positive,0.7874326109886169,Positive
I don’t get the title with the song ?,0.0,Neutral,0.0,Netural,-0.388635516166687,Negative
👍👍👍👍👍👍👍👍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
How old is she ? cant guess over 20 . in this moment her song is used in many Tik Tok videos and she must have made million . her future is saved :D . fantastic !,0.8939,Positive,0.42000000000000004,Positive,0.6108680367469788,Positive
I had to watch just to see how bad this was,-0.5423,Negative,-0.6999999999999998,Negative,-0.46779507398605347,Negative
Please check my Drum Cover here 🔥🔥🔥 https://youtu.be/WoIKzpYSRpc,-0.5994,Negative,0.0,Netural,-0.246554896235466,Negative
belissima interpretação a primeira vez que vejo e me arrepiei!,0.636,Positive,0.58125,Positive,0.8035199642181396,Positive
Mi piace questa canzone mi mette una voglia di un umore  perfetto grazie mille per come la canti,0.8402,Positive,0.6,Positive,0.6220536828041077,Positive
pure raw talent...... friggin AWESOME!!! dont see that anymore...,0.869,Positive,0.32783882783882784,Netural,0.8705605864524841,Positive
"Arrepiéntanse y crean en el Evangelio, acepten a Jesucristo como Señor y Salvador en vuestros corazones, crean en Él, Jesucristo murió por nuestros pecados, para salvarnos y darnos la vida eterna.",0.5423,Positive,0.0,Netural,0.7984520792961121,Positive
"Repent and believe in the Gospel, accept Jesus Christ as Lord and Savior in your hearts, believe in Him, Jesus Christ died for our sins, to save us and give us eternal life.",0.5423,Positive,0.0,Netural,0.8496787548065186,Positive
https://www.youtube.com/watch?v=l0cwyXuQLyo&t=1s,0.0,Neutral,0.0,Netural,0.281854510307312,Netural
HAPPY SONG YAY!,0.8122,Positive,1.0,Positive,0.676254153251648,Positive
Who think e-robot recorded this hit,0.0,Neutral,0.0,Netural,0.41065680980682373,Positive
Ela tem uma voz com caraterísticas únicas.,0.0,Neutral,0.375,Positive,0.4174860417842865,Positive
1:14 I love the smile as she finally realizes she's a big fucking deal <3,0.8714,Positive,0.20000000000000004,Netural,0.3984522223472595,Positive
The kids in the world today needs more people like Toni as role models and inspiration. She's real and sings it like it is. Gogo Tones.....you're awesome :D,0.9502,Positive,0.675,Positive,0.7221574187278748,Positive
Wahnsinn tolle Stimme 😍,0.9042,Positive,0.9,Positive,0.7473450899124146,Positive
Thought this was a novelty record with a sped up vocal track originally. It’s a pop classic in reality. And what a voice! 👏,0.0,Neutral,0.29166666666666663,Netural,0.27566981315612793,Netural
Sounds just like the radio version that's talent,0.6486,Positive,0.0,Netural,0.36707255244255066,Positive
Wow this generation has really destroyed music,0.079,Positive,0.15000000000000002,Netural,0.5968737006187439,Positive
It makes you want to fkn cringe !!!!,0.3544,Positive,0.0,Netural,0.3057359457015991,Netural
This is absolute shite !!!! What a world this has become when music has degenerated to this utter crap,-0.6201,Negative,-0.10390625000000002,Negative,-0.9847337603569031,Negative
"This is much better!
https://youtu.be/rl9FFZZnWWo",0.4926,Positive,0.625,Positive,-0.31816521286964417,Negative
So good to see the fat chick from pitch perfect doing so well! Lol,0.9128,Positive,0.8333333333333334,Positive,0.633958637714386,Positive
https://youtu.be/l0cwyXuQLyo,0.0,Neutral,0.0,Netural,0.233663409948349,Netural
I love her voice,0.6369,Positive,0.5,Positive,0.6496853828430176,Positive
A voice from another world .,0.0,Neutral,0.0,Netural,0.48029783368110657,Positive
Amazinggggggg just amazinnnnnnnggg …. I am a Sikh Punjabi guy and I am listing to this on repeat when my mother tongue in Punjabi and I just listen to Punjabi songs only. But this shyt ladies and gentlemen is absolutely amazingggggggg,0.0,Neutral,0.1,Netural,0.7611662745475769,Positive
"This is absolutely incredible. I love this piano opening, it shows her true talent! Her voice is so unique & powerful",0.9287,Positive,0.5025,Positive,0.9728218913078308,Positive
"Late to the show, but WOW what a great no friles, copying anyone else's style. Comfortable with who she is and just lettn loose. I can almost hear Amy Winehouse singing this.",0.928,Positive,0.18461538461538463,Netural,0.6240061521530151,Positive
Come il pesce palla ma sulla terra,0.1901,Positive,0.0,Netural,0.3746298551559448,Positive
Navy Seal ...può andare bene?umilmente propongo,0.2263,Positive,0.15,Netural,0.31890222430229187,Netural
L' anteposizioni di last end parachute,0.0,Neutral,0.0,Netural,0.3648870289325714,Positive
Que vosarron,0.6249,Positive,0.8,Positive,0.3192160725593567,Netural
https://youtube.com/shorts/KfvDCYZvenI?feature=share,0.0,Neutral,0.0,Netural,0.2438494712114334,Netural
No we don’t need singers like her or him !!!,0.2905,Positive,0.0,Netural,-0.6005499362945557,Negative
this is my favorite song ❤️🙈,0.4588,Positive,0.5,Positive,0.8746481537818909,Positive
Absolutely standing ovation 👏 👏👏👏👏❣️❣️❣️❣️❣️❣️❣️☀️☀️☀️☀️☀️☀️☀️☀️,0.9854,Positive,0.2,Netural,0.8722288012504578,Positive
Kinda reminds me of Adele back in day got really different voice,0.0,Neutral,0.0,Netural,0.760899007320404,Positive
This girl is destined to be a legend !!!!!!!!!,0.0,Neutral,0.0,Netural,0.8059915900230408,Positive
"Her voice sounds like a cartoon character sorry. I'm no singer , but the little Aussie girl on AGT  is much better.",0.5927,Positive,-0.0625,Negative,-0.41698235273361206,Negative
"Her voice is soo cute & perfect ❤️
She is so talented not like others showing cleavage,hips,thighs on live stage.

Hopefully we get more artists in future like her.",0.9296,Positive,0.4727272727272727,Positive,0.7945277690887451,Positive
"God was expecting some fake blonde bird,,, we'll done love it👍👍👍👍",0.4939,Positive,0.0,Netural,0.511468768119812,Positive
She literally murdered this!!,-0.717,Negative,0.0,Netural,-0.8049914240837097,Negative
Pure talent,0.4215,Positive,0.21428571428571427,Netural,0.7989307045936584,Positive
That annoying accent grates on me tbh.,-0.4019,Negative,-0.8,Negative,-0.4404573142528534,Negative
Her voice sexier than Marilyn Monroe,0.0,Neutral,0.0,Netural,0.29558342695236206,Netural
"Молодец,ты лучшая",0.743,Positive,1.0,Positive,0.7900872826576233,Positive
Absolutely incredible,0.0,Neutral,0.9,Positive,0.9240909218788147,Positive
"Her voice is amazing, instantly gave me chills",0.5859,Positive,0.30000000000000004,Netural,0.572083592414856,Positive
The nerve of that couch potato to demand someone to dance and move for her.,-0.128,Negative,0.0,Netural,-0.2981884181499481,Negative
"She gives me.chills.....she extremely talented and so very unique, no filters, I just live her!!!!! ❤️",0.4623,Positive,0.5345495975378788,Positive,0.8599031567573547,Positive
"Fun fact: The meaning behind this song stems from when she was a street performer in Australia. You are required to have a permit in order to do so, and a lot of the ""customers"" were known for being super rude and treating her like she was some zoo animal who was meant for their amusement. 

She said that they made her feel as though they were saying ""Sing, monkey"". However, in order to make the song slightly less personal, she changed it to ""Dance Monkey"", rather than ""Sing Monkey"", which is what she was actually doing.",0.8481,Positive,-0.03833333333333334,Negative,0.5613678693771362,Positive
존멋쉬먀!!!,0.9932,Positive,0.0,Netural,-0.3366393446922302,Negative
"Cool. Now do ""Move Your Feet"".",0.3182,Positive,0.35,Positive,0.42871907353401184,Positive
Muy buena canción,0.4927,Positive,0.9099999999999999,Positive,0.664829432964325,Positive
Super,0.5994,Positive,0.3333333333333333,Positive,0.7829087972640991,Positive
The music is Amazing but when it's on a show it sounds so depressing,-0.4852,Negative,5.551115123125783e-17,Netural,-0.43442007899284363,Negative
True raw talent will always win. Get it girl.,0.8555,Positive,0.30641025641025643,Netural,0.9053640365600586,Positive
👍 오~   잘 부른다,0.2732,Positive,0.0,Netural,0.360607773065567,Positive
Great song. Shit show but Great song.,0.7845,Positive,0.46666666666666673,Positive,0.478971004486084,Positive
"Understand the lyrics, then you feel the pain.",-0.5106,Negative,0.0,Netural,0.2913479506969452,Netural
Ты лучшее что у нас есть!,0.6696,Positive,1.0,Positive,0.8792870044708252,Positive
"When I first heard her voice, I decided I'd smash that... Then I watched this...",0.0,Neutral,0.25,Netural,-0.25608086585998535,Negative
"Wow, sounds just like the recording. Love her voice",0.8885,Positive,0.3,Netural,0.8522171974182129,Positive
It seems she gets easily cold... she often needs heat  for her body...,0.34,Positive,-0.6,Negative,0.5917925834655762,Positive
Out of this 🌎,0.0,Neutral,0.0,Netural,-0.4558580219745636,Negative
"Mind bogglingly wonderful song, despite that unfortunate name.",0.7335,Positive,0.25,Netural,0.3870183825492859,Positive
She's fucking incredible.,0.0,Neutral,0.9,Positive,0.8399953246116638,Positive
She sound better live,0.4404,Positive,0.34545454545454546,Positive,0.44918888807296753,Positive
Damn her voice is so cool no autotune!,-0.3568,Negative,0.4375,Positive,0.5398233532905579,Positive
"this song sucks ass, its shit.",-0.8625,Negative,-0.25,Negative,-0.8769689798355103,Negative
Perfect,0.5719,Positive,1.0,Positive,0.8318259716033936,Positive
Wow no lip syncing needed! Killed it by herself!,-0.5399,Negative,-0.0625,Negative,-0.575204074382782,Negative
"You know what this song does? It hits every passionate bone in your body.  It makes you want to chase again.  It makes you want to dance again.  This song awakens your very soul to fire.  It's not just that she's brilliant with her voice, every single note hits you where you live.  So nice not to see bells and whistles.  Pure sound and raw fury.  SOOOoooo awesome.  Can't hear it enough even so long after.  More!  More!  More!  The new dance artist with such a new sound!",0.9066,Positive,0.29979888532520116,Netural,0.9586877822875977,Positive
I thought this voice was some auto tune stuff. I'm happy to be wrong.,0.1531,Positive,0.15000000000000002,Netural,0.281911164522171,Netural
I love her 💯👍💕🌷🙌,0.8591,Positive,0.5,Positive,0.8223881721496582,Positive
What a shitty song ! Why in their right mind enjoys this crap ?,-0.5562,Negative,-0.2571428571428572,Negative,-0.9611642360687256,Negative
I cant hear this voice...,0.0,Neutral,0.0,Netural,0.31162121891975403,Netural
карова,0.0,Neutral,-0.13333333333333333,Negative,0.2529681324958801,Netural
Tones and I tells us that body doesn't need for talent ❤️😍😎😘,0.7556,Positive,0.0,Netural,0.24363844096660614,Netural
We made famous the right person,0.0,Neutral,0.39285714285714285,Positive,0.6793819665908813,Positive
This song sounds racist af,-0.6124,Negative,0.0,Netural,-0.7027965188026428,Negative
op ilove,0.0,Neutral,0.0,Netural,0.2615140378475189,Netural
2:00😊👍👌🎸🔊,0.9029,Positive,0.0,Netural,0.24205774068832397,Netural
"👏👏👏👏👏
❤️❤️❤️❤️❤️",0.0,Neutral,0.0,Netural,0.34280773997306824,Positive
"Супер хит👑
めっちゃいい曲だよね⭐🌸",0.4927,Positive,0.7,Positive,0.5703637599945068,Positive
Solo por eso decir eso,0.0,Neutral,0.0,Netural,0.3429308235645294,Positive
What a charming voice...,0.5859,Positive,0.7,Positive,0.7832112312316895,Positive
Dang that shits better live shes good,0.4019,Positive,0.4454545454545455,Positive,0.3445252478122711,Positive
This song incredible,0.0,Neutral,0.9,Positive,0.8156116008758545,Positive
love her voice,0.6369,Positive,0.5,Positive,0.6515774130821228,Positive
Talking about kids I'm one I LOVE the song I always listen to this LIKE!!!!,0.8977,Positive,1.0,Positive,0.8571445345878601,Positive
The best thing Jimmy has ever been a part of.,0.6369,Positive,1.0,Positive,0.9294074773788452,Positive
She is natural,0.3612,Positive,0.1,Netural,0.4712623953819275,Positive
She looks similar like this beatboxer Frosty imo 😅,0.6124,Positive,0.0,Netural,0.2552548944950104,Netural
This song sucks! It's so damn bad and annoying.,-0.9055,Negative,-0.6249999999999999,Negative,-0.8831071257591248,Negative
Very nice 😍💌💌💖,0.9689,Positive,0.78,Positive,0.6992000341415405,Positive
she started the pandemic.,0.0,Neutral,0.0,Netural,-0.259042888879776,Negative
"I love how natural she sounds. In the videos she in doing parties or busking, she sounds just as good!",0.9117,Positive,0.4916666666666667,Positive,0.7224581837654114,Positive
You rock 🎸,0.0,Neutral,0.0,Netural,0.5549553036689758,Positive
💕💕💕👌🏻,0.964,Positive,0.0,Netural,0.30857792496681213,Netural
💕👌🏻💕,0.9406,Positive,0.0,Netural,0.30857792496681213,Netural
Funny how she and this song just vanished off the earth……. Tells ya something,0.4404,Positive,0.25,Netural,0.36346718668937683,Positive
Kool song,0.0,Neutral,0.0,Netural,0.33011960983276367,Positive
She got that raw Ozzie UWU voice,0.0,Neutral,-0.23076923076923078,Negative,0.5352309942245483,Positive
Was in hospital for months when Heard this! Made me move again!!!,0.0,Neutral,0.0,Netural,-0.3800484836101532,Negative
"Refreshing, juvenile and happy sound.",0.5719,Positive,0.36250000000000004,Positive,0.5858445763587952,Positive
this might be the worst song ever concieved,-0.6249,Negative,-1.0,Negative,-0.8487240672111511,Negative
"pure talant, no extras",0.1531,Positive,0.21428571428571427,Netural,0.45179450511932373,Positive
"OMG! I love this song but haven't seen this before! Such a beautiful voice, a unique one <3",0.9244,Positive,0.5700000000000001,Positive,0.7609262466430664,Positive
"Good gawd, such deep talent!! Bless her and wish her much success ☺️ cuz I wanna hear more!!",0.9588,Positive,0.35625,Positive,0.8213576674461365,Positive
"Like the music but her voice is so annoying. That high pitch whiney, playing at a little-girl thing does not sound good to me at all.",-0.8336,Negative,-0.03500000000000003,Negative,-0.5542808771133423,Negative
There are so many great artists like this. They just never see the light of day because they don’t have the machine behind them,0.7832,Positive,0.32500000000000007,Netural,0.4817754030227661,Positive
차에서 듣던목소리랑 똑같습니다 잘하시네요.,0.2732,Positive,0.0,Netural,-0.36905649304389954,Negative
She just needs the timbs to complete her NY 90’s starter kit.,0.0,Neutral,0.1,Netural,0.4079422652721405,Positive
Absolutely original! Need more like her.,0.6886,Positive,0.484375,Positive,0.9218887686729431,Positive
I don’t dance... but this song makes me move🤷🏽‍♂️,0.0,Neutral,0.0,Netural,0.30408069491386414,Netural
She really said performing on US Late night is important and damn did she nail it,-0.2263,Negative,0.10000000000000002,Netural,0.2321368306875229,Netural
Orgasmic,0.0,Neutral,0.0,Netural,0.3261873424053192,Netural
o m g i never herd a voice like her but i seng like her a little bit when i saw her seng i was like whaaaaaaaaaat,0.8047,Positive,-0.1875,Negative,0.3382588326931,Positive
👏👏👏👏👏,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
"Thank you!!!
❤️❤️❤️",0.5229,Positive,0.0,Netural,0.7061377167701721,Positive
"👏👏👏
❤️❤️❤️",0.0,Neutral,0.0,Netural,0.34280773997306824,Positive
waoh. chills!,0.0,Neutral,0.0,Netural,-0.3780476152896881,Negative
Love and respect,0.8074,Positive,0.5,Positive,0.7028018832206726,Positive
I love this song ♥️ Get it girl ♥️,0.9274,Positive,0.5,Positive,0.8385066986083984,Positive
just lose some weight and you will be a singer,-0.4019,Negative,0.0,Netural,0.32089948654174805,Netural
Hi i'm from indonesia :>,0.4767,Positive,0.5,Positive,-0.3264005184173584,Negative
Hi i'm from indonesia :>,0.4767,Positive,0.5,Positive,-0.3264005184173584,Negative
So adorable talented & style ❤️luv voice & dance,0.7947,Positive,0.6,Positive,0.8379952907562256,Positive
👏👏👏👏👏👏👏👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻❤️❤️❤️❤️❤️,0.988,Positive,0.0,Netural,0.30857792496681213,Netural
Malísimo!,-0.5848,Negative,-0.625,Negative,-0.9639833569526672,Negative
Lip syncing like a mf,0.3612,Positive,0.0,Netural,0.2558487057685852,Netural
❤❤❤❤👍👌👀🙉😚😘😙omg,0.9892,Positive,0.0,Netural,0.30857792496681213,Netural
Her voice is absolutely INSANEEEEE,0.0,Neutral,0.2,Netural,-0.7279794216156006,Negative
Crowd sucked. Pretty good song,0.4767,Positive,0.475,Positive,0.3041895925998688,Netural
ONE MORE TIME! 💪👍,0.0,Neutral,0.625,Positive,0.49829262495040894,Positive
I’m glad she’s a top seller,0.5859,Positive,0.5,Positive,0.751075029373169,Positive
Can we get a new album please,0.3182,Positive,0.13636363636363635,Netural,0.2605517506599426,Netural
Anyone who has been a sex worker knows what tones is really singing about,0.0,Neutral,0.2,Netural,-0.273857444524765,Negative
Mae. Me sorprende. Excelente 😘😘,0.8807,Positive,1.0,Positive,0.7974635362625122,Positive
How do people enjoy this,0.4939,Positive,0.4,Positive,0.6246680021286011,Positive
"A voice, song and uniqueness for the ages. Magnificent. From a 63 year old.",0.5994,Positive,0.55,Positive,0.8993562459945679,Positive
Great voice. I just discovered this song and person I don’t pay attention to television or radio. Shows normal people can sing there’s talent everywhere.,0.7579,Positive,0.47500000000000003,Positive,0.5752649307250977,Positive
Very unique and brilliant art,0.6204,Positive,0.6937500000000001,Positive,0.9025259613990784,Positive
Why she so far,0.0,Neutral,0.1,Netural,0.4201841354370117,Positive
Love her voice totally blows me away you are very talented women 🤗,0.8969,Positive,0.47,Positive,0.8469338417053223,Positive
wow amazing voice 💯,0.8225,Positive,0.35000000000000003,Positive,0.8981110453605652,Positive
Uma artista que você não precisa se esforçar para enxergar talento. 👏👏👏,0.4493,Positive,0.0,Netural,0.44238370656967163,Positive
She does have a kick ass fucking voice for sure..,-0.235,Negative,-0.04999999999999999,Negative,0.38272061944007874,Positive
