Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"A very beautiful n wonderful hit, Eminem is  the one and the only king of rap all time",0.8464,Positive,0.6666666666666666,Positive,0.9007319211959839,Positive
Damn I didn't realize how big of a fan I was when I was a lil kid,-0.1027,Negative,0.0,Netural,-0.3322601616382599,Negative
So do i,0.0,Neutral,0.0,Netural,0.550050675868988,Positive
"[i always pray to the stars, who do you think answers the prayers?]",0.3182,Positive,0.0,Netural,0.33780890703201294,Positive
27/04/0/2022,0.0,Neutral,0.0,Netural,-0.44925224781036377,Negative
NOICEEEE,0.0,Neutral,0.0,Netural,-0.33697569370269775,Negative
2022 who’s here?,0.0,Neutral,0.0,Netural,-0.361568808555603,Negative
I listen to this song to reminisce about my story 2022,0.0,Neutral,0.0,Netural,0.5136982202529907,Positive
who else is just randomly visiting the good old songs,0.4404,Positive,0.09999999999999998,Netural,-0.3468104302883148,Negative
2022 still makes me cry,-0.4767,Negative,0.0,Netural,0.3320048451423645,Positive
I relate to this song so much. Legit how I grew up and how my parents relationship was.😔💯,0.0772,Positive,0.2,Netural,0.6896620988845825,Positive
My SUMMER  MY SHORTY💖,0.7506,Positive,0.0,Netural,0.6097738146781921,Positive
https://youtu.be/z1ADVUkod6s,0.0,Neutral,0.0,Netural,0.23363089561462402,Netural
"2022 April, still one of the best storytelling song",0.6369,Positive,1.0,Positive,0.5911730527877808,Positive
That opening clip is so cute.... HI PUPA,0.5949,Positive,0.5,Positive,0.4755001962184906,Positive
Who's here in April 2022 ????❤️👍,0.0,Neutral,0.0,Netural,-0.5421497821807861,Negative
"It's funny
I remember back one year when daddy had no money
Mommy wrapped the Christmas presents up
And stuck 'em under the tree
And said some of them were from me
'Cause daddy couldn't buy 'em
I'll never forget that Christmas
I sat up the whole night cryin'
'Cause daddy felt like a bum
See daddy had a job
But his job was to keep the food on the table for you and mom

this reason is everthing for em, i think that made the change",0.2342,Positive,0.15,Netural,0.41288456320762634,Positive
You are legend full stop,-0.296,Negative,0.35,Positive,0.5315870046615601,Positive
😭😭😭😭🎧,-0.9081,Negative,0.0,Netural,0.30857792496681213,Netural
2022 🇷🇸🇷🇸🇷🇸,0.0,Neutral,0.0,Netural,0.29935815930366516,Netural
"Listening to this album after turning 30, I was just 13 when I fell in love with it. I was a huge Eminem fan as a teenager and I remember taking particular notice of how different this song was and how sweet it was that he sang for his daughters. I think this is my first time watching the video and I'm hit with a new wave of emotions. I love how much he humanized him and Kim here. Seeing those home videos kinda made me understand why they kept going back to each other despite all the abuse...they were a normal family.",0.9432,Positive,0.21066919191919195,Netural,0.38007065653800964,Positive
went from a man talking about his shortcomings to a man ryming oranges with bananas (borana) and buying a nft.,0.0,Neutral,0.0,Netural,-0.26880642771720886,Negative
I don’t know if you’ll ever see this or know if I exist but I want you to know that you’re lit in every aspect and Imma write this verse to keep the true art alive. April 2022,0.8201,Positive,0.22499999999999998,Netural,0.6120874285697937,Positive
I don’t know if you’ll ever see this or know if I exist but I want you to know that you’re lit in every aspect and Imma write this verse to keep the true art alive. April 2022,0.8201,Positive,0.22499999999999998,Netural,0.6120874285697937,Positive
the older you get . the more you understand this song,0.0,Neutral,0.3333333333333333,Positive,0.42918482422828674,Positive
"Check out this guy! He got inspired from you and became a celebrity! And made a song on you named ""Tribute to Eminem"" 
His channel link : 
https://youtu.be/F6hwZsGQgE0
Channel Name : 
Emiway Bantai 
Subscribers : 
13Million",0.5837,Positive,0.0,Netural,-0.36691394448280334,Negative
2022 where y’all at🤘🔥,-0.34,Negative,0.0,Netural,0.31686386466026306,Netural
anniversary.I'm always here,0.0,Neutral,0.0,Netural,0.7745699286460876,Positive
"EVERYONE!! Listen lil byte: Putin Diss. (Eminem) Damnnn it's on 🔥🔥🔥 It's about the war in Oekrain and a diss against Putin. Listen listen listen. This guy is sick, you'll get mind blown! So creatively talented!!!! 🔥🔥🔥🙏",-0.935,Negative,0.05357142857142855,Netural,-0.5747349262237549,Negative
🤛🏼,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Eminem is my top 3,0.2023,Positive,0.5,Positive,0.8842234015464783,Positive
que obra de arte!,0.0,Neutral,0.0,Netural,0.5119693279266357,Positive
AM I HAILIE,0.0,Neutral,0.0,Netural,0.32901448011398315,Netural
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
Who's Still enjoying these classics?,0.5267,Positive,0.5,Positive,0.4827668070793152,Positive
the chorus hits everytimes I listen to this make me emotional,0.1531,Positive,0.0,Netural,0.7408325672149658,Positive
I wish my mum knew English so that I can let her listen to this masterpiece,0.8213,Positive,0.0,Netural,0.5397316813468933,Positive
If you still like this song in 2022 your still a legend🎤🎧🎵🎶🎼,0.3612,Positive,0.0,Netural,0.3554628789424896,Positive
😭😭😭😥😢😢,-0.9022,Negative,0.0,Netural,0.30857792496681213,Netural
Its been 12 years guys...,0.0,Neutral,0.0,Netural,0.2614329159259796,Netural
"i told them to help me..
said they""i need no help"".",0.1134,Positive,0.0,Netural,-0.5101339817047119,Negative
"Oh wow AS Puerto Rican and songwriter myself I heard this years ago but I wasn't a Father back then I couldn't relate to the punchlines but OMG call me a baby but this got me crying,The government took our kids on some fabricated allegations we fought hard and got em back 2 years pass they took them again because mommy had a pill miscount in her prescription of Clonazepam we fought even harder and to this day they are still with us but the case is still open when they took my twins they were 4 months old and today they are 6 years! now you do the math a case should not be open that long specially when Parents are putting in the work,a lot of it was race things,the foster people threw my baby one of the twins in a pool and watched until he stopped struggling,then he took him out,my baby was dead but Glory be to Almighty God that he sent him back! I was on my knees crying to God and trying to get Him to take me Instead of my baby and I cried I ran out of tears I lost their first and second birthday,first and second Christmas and several other things that only happen once in a lifetime for every kid because they don't stop growing I have 5 kids and I'm 31 years old 3 biological and 2 are step son and step daughter but like I say they're all mine! Won't keep writing more on this comment but If you want to know more hit me up! because this don't ends here this is only the tip of the Iceberg...May God Almighty,The Lord of Hosts and Father of the King that He Raised for us Jesus Christ bless everyone that take the time to actually read all of this! May the Peace of The Lord be with you and with yours...",0.3233,Positive,0.04461904761904762,Netural,0.4256466329097748,Positive
12 years  ago who the fuck break this records,-0.5423,Negative,-0.4,Negative,-0.6730793118476868,Negative
Oldskool,0.0,Neutral,0.1,Netural,0.3210325837135315,Netural
