Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I get why Woody's in here because of Woody is a cowboy,0.0,Neutral,0.0,Netural,0.27718520164489746,Netural
old town road Claude speed edition,0.0,Neutral,0.1,Netural,0.4380682706832886,Positive
What is this😹,0.4404,Positive,0.0,Netural,0.46752044558525085,Positive
"Iove
It",0.6369,Positive,0.5,Positive,0.2793601155281067,Netural
In I’m uoj,0.0,Neutral,0.0,Netural,0.37209248542785645,Positive
😶😑😐😎😎😎😎🐎🐎,0.9001,Positive,0.0,Netural,0.30857792496681213,Netural
When you finally see woody eyes lol 😂,0.6908,Positive,0.4,Positive,0.3274625539779663,Netural
Yo,0.0,Neutral,0.0,Netural,0.2984107434749603,Netural
Lil nas x gay,0.0,Neutral,0.4166666666666667,Positive,0.25421130657196045,Netural
Oh my Good. Lil. Naz x. My. Name is Abigail,0.2732,Positive,0.0,Netural,0.41203123331069946,Positive
high school musical,0.0,Neutral,0.08,Netural,0.37781670689582825,Positive
Coooool😎,0.4588,Positive,0.0,Netural,0.30857792496681213,Netural
lol,0.4215,Positive,0.8,Positive,0.25069501996040344,Netural
😂😂😂😂😂😂😂😂😂😂😂😂jajajajajajaja,0.9859,Positive,0.0,Netural,0.30857792496681213,Netural
Енгчаз🤠🐎,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
😗😆:),0.7351,Positive,0.5,Positive,0.4683637320995331,Positive
What is this,0.0,Neutral,0.0,Netural,0.48570334911346436,Positive
👌🏼,0.7297,Positive,0.0,Netural,0.30857792496681213,Netural
🤣🤣🤣,0.8625,Positive,0.0,Netural,0.30857792496681213,Netural
0000,0.0,Neutral,0.0,Netural,0.2382168173789978,Netural
Lol,0.4215,Positive,0.8,Positive,0.25069501996040344,Netural
Woody vs Michael,0.0,Neutral,0.0,Netural,0.27557244896888733,Netural
Lil Woody,0.0,Neutral,0.0,Netural,0.29484617710113525,Netural
"Video: I’m gonna take horse to the old town road
Me:  I’m gonna take my buzz to the old town road",0.0,Neutral,0.1,Netural,-0.2834811508655548,Negative
👮‍♀️👮👮👮👮👮👮👮,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
No oh,-0.296,Negative,0.0,Netural,-0.5212246179580688,Negative
🧐🧐😃😃😃💪💪💪👍👍👍👍👍,0.7579,Positive,0.0,Netural,0.30857792496681213,Netural
😗😗😙🥰🦄🦄👱🏻‍♂️🤴👱🏻‍♂️👱🏻‍♂️📀👱🏻‍♂️👱🏻‍♂️👱🏻‍♂️👑,0.9698,Positive,0.0,Netural,0.30857792496681213,Netural
Trevor really don't like cowboys. 😂,0.131,Positive,0.2,Netural,-0.5120858550071716,Negative
Superrrrrr,0.0,Neutral,0.0,Netural,0.7188376784324646,Positive
DANG!,0.0,Neutral,0.0,Netural,0.5202651619911194,Positive
Noice,0.0,Neutral,0.0,Netural,-0.32814738154411316,Negative
Woody is taking that fat d-,0.0,Neutral,0.0,Netural,0.2684592604637146,Netural
Lmao woody has me ded,0.5994,Positive,0.6,Positive,0.25812578201293945,Netural
Woody got moves,0.0,Neutral,0.0,Netural,0.31989455223083496,Netural
🥰🥰🥰💜💝,0.9853,Positive,0.0,Netural,0.30857792496681213,Netural
I mean thanks,0.4404,Positive,-0.056249999999999994,Negative,0.3647955656051636,Positive
Cool i listen to rhis song all the time OLD TOWN ROAD. Love it thanksm,0.8555,Positive,0.2875,Netural,0.7229024767875671,Positive
This is sanandreas graphics on him,0.0,Neutral,0.0,Netural,0.2521337568759918,Netural
I need to go back in time,0.0,Neutral,0.0,Netural,0.2506880462169647,Netural
"2:22 ""that wasn't a request'",0.0,Neutral,0.0,Netural,-0.41998448967933655,Negative
Better than kidz bop remix,0.4404,Positive,0.5,Positive,0.5389363765716553,Positive
Hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
Hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
Woody!!,0.0,Neutral,0.0,Netural,0.36248093843460083,Positive
Is the rood,0.0,Neutral,0.0,Netural,0.26017680764198303,Netural
Way Better Video Than The Original Ones!,0.6696,Positive,0.484375,Positive,0.6305979490280151,Positive
Woody is High asf,0.0,Neutral,0.16,Netural,0.32735127210617065,Netural
Se le ve fresco al pana woody,0.3182,Positive,0.3,Netural,0.3057169020175934,Netural
Is Woody drunk?,-0.34,Negative,-0.5,Negative,-0.3463555574417114,Negative
In.    New,0.0,Neutral,0.13636363636363635,Netural,0.3991752564907074,Positive
0,0.0,Neutral,0.0,Netural,-0.8090890049934387,Negative
I love how he did at the end,0.6369,Positive,0.5,Positive,0.6274191737174988,Positive
👍👍👍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
M,0.0,Neutral,0.0,Netural,-0.29218167066574097,Negative
😄😄,0.875,Positive,0.0,Netural,0.30857792496681213,Netural
Toy story 16 Gta 6,0.0,Neutral,0.0,Netural,0.3523575961589813,Positive
Gtabuk 5😊😊,0.9001,Positive,0.0,Netural,0.3635541796684265,Positive
