Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
😀😀😀,0.7579,Positive,0.0,Netural,0.30857792496681213,Netural
J,0.0,Neutral,0.0,Netural,0.2888481020927429,Netural
U😀😀,0.6124,Positive,0.0,Netural,0.30857792496681213,Netural
Jg,0.0,Neutral,0.0,Netural,0.2808168828487396,Netural
H😀😀,0.6124,Positive,0.0,Netural,0.30857792496681213,Netural
Bg😀😀😀,0.7579,Positive,0.0,Netural,0.30857792496681213,Netural
😀😀😀😀😀,0.8885,Positive,0.0,Netural,0.30857792496681213,Netural
J,0.0,Neutral,0.0,Netural,0.2888481020927429,Netural
"Bvvajygg
Hgfr f",0.0,Neutral,0.0,Netural,0.25232571363449097,Netural
Hh🙏🙏😱,-0.7003,Negative,0.0,Netural,0.30857792496681213,Netural
😓😓😓😓😓😓😓,-0.9559,Negative,0.0,Netural,0.30857792496681213,Netural
Si,0.0,Neutral,0.0,Netural,0.35386303067207336,Positive
Hola si,0.4019,Positive,0.0,Netural,0.29876548051834106,Netural
Gracias,0.0,Neutral,0.0,Netural,0.5485175251960754,Positive
Ok,0.296,Positive,0.5,Positive,0.49511444568634033,Positive
😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀,0.9951,Positive,0.0,Netural,0.30857792496681213,Netural
J,0.0,Neutral,0.0,Netural,0.2888481020927429,Netural
muy bueno,0.4927,Positive,0.9099999999999999,Positive,0.7146036624908447,Positive
😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀,0.9932,Positive,0.0,Netural,0.30857792496681213,Netural
😀😀😀😀😀😀😀😀🙂😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀,0.9958,Positive,0.0,Netural,0.30857792496681213,Netural
🤫🤫🤫🤫🤫😃😃😃😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀🙂😀😀😀😀,0.9994,Positive,0.0,Netural,0.30857792496681213,Netural
Wellcome tu indonesia danau toba,0.4588,Positive,0.8,Positive,0.465073823928833,Positive
Mia Coloridas Omg,-0.296,Negative,0.0,Netural,0.370106041431427,Positive
"Hgjg
Tgj
Hh

B😀😀😀😀😀😀😀😀",0.9517,Positive,0.0,Netural,0.2861727774143219,Netural
Tj😀😀😀,0.7579,Positive,0.0,Netural,0.30857792496681213,Netural
1111😀😀😀😀😀😀😀😀😀😀😀😀😀😀,0.9834,Positive,0.0,Netural,0.30857792496681213,Netural
25 czerwca rodszisz super,0.6249,Positive,0.8,Positive,0.6405524015426636,Positive
Tomek fajne im nie kiedy rodszisz,0.3182,Positive,0.35,Positive,-0.5184614062309265,Negative
Cłopiec jakie im nie,0.0,Neutral,0.0,Netural,-0.3310708701610565,Negative
Dziewczynka czy chłopiec,0.0,Neutral,0.0,Netural,0.3260801136493683,Netural
Mantaf,0.0,Neutral,0.0,Netural,0.2605285346508026,Netural
😀😀😀😀😀😀😀😀😀,0.9612,Positive,0.0,Netural,0.30857792496681213,Netural
22,0.0,Neutral,0.0,Netural,0.23930327594280243,Netural
Mami.usteded saben que están .dura. .. saludos desde puerto rico....,0.34,Positive,0.0,Netural,0.3384369909763336,Positive
F😀😀😀😀😀😀😀😀😀😀😀,0.9735,Positive,0.0,Netural,0.30857792496681213,Netural
😀😀😀😀😀🙂😀,0.9376,Positive,0.0,Netural,0.30857792496681213,Netural
😀😀😀😀😀😀😀😀😀jj😀😀😀😀nryg😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😃😀,0.9973,Positive,0.0,Netural,0.30857792496681213,Netural
Vfhfk,0.0,Neutral,0.0,Netural,0.2747846841812134,Netural
JHR**😀😀😀😀😃😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀hryr😀😀😀😀😀😀😀😀😀😀😀😀😀😀1😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀,0.9993,Positive,0.0,Netural,0.2652204930782318,Netural
Hhh,0.0,Neutral,0.0,Netural,0.2363003045320511,Netural
J,0.0,Neutral,0.0,Netural,0.2888481020927429,Netural
111,0.0,Neutral,0.0,Netural,0.28687503933906555,Netural
H111😀😀😀😃😀😀😀🙂h🙂😀😀😀😀😀😀😀😀😀😀😀😀😀😀😘😀😀😀😀,0.9959,Positive,0.0,Netural,0.30857792496681213,Netural
Hhgjgt,0.0,Neutral,0.0,Netural,0.2332165688276291,Netural
😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀1🙂😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀,0.9991,Positive,0.0,Netural,0.30857792496681213,Netural
Czerwcu rodzis to fajnie bondz spokojna życie cie nie kończy masz żyć jak chcec cie spotkasz poznaniu to napis z mi to bęnde i cie uspokoje życie cie nie zmieni bęndez mamom mieszkam hawalenska 7 jak cie wyprowidszisz do poznania daj zanaz okej uspokuj cie bęndez mamom,0.8689,Positive,0.2401795735129068,Netural,0.41415783762931824,Positive
Dziś cie dowiedziałsz ze jeztest w ciąży okej spokojnie,0.4404,Positive,0.4666666666666667,Positive,0.3090415298938751,Netural
Oo Daria fajne kiedy rodszisz eliana,0.3182,Positive,0.35,Positive,-0.42467930912971497,Negative
Dzewszynka jak imnie,0.3612,Positive,0.0,Netural,0.42910799384117126,Positive
Glatulecje jestest w ciąży dziś chłopiec dzewszynka,0.5994,Positive,0.3333333333333333,Positive,0.3131616711616516,Netural
Awesome vast incredible ❤️,0.6249,Positive,0.6333333333333333,Positive,0.8790702819824219,Positive
"Both r Sweet voice, I subscribed you're channel",0.4588,Positive,0.35,Positive,0.371323823928833,Positive
🤢🤮🤮🤮,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Que tal estás chica,0.0,Neutral,0.0,Netural,0.5683561563491821,Positive
Hola soy Pablo,0.0,Neutral,0.0,Netural,0.3389977514743805,Positive
Mantapp....lanjuoottt !,0.0,Neutral,0.0,Netural,-0.2594321072101593,Negative
Absolutely gorgeous. Fantastic video 🇺🇸👍❤️,0.847,Positive,0.55,Positive,0.9629758596420288,Positive
☻,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
hola tu en coloridas es mia,0.0,Neutral,0.3,Netural,0.3496164083480835,Positive
I love i girl,0.6369,Positive,0.5,Positive,0.7360746264457703,Positive
Joss...From Bangladesh,0.0,Neutral,0.0,Netural,-0.30681249499320984,Negative
🤩🤩🤩🤩🤩🤩🤩👍👍👍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
"Милахи,заберите меня к себе😚😚😚",0.9423,Positive,0.0,Netural,0.4230574369430542,Positive
I fell in love with these girls ... come to Greece!,0.6696,Positive,0.625,Positive,0.8337610363960266,Positive
Sto lat na dziś imienin Juss po wakaciah 18 prszyjechalam do polski jestest moja siostra ja mam 17 lat za rok 18 lat urodzona 2004 10 lipca mam urodziny duszo zdrowia i szkoły bo 1 września idemy do szkoły i bendemy czekali na Mikołaja duszo zdrowia na te dziś imienin bo jutro nie masz,0.0,Neutral,0.1,Netural,-0.3315177261829376,Negative
Sto lat na dziś imienin życzę ci duszo zdrowia i tego lata jestest moja siostra mam 17 lat za rok 18 urodzona 2004 10 lipca mam urodziny a wy macie jako tez siostry 22 lata rezam macie i macie rezem urodziny 22 luty jestest kuzynkom mojej siostry od Marty molskiej dla Marty jestest nikim moja siora urodzona 2020 13 września ma urodziny tym roku będzie miała rok a za rok 2 lata duszo zdrowia szczęścia macie rezem imienny a drugie rezam macie 21 sierpnia a ja mam imienny 24 grudnia a drugie mam 11 kwietnia a moja siostra malcelina ma imienny 10 lipca a drugie ma 20 luty,0.8481,Positive,0.1875,Netural,0.30381280183792114,Netural
🏖️⛵,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Que bellezas por el amor de Dios... Me flecho cupido preciosas,0.8402,Positive,0.13333333333333333,Netural,0.6196950078010559,Positive
Marvelous… delicious…,0.0,Neutral,0.0,Netural,0.8492247462272644,Positive
Par de muñecas que hermoso cantan saludos presiosas,0.886,Positive,0.675,Positive,0.6385257840156555,Positive
"Um clip sem movimento. Oxe! Uma música com um ritmo e uma letra maravilhosa. E as  duas sentadas. Muito sem graça! Sabem dançar, não?",0.4559,Positive,0.0,Netural,-0.5805659890174866,Negative
Tu es belle,0.5994,Positive,0.85,Positive,0.559589147567749,Positive
I LOVE YOU FOARTE FRUMOASA MELODIA ȘI VIDIOCLIPUL SUPER DE FRUMOS FELICITĂRI ȘI URĂRI DIN PARTEA MEA DIN ROMÂNIA CU DRAGOSTE ȘI IUBIRE SUCCES FELICITĂRI FELICITĂRI I LOVE YOU I LOVE YOU I LOVE YOU FOARTE FRUMOASA ȘI AȘA DE DRĂGUȚĂ MIE DRĂGUȚĂ MIE DRĂGUȚĂ MIE DRĂGUȚĂ MIE FELICITĂRI MIIIIIII DE PUPICI DULCI DIN PARTEA MEA SUCCES ȘI FELICITĂRI I LOVE YOU I LOVE YOU FOARTE FRUMOASA 💋💋💋💋💋💋💋💋💋💋💌💌😂😂😂🌈🌈🏆🏆❤️❤️❤️💓💎💎🤩💖🎧🎧🎧♥️♥️📯📯📯🌺🌺🌺🌺💐💐🎸🎸💝🎷🎷🎷🌷🌷💔💔💔🇦🇩🥰🥰🥰🥰👩‍⚖️👩‍⚖️👩‍⚖️👩‍⚖️💃💃💃💞💞💞💞🎑🎑💘💘💘🏵️🏵️💘💞💞💃💋💋💋💋💋💋,0.9998,Positive,0.6307017543859649,Positive,0.7262402772903442,Positive
Soy yo o que  la de la izquierda a donde están acostadas se parese a mía de las coloridas,-0.2263,Negative,0.15,Netural,-0.378645122051239,Negative
Sei bravissima  mi luce tanto la vostra canzone  😍😍😍,0.9095,Positive,0.5033333333333333,Positive,0.758402407169342,Positive
"Mía 
Solo aventureros y coloridos entenderán ❤️",0.34,Positive,0.26666666666666666,Netural,0.43736544251441956,Positive
Movie MBbeappttt llll B00my 👍❤️,0.0,Neutral,0.0,Netural,0.284699946641922,Netural
besos de francia eres muy fuerte es excepcional muchas gracias😊,0.9429,Positive,0.4766666666666666,Positive,0.6778844594955444,Positive
"S-E-X C-H-A-T ARE BUKAKE.UNO ??
ADD KARO 😎
SNAPCHAT- Kunal4g
Insta- Kunal4g",0.5204,Positive,0.0,Netural,-0.479320228099823,Negative
