Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
its 5am and im here,0.0,Neutral,0.0,Neutral,0.458451509475708,Positive
Remember hearing this as a YouTube recommendation when it barely came out I’m so glad I heard it lol,0.7695,Positive,0.45,Positive,0.3893324732780456,Positive
decir que ella cuando saco esta cancion tenia 15 años y yo con 17 no pude entrar a la uni,0.0,Neutral,0.1,Neutral,-0.4561759233474731,Negative
Billie🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
وين العرب ؟!,0.0,Neutral,0.0,Neutral,-0.357609361410141,Negative
"Várias lembrança ao escutar essa música,eu era mega fan da Billie e relembrar é incrível!",0.75,Positive,0.375,Positive,0.7362504601478577,Positive
"я так люблю его 
но мы растерялись уже давно((
я все еще что он любит,какой он на самом деле,что он делает когда ему скучно))я все знаю о нем,и я все еще люблю его)это он сам  хотел расстаться. 
мне было больно но я сильная и сказала все отлично)",0.9072,Positive,0.2444444444444444,Neutral,0.5654769539833069,Positive
Клип Бомба,-0.4939,Negative,0.0,Neutral,-0.3133052289485931,Negative
My favourite 🤩,0.0,Neutral,0.0,Neutral,0.8583036065101624,Positive
slay mommy,0.0,Neutral,0.0,Neutral,-0.2704120874404907,Negative
"Damn this was 5 years ago, sweet jesus time flew by",0.0772,Positive,0.35,Positive,0.6859869956970215,Positive
Billie i think your mind is in your brain ? Is I'm right prove me by like ?,0.4329,Positive,0.2857142857142857,Neutral,-0.3077472746372223,Negative
She's not 15 anymore I think she must be 18 or 19,0.0,Neutral,0.0,Neutral,0.3564021289348602,Positive
"A billie canta bem é linda de mais,amo a billie amo as músicas tbm",0.9371,Positive,0.6166666666666667,Positive,0.3342064917087555,Positive
hello bilie eilish you love music,0.6369,Positive,0.5,Positive,0.5505695939064026,Positive
"I’m not a big fan of Billie, but i think that some of her songs are cool,and this is one of them",-0.1232,Negative,0.0,Neutral,0.4900999665260315,Positive
💞💞💌💌💌💖💕💕💕💕💖💘💗💗💗💋💖💖💕💕💕💕💕💕💖💘💘💘💘💘💕💕💕💖💘💋💘💖💕💕💕💖💘💘💘💘💋💋💕💕💕💕💕💖💘💘💋💗❤💌🔥🔥💞💞😏❤💘MAXl,0.9998,Positive,0.0,Neutral,0.3085779249668121,Neutral
🔥🔥🔥🔥🔥❤😍😍😃💓💓💓💕💕💖💖💖💗😘😘😘😘😏😏😏❤❤😏💘❤😏❤😏❤❤❤💖💖💖💖💖💕💓💓💕💖💖💘,0.9994,Positive,0.0,Neutral,0.3085779249668121,Neutral
let's see how many legend and fans are still listening and watching this masterpiece 😃,0.8113,Positive,0.5,Positive,0.8142070174217224,Positive
IM SORRI IS LOVELY IS LOVE,0.8271,Positive,0.1666666666666666,Neutral,0.659398078918457,Positive
تجنن 🥵💗💋.,0.0,Neutral,0.0,Neutral,0.3271211981773376,Neutral
still one of her best songs,0.6369,Positive,1.0,Positive,0.5327488780021667,Positive
I only like her music cos my VERY VERY VERY BESTIEEEE got me into it,0.3612,Positive,0.13,Neutral,0.3617943823337555,Positive
"Ты лутше всех... Я тоже хочу быть лутше в своей стране, но вампиры не дают... Поддержи Украину своими песнями....",0.3534,Positive,1.0,Positive,-0.475182294845581,Negative
You are perfect Billie,0.5719,Positive,1.0,Positive,0.8392727375030518,Positive
Love this song so much 🥺✨,0.7579,Positive,0.35,Positive,0.8937520384788513,Positive
.,0.0,Neutral,0.0,Neutral,0.2539338767528534,Neutral
They stole my keys my boots and my motorcycle..astra lav visa baby..x😃,0.3612,Positive,0.0,Neutral,-0.4412283599376678,Negative
every time I wait for the bus at the usual stop and it's sunny it reminds me of bellyache,0.1531,Positive,-0.25,Negative,0.4066149890422821,Positive
"i love this song 

i am seeing yu on june or july",0.6369,Positive,0.5,Positive,0.8263372182846069,Positive
Como es que con 15 se veía así.,0.3612,Positive,0.0,Neutral,0.295224130153656,Neutral
LOVE THIS SONG SO MUCH!!!❤️,0.7788,Positive,0.5,Positive,0.9145917296409608,Positive
Me encanta sentarme ver el atardecer con esa música ❤️,0.6369,Positive,0.5,Positive,0.8207896947860718,Positive
I love your songs ❤️,0.6369,Positive,0.5,Positive,0.8218185305595398,Positive
Perfeita,0.5719,Positive,1.0,Positive,0.7576960325241089,Positive
MAXl Billie,0.0,Neutral,0.0,Neutral,0.2645903527736664,Neutral
"Billie sorry for my bad english and i know u never see my message but u are my crush i love everything from u, u voice, u eyes, u face, u hair and i know i never cant see u because that is a expensive fate.",0.5423,Positive,-0.2399999999999999,Negative,0.6150282621383667,Positive
I love you very much❤❤,0.9308,Positive,0.35,Positive,0.8811740875244141,Positive
yellow ][ good song,0.4404,Positive,0.35,Positive,0.4175301492214203,Positive
Seviyorm bu şarkıyı.,0.6369,Positive,0.5,Positive,0.539539098739624,Positive
Essa é fodaaa,-0.5423,Negative,-0.4,Negative,-0.3499166071414947,Negative
😍🖤,0.802,Positive,0.0,Neutral,0.3085779249668121,Neutral
Oh my God I love you Billy future you have 💗💗💗💗💗,0.987,Positive,0.25,Neutral,0.925573706626892,Positive
Wooowwww this do very very gooddd,0.0,Neutral,0.26,Neutral,0.6263843774795532,Positive
This music makes me feel like I''m floating in my room at night or floating by mountains with a orange sunset .I LOVE IT,0.8143,Positive,0.5,Positive,0.8365685939788818,Positive
"Красивая песня, клип тоже просто бомба",0.1779,Positive,0.85,Positive,0.5453577041625977,Positive
1 like 1 share 1 subscribe https://www.youtube.com/watch?v=7ep94Uncih0&t=4s,0.5719,Positive,0.0,Neutral,-0.477051168680191,Negative
"Subscribe for the largest Rock playlist available on YouTube! 
 I JUST GOT DUMPED SO I HAVE A LOT OF TIME ON MY HANDS  I'm going through every rock band alphabetical order and listening to every song from every album and adding a specific songs, for the rock community to enjoy, creating the largest playlist ever made on YouTube Go Billie ellish
....",0.3091,Positive,0.3,Neutral,0.7595009803771973,Positive
They tried to get my head,0.0,Neutral,0.0,Neutral,-0.435141772031784,Negative
Fixing good,0.4404,Positive,0.7,Positive,0.4998671114444732,Positive
S.O.A.R. KRISTEN KLow,0.0,Neutral,0.0,Neutral,0.2573663592338562,Neutral
"Никого не смутило название беляш?) хаха ладно, оно скорее всего не так переводится, но смешно же)",0.705,Positive,0.225,Neutral,0.2828520536422729,Neutral
"I loveeeeeeeeeeeeeeeeeeeeeeeeeeeee, Billie have talent and her song are so cool.",0.6995,Positive,0.35,Positive,0.7585311532020569,Positive
مين متلي رجعلها 2022 من مكس ويجز,0.0,Neutral,0.0,Neutral,-0.2497362047433853,Negative
I love you billie eilish,0.6369,Positive,0.5,Positive,0.7700788974761963,Positive
15 years old and almost 600 million views on one video,0.0,Neutral,0.1,Neutral,0.429495632648468,Positive
My sister is carzy for this song she like it so much,0.0258,Neutral,-0.1999999999999999,Negative,0.5312021374702454,Positive
"Essa música é perfeitaaaaaa, to ouvindo ela a 40 minutos",0.5719,Positive,1.0,Positive,0.6648005843162537,Positive
Masterpiece 🖤🌋🥀,0.8519,Positive,0.0,Neutral,0.8407883644104004,Positive
You are gentile kind and privileged with song,0.743,Positive,0.6,Positive,0.6251705884933472,Positive
E,0.0,Neutral,0.0,Neutral,0.2746336758136749,Neutral
L,0.4588,Positive,0.0,Neutral,0.2571044862270355,Neutral
