Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
https://www.youtube.com/watch?v=g_yjcLAkaso,0.0,Neutral,0.0,Neutral,0.2814835906028747,Neutral
This is my favourite song ❤,0.6369,Positive,0.0,Neutral,0.8319080471992493,Positive
This a masterpiece that will haunt Selena Gomez always...,0.34,Positive,0.0,Neutral,0.8888310790061951,Positive
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
"hermoso como siempre, te amo amor de mi VIDAAAAAAAAA!!!!!!!❤",0.9621,Positive,0.6166666666666667,Positive,0.914056956768036,Positive
My little sister just passed away and this song hits a lot different with me now. Hardest time of my life.,0.0,Neutral,-0.09375,Negative,0.8867694735527039,Positive
My dog karmel died and all of her puppy's did and now we have no part of her and I miss her and this song makes me thank of her and it makes my heart broken and crying I miss her so much she was only a year old,-0.7579,Negative,-0.06,Negative,0.4901153147220611,Positive
subrekernya banyak kok ga bikin konten vlog apa prank ya,0.0,Neutral,0.5,Positive,0.2251097410917282,Neutral
Mom we Miss u,-0.1531,Negative,0.0,Neutral,0.2510852217674255,Neutral
You need to bring back your puppy dog hair,0.0,Neutral,0.0,Neutral,0.2434886246919632,Neutral
Why this song got only 100 million views.this is the best song from justin.,0.6369,Positive,0.5,Positive,0.6824365258216858,Positive
I miss my grandpa more than life,-0.1531,Negative,0.5,Positive,0.2524760663509369,Neutral
https://youtu.be/aiF68Rf181w,0.0,Neutral,0.0,Neutral,0.2331872731447219,Neutral
"N O N S T O P 4 D 
Situs Taruhan Online yang Aman & Terpercaya 
Minimal Deposit 20 Rb Melalui : Pulsa, Ovo, Dana, Gopay, Link Aja ❤",0.9153,Positive,0.5,Positive,0.2921772003173828,Neutral
A good son masking his own aching and broken heart to help his Mother put hers back together ❤️,0.5423,Positive,0.2249999999999999,Positive,0.5429750680923462,Positive
2:53,0.0,Neutral,0.0,Neutral,0.234759584069252,Neutral
amei lindo de mais perfeito,0.8357,Positive,0.7333333333333334,Positive,0.5603702664375305,Positive
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
Nice song,0.4215,Positive,0.6,Positive,0.4662424027919769,Positive
Award winning!,0.8016,Positive,0.625,Positive,0.8289327025413513,Positive
My Best Friend was murder April 21 2016 6 years ago this song reminds me of her RIP Merindaj I love you ✝️😇🙏👏,0.872,Positive,0.75,Positive,0.7618737816810608,Positive
My niece passed away from a heart condition this song reminds me that I have to remember her longer than I ever got to know her 😢🥺💔,0.4939,Positive,0.0,Neutral,0.5343281030654907,Positive
I am in love with your  song 🎵,0.6369,Positive,0.5,Positive,0.7250062823295593,Positive
💞,0.6486,Positive,0.0,Neutral,0.3085779249668121,Neutral
savage..https://youtu.be/WPdWvnAAurg,0.0,Neutral,0.0,Neutral,0.3064872324466705,Neutral
I like song,0.3612,Positive,0.0,Neutral,0.4713875353336334,Positive
