Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Eu amo esa musica 😍😍👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏💃,0.8807,Positive,0.5,Positive,0.621537446975708,Positive
❤️❤️✌️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
I love why gru loves a minion,0.836,Positive,0.5,Positive,0.7329105138778687,Positive
Ú,0.0,Neutral,0.0,Netural,0.27402862906455994,Netural
U,0.0,Neutral,0.0,Netural,0.27402862906455994,Netural
Ñ,0.0,Neutral,0.0,Netural,-0.21789678931236267,Negative
Ii,0.0,Neutral,0.0,Netural,0.2333991378545761,Netural
uuuuuuuuuuuuuuuuuuuuu,0.0,Neutral,0.0,Netural,-0.2506691813468933,Negative
Fudufbudcjd 😍😗☺☺😙,0.9607,Positive,0.0,Netural,0.2602590024471283,Netural
Vhj d,0.0,Neutral,0.0,Netural,0.2690763771533966,Netural
Song is world's best song,0.6369,Positive,1.0,Positive,0.8362450003623962,Positive
Δ,0.0,Neutral,0.0,Netural,0.2841474711894989,Netural
👍👍👍👍❤️❤️❤️🌹🌹🌹🌹😘😘,0.6808,Positive,0.0,Netural,0.30857792496681213,Netural
Buenisimaaaaaavwow,0.5859,Positive,0.1,Netural,0.2278909832239151,Netural
N😇😑😣🙂☺😇🙂😍😅😣😚🐄🐴,0.9686,Positive,0.0,Netural,0.30857792496681213,Netural
i love this video from gordeschme,0.6369,Positive,0.5,Positive,0.8713502883911133,Positive
Eres muy buena te felisito mucho eres muy duena,0.7688,Positive,0.4566666666666666,Positive,0.7882416844367981,Positive
maery,0.0,Neutral,0.0,Netural,0.2853682339191437,Netural
meray,0.0,Neutral,0.0,Netural,0.2719726264476776,Netural
mary,0.0,Neutral,0.0,Netural,0.3093390464782715,Netural
Ef,0.0,Neutral,0.0,Netural,0.2934974431991577,Netural
😍😍😍😘😘😘,0.9468,Positive,0.0,Netural,0.30857792496681213,Netural
Good Job Man,0.4404,Positive,0.7,Positive,0.4881993234157562,Positive
(:(:(:(:(:(:♥,0.6369,Positive,-0.4583333333333333,Negative,0.2220068722963333,Netural
Kasperli,0.0,Neutral,0.0,Netural,0.25196465849876404,Netural
ろ,0.0,Neutral,0.0,Netural,0.2699640691280365,Netural
Оооо круто я ето видео смотрю каждый день!!!,0.6884,Positive,0.1953125,Netural,-0.7125619053840637,Negative
"Que 8+++399]el p
Gracias o",0.4404,Positive,0.2,Netural,0.420643150806427,Positive
😀,0.3612,Positive,0.0,Netural,0.30857792496681213,Netural
😘😘,0.6808,Positive,0.0,Netural,0.30857792496681213,Netural
😻😻😻,0.8402,Positive,0.0,Netural,0.30857792496681213,Netural
Xvvvr no se preocupe por eso,0.3412,Positive,0.0,Netural,-0.38562074303627014,Negative
😂,0.4404,Positive,0.0,Netural,0.30857792496681213,Netural
😎😎😎😎😋😚😚😚😙😙😗😗😍😍😍😘😘😘😘😜😜😛😛💎💎💎,0.9962,Positive,0.0,Netural,0.30857792496681213,Netural
To śmieszne minionkj,0.4404,Positive,0.25,Netural,-0.38407301902770996,Negative
Muito legal,0.3804,Positive,0.45499999999999996,Positive,0.23829372227191925,Netural
