Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Are u a girl or a boy,0.0,Neutral,0.0,Neutral,-0.2857858836650848,Negative
look at andrew and lexi 19:14,0.0,Neutral,0.0,Neutral,0.2740211486816406,Neutral
"Seems like sister switched friend groups, lol.",0.8176,Positive,0.8,Positive,0.3589813113212585,Positive
i love your vids!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.7482,Positive,1.0,Positive,0.8928422331809998,Positive
Yaaah— there we gooooo,0.0,Neutral,0.0,Neutral,-0.2831164002418518,Negative
So nobodys gonna talk about Brents facial expressions while doing the eyes lol,0.4215,Positive,0.4,Positive,-0.4279558360576629,Negative
"James, did you ever think of rapping?😂",0.4404,Positive,0.0,Neutral,0.2717336118221283,Neutral
love your vids!!,0.6988,Positive,0.78125,Positive,0.8358980417251587,Positive
Nooooo buuuuu,0.0,Neutral,0.0,Neutral,-0.2809959053993225,Negative
Andrew u messed the eyeshadow up 😒,-0.34,Negative,0.0,Neutral,-0.374763935804367,Negative
Lexi did the best,0.6369,Positive,1.0,Positive,0.4682607352733612,Positive
I love James Charles videos 🤗,0.7906,Positive,0.5,Positive,0.7073973417282104,Positive
AHHHHH im dying right now😭😭 when james said “and im a tiktok dancer🙄” and then put a clip of him dancing 😂😭 AHHHHH JAMESSSS WHY U DO THAT😭😭😭 im rolling right now that was hilarious,-0.9186,Negative,0.3571428571428571,Positive,-0.4445641338825226,Negative
“Yay!” 😂,0.4926,Positive,0.0,Neutral,0.4690158367156982,Positive
19:15 that was so cute how andrew looked at lexi,0.5949,Positive,0.5,Positive,0.3487647473812103,Positive
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😭🤣🤣🤣🤣🤣🤣🤣I can't stop 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0.9995,Positive,0.0,Neutral,0.3210956454277038,Neutral
I feel like this could've been more funny and interesting with STOKES TWINS✨🌚. but this video was so fun,0.907,Positive,0.3875,Positive,0.5381606221199036,Positive
Brent’s faces !!!😭😩😂,-0.4898,Negative,0.0,Neutral,0.3652248978614807,Positive
I hate you James you hate your fans 😡 she loves your vids so much 😡,-0.5719,Negative,-0.4666666666666667,Negative,0.8092702627182007,Positive
James.: “huh😟 Andrew-?“,-0.296,Negative,0.0,Neutral,0.2960005104541778,Neutral
Brents like “uhuh” “yea” “yup” “mmhhmm” “right” “ok” looks back uhh i think i made it worse,-0.1531,Negative,0.0964285714285714,Positive,-0.3577540218830108,Negative
This looks so fun 😊,0.889,Positive,0.3,Positive,0.7152392864227295,Positive
"🤡🤡 y'all ain't even clowns 
You guys are the whole circus",0.0,Neutral,0.2,Positive,-0.3155193924903869,Negative
SLAYY QUEEN,0.0,Neutral,0.0,Neutral,-0.271126389503479,Negative
"bruh u said bad bunny and my jaw dropped have u heard his songs like volvi, mia and yonaguni",-0.4939,Negative,-0.6999999999999998,Negative,-0.6191800832748413,Negative
The old intro though,0.0,Neutral,0.1,Positive,0.417999804019928,Positive
"rlly enjoed this video, laughed a lot lol",0.8553,Positive,0.6666666666666666,Positive,-0.3537239730358124,Negative
omfg ydk how i gasped real loud when brent putted that brownser powder on da cheeks and that andrew putted on that literal purple eyeshow on your eyebags lmfaooo,0.0,Neutral,0.15,Positive,-0.5053165555000305,Negative
Brent's face while applying eye shadow😂❤️,0.4404,Positive,0.0,Neutral,-0.2411353290081024,Negative
Omg James is so preety can you please give a shout out pleeeeese,0.7518,Positive,0.25,Positive,-0.371044397354126,Negative
ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Who is your favourite member of the amp squad,0.0,Neutral,0.0,Neutral,0.8167966604232788,Positive
I love you James,0.6369,Positive,0.5,Positive,0.8045817613601685,Positive
"4:10

Looks at James’s face when he sees that Lexi pumps the foundation right on the beauty blender instead of her hand! 😂",0.8805,Positive,0.3571428571428571,Positive,0.3339644968509674,Positive
LOVEEEE ANDREWWW ❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.4713583886623382,Positive
Person just keeps stating facts throughout the video 😂,0.4404,Positive,0.0,Neutral,0.3330125510692596,Positive
AHH I LOVE THIS DUO! AMP X JAMES. MY FAVORITE!! ❤️✨,0.916,Positive,0.703125,Positive,0.9624192714691162,Positive
Are u netuer gender,0.0,Neutral,0.0,Neutral,-0.2849252223968506,Negative
Oh my gosh!!!!  I had no idea MrBrent98 was him😂😂😂 I used to follow Brent’s tumblr and didn’t even know😂,0.8902,Positive,0.0,Neutral,-0.6144061088562012,Negative
SO MUCH FUN AMP❤️,0.7191,Positive,0.3,Positive,0.7608230113983154,Positive
Uhh I hate Andrew he always tries to be cool,-0.34,Negative,-0.1833333333333333,Negative,-0.4203601479530334,Negative
a relay race with his crew would be EVERYTHING!,0.0,Neutral,0.0,Neutral,0.5063197016716003,Positive
james this was so cool to get to know the amp squad! amazing video like always ♥️♥️♥️,0.9725,Positive,0.51875,Positive,0.8765571117401123,Positive
I just dont want to sub only bc hes mean ima let you all furger it out,-0.0572,Negative,-0.15625,Negative,-0.3832850158214569,Negative
i just realized that they use the old intro😅❤,0.7717,Positive,0.1,Positive,0.2820878326892853,Neutral
Why is ben holding andrew,0.0,Neutral,0.0,Neutral,-0.2984391748905182,Negative
Ben always kiss andrew,0.4215,Positive,0.0,Neutral,0.5275576114654541,Positive
🙁😔,-0.2665,Negative,0.0,Neutral,0.3085779249668121,Neutral
BAD BUNNY 🐰🐰 BENITO AHHHHH,-0.6408,Negative,-0.6999999999999998,Negative,-0.4897828102111816,Negative
Andrew is Lowkey hot,0.0,Neutral,0.25,Positive,0.3057321310043335,Neutral
The eximent in this video is 💯💯,0.0,Neutral,0.0,Neutral,0.2796149551868438,Neutral
When Brent was famous on tumblr that's when I was born😶ik I'm young and watching James Charles but I love James charles YouTube channel he's so amazing at doing make up like I wish I could amazing at doing make up like him💛💙💜,0.9943,Positive,0.4600000000000001,Positive,0.6064496636390686,Positive
Yah,0.0,Neutral,0.0,Neutral,-0.3573570847511291,Negative
I love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
look at brent  face when he put eye shadow,0.0,Neutral,0.0,Neutral,0.2310813516378402,Neutral
this video was just extreme level fun it was just so good,0.8084,Positive,0.2916666666666667,Positive,0.6701700091362,Positive
this came out on my birthday,0.0,Neutral,0.0,Neutral,0.5142029523849487,Positive
James you inspire me like sooo much!❤❤ Ur makeup skills are awesome and you are so beautiful! Keep going!😊😊😊😊,0.9939,Positive,1.0,Positive,0.8595800399780273,Positive
You are so pretty james ❤😍🤩,0.9065,Positive,0.25,Positive,0.5430598258972168,Positive
Ben thinks he looks good in the lighting lol!,0.7177,Positive,0.85,Positive,0.4620614349842071,Positive
a is james charelse agirl or  a boy,0.0,Neutral,0.0,Neutral,-0.260132223367691,Negative
"Everyone: **introducing themselves*
James: *yAyyy*",0.0,Neutral,0.0,Neutral,0.3040435314178467,Neutral
Is it just me or did just used his old intro for the video😍😍😍,0.8402,Positive,0.1,Positive,0.3260421752929687,Neutral
