Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Mera top up kar,0.2023,Positive,0.5,Positive,0.648963451385498,Positive
Noobda 1v1aja,0.0,Neutral,0.0,Netural,0.2756650745868683,Netural
Bad police 100,-0.5423,Negative,-0.6999999999999998,Negative,-0.39877694845199585,Negative
ISO diamond de do,0.34,Positive,0.0,Netural,0.2905181646347046,Netural
This is a custom,0.0,Neutral,0.0,Netural,0.5642291307449341,Positive
Kaal bhai op,0.0,Neutral,0.0,Netural,0.28334298729896545,Netural
You are so funny video😅😅😅,0.8886,Positive,0.25,Netural,0.7553442120552063,Positive
Please give a setup tour +oc specs,0.3182,Positive,0.0,Netural,0.2994769215583801,Netural
"""I respect to everyone who were involved in this, Siriously the best piece that I ever seen on YouTube, HATS OFF TO YOU ALL! LOVE YOUR VIDEOS! 💖",0.9648,Positive,0.8125,Positive,0.9714090824127197,Positive
3082234059,0.0,Neutral,0.0,Netural,0.22786960005760193,Netural
Meri id de raha hun main,0.34,Positive,0.0,Netural,0.2756282091140747,Netural
Mere sath kheloge Kalu Bhai device,0.34,Positive,0.0,Netural,0.24912986159324646,Netural
BODKa,0.0,Neutral,0.0,Netural,0.28880301117897034,Netural
Uid dedo bhai aapni,-0.6486,Negative,-0.2,Negative,0.26965203881263733,Netural
Noop bot,0.0,Neutral,0.0,Netural,-0.3386119604110718,Negative
"Vai,,,ur,paro,,,,,op👍👍👍,ilik🧡🧡🧡🧡🧡",0.9719,Positive,0.0,Netural,0.2611180245876312,Netural
He is costume gameplay 😂😢😂,0.4019,Positive,0.0,Netural,0.3257744014263153,Netural
Chutiya bna rha hai session 1 bnda duo nhi khelega random ke sath,-0.2584,Negative,-0.5,Negative,-0.4004996716976166,Negative
Or to or aap bar bar krishna naam ke bande ko bar bar mara,-0.6705,Negative,-0.2,Negative,-0.3621610403060913,Negative
Kaal bhai ye rank match nahi h ye custom tha kyo ke jab aapne peak par season 2 ko mara laken uska naam ace tha jo aapki friends list me,0.631,Positive,-0.8,Negative,0.27197447419166565,Netural
No player no player,-0.0803,Negative,0.0,Netural,-0.8691649436950684,Negative
"Hello bhai log jisko bhi 1v1 karna ha chenel me comment karo i am pro pleyar 


https://youtu.be/BBQdaRW9Ek8",0.0772,Positive,0.0,Netural,-0.36536362767219543,Negative
Bhaitummeragropmeaagao,0.0,Neutral,0.0,Netural,0.24757008254528046,Netural
Bro aap to mobile per gameplay Karte The kab se PC player Hone Lage aap,0.0,Neutral,0.0,Netural,0.30847856402397156,Netural
"""It is custom not fear gameplay scripter"" 🤬👋🌃😃😃😃",0.9067,Positive,0.0,Netural,0.3654983937740326,Positive
So funny,0.4927,Positive,0.25,Netural,0.657056450843811,Positive
Costom match 😅😅,0.6124,Positive,0.0,Netural,-0.4949931204319,Negative
Pagal,0.0,Neutral,0.0,Netural,0.30870991945266724,Netural
Kaal noob tarapas v bas,0.0,Neutral,0.0,Netural,-0.3114822506904602,Negative
Sirif 18 banda hai match hai😂😂😂😂😂😂😂😂,0.969,Positive,0.0,Netural,0.24089831113815308,Netural
Bhai costom match hai ya logo ko ullu samjhe ho kiya gadha kaha ka 😆😆😅😅😅😅😅😄😃😂😂😂😂😃😂😂,0.0,Neutral,0.0,Netural,-0.45338401198387146,Negative
My fan,0.3182,Positive,0.0,Netural,0.49830499291419983,Positive
"KAAL op
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🥰😋😇😍👍😍👍🎷🤟💀😍👍💀😇😍👍🎷👍💀😇😇🎷🎷👍🎷👍🔥👍😘👍🔥👍😘👍🔥😘👍😍👍😋👍😊👍😘👍😍👍💔👍😈😍👍🇨🇮😇😍❤️😍👍😍😎😊❤️🎷😎😍😎🎷❤️💔🔥👍😍👍😊👍😊❤️🔥💙💙🤟💙💙🤟💙💙💙🤟💙💙🤟💙💙🤟❤️❤️❤️🇨🇮🤟🇨🇮👍😍😇😋👍😋👍😭😇😋💀👍😍👍😍👍🔥👍🎷💔😇😈😇😈😇🎷👍🎷🇨🇮🇨🇮🇨🇮👍",0.0,Neutral,0.05,Netural,0.35827863216400146,Positive
Kaal bhai meravi channel he koe subscribe kortanehi,0.0,Neutral,0.0,Netural,-0.4632543623447418,Negative
KAAL Bhai Big Fan 😊😊☺️☺️☺️☺️😊😊☺️☺️😊☺️😊😊☺️☺️🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍🤩🤩🤩🤩😭😭😭😭🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺😊😊😊😊😊😊😊☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️🥰🥰🥰🥰🥰😍😍😍😍,0.9996,Positive,0.0,Netural,0.46119219064712524,Positive
कलर मारावे,0.0,Neutral,0.0,Netural,-0.4288969337940216,Negative
1b6,0.0,Neutral,0.0,Netural,-0.2720963656902313,Negative
Super to,0.5994,Positive,0.3333333333333333,Positive,0.7645498514175415,Positive
Kall vay moja tomare I'd nabar chaia plss😢😢😢😭😭😭😭,-0.967,Negative,0.0,Netural,-0.26064333319664,Negative
