Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
7:52,0.0,Neutral,0.0,Neutral,0.2833452224731445,Neutral
You have 11 karod,0.0,Neutral,0.0,Neutral,0.2632496356964111,Neutral
You have we live in karod,0.0,Neutral,0.1363636363636363,Neutral,0.5381408333778381,Positive
Love you pew,0.6369,Positive,0.5,Positive,0.8073397278785706,Positive
"Not This ,That was epic war for two
 horned hornet guy pdπ not for huge and giantic company like T- series'",-0.5207,Negative,0.25,Neutral,-0.4206743836402893,Negative
2 years later t series is almost at 200 million! That’s crazy that he has 79 million more than you,-0.4003,Negative,-0.0333333333333333,Negative,-0.5591087937355042,Negative
"Pewdiepie : I give you permission to pass me after 100 mil

T-Series : You don't have any other path",0.0,Neutral,-0.125,Negative,-0.6653517484664917,Negative
Pewds is the true winner,0.765,Positive,0.35,Positive,0.69429612159729,Positive
Completely broken inside 😂🤧,-0.1263,Negative,-0.4,Negative,-0.7531558871269226,Negative
t series? more like trash series,0.4201,Positive,0.5,Positive,-0.8345561027526855,Negative
"PewDiePie 110M  Foriegn
T series 188M  India",0.0,Neutral,0.0,Neutral,0.2594775557518005,Neutral
T series ❤️❤️🖐️🖐️,0.7506,Positive,0.0,Neutral,0.4088568985462188,Positive
U cant beat indian channel tseries ha ha ha,0.7351,Positive,0.0,Neutral,0.3018291890621185,Neutral
👎,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
T series beat you cuz of carryminati and then inidans unsubbing you,0.0,Neutral,0.0,Neutral,-0.6038813591003418,Negative
UR LOSE NOW 187 MILLION,-0.8192,Negative,0.0,Neutral,-0.7357694506645203,Negative
pewdiepie thinks he can beat t series?No way!,0.0,Neutral,0.0,Neutral,-0.584951639175415,Negative
PewDiePie old videos are my childhood memories,0.0,Neutral,0.1,Neutral,0.4310407042503357,Positive
you think if your bad then indians are your dad............,-0.5423,Negative,-0.6999999999999998,Negative,-0.2275921106338501,Negative
"But at now t series far away from you.... 
You sucks 😂😂😂",0.8519,Positive,-0.0999999999999999,Negative,-0.4490587711334228,Negative
T series more like t pose series lol,0.6801,Positive,0.65,Positive,-0.2726723253726959,Negative
T series rule,0.0,Neutral,0.0,Neutral,0.2799117863178253,Neutral
Pareng PewDiePie yung utang mo sakin dimo pa bayad,0.0,Neutral,0.0,Neutral,-0.3611081540584564,Negative
Lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
This legend still can change the world,0.0,Neutral,0.0,Neutral,0.70477694272995,Positive
t-bots,0.0,Neutral,0.0,Neutral,0.3218441903591156,Neutral
