Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Me calma el alma,0.3182,Positive,0.0,Netural,0.579848051071167,Positive
Foarte frumos,0.4754,Positive,0.78,Positive,0.3601681888103485,Positive
2022. 10/10,0.0,Neutral,0.0,Netural,0.33889639377593994,Positive
Megusta,0.0,Neutral,0.0,Netural,-0.30697929859161377,Negative
canción perfecta cuando estás en la playa y para bailar no se va a pasar de moda 🎉,0.7506,Positive,1.0,Positive,0.765352189540863,Positive
Un lacreo,0.0,Neutral,0.0,Netural,-0.35475993156433105,Negative
Io la ascolto ancora nel 2022,0.0,Neutral,0.0,Netural,0.5584090352058411,Positive
Excelente!!! Me gusta muchooo!❤️,0.8302,Positive,1.0,Positive,0.8425840139389038,Positive
buena cancion me acordo cuando fui ah santa marta colombia en el 2018-2019 en bus :(,0.0,Neutral,-0.025000000000000022,Negative,0.47483882308006287,Positive
Recordar es vivir.😞,-0.4767,Negative,0.0,Netural,0.5827239155769348,Positive
Hola Hola soy fan tuyo Soy fan in 6% muchachos canciones Cómo llama cómo te llamas,0.5574,Positive,0.0,Netural,0.337584912776947,Positive
Yo escuchando esto siendo de Bolivia 🇧🇴😅,0.3612,Positive,0.0,Netural,0.4096442759037018,Positive
Yo baby me gusta 😍😁🤩☺,0.8885,Positive,0.0,Netural,0.47440168261528015,Positive
👏👏👏👏✊,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Ta chevre,0.0,Neutral,0.0,Netural,-0.3176431953907013,Negative
Quien la ve en 2022?,0.0,Neutral,0.0,Netural,-0.37012308835983276,Negative
Muy buena esa rolita,0.4927,Positive,0.9099999999999999,Positive,0.713762104511261,Positive
P hm7nh8mkikb.,0.0,Neutral,0.0,Netural,0.2280866503715515,Netural
Yooo,0.0,Neutral,0.0,Netural,0.25580453872680664,Netural
Ver el sol caer 2022 😍🙏🇩🇴,0.4588,Positive,-0.15555555555555559,Negative,-0.540362536907196,Negative
"Buenos tiempos aquellos, solo quedan los recuerdos y se revive la nostalgia:')",0.4404,Positive,0.35,Positive,0.377300500869751,Positive
Yo,0.0,Neutral,0.0,Netural,0.2984107434749603,Netural
10/10,0.0,Neutral,0.0,Netural,0.8239468932151794,Positive
Yo osea,0.0,Neutral,-0.3125,Negative,0.2621445953845978,Netural
"Me gusta mucho, muy buena música para escuchar.",0.7146,Positive,0.9099999999999999,Positive,0.6256920099258423,Positive
wowww most beautiful song,0.6361,Positive,0.675,Positive,0.8931434750556946,Positive
Que guapo es el de lentes,0.4939,Positive,0.5,Positive,-0.31145790219306946,Negative
Me gusta esa musica,0.3612,Positive,0.0,Netural,0.45286935567855835,Positive
savage. https://youtu.be/WPdWvnAAurg,-0.4588,Negative,0.0,Netural,0.373176246881485,Positive
😍😍❤️👌👌,0.9536,Positive,0.0,Netural,0.30857792496681213,Netural
Recuerdos 😭😔,-0.4215,Negative,0.0,Netural,0.43808937072753906,Positive
🥰🤗,0.8779,Positive,0.0,Netural,0.30857792496681213,Netural
quien la a escuchando enel 2022 like 💜💜💜💜💜💜💜,0.9871,Positive,0.0,Netural,0.325754314661026,Netural
Te.  Amo😋😊,0.8807,Positive,0.0,Netural,-0.2917070686817169,Negative
Yo,0.0,Neutral,0.0,Netural,0.2984107434749603,Netural
Nice 👍,0.4215,Positive,0.6,Positive,0.43827590346336365,Positive
Sorry😭 I used this song to my pe subject in school bcoz we had to submit a zumba video 😭,-0.7579,Negative,-0.16666666666666666,Negative,0.23733383417129517,Netural
Me encanta,0.6369,Positive,0.5,Positive,0.7738614678382874,Positive
Esta canción aun en 2022 es muy escuchada y buena,0.4404,Positive,0.44999999999999996,Positive,0.5995562076568604,Positive
This song never gets old ❤,0.6369,Positive,0.1,Netural,0.4383101165294647,Positive
Cafetería f.ffh😎,0.4588,Positive,0.0,Netural,0.2652225196361542,Netural
Viernes de party 29/04/22,0.4019,Positive,0.0,Netural,-0.3250003159046173,Negative
Estela,0.0,Neutral,0.0,Netural,0.3428427278995514,Positive
Me encanta esta canción cuando tengo examen uso está Cancio,0.6369,Positive,0.5,Positive,0.7564388513565063,Positive
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037035,Netural,0.7419810891151428,Positive
Reviviendo tiempos:'),0.5106,Positive,0.0,Netural,0.5459440350532532,Positive
Yo jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja,0.0,Neutral,0.20000000000000007,Netural,0.2916293144226074,Netural
Yessenia   😍😍😍😍,0.9001,Positive,0.0,Netural,0.2917342782020569,Netural
Linda demais 😍,0.7845,Positive,0.85,Positive,-0.3628518581390381,Negative
👍👍👍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Yo la escucho todos los días 🥴🤙,0.4939,Positive,0.0,Netural,0.6213239431381226,Positive
Me gusta esta canción pedro y farruko,0.3612,Positive,0.0,Netural,0.4695318043231964,Positive
Ffkgg  l  i  o   pe   j  l  r   lpc hg,0.7184,Positive,0.0,Netural,0.2327117770910263,Netural
Yo,0.0,Neutral,0.0,Netural,0.2984107434749603,Netural
Cette musique me fait penser à mon père et le remonte le morale et je pense à lui en l'écoutant sa fait du bien...😁,0.8402,Positive,0.0,Netural,0.4472638964653015,Positive
"Bueno
Genial",0.7096,Positive,0.9,Positive,0.7059016823768616,Positive
Oye tú cómo te llamas es mi canción favorita bueno todo el día la escucho Yo me llamo Danna García,0.6249,Positive,0.5,Positive,0.57828688621521,Positive
Spanis,0.0,Neutral,0.3,Netural,0.2515775263309479,Netural
Yo🇵🇪🙋‍♂️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Fala povo bonito aqui é o Brasil 🇧🇷😎😎dia:28-04-2022,0.872,Positive,0.85,Positive,0.36201873421669006,Positive
Amo mucho tu música 👌👌👌🌟🌟❤️♥️♥️♥️❤️♥️,0.9912,Positive,0.35,Positive,0.711927056312561,Positive
Hola,0.0,Neutral,0.0,Netural,0.25504207611083984,Netural
Navwlnwlsbalwnsksnakkskabuhwohqlbajsvpssbsjlqkqbssbsbsisvwlsbsussjjssksjksbwksjsksblsksksbsskbqkhsksvoshshsosbbsjsksbsnsksndjzlkqqjkwjqjwhwkwjkwjwkwnlwjwkwnlwnwlwnwksnslwjslskskjwowkwkwjwowjwkjwlwjwpwjwljwlwjskwjsksjwlwbwwkjwowjsosjspsjisjsowjsisjsosjsijsksjsosjsksjsisjsosjsosksosjosksisjsksjksjsis,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
fidesz,0.0,Neutral,0.0,Netural,0.26026076078414917,Netural
Gracias 😍🙂😍🙂,0.8793,Positive,0.0,Netural,0.5859182476997375,Positive
Farru 😍😍,0.7184,Positive,0.0,Netural,0.257805198431015,Netural
😘😍😚😗😙,0.9633,Positive,0.0,Netural,0.30857792496681213,Netural
Buna,0.0,Neutral,0.0,Netural,0.4300256371498108,Positive
💯🤜,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Siśì,0.0,Neutral,0.0,Netural,0.2409188449382782,Netural
Me acuerdo cuanto trabaja en una zapataeria con esa promocionavamos los zapatos,0.4215,Positive,-0.05,Negative,0.276938259601593,Netural
Un canción que nadie pedía pero que todo el mundo necesitaba,-0.1531,Negative,0.0,Netural,0.3347928822040558,Positive
