Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
❤❤❤,0.9274,Positive,0.0,Neutral,0.3085779249668121,Neutral
TemaZOOOZOZOZOZZOOZZOOo te amo Pauloooooooo 🦁🦁,0.0,Neutral,0.0,Neutral,-0.3122290670871734,Negative
Hay no! Es #14 👉🏻👈🏻 londristas hemos bajado,0.0,Neutral,-0.1555555555555555,Negative,-0.7611319422721863,Negative
💖,0.7506,Positive,0.0,Neutral,0.3085779249668121,Neutral
TE ODIO,-0.5719,Negative,-0.8,Negative,-0.4663791954517364,Negative
Que opinan de este tema? Pueden dejar sus comentarios 🙏 gracias ❤https://youtu.be/7-yGIW__-WI,0.7579,Positive,0.0,Neutral,-0.4168059825897217,Negative
gracias x cvolver wachoo,0.4404,Positive,0.2,Positive,0.3325690329074859,Positive
Alguien q me confirme por favor q ya inicio su carrera de nuevo... Lejos de las basuras q le hicieron daño,-0.2732,Negative,0.0,Neutral,-0.621736466884613,Negative
Algún día grabaré contigo 🇵🇪💪,0.0,Neutral,0.0,Neutral,0.2765935063362121,Neutral
<3,0.4404,Positive,1.0,Positive,0.3580817282199859,Positive
Papixi,0.0,Neutral,0.0,Neutral,0.2508979141712188,Neutral
"A mí me encanta esta canción, es lo que quiero escuchar cuando quiero sentirme tranqui y feliz.",0.8957,Positive,0.5333333333333333,Positive,0.8183481693267822,Positive
god,0.2732,Positive,0.0,Neutral,0.5458810925483704,Positive
que buena cancion <3,0.7003,Positive,0.85,Positive,0.5273104906082153,Positive
😂🤣🤣este parece que canta corrido tumbado,0.7096,Positive,-0.1555555555555555,Negative,-0.5169922113418579,Negative
Y empezó con fuerza ... Dale tío..,0.5106,Positive,0.4333333333333333,Positive,0.5449267029762268,Positive
"el león volvió, raza.",0.0,Neutral,0.0,Neutral,0.2742615938186645,Neutral
❤️‍🔥,-0.34,Negative,0.0,Neutral,0.3085779249668121,Neutral
Antes yo lo escucha a paulo,0.0,Neutral,0.0,Neutral,-0.2722921669483185,Negative
"letra🤑🤑 
Hace tiempo que no sube na'
Hoy puso que está soltera
Qué pena me da
De lo que uno se entera, eh-eh
Real G4 Life, baby
No sé por qué se dejó (Se dejó)
No sé por qué se dejó (Se dejó)
Pero
Qué malo que te dejaste (Ja, ja, ja)
Del gatito que tenía', porque (Baby)
A mí me gustaba darte (Tú lo sabe')
Sabiendo que no era' mía y era' de él
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte
Sabiendo que no era' mía y era' de él
Me encantaba castigarte cuando él se iba de la casa (Ja, ja, ja, ja)
Ese cabrón llamando y yo en tu cuarto, dando salsa
Tiende al síntoma 'e venganza y también lanza la vampira
Mai', tú sigue bellaqueando que mi flow nunca se expira (Ey)
Quiere bellaqueo, me dice' que te dejaste, yo no lo creo
Si tú ere' una diabla en busca 'e perreo
Yo soy loco con tu piel, tú ere' loca con mi maleanteo
Quiere bellaqueo (Ja, ja, ja), me dice' que te dejaste, yo no lo creo
Si tú ere' una diabla en busca 'e perreo
Yo soy loco con tu piel, tú ere' loca con mi maleanteo (Ja, ja, ja, ja)
(Real G4 Life, baby)
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte
Sabiendo que no era' mía y era' de él (Yeah, yeah, yeah, yeah; ja, ja, ja)
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte (¡Huh!)
Sabiendo que no era' mía y era' de él (Ey, ey, ey, ey)
Ey, a ti te gustan los bandido'
A mí me gusta lo prohibido
Sin cojone' me tiene quedarme escondío' (No)
En lo que se iba tu mari'o, pero
Como quiera te vo' a ver, ey
Esta noche te lo vo' a poner
Dime, mami, ¿por qué ya no está' con él?
¿O e' que van a volver?, eh
Le gusta chingar en el carro y él se lo tinteó (Jejeje)
Pero fui yo quien le metió
Dijo que andaba con Valery, de nuevo mintió (Oh)
Se trepó y me lo partió
Ella se la pega y él pide perdón
Diablo, diablo, hay que ser cabrón
Puse algo de bellaquera y lo compartió
Pa' mí que se acordó de cuando este bicho sintió
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte (Ey, ey)
Sabiendo que no era' mía y eras de él (Ey, ey, ey)
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte
Sabiendo que no era' mía y era' de él",-0.995,Negative,-0.0634523809523809,Negative,-0.4480122923851013,Negative
❤️❤️❤️💗,0.7096,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Primeras palabras: ""Tal vez..."" 

Inteligente",0.4588,Positive,0.525,Positive,0.4816024303436279,Positive
muchos hater pero somos mas los que lo queremos💪,-0.1655,Negative,0.5,Positive,0.2408673167228698,Neutral
solo te pido una chance,0.25,Positive,0.0,Neutral,-0.3523479998111725,Negative
Está muy buenas las canciones,0.4927,Positive,0.91,Positive,0.5169364809989929,Positive
hermosa la letra no puedo dejar de ecucharla...🤪🥰😝😍,0.9441,Positive,0.85,Positive,0.7723687887191772,Positive
"Es una modelo, que creo no modelo <3",-0.3412,Negative,1.0,Positive,-0.5246947407722473,Negative
"""Un chicle con sabor a uva"" el guacho de maritobaracus es mejor poeta que este pibe...",0.4404,Positive,0.5,Positive,0.3397837877273559,Positive
Like para que me dé un chance Nataly jej,0.5423,Positive,0.0,Neutral,0.3047241568565368,Neutral
La mejor canción volviste como los grandes saliendo de la oscuridad. Eres mi idolo🤗🤗🤗,0.9337,Positive,0.2833333333333333,Positive,0.9332034587860109,Positive
ESTO MERECE MAS VISTAS! A SEGUIR REPRODUCIENDO AQUÍ Y EN SPOTIFY POR PAULITO,0.2714,Positive,0.625,Positive,0.6007940173149109,Positive
"Y aquí podemos ver al principio qué hay una botella con el número 23, las 2 canciones indicaba que paulo iba hacer la bzrp N23 

Recontra inteligente paulo escondiendo los números crack ❤️ TE AMO",0.7925,Positive,0.65,Positive,-0.5275079011917114,Negative
Te queremos Paulo!!! A darlo todo otra vez!! lo mejor para vos !! Éxitos!!!,0.9345,Positive,1.0,Positive,0.901374340057373,Positive
pesima,0.0,Neutral,0.0,Neutral,-0.7584073543548584,Negative
"Eee te tengo un reto as una cansion con estás palabras 
Te amo
Los siento 
Mal 
Mi vida 
El salón 
Soledad 
Lo aserptaa o no",-0.4588,Negative,-0.3333333333333333,Negative,-0.6143534183502197,Negative
Te queremos,0.6369,Positive,0.5,Positive,0.323215901851654,Neutral
Grande paulo,0.6249,Positive,0.8,Positive,0.5518754720687866,Positive
No entiendo cómo está mrd no tiene más de 100 M de vistas,0.0,Neutral,0.5,Positive,-0.4250667095184326,Negative
Crack .. sin palabras,0.0,Neutral,0.0,Neutral,-0.8051857352256775,Negative
"El mejor , duela  a quien le duela",-0.25,Negative,1.0,Positive,0.8158201575279236,Positive
https://youtu.be/ts2Z6aTsHcs big ligas quiere censurar de nuevo a Paulo londra!,-0.5093,Negative,0.125,Positive,-0.6546152830123901,Negative
Si faraon love shady hiciera buena música:,0.7964,Positive,0.3166666666666666,Positive,0.3236240446567535,Neutral
