Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Pra min melhor cantor de todos os tempo,0.6369,Positive,1.0,Positive,0.8663382530212402,Positive
"We still love you, Freddie!",0.6696,Positive,0.625,Positive,0.8761382699012756,Positive
Freddie you are Love of My Life forever,0.6369,Positive,0.5,Positive,0.8425963521003723,Positive
My hero,0.5574,Positive,0.0,Neutral,0.8131011128425598,Positive
Freddie u beark my heart when i leave me😔😔😔,0.7096,Positive,0.0,Neutral,0.4478408396244049,Positive
Every time I hear this song it brings tears to me as I was at a funeral 💔 😢 😪 😭 today as a dear friend of mine was laid to rest 💔 😢 and she was the love ❤️ of my life ❤️ 💔,0.3818,Positive,0.5,Positive,0.8360210657119751,Positive
The Greatest Romantic Song ever,0.7845,Positive,0.5,Positive,0.9366555213928224,Positive
"Unico!!! Grande,",0.7163,Positive,0.7662109375,Positive,0.629840075969696,Positive
"At this time and age  we received ""THE CREAM OF THE CROP""  Freddie Mercury and Queen...",0.0,Neutral,0.0,Neutral,0.5450358986854553,Positive
This song is still inside my heart.,0.6369,Positive,0.0,Neutral,0.6957851648330688,Positive
Favorite song,0.4588,Positive,0.5,Positive,0.840157151222229,Positive
"What a talent, complete command of that entire stadium. He is so missed. ♥️",0.6611,Positive,0.05,Neutral,0.7232550978660583,Positive
"I am glad, that he inspired at least some of my generation (1995) , to listen to good music.....",0.8442,Positive,0.3,Neutral,0.3668617308139801,Positive
Freddie 😢I miss you so much x 💔,-0.4336,Negative,0.2,Neutral,0.4103288054466247,Positive
"This !!!!!!  . . . And todays music 💩 

Freddie forever",0.0,Neutral,0.0,Neutral,0.8390382528305054,Positive
Bravo 🎸🎸🎸🎸,0.0,Neutral,0.0,Neutral,0.744528591632843,Positive
👶🧡💚💛💟💌💌💌💞❤,0.9911,Positive,0.0,Neutral,0.3085779249668121,Neutral
"2:22 Freddie: I still love you
Me ( in tears) : I still love you Darling :`)",0.9062,Positive,0.5,Positive,0.5624563097953796,Positive
Estive aqui,0.0,Neutral,0.0,Neutral,0.3631390631198883,Positive
Such talent!!!!,0.6083,Positive,0.0,Neutral,0.8349982500076294,Positive
Que saudade!👏😪,-0.2244,Negative,0.0,Neutral,0.6287825703620911,Positive
5,0.0,Neutral,0.0,Neutral,0.6903306245803833,Positive
👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
x,0.0,Neutral,0.0,Neutral,0.391137421131134,Positive
I wonder if this guy even realizes he has 150k subs,0.0,Neutral,0.0,Neutral,0.2513607144355774,Neutral
ГЕНИЙ,0.0,Neutral,0.0,Neutral,0.6498644351959229,Positive
Hapy brsdei mylove❤,0.6369,Positive,0.0,Neutral,0.2521243095397949,Neutral
Cuánto me hubiese gustado haber estado en uno de estos conciertos. Esto si es música!,0.4574,Positive,0.0,Neutral,0.4461842775344848,Positive
"""I still love you"" - These are the Days Of Our Lives and Love Of My Life",0.8555,Positive,0.5,Positive,0.8426074385643005,Positive
One million 👍👍👍👍👍,0.0,Neutral,0.0,Neutral,-0.6248790621757507,Negative
❤❤❤❤❤❤❤❤,0.9887,Positive,0.0,Neutral,0.3085779249668121,Neutral
Slava ucrania 🇺🇦,0.0,Neutral,0.0,Neutral,0.2186663001775741,Neutral
Geniuses 🔥🔥🔥🔥🔥,-0.875,Negative,0.0,Neutral,0.7814022898674011,Positive
My heart crying 😢 I still love you 💔🥀🖤💔👑❤🏳️‍🌈,0.9413,Positive,0.15,Neutral,0.8236879110336304,Positive
