Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Que vergüenza un día y 27k likes,-0.0772,Negative,0.0,Neutral,-0.7914964556694031,Negative
Heatrrrr buuu la 23 es la mejor,0.6369,Positive,1.0,Positive,0.7323112487792969,Positive
"Es la mejorr , es una ofensa si alguno no le gusto",0.2709,Positive,1.0,Positive,0.3662103712558746,Positive
Paulo fue el primero que salió a representar a Argentina duki salió después de que paulo hiciera conocida la ecena Argentina,0.0,Neutral,0.25,Positive,-0.5014356970787048,Negative
Jajajajajajaja dejen de darle cocaina de desayuno a erick,0.0516,Positive,0.0,Neutral,0.2364717870950698,Neutral
Reaccion man city vs real madrid???,0.0,Neutral,0.2,Positive,-0.4079871773719787,Negative
Acá se da cuenta uno quienes son los verdaderos fans que lo siguen desde el 2016 y los fans de moda.  Si esperan q todos los temas de paulo sean comerciales mejor busquen otro cantante :),0.8271,Positive,0.45,Positive,0.3055953085422516,Neutral
pienso lo mismo que eric esta bien pero me falta un poco mas,0.1027,Positive,0.1822916666666666,Positive,0.6054337024688721,Positive
Tu sobrina ya no tiene tiktok ?,-0.296,Negative,0.0,Neutral,-0.3839583396911621,Negative
6:50 🤨🤨,0.0,Neutral,0.0,Neutral,-0.2306405454874038,Negative
valoración general: el eric no tiene ni idea,-0.296,Negative,0.05,Positive,-0.4680083692073822,Negative
Alguien se ha dado cuenta del aire acondicionado. Minuto 3.18,0.0,Neutral,0.0,Neutral,-0.6533159613609314,Negative
Haz mejores Vídeos graba jugando fútbol reaccionando cosas así te quedas sin contenido,0.7351,Positive,0.5,Positive,-0.559858500957489,Negative
"A ver si crees que la sesión de don patricio es mejor que esta o que la de don patricio es la mejor eres un poco sordo y q no tienes sentido musical, pero cada uno con su opinion y su gusto...",0.4497,Positive,0.328125,Positive,0.457495778799057,Positive
"Una mierda gigante, no esta ni en el top de los Bzrp",-0.4215,Negative,0.0999999999999999,Positive,-0.7084066867828369,Negative
paulo y duki empezaron juntos en batallas y creo que duki se animo a hacer flows por paulo pero ns saludos,-0.4675,Negative,0.0,Neutral,0.2741161584854126,Neutral
"Le doy un 5,6",0.0,Neutral,0.0,Neutral,0.2735457420349121,Neutral
esta bizarrap es tipo homerun 2.0 está buenísima,0.4215,Positive,0.6000000000000001,Positive,0.5665420889854431,Positive
Erik le doy un 6 no me gustó mucho procede a bailar y gritar todo el tema,-0.2755,Negative,0.2,Positive,0.3901652991771698,Positive
