Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
🤣🤣,0.7506,Positive,0.0,Netural,0.30857792496681213,Netural
* se enamora de angel mario *,0.6369,Positive,0.5,Positive,0.3482837677001953,Positive
Hshfu fe w,0.0,Neutral,0.0,Netural,0.3488326072692871,Positive
cgdnsnj😭bfbgsjfjf,-0.4767,Negative,0.0,Netural,0.30857792496681213,Netural
"Xnxmmhz😭😭
Lsldjamsljf😭😭
Jxnxfmdfn😭😗",-0.8957,Negative,0.0,Netural,0.37613287568092346,Positive
Hdmmzmjxkdkdcccjxadgiksjdjdlqjzñaba😭😭,-0.7351,Negative,0.0,Netural,0.30857792496681213,Netural
Lqjsfnrkqkgñekiwlwñsoalidñfslrpqfisswppqifksloqieufkkqpworowwpeikfslldkwlñwñeklwlwelieowwpkfklqñifjñdfkdllelffcmz nwñlslwkfjqoeukrlfdkfl,0.0,Neutral,0.0,Netural,0.2243185192346573,Netural
Djgzjnqhml,0.0,Neutral,0.0,Netural,-0.2649637758731842,Negative
Esa for me cae mal esa uerfana jajaja,0.3591,Positive,0.2,Netural,-0.41748154163360596,Negative
Saludos desde Calipan,0.4215,Positive,0.0,Netural,0.37583911418914795,Positive
6eeghh,-0.1779,Negative,0.0,Netural,-0.2753548324108124,Negative
Cati,0.0,Neutral,0.0,Netural,0.28726860880851746,Netural
Descargala,0.0,Neutral,0.0,Netural,-0.419118732213974,Negative
400K MIL LIKE,0.3612,Positive,0.0,Netural,-0.22233082354068756,Negative
Mariana.   Oropeza💕👍💋,0.7964,Positive,0.0,Netural,0.3183886706829071,Netural
MoMo,0.0,Neutral,0.0,Netural,0.32013067603111267,Netural
Hayyyy,0.0,Neutral,0.0,Netural,-0.24006369709968567,Negative
"Bienvenido al portapapeles de Gboard; todo texto que copies se guardará aquí.Para pegar un clip en el cuadro de texto, tócalo.Utiliza el ícono de edición para fijar, agregar o borrar cips:",0.7003,Positive,0.8,Positive,0.45791545510292053,Positive
el airesito,0.0,Neutral,0.0,Netural,0.2552022337913513,Netural
Hlllñjbcxfb,0.0,Neutral,0.0,Netural,0.23242835700511932,Netural
Ola😍😍😍😍♥️♥️♥️♥️♥️♥️♥️♥️♥️😘😘😘😘😘🤩,0.9964,Positive,0.0,Netural,0.30857792496681213,Netural
un chico  tan amable 😍,0.7506,Positive,0.3,Netural,0.7863010764122009,Positive
❤,0.6369,Positive,0.0,Netural,0.30857792496681213,Netural
comunidad. 14,0.0,Neutral,0.0,Netural,0.3016015887260437,Netural
Ro de nuevo bb ahy de nuevo a qué te refieres con quién es el que no te,0.0,Neutral,-0.3125,Negative,-0.5241705775260925,Negative
Rock nacional de nuevo a qué te va con la cabaña del la cabaña del de nuevo y de la cabaña del la tuki de nuevo bb ahy de nuevo a la tuki de las tres que se me hace muy feliz cumpleaños amiga de la tuki de la liga te va con la tuki,0.8155,Positive,1.0,Positive,0.6866660714149475,Positive
Ten go ocHo,0.6124,Positive,0.0,Netural,-0.3161684572696686,Negative
soi Ruby y so y de gua temala,0.0,Neutral,0.0,Netural,0.48455384373664856,Positive
