Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Pewds Chair meme?
Hey Hey Monika meme?

Dude are we back in the time where pewds was the biggest gold mine for memes, played a hell as funny charactor and looked DAMN sexy with his white hair?

No?

...hm",-0.3167,Negative,0.1875,Positive,-0.4784999787807464,Negative
2 minutes of just adds wow pewds,0.5859,Positive,0.1,Positive,-0.3433810174465179,Negative
Damn I’ve been watching since you hit 1 Million subs. I remember watching that video come out. I’m 21 now.  Cat h these hands bruh,-0.4019,Negative,0.0,Neutral,-0.707709014415741,Negative
Talk to me nice,0.4215,Positive,0.6,Positive,0.439612478017807,Positive
"Pewds: “Be nice to me!”

*donkey Minecraft mob enters the chat*
Pewds: smash 🥴",0.4753,Positive,0.75,Positive,-0.2958499789237976,Negative
just stay away from the bridge and the blacks will be nice to you,0.4215,Positive,0.6,Positive,0.4044955372810364,Positive
"He Will Smith, BE NICE TO PEWDIEPIE...... LEAVE BRITNEY..... I mean........LEAVE PEWBS ALONE  !!!!!!!!!",-0.3184,Negative,1.0,Positive,-0.3426356911659241,Negative
That’s a Bladee song,0.0,Neutral,0.0,Neutral,-0.2422578930854797,Negative
If i image an A hole its pewdiepie,0.0,Neutral,0.0,Neutral,-0.3864678740501404,Negative
34:45 má ơi cười xĩu khúc này,0.5574,Positive,0.3,Positive,-0.3362962305545807,Negative
"i was literally listening to hej monica yesterday🙄, nostalgia",0.0,Neutral,0.0,Neutral,0.2748990058898926,Neutral
"videos alongside yours when she was still active. Marzia, love you! Hope you are well. -from a loving kawaii fan",0.9545,Positive,0.3638888888888889,Positive,0.5859079957008362,Positive
Hej Monika has been my Ringtone since past 2 Years now. There's no going back now.,-0.296,Negative,-0.125,Negative,0.6739436984062195,Positive
Yo yo,0.0,Neutral,0.0,Neutral,0.2386102825403213,Neutral
Yes,0.4019,Positive,0.0,Neutral,0.3790786862373352,Positive
BE NICE NOW,0.4215,Positive,0.6,Positive,0.4412521719932556,Positive
God is with we get 80 years to live and that determines is we go to heaven forever read a bible or get one or get someone to get you one,0.6597,Positive,0.1363636363636363,Positive,0.7337039113044739,Positive
Elon looks like a gay chinese dude,0.3612,Positive,0.2083333333333333,Positive,-0.3384425938129425,Negative
Bladee 👍🏼,0.0,Neutral,0.0,Neutral,0.3093268275260925,Neutral
DRAINGANGGGGHHGG,0.0,Neutral,0.0,Neutral,0.2734125256538391,Neutral
I can't comprehend the fact that next year I'll be a certified 19 yr old,0.0,Neutral,0.05,Positive,0.2828246057033539,Neutral
"Freedom to Ukraine, Belarus, Chechnya, Kasachstan ...and many others
Freedom to worldcitizens (even for Russians!) Future belongs to the Youth.
Lukaschenko / Putin leave the World allone!! Take your hat Putin
🌐🌍🌏🌎🌐",0.8772,Positive,0.3125,Positive,0.4361704587936401,Positive
"That is the most elden ring I have seen in a video D: 

Must carry on training on DS2 SOTFS",0.4466,Positive,0.5,Positive,0.5039470195770264,Positive
You think running the world is a game,0.0,Neutral,-0.4,Negative,0.2805606424808502,Neutral
Awe I love Felix,0.6369,Positive,0.5,Positive,0.79692143201828,Positive
7.9k,0.0,Neutral,0.0,Neutral,0.2771512567996979,Neutral
I wanna see Pewds do Smash or Pass on Philosopher's.,0.0,Neutral,0.0,Neutral,-0.2246321886777877,Negative
Please be nice to Him ❤️,0.6249,Positive,0.6,Positive,0.3739002346992492,Positive
I can't believe I don't watch this dude for the past 3 years now I do and he's still about his damn ass chair and the recline... This is what time travel should feel like,-0.5719,Negative,-0.25,Negative,0.344873309135437,Positive
"Can we please see pewdiepie, this Swedish guy keeps making videos on your YouTube channel.",0.3182,Positive,0.0,Neutral,0.4573237895965576,Positive
Smash or pass Minecraft mobs,0.0,Neutral,0.0,Neutral,-0.8000209927558899,Negative
Yes please film more pug videos! :D,0.8621,Positive,0.8125,Positive,-0.2776651084423065,Negative
"4:35 could easily make advert for razor, he shave, he gains!",0.6239,Positive,0.5416666666666667,Positive,0.4021630883216858,Positive
"PewDiePie is so enjoyable to watch, even his adverts are fun!",0.8092,Positive,0.4375,Positive,0.609561026096344,Positive
"What a handsome, strong, intelligent, charismatic, funny, charming, witty, genius youtuber you are Felix. Amazing, atonishing, full of emotion video as always.",0.9638,Positive,0.5148148148148147,Positive,0.961702287197113,Positive
Let me guess theirs a earth with a big Katia,0.0,Neutral,0.0,Neutral,0.2832793891429901,Neutral
"it's been a while, being nice when you're told to is harder than stopping the war in ukraine. we could use beastmaster right now, the good old days, they hacked printers in ukraine like that one time he did it for ""sub to pewds"" we didn't know we were training for war. I remember when Elon did meme review. Better guest than when ben shapiro or alex jones did. Edit: I don't think alex jones did meme review, he should though, before he goes to the joint, vladmir putin meme review? too far.

An indian film just passed batman like that one time an indian channel passed you. Take that colonizers! Indian movie RRR beats The Batman and The Lost City and takes the No 1 Spot collecting more than $64 million in theopening weekend Globally. world peace would happen if everyone bought the pewdiepie chair gah should have done that. of course. Sweden is trying to join nato.",0.4574,Positive,0.3011904761904762,Positive,-0.3090885281562805,Negative
"in this video I saw what Pewdiepie showed me, namely nord vpn, is nord vpn good?",0.4404,Positive,0.7,Positive,-0.3242040574550628,Negative
Bladee listener chad,0.0,Neutral,0.0,Neutral,0.2828319668769836,Neutral
At 4:33 on the left is him on November on the right is right around the end of December lol,0.4215,Positive,0.3428571428571428,Positive,-0.5319051742553711,Negative
Poor pewds,-0.4767,Negative,-0.4,Negative,-0.3906188309192657,Negative
"This comment will mark the day that I learnt of Pewdiepie furry thing. March 27th, 2022.
If it wasn't considered a crime I porbably would go grab a Colt and shoot it.
Edit : ""A joke""",0.3919,Positive,0.0,Neutral,-0.6872739195823669,Negative
lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
LETS GOOOO,0.0,Neutral,0.0,Neutral,0.3223620951175689,Neutral
your so bad,-0.5849,Negative,-0.6999999999999998,Negative,-0.7215644717216492,Negative
"Just started watch your channel again during this whole war thing (I'm Ukrainian), hopefully it's still as funny and entertaining as I remember, keeps me away from all the problems and thoughts about ruined plans and opportunities.",0.1027,Positive,0.3166666666666666,Positive,0.472553551197052,Positive
Pewds with a nod to drain gang >:)!,0.0,Neutral,0.625,Positive,-0.3376227617263794,Negative
Im back bro!!! Pewdieguy tells no lies xD,-0.3851,Negative,0.0,Neutral,-0.6284393072128296,Negative
best youtuber,0.6369,Positive,1.0,Positive,0.9287254810333252,Positive
Watch pewds since i was 14-15. Now im 25 ☺️,0.4588,Positive,0.0,Neutral,0.4156747460365295,Positive
I love you 🥺❤️,0.6369,Positive,0.5,Positive,0.8701996207237244,Positive
brofist,0.0,Neutral,0.0,Neutral,0.2529254257678985,Neutral
"I don’t understand KSI had over 10 mill and gets 5 million plus views 
But pews has 111m and 2.5 million views avg",0.0,Neutral,0.0,Neutral,-0.419224739074707,Negative
"10:06 noooooo DUCK NOOOOO 😭, LWIAY PLEASE COME BACK TO ME",-0.0173,Neutral,0.0,Neutral,-0.5509712100028992,Negative
So silly,0.101,Positive,-0.5,Negative,-0.3973822295665741,Negative
"Goverments are paying the army to have hidden cameras and open mics in every modern screen  an the whole internet system is taped with spies. Phones, Tvs, etc .. every gadget.",0.0,Neutral,0.0583333333333333,Positive,-0.6754374504089355,Negative
I honestly love this youtube channel,0.802,Positive,0.5,Positive,0.8881909251213074,Positive
I enjoy watching these videos,0.4939,Positive,0.4,Positive,0.5489774942398071,Positive
bladee,0.0,Neutral,0.0,Neutral,0.2655154466629028,Neutral
pewds ur channel is dead.,-0.6486,Negative,-0.2,Negative,-0.6643764972686768,Negative
"""That's my left arm on the left"" Ah yes The archer team is really made out of archers People die when they are killed",-0.7717,Negative,0.0,Neutral,-0.3405142426490783,Negative
後的自付額達到一定的感覺很快就 LOL,0.7456,Positive,0.5071428571428571,Positive,0.2860510647296905,Neutral
111 millions subs but almost 3 millions view ... what's happening pewds ?,0.0,Neutral,0.0,Neutral,-0.4079124629497528,Negative
DRAAAAAAAAAAIN,0.0,Neutral,0.0,Neutral,0.2506537735462188,Neutral
Im your biggest fan :D,0.7456,Positive,1.0,Positive,0.5908461809158325,Positive
we love you pewds❤ and queen marzia,0.8555,Positive,0.5,Positive,0.812314510345459,Positive
if this channel dies the meme community will disrupt,0.0,Neutral,0.0,Neutral,-0.4743872582912445,Negative
3:06 what´s the name of this music?,0.0,Neutral,0.0,Neutral,-0.3132129311561584,Negative
Just look at JJ's fandom you have the most wholesomest,0.0,Neutral,0.5,Positive,0.3192526996135711,Neutral
u better do smash or pass on EVERY minecraft mob or you'll be sued.,0.4404,Positive,0.5,Positive,-0.5678727626800537,Negative
I really hope he really does do the smash or pass,0.4927,Positive,0.2,Positive,0.3328624069690704,Positive
@PewDiePie Hello.👋🏻 I like your iOS video games.😇,0.8271,Positive,0.0,Neutral,0.5503484606742859,Positive
great😀😀,0.8442,Positive,0.0,Neutral,0.3085779249668121,Neutral
good,0.4404,Positive,0.7,Positive,0.4969631731510162,Positive
PewDiePie still the biggest individual YouTuber on in the world like if you agree,0.6124,Positive,0.0,Neutral,0.3977912068367004,Positive
Great time pass🤩🤩keep it up,0.6249,Positive,0.8,Positive,0.6784180402755737,Positive
Be nice to Felix. 😤,0.4215,Positive,0.6,Positive,0.421196699142456,Positive
"I love the Edgar videos. They make the channel more better and more PewDiePie! I love seeing your pugs and seeing them go shopping, brings alot of happiness!",0.952,Positive,0.5833333333333334,Positive,0.8744125962257385,Positive
"Dude, i wanna know what the iranian bros said... why censor it?",-0.4588,Negative,0.0,Neutral,-0.6824231147766113,Negative
BLADEE REFERENCE,0.0,Neutral,0.0,Neutral,0.3326314389705658,Positive
£3.99 for a chair wow good deal,0.7717,Positive,0.3999999999999999,Positive,0.6499600410461426,Positive
Lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
"videos alongside yours when she was still active. Marzia, love you! Hope you are well. -from a loving kawaii fan",0.9545,Positive,0.3638888888888889,Positive,0.5859079957008362,Positive
"So much nostalgic train
Felix you should bring old-school pewdiepie signatures that suits you right now
it could inspire you and us to create ideas
example: brofist",0.7003,Positive,-0.1071428571428571,Negative,0.5680055618286133,Positive
Hi Felix! I'm very sick and you've been making me laugh and I just want you to know that you're making things better. Thank you!,0.7423,Positive,-0.0011904761904761,Negative,0.4453054070472717,Positive
"reminder: your son is dead
Press Y to cry",-0.8126,Negative,-0.2,Negative,-0.4541580379009247,Negative
Whose that girl on twitch? She have an onlyfan?,0.0,Neutral,0.0,Neutral,-0.3743554651737213,Negative
are his tattoos different?,0.0,Neutral,0.0,Neutral,0.3445754051208496,Positive
oing on here,0.0,Neutral,0.0,Neutral,-0.2876037955284118,Negative
Whatever!,0.0,Neutral,0.0,Neutral,0.3892828822135925,Positive
Be nice to the Swedish dude,0.4215,Positive,0.6,Positive,0.3551852703094482,Positive
"I am a fan since 2012, and i am indeed a 19 year old - for the next month at least.
Hereby i solemnly vow to support Pewdiepie in his quest of youtube and i promise to come back to this channel regularly.


Note to future generations:



Protect this creator no matter how the times change.",0.8633,Positive,-0.0333333333333333,Negative,0.4429308474063873,Positive
Never! You bullied dhar mann >:(,-0.1774,Negative,-0.75,Negative,-0.7894828915596008,Negative
Seeing how much you aged and gained awesome muscle mass from when I saw you in 2014 keep up the amazing work you love doing man and have a great rest of the year man I will probably comment again later on the year,0.9628,Positive,0.4285714285714285,Positive,0.6283096671104431,Positive
beard looks good on you. grow beard man,0.4404,Positive,0.7,Positive,0.4610191583633423,Positive
😂🤣,0.7269,Positive,0.0,Neutral,0.3085779249668121,Neutral
drain gaaaaang,0.0,Neutral,0.0,Neutral,0.2918261587619781,Neutral
We just want you to be happy,0.6124,Positive,0.8,Positive,0.514224112033844,Positive
Whoa I won,0.5719,Positive,0.0,Neutral,0.4319994151592254,Positive
He’s been going to the gym and I will have to say I’m not seeing any improvements postures very bad as well,-0.5254,Negative,-0.9099999999999998,Negative,-0.457121878862381,Negative
The irony of what he was saying during the arms gain but you know i had to do it to em 😭 he says its his left arm but its his right arm 😂😭 im sorry lmao they are sweet gains though 😎🤘,0.928,Positive,0.1471428571428571,Positive,0.373807817697525,Positive
"HEART ATTACKS AT 10:13 
you're welcome.",0.6486,Positive,0.8,Positive,0.4513067007064819,Positive
"Reading all the comments make me wanna cry, but with happy tears. :') Thankyou Pewds, you deserve so much loves and happiness. Just remember we all love you and will always be there to support you. :)",0.987,Positive,0.54,Positive,0.7785762548446655,Positive
Here is my nice thing for you pewds I don’t think I. Ever comment on vids so its extra super special lol I never thought that a Swedish man yelling at barrels when I was a teenager would become such a great influencer you have helped more be then I think you could really even know You are amazing and by far my favorite YouTuber Bro fist ❤️,0.9731,Positive,0.3992063492063493,Positive,0.8138527870178223,Positive
boggling! Stay AWESOME!,0.7519,Positive,1.0,Positive,0.7773377299308777,Positive
