Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Ngl he actually hits the high note rlly good!,0.4926,Positive,0.345,Positive,0.3822767436504364,Positive
"Anyone know what eyeshadow James has used here, it’s stunning?",0.3818,Positive,0.5,Positive,0.5122987031936646,Positive
“Ghah. This. Photo.” 😂,0.4404,Positive,0.0,Netural,0.2640586495399475,Netural
Your videos never fail to entertain ❤️,0.2235,Positive,0.25,Netural,0.38332220911979675,Positive
Omg the makeup is very much giving 😍😍😍 it’s so cool 😎,0.9532,Positive,0.305,Netural,0.5977217555046082,Positive
u look so cute in this makeup look please do a tritorial,0.7324,Positive,0.5,Positive,0.5046502947807312,Positive
Nice Hairline,0.4215,Positive,0.6,Positive,0.48489999771118164,Positive
"I LOVE hearing the team in the back, we need a video/vlog with them:)",0.7125,Positive,0.3333333333333333,Positive,0.6467713713645935,Positive
1 problem I dont like about James is BRO U TALK SO FAST OML EVEN I CANT EVEN LISTEN WHAT UR TALKIN ABOUT,-0.5873,Negative,0.2,Netural,-0.5375323295593262,Negative
It’s the where is none of the above for me😂😂,0.7003,Positive,0.0,Netural,0.32514142990112305,Netural
hi,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
"Me : how funny would it be if james failed hes own quiz







10mins into the video gets many questions wrong





Me:laughing my head off",-0.5423,Negative,0.06999999999999999,Netural,-0.4819905459880829,Negative
When this dude isn’t heterosexual I am Donald Trump,0.0,Neutral,0.0,Netural,-0.5380667448043823,Negative
look back for a sec u will see in the vid quise from 21 then to 26 wtf🤨🤨,-0.5859,Negative,-0.05,Negative,-0.25269240140914917,Negative
I love how his team is laughing at him. It makes me laugh.,0.9001,Positive,0.4,Positive,0.4877588152885437,Positive
Nah why is he still doing this,-0.1027,Negative,0.0,Netural,0.3440033495426178,Positive
i dont know if this is good but james should do what make up look are you quizzes and then try to copy the look,0.2382,Positive,0.7,Positive,0.43727779388427734,Positive
Your today's look is so cute and beautiful,0.8414,Positive,0.675,Positive,0.7913800477981567,Positive
Not me tryna swipe up the text bubble 🤣😭,0.0258,Neutral,0.0,Netural,-0.5913406610488892,Negative
"Hii sister, I absolutely love your videos and you never fail to lighten up my day on the days I feel like giving up ❤️! Your are literally my idol. I would like to point one think out though; on the question about the tattoos shouldn’t it have been ‘none of the above/other’ because, your have got one on the inside of your bottom lip. Correct me if wrong please. Love your videos sister ❤️💯💋",0.9649,Positive,0.203125,Netural,0.7638346552848816,Positive
😂😂😂10:48 why is Philippines even in the choices 🤦🏻‍♀️😆did he went to the ph already??,0.7757,Positive,0.0,Netural,-0.46335527300834656,Negative
"I LOVE hearing the team in the back, we need a video/vlog with them:)",0.7125,Positive,0.3333333333333333,Positive,0.6467713713645935,Positive
"Ok, before anyone starts a riot James Charles is the best",0.1531,Positive,0.75,Positive,0.4208047091960907,Positive
"""oh"" ""pur""",0.0,Neutral,0.0,Netural,-0.28792279958724976,Negative
